
Naive Bayes Classifier

                 Class
Attribute           cp     im     pp    imU     om    omL    imL    imS
  GLYA_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GSHR_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GT_ECOLI          1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HEM6_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HEMN_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HPRT_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  IF1_ECOLI         1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  IF2_ECOLI         1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ILVY_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  IPYR_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  KAD_ECOLI         1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  KDSA_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  LEU3_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  LON_ECOLI         1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  LPLA_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  LYSR_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  MALQ_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  MALZ_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  MASY_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  METB_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  METC_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  METK_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  METR_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  METX_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  MURF_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  NADA_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  NFRC_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  NHAR_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  NIRD_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  OMPR_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  OTC1_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  OTC2_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  PEPE_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  PFLA_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  PFLB_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  PGK_ECOLI         2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  PHOB_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  PHOH_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  PMBA_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  PNP_ECOLI         2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  PROB_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  PT1A_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  PT1_ECOLI         2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  PTCA_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  PTCB_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  PTFA_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  PTGA_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  PTHA_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  PTHP_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  PTKA_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  PTKB_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  PTNA_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  PTWB_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  PTWX_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  RHAR_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  RHAS_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  RIMI_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  RIMJ_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  RIML_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  RNB_ECOLI         2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  RNC_ECOLI         2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  RND_ECOLI         2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  RNE_ECOLI         2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SERC_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SLYD_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SOXS_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SYA_ECOLI         2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SYC_ECOLI         2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SYD_ECOLI         2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SYE_ECOLI         2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SYFA_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SYFB_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SYGA_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SYGB_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SYH_ECOLI         2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SYI_ECOLI         2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SYK1_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SYK2_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SYL_ECOLI         2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SYM_ECOLI         2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SYP_ECOLI         2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SYQ_ECOLI         2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SYR_ECOLI         2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SYS_ECOLI         2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SYT_ECOLI         2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SYV_ECOLI         2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SYW_ECOLI         2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SYY_ECOLI         2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  THGA_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  THIK_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  TYRB_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  UBIC_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  UGPQ_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  USPA_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  UVRB_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  UVRC_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  XGPT_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  XYLA_ECOLI        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  EMRA_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  AAS_ECOLI         1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  AMPE_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  ARAE_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  ARAH_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  AROP_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  ATKB_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  ATP6_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  BETT_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  CODB_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  CYDA_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  CYOC_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  CYOD_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  DCTA_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  DHG_ECOLI         1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  DHSC_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  DHSD_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  DPPC_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  DSBB_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  ENVZ_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  EXBB_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  FRDC_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  FRDD_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  FTSW_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  GABP_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  GALP_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  GLNP_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  GLPT_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  GLTP_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  KDGL_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  KGTP_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  LACY_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  LGT_ECOLI         1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  LLDP_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  LNT_ECOLI         1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  LSPA_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  LYSP_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  MALF_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  MALG_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  MCP3_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  MSBB_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  MTR_ECOLI         1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  NANT_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  NHAA_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  NHAB_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  PHEP_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  PHOR_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  PNTA_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  POTE_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  PROP_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  PSTA_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  PSTC_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  PTAA_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  PTBA_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  PTCC_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  PTDA_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  PTFB_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  PTGB_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  PTHB_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  PTMA_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  PTOA_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  PTTB_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  RODA_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  SECE_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  SECF_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  SECY_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  TNAB_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  XYLE_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  YCEE_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  EXBD_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  FTSL_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  FTSN_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  FTSQ_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  MOTB_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  TOLA_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  TOLQ_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  EMRB_ECOLI        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  ATKC_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  NFRB_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  NLPA_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0
  CYOA_ECOLI        1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0
  ATKA_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  BCR_ECOLI         1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  CADB_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  CAIT_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  CPXA_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  CRED_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  CYDB_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  CYOB_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  CYOE_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  DMSC_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  DPPB_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  DSBD_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  FEPD_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  FEPG_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  FTSH_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  GLTS_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  KEFC_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  KUP_ECOLI         1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  MCP1_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  MCP2_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  MCP4_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  MELB_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  MOTA_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  NUPC_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  NUPG_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  PNTB_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  PTKC_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  RHAT_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  SECD_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  SECG_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  TEHA_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  TYRP_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  UHPB_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  TONB_ECOLI        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  LEP_ECOLI         1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  FADL_ECOLI        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  FHUA_ECOLI        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  LAMB_ECOLI        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  NFRA_ECOLI        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  NMPC_ECOLI        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  OMPA_ECOLI        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  OMPC_ECOLI        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  OMPF_ECOLI        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  OMPX_ECOLI        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  PHOE_ECOLI        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  TSX_ECOLI         1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  BTUB_ECOLI        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  CIRA_ECOLI        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  FECA_ECOLI        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  FEPA_ECOLI        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  FHUE_ECOLI        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  OMPP_ECOLI        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  OMPT_ECOLI        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  TOLC_ECOLI        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  PA1_ECOLI         1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  MULI_ECOLI        1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0
  NLPB_ECOLI        1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0
  NLPE_ECOLI        1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0
  PAL_ECOLI         1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0
  SLP_ECOLI         1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0
  AGP_ECOLI         1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  AMY1_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  ARAF_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  ASG2_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  BGLX_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  C562_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  CN16_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  CYPH_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  CYSP_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  DGAL_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  DPPA_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  DSBA_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  DSBC_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  ECOT_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  ECPD_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  FECB_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  FECR_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  FEPB_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  FIMC_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  GGT_ECOLI         1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  GLNH_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  GLPQ_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  HTRA_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  LIVJ_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  LIVK_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  MALE_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  MALM_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  MEPA_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  MODA_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  NRFA_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  NRFF_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  OPPA_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  OSMY_ECOLI        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
