

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Buying,Maint,Doors,Persons,Lug_boot,Safety)
    45    1:unacc    1:unacc       0.996 (high,high,5more,2,med,high)
    46    1:unacc    1:unacc       0.999 (high,low,2,2,small,high)
    47    1:unacc    1:unacc       0.998 (high,high,2,2,med,high)
    48    1:unacc    1:unacc       0.999 (high,low,3,2,med,low)
    49    1:unacc    1:unacc       0.998 (high,med,5more,2,med,med)
    50    1:unacc    1:unacc       0.993 (med,low,3,2,big,high)
    51    1:unacc    1:unacc       0.95 (vhigh,low,3,4,small,med)
    52    1:unacc    1:unacc       0.999 (low,med,4,2,small,low)
    53    1:unacc    1:unacc       0.999 (vhigh,low,3,2,med,med)
    54    1:unacc    1:unacc       0.995 (med,vhigh,5more,2,big,high)
    55    1:unacc      2:acc   +   0.792 (low,high,2,more,small,high)
    56    1:unacc    1:unacc       0.999 (med,high,2,more,small,low)
    57    1:unacc    1:unacc       0.995 (med,med,5more,2,med,med)
    58    1:unacc    1:unacc       0.997 (low,vhigh,2,4,big,low)
    59    1:unacc    1:unacc       0.999 (high,low,2,2,big,med)
    60    1:unacc    1:unacc       0.999 (high,low,3,more,med,low)
    61    1:unacc    1:unacc       0.999 (low,vhigh,2,more,med,low)
    62    1:unacc    1:unacc       0.992 (med,high,4,2,big,high)
    63    1:unacc    1:unacc       0.991 (med,med,5more,2,big,med)
    64    1:unacc    1:unacc       0.987 (low,med,2,2,big,high)
    65    1:unacc    1:unacc       0.998 (med,high,2,2,med,med)
    66    1:unacc      2:acc   +   0.591 (low,low,4,more,big,low)
    67    1:unacc    1:unacc       0.999 (med,med,4,2,small,high)
    68    1:unacc    1:unacc       0.999 (high,med,3,more,med,low)
    69    1:unacc    1:unacc       0.999 (high,vhigh,3,2,big,med)
    70    1:unacc      2:acc   +   0.761 (vhigh,low,5more,4,small,med)
    71    1:unacc    1:unacc       0.999 (low,low,3,2,med,low)
    72    1:unacc    1:unacc       0.999 (high,med,4,more,small,low)
    73    1:unacc    1:unacc       0.999 (high,low,5more,more,med,low)
    74    1:unacc    1:unacc       0.999 (high,vhigh,3,2,med,high)
    75    1:unacc    1:unacc       0.999 (low,high,3,4,small,low)
    76    1:unacc    1:unacc       0.998 (med,high,4,2,med,med)
    77    1:unacc    1:unacc       0.998 (med,low,5more,2,big,low)
    78    1:unacc    1:unacc       0.999 (med,vhigh,5more,more,small,low)
    79    1:unacc    1:unacc       0.999 (high,med,3,2,big,low)
    80    1:unacc    1:unacc       0.997 (low,vhigh,4,2,big,med)
    81    1:unacc    1:unacc       0.999 (high,vhigh,2,2,small,med)
    82    1:unacc    1:unacc       0.999 (high,low,4,2,small,low)
    83    1:unacc      2:acc   +   0.963 (low,low,2,more,small,med)
    84    1:unacc    1:unacc       0.995 (med,med,2,2,big,med)
    85    1:unacc    1:unacc       0.97 (low,med,5more,more,med,low)
    86    1:unacc    1:unacc       0.996 (high,high,4,2,big,high)
    87    1:unacc      2:acc   +   0.847 (low,vhigh,2,4,med,med)
    88    1:unacc    1:unacc       0.936 (med,vhigh,4,more,small,med)
    89    1:unacc    1:unacc       0.986 (low,high,4,2,big,high)
    90    1:unacc    1:unacc       0.649 (high,vhigh,5more,more,med,high)
    91    1:unacc    1:unacc       0.928 (low,low,2,more,big,low)
    92    4:vgood    4:vgood       1 (low,med,3,more,big,high)
    93    4:vgood    4:vgood       1 (low,low,3,more,big,high)
    94    4:vgood    4:vgood       0.956 (low,high,2,4,big,high)
    95    4:vgood    4:vgood       0.984 (low,low,4,4,med,high)
    96    4:vgood    4:vgood       0.999 (low,high,3,4,big,high)
    97    4:vgood    4:vgood       1 (low,med,5more,4,big,high)
    98      2:acc    1:unacc   +   0.597 (high,low,2,4,med,high)
    99      2:acc    1:unacc   +   0.745 (high,med,3,more,med,med)
   100      2:acc      2:acc       0.97 (vhigh,low,4,more,med,med)
   101      2:acc      2:acc       0.783 (high,med,4,4,big,med)
   102      2:acc      2:acc       0.635 (high,high,5more,4,med,med)
   103      2:acc      2:acc       0.969 (high,low,2,more,big,high)
   104      2:acc    1:unacc   +   0.904 (high,low,3,more,med,med)
   105      2:acc      2:acc       0.922 (med,low,2,4,med,med)
   106      2:acc      2:acc       0.844 (low,vhigh,4,more,med,med)
   107      2:acc      2:acc       0.914 (vhigh,low,2,more,big,med)
   108      2:acc      2:acc       0.617 (high,low,4,4,med,high)
   109      2:acc      2:acc       0.86 (low,high,3,4,small,high)
   110      2:acc      2:acc       0.934 (high,low,4,4,big,med)
   111      2:acc      2:acc       0.657 (med,med,3,more,big,med)
   112      2:acc      2:acc       0.82 (low,high,2,4,med,high)
   113      2:acc      2:acc       0.939 (med,vhigh,4,4,big,med)
   114      2:acc      2:acc       0.853 (high,high,4,4,med,high)
   115      2:acc      2:acc       0.883 (med,high,3,more,med,med)
   116      2:acc      2:acc       0.938 (low,high,2,4,med,med)
   117      2:acc      2:acc       0.974 (med,high,3,more,small,high)
   118      2:acc      2:acc       0.934 (low,vhigh,5more,more,med,high)
   119      2:acc      2:acc       0.911 (low,vhigh,4,4,med,med)
   120      2:acc      2:acc       0.679 (med,low,2,more,med,med)
   121      2:acc      2:acc       0.946 (med,low,3,4,med,med)
   122      2:acc      2:acc       0.771 (low,high,4,4,small,med)
   123      2:acc      2:acc       0.943 (med,high,4,4,med,med)
   124      2:acc      2:acc       0.636 (med,vhigh,4,more,med,med)
   125      2:acc      2:acc       0.97 (low,high,4,4,big,med)
   126      2:acc      2:acc       0.96 (high,med,5more,more,small,high)
   127      2:acc      2:acc       0.961 (low,med,5more,4,small,med)
   128      2:acc      2:acc       0.911 (low,low,2,4,small,med)
   129      2:acc      2:acc       0.876 (med,high,5more,more,med,high)
   130      2:acc      2:acc       0.794 (high,low,5more,4,small,high)
   131      2:acc      2:acc       0.939 (low,high,3,4,med,med)
   132      2:acc      2:acc       0.806 (high,med,4,4,small,high)
   133     3:good      2:acc   +   0.819 (med,low,4,4,small,high)
   134     3:good     3:good       0.933 (low,med,4,4,big,med)
   135     3:good      2:acc   +   0.768 (low,med,5more,4,med,med)
   136     3:good      2:acc   +   0.826 (med,low,3,more,med,med)
   137     3:good      2:acc   +   0.511 (low,med,5more,more,small,high)
   138     3:good      2:acc   +   0.918 (med,low,3,more,small,high)
   139     3:good      2:acc   +   0.762 (med,low,2,more,med,high)
     1    1:unacc    1:unacc       0.999 (high,high,5more,4,med,low)
     2    1:unacc    1:unacc       0.982 (med,med,5more,more,med,low)
     3    1:unacc    1:unacc       0.994 (low,vhigh,2,more,big,low)
     4    1:unacc    1:unacc       0.999 (med,high,3,2,small,low)
     5    1:unacc    1:unacc       0.997 (high,vhigh,3,4,big,low)
     6    1:unacc    1:unacc       0.999 (med,high,3,2,med,low)
     7    1:unacc    1:unacc       0.991 (low,med,5more,4,small,low)
     8    1:unacc    1:unacc       0.998 (high,vhigh,3,4,med,low)
     9    1:unacc    1:unacc       0.998 (high,vhigh,2,2,big,low)
    10    1:unacc    1:unacc       0.706 (high,vhigh,3,4,small,high)
    11    1:unacc    1:unacc       0.99 (low,low,4,2,big,high)
    12    1:unacc    1:unacc       0.998 (high,med,2,2,small,low)
    13    1:unacc    1:unacc       0.999 (high,low,4,2,med,low)
    14    1:unacc    1:unacc       0.622 (high,med,5more,4,small,med)
    15    1:unacc    1:unacc       0.647 (med,high,2,more,small,high)
    16    1:unacc      2:acc   +   0.532 (high,low,2,more,small,high)
    17    1:unacc    1:unacc       0.74 (low,low,5more,more,big,low)
    18    1:unacc    1:unacc       0.998 (med,high,4,2,med,high)
    19    1:unacc     3:good   +   0.789 (low,low,2,more,small,high)
    20    1:unacc    1:unacc       0.999 (high,med,5more,2,small,high)
    21    1:unacc    1:unacc       0.999 (high,vhigh,5more,2,med,low)
    22    1:unacc    1:unacc       0.999 (med,low,2,2,med,low)
    23    1:unacc    1:unacc       0.988 (low,med,2,4,small,low)
    24    1:unacc    1:unacc       0.999 (vhigh,low,4,2,med,med)
    25    1:unacc    1:unacc       0.663 (high,low,4,4,small,med)
    26    1:unacc    1:unacc       0.998 (med,vhigh,3,2,small,low)
    27    1:unacc    1:unacc       0.974 (low,high,4,more,big,low)
    28    1:unacc    1:unacc       0.954 (med,med,4,more,big,low)
    29    1:unacc    1:unacc       0.999 (high,low,5more,2,small,high)
    30    1:unacc    1:unacc       0.999 (med,vhigh,3,2,big,high)
    31    1:unacc    1:unacc       0.995 (med,low,2,2,small,high)
    32    1:unacc    1:unacc       0.982 (med,med,4,2,big,high)
    33    1:unacc    1:unacc       0.982 (low,low,2,4,big,low)
    34    1:unacc    1:unacc       0.992 (low,med,5more,2,small,high)
    35    1:unacc    1:unacc       0.99 (low,med,3,2,med,high)
    36    1:unacc    1:unacc       0.999 (vhigh,low,5more,2,big,low)
    37    1:unacc    1:unacc       0.999 (med,med,3,2,big,med)
    38    1:unacc    1:unacc       0.999 (high,low,5more,2,big,high)
    39    1:unacc    1:unacc       0.998 (low,med,5more,2,small,med)
    40    1:unacc    1:unacc       0.998 (low,high,3,2,small,high)
    41    1:unacc    1:unacc       0.998 (low,high,5more,2,small,high)
    42    1:unacc    1:unacc       0.999 (high,low,5more,2,small,med)
    43    1:unacc    1:unacc       0.998 (high,low,5more,4,small,low)
    44    1:unacc    1:unacc       0.999 (low,med,5more,2,med,low)
    45    1:unacc    1:unacc       0.994 (med,med,3,2,big,high)
    46    1:unacc    1:unacc       0.883 (high,vhigh,5more,more,small,high)
    47    1:unacc    1:unacc       0.997 (high,med,5more,4,small,low)
    48    1:unacc    1:unacc       0.997 (med,vhigh,4,more,med,low)
    49    1:unacc    1:unacc       0.528 (low,vhigh,3,4,med,med)
    50    1:unacc    1:unacc       0.998 (med,high,3,2,small,med)
    51    1:unacc    1:unacc       0.999 (med,low,5more,2,med,low)
    52    1:unacc    1:unacc       0.999 (low,low,3,2,big,low)
    53    1:unacc    1:unacc       0.997 (high,high,2,2,small,low)
    54    1:unacc    1:unacc       0.982 (low,vhigh,2,more,small,med)
    55    1:unacc      2:acc   +   0.567 (low,med,2,more,small,med)
    56    1:unacc    1:unacc       0.997 (med,vhigh,3,4,big,low)
    57    1:unacc    1:unacc       0.692 (high,med,3,4,small,med)
    58    1:unacc    1:unacc       0.999 (low,low,3,2,small,med)
    59    1:unacc    1:unacc       0.998 (med,vhigh,5more,2,small,high)
    60    1:unacc    1:unacc       0.63 (high,med,2,more,small,high)
    61    1:unacc    1:unacc       0.998 (high,low,4,more,big,low)
    62    1:unacc    1:unacc       0.999 (high,med,3,2,med,med)
    63    1:unacc    1:unacc       0.999 (high,high,4,2,med,med)
    64    1:unacc      2:acc   +   0.59 (high,vhigh,2,more,med,high)
    65    1:unacc    1:unacc       0.999 (med,high,5more,2,big,med)
    66    1:unacc    1:unacc       0.984 (med,med,4,more,med,low)
    67    1:unacc    1:unacc       0.998 (high,high,5more,4,big,low)
    68    1:unacc    1:unacc       0.999 (low,high,3,2,med,med)
    69    1:unacc    1:unacc       0.999 (high,low,5more,2,big,low)
    70    1:unacc    1:unacc       0.997 (med,low,3,4,med,low)
    71    1:unacc    1:unacc       0.999 (high,vhigh,3,2,med,med)
    72    1:unacc    1:unacc       0.995 (low,vhigh,4,more,big,low)
    73    1:unacc    1:unacc       0.993 (med,med,2,4,small,low)
    74    1:unacc    1:unacc       0.996 (low,vhigh,5more,4,big,low)
    75    1:unacc    1:unacc       0.998 (med,high,4,4,med,low)
    76    1:unacc      2:acc   +   0.503 (med,high,3,4,med,med)
    77    1:unacc    1:unacc       0.998 (high,low,4,more,small,low)
    78    1:unacc    1:unacc       0.965 (med,med,2,4,big,low)
    79    1:unacc    1:unacc       0.996 (med,high,5more,4,small,low)
    80    1:unacc    1:unacc       0.992 (low,med,3,more,small,low)
    81    1:unacc    1:unacc       0.999 (high,vhigh,5more,2,big,low)
    82    1:unacc      2:acc   +   0.63 (med,vhigh,2,4,med,med)
    83    1:unacc    1:unacc       0.996 (low,low,5more,2,big,med)
    84    1:unacc    1:unacc       0.995 (med,high,2,4,small,low)
    85    1:unacc    1:unacc       0.998 (vhigh,low,4,more,med,low)
    86    1:unacc    1:unacc       0.695 (high,vhigh,5more,4,small,high)
    87    1:unacc    1:unacc       0.996 (med,low,2,4,med,low)
    88    1:unacc    1:unacc       0.999 (high,low,2,2,big,low)
    89    1:unacc    1:unacc       0.998 (med,low,4,4,small,low)
    90    1:unacc    1:unacc       0.657 (high,low,3,more,small,med)
    91    1:unacc    1:unacc       0.992 (med,high,2,2,big,high)
    92    4:vgood    4:vgood       1 (low,med,3,4,big,high)
    93    4:vgood    4:vgood       0.993 (low,low,4,4,big,high)
    94    4:vgood    4:vgood       0.981 (med,low,4,more,med,high)
    95    4:vgood    4:vgood       0.995 (low,low,5more,more,big,high)
    96    4:vgood    4:vgood       0.98 (med,low,5more,more,big,high)
    97    4:vgood    4:vgood       0.867 (low,med,3,more,med,high)
    98      2:acc      2:acc       0.931 (low,vhigh,3,4,med,high)
    99      2:acc      2:acc       0.875 (high,low,5more,more,big,med)
   100      2:acc      2:acc       0.9 (med,low,5more,4,small,med)
   101      2:acc    1:unacc   +   0.759 (low,vhigh,5more,more,small,high)
   102      2:acc      2:acc       0.909 (low,vhigh,4,4,big,med)
   103      2:acc      2:acc       0.647 (med,vhigh,3,more,med,med)
   104      2:acc      2:acc       0.655 (med,med,3,4,med,high)
   105      2:acc      2:acc       0.87 (high,low,4,4,big,high)
   106      2:acc     3:good   +   0.761 (low,low,3,4,med,med)
   107      2:acc      2:acc       0.986 (low,vhigh,3,more,big,high)
   108      2:acc      2:acc       0.828 (high,low,3,more,big,med)
   109      2:acc      2:acc       0.721 (med,high,5more,more,big,high)
   110      2:acc      2:acc       0.955 (high,low,5more,more,med,high)
   111      2:acc      2:acc       0.983 (med,high,4,more,big,med)
   112      2:acc      2:acc       0.58 (low,high,5more,4,med,med)
   113      2:acc      2:acc       0.929 (low,high,5more,more,small,high)
   114      2:acc      2:acc       0.854 (med,high,5more,more,med,med)
   115      2:acc      2:acc       0.819 (high,med,3,4,small,high)
   116      2:acc      2:acc       0.949 (high,high,4,4,big,med)
   117      2:acc      2:acc       0.841 (vhigh,low,3,4,med,high)
   118      2:acc      2:acc       0.832 (vhigh,low,5more,more,big,high)
   119      2:acc      2:acc       0.675 (med,vhigh,4,more,small,high)
   120      2:acc      2:acc       0.912 (low,high,2,4,small,high)
   121      2:acc    1:unacc   +   0.684 (low,high,3,more,small,med)
   122      2:acc      2:acc       0.969 (low,high,5more,4,small,high)
   123      2:acc      2:acc       0.897 (med,high,4,more,big,high)
   124      2:acc      2:acc       0.735 (high,med,4,more,big,med)
   125      2:acc    4:vgood   +   0.512 (low,high,3,4,med,high)
   126      2:acc      2:acc       0.975 (med,vhigh,3,more,med,high)
   127      2:acc      2:acc       0.701 (low,vhigh,5more,4,big,med)
   128      2:acc      2:acc       0.955 (vhigh,low,4,more,small,high)
   129      2:acc      2:acc       0.978 (high,low,3,more,big,high)
   130      2:acc      2:acc       0.933 (vhigh,low,5more,4,big,med)
   131      2:acc      2:acc       0.556 (high,low,5more,4,big,med)
   132      2:acc     3:good   +   0.937 (vhigh,low,3,4,small,high)
   133     3:good     3:good       0.686 (low,med,3,4,big,med)
   134     3:good     3:good       1 (low,low,3,4,small,high)
   135     3:good     3:good       0.887 (low,low,5more,more,small,high)
   136     3:good     3:good       0.96 (med,low,4,more,big,med)
   137     3:good      2:acc   +   0.936 (med,low,5more,more,small,high)
   138     3:good      2:acc   +   0.875 (med,low,5more,4,med,med)
   139     3:good     3:good       0.974 (med,low,2,4,small,high)
     1    1:unacc    1:unacc       0.982 (med,med,5more,4,med,low)
     2    1:unacc    1:unacc       0.996 (med,high,3,more,big,low)
     3    1:unacc      2:acc   +   0.73 (high,vhigh,4,4,big,high)
     4    1:unacc    1:unacc       0.988 (low,vhigh,3,2,med,high)
     5    1:unacc    1:unacc       0.995 (low,low,2,4,small,low)
     6    1:unacc    1:unacc       0.997 (med,low,3,2,big,med)
     7    1:unacc    1:unacc       0.996 (med,med,4,2,small,med)
     8    1:unacc    1:unacc       0.993 (high,vhigh,5more,2,med,high)
     9    1:unacc    1:unacc       0.921 (low,high,3,2,big,high)
    10    1:unacc    1:unacc       0.996 (med,high,2,2,big,low)
    11    1:unacc    1:unacc       0.998 (high,low,4,2,med,med)
    12    1:unacc    1:unacc       0.997 (med,low,3,2,small,high)
    13    1:unacc    1:unacc       0.99 (med,high,3,2,big,high)
    14    1:unacc    1:unacc       0.99 (med,vhigh,2,more,big,low)
    15    1:unacc      2:acc   +   0.812 (high,high,5more,more,small,med)
    16    1:unacc    1:unacc       0.983 (med,med,2,2,big,high)
    17    1:unacc    1:unacc       0.882 (med,med,5more,2,med,high)
    18    1:unacc    1:unacc       0.998 (high,high,4,2,big,low)
    19    1:unacc    1:unacc       0.998 (high,vhigh,3,2,big,high)
    20    1:unacc    1:unacc       0.981 (low,vhigh,2,2,big,high)
    21    1:unacc      2:acc   +   0.62 (low,low,5more,2,big,high)
    22    1:unacc    1:unacc       0.983 (low,vhigh,2,2,med,med)
    23    1:unacc    1:unacc       0.969 (low,high,4,more,med,low)
    24    1:unacc    1:unacc       0.982 (low,vhigh,4,2,med,med)
    25    1:unacc    1:unacc       0.996 (med,low,3,more,med,low)
    26    1:unacc    1:unacc       0.992 (med,vhigh,4,2,small,low)
    27    1:unacc    1:unacc       0.95 (low,med,5more,4,big,low)
    28    1:unacc    1:unacc       0.998 (high,med,3,2,med,high)
    29    1:unacc    1:unacc       0.64 (high,vhigh,5more,4,small,med)
    30    1:unacc    1:unacc       0.996 (high,vhigh,4,2,big,high)
    31    1:unacc    1:unacc       0.988 (low,low,4,4,med,low)
    32    1:unacc    1:unacc       0.996 (med,high,4,2,small,med)
    33    1:unacc    1:unacc       0.785 (low,med,4,2,big,high)
    34    1:unacc    1:unacc       0.989 (low,high,2,2,med,med)
    35    1:unacc    1:unacc       0.977 (med,low,5more,2,med,high)
    36    1:unacc    1:unacc       0.633 (med,high,3,more,small,med)
    37    1:unacc    1:unacc       0.989 (med,vhigh,4,4,big,low)
    38    1:unacc    1:unacc       0.987 (med,high,5more,4,med,low)
    39    1:unacc    1:unacc       0.998 (vhigh,low,4,2,med,low)
    40    1:unacc    1:unacc       0.998 (med,low,4,2,small,low)
    41    1:unacc    1:unacc       0.996 (med,high,4,2,small,low)
    42    1:unacc    1:unacc       0.984 (low,vhigh,2,2,small,low)
    43    1:unacc    1:unacc       0.993 (low,low,2,2,big,med)
    44    1:unacc    1:unacc       0.951 (low,low,3,4,big,low)
    45    1:unacc    1:unacc       0.996 (low,high,3,2,small,low)
    46    1:unacc    1:unacc       0.998 (med,med,3,2,small,low)
    47    1:unacc    1:unacc       0.966 (low,low,5more,more,med,low)
    48    1:unacc    1:unacc       0.995 (med,low,3,2,med,high)
    49    1:unacc    1:unacc       0.99 (low,high,2,2,med,low)
    50    1:unacc    1:unacc       0.998 (high,low,3,more,small,low)
    51    1:unacc    1:unacc       0.992 (med,low,3,4,big,low)
    52    1:unacc    1:unacc       0.998 (vhigh,low,3,2,big,med)
    53    1:unacc    1:unacc       0.998 (high,high,4,more,small,low)
    54    1:unacc      2:acc   +   0.556 (high,vhigh,4,4,big,med)
    55    1:unacc    1:unacc       0.997 (high,vhigh,2,more,med,low)
    56    1:unacc    1:unacc       0.944 (low,high,4,2,med,high)
    57    1:unacc      2:acc   +   0.937 (med,vhigh,2,more,med,med)
    58    1:unacc    1:unacc       0.995 (med,low,3,more,big,low)
    59    1:unacc    1:unacc       0.807 (med,med,2,more,small,med)
    60    1:unacc    1:unacc       0.985 (med,vhigh,5more,2,big,low)
    61    1:unacc    1:unacc       0.998 (high,high,3,2,med,high)
    62    1:unacc    1:unacc       0.998 (high,low,4,more,med,low)
    63    1:unacc    1:unacc       0.99 (low,high,4,more,small,low)
    64    1:unacc    1:unacc       0.994 (high,med,5more,2,med,high)
    65    1:unacc    1:unacc       0.989 (med,high,4,more,med,low)
    66    1:unacc    1:unacc       0.789 (high,high,2,4,small,med)
    67    1:unacc    1:unacc       0.658 (low,high,2,more,small,med)
    68    1:unacc    1:unacc       0.977 (low,high,4,4,big,low)
    69    1:unacc    1:unacc       0.737 (high,vhigh,2,4,big,med)
    70    1:unacc    1:unacc       0.972 (med,med,5more,more,big,low)
    71    1:unacc    1:unacc       0.998 (med,med,3,2,big,low)
    72    1:unacc    1:unacc       0.997 (vhigh,low,4,2,med,high)
    73    1:unacc      2:acc   +   0.938 (med,high,2,more,med,med)
    74    1:unacc      2:acc   +   0.572 (high,vhigh,4,more,med,high)
    75    1:unacc    1:unacc       0.989 (med,med,4,4,med,low)
    76    1:unacc    1:unacc       0.971 (low,high,5more,more,big,low)
    77    1:unacc    1:unacc       0.998 (vhigh,low,3,4,med,low)
    78    1:unacc    1:unacc       0.998 (high,high,2,2,med,low)
    79    1:unacc    1:unacc       0.997 (high,low,5more,4,med,low)
    80    1:unacc    1:unacc       0.987 (low,med,4,more,small,low)
    81    1:unacc    1:unacc       0.995 (med,high,2,2,small,high)
    82    1:unacc    1:unacc       0.992 (med,low,5more,2,med,med)
    83    1:unacc    1:unacc       0.998 (high,low,3,more,big,low)
    84    1:unacc    1:unacc       0.997 (high,vhigh,4,2,small,low)
    85    1:unacc    1:unacc       0.998 (vhigh,low,4,2,small,med)
    86    1:unacc    1:unacc       0.998 (high,low,2,4,small,low)
    87    1:unacc    1:unacc       0.997 (high,med,2,4,big,low)
    88    1:unacc    1:unacc       0.987 (low,low,5more,more,small,low)
    89    1:unacc    1:unacc       0.998 (high,med,2,2,small,med)
    90    1:unacc    1:unacc       0.998 (high,vhigh,3,2,med,low)
    91    1:unacc    1:unacc       0.997 (high,vhigh,4,2,small,high)
    92    4:vgood    4:vgood       0.999 (med,med,5more,more,big,high)
    93    4:vgood    4:vgood       0.999 (low,low,4,more,big,high)
    94    4:vgood      2:acc   +   0.803 (low,high,4,4,med,high)
    95    4:vgood    4:vgood       0.67 (low,low,5more,more,med,high)
    96    4:vgood    4:vgood       0.989 (med,low,4,more,big,high)
    97    4:vgood    4:vgood       0.966 (low,low,4,more,med,high)
    98      2:acc      2:acc       0.885 (vhigh,low,5more,more,big,med)
    99      2:acc      2:acc       0.88 (vhigh,low,5more,4,med,med)
   100      2:acc      2:acc       0.911 (low,vhigh,3,4,big,med)
   101      2:acc      2:acc       0.815 (high,high,3,4,med,high)
   102      2:acc      2:acc       0.671 (high,med,2,4,small,high)
   103      2:acc      2:acc       0.964 (med,vhigh,3,4,big,high)
   104      2:acc      2:acc       0.919 (high,med,4,more,big,high)
   105      2:acc      2:acc       0.941 (vhigh,low,4,more,med,high)
   106      2:acc      2:acc       0.807 (high,med,5more,4,big,med)
   107      2:acc      2:acc       0.841 (vhigh,low,5more,more,med,high)
   108      2:acc      2:acc       0.506 (low,low,3,more,small,med)
   109      2:acc      2:acc       0.633 (high,med,4,more,small,high)
   110      2:acc    1:unacc   +   0.657 (low,vhigh,5more,more,med,med)
   111      2:acc      2:acc       0.897 (low,high,2,more,med,med)
   112      2:acc      2:acc       0.727 (high,high,2,4,med,high)
   113      2:acc      2:acc       0.61 (high,low,3,4,med,high)
   114      2:acc      2:acc       0.726 (low,vhigh,2,more,big,high)
   115      2:acc      2:acc       0.804 (vhigh,low,4,4,big,med)
   116      2:acc    1:unacc   +   0.716 (med,med,3,4,small,med)
   117      2:acc      2:acc       0.804 (high,med,2,more,big,high)
   118      2:acc      2:acc       0.932 (low,high,3,more,small,high)
   119      2:acc      2:acc       0.915 (low,high,4,more,small,high)
   120      2:acc      2:acc       0.678 (high,med,3,4,med,high)
   121      2:acc    1:unacc   +   0.77 (med,med,3,more,small,med)
   122      2:acc      2:acc       0.934 (low,high,3,more,big,med)
   123      2:acc      2:acc       0.925 (med,high,5more,4,big,med)
   124      2:acc      2:acc       0.924 (high,med,5more,more,big,high)
   125      2:acc      2:acc       0.554 (low,high,4,more,small,med)
   126      2:acc      2:acc       0.85 (high,high,4,more,med,high)
   127      2:acc      2:acc       0.88 (low,vhigh,4,more,big,med)
   128      2:acc      2:acc       0.913 (med,high,2,more,big,med)
   129      2:acc      2:acc       0.928 (high,med,5more,4,small,high)
   130      2:acc    1:unacc   +   0.577 (high,high,2,4,big,med)
   131      2:acc    1:unacc   +   0.629 (high,low,2,more,med,high)
   132      2:acc    1:unacc   +   0.728 (med,vhigh,2,4,small,high)
   133     3:good      2:acc   +   0.483 (med,low,3,4,med,high)
   134     3:good    4:vgood   +   0.781 (low,low,3,4,med,high)
