

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square)
    53 1:positive 1:positive       0.879 (o,x,x,b,x,o,x,o,b)
    54 1:positive 1:positive       0.865 (o,b,x,b,b,x,b,o,x)
    55 1:positive 1:positive       0.769 (x,b,o,o,x,o,b,x,x)
    56 1:positive 2:negative   +   0.599 (o,b,b,o,o,x,x,x,x)
    57 1:positive 1:positive       0.645 (b,x,o,o,x,x,b,x,o)
    58 1:positive 1:positive       0.896 (o,b,o,x,x,x,x,b,o)
    59 1:positive 1:positive       0.754 (o,x,x,o,b,x,b,o,x)
    60 1:positive 1:positive       0.84 (o,x,x,b,x,o,b,x,o)
    61 1:positive 2:negative   +   0.585 (b,b,o,b,o,b,x,x,x)
    62 1:positive 1:positive       0.9 (o,b,x,b,x,o,x,b,b)
    63 1:positive 1:positive       0.872 (x,b,o,x,x,b,x,o,o)
    64 1:positive 1:positive       0.526 (o,o,x,x,x,x,o,x,o)
    65 1:positive 1:positive       0.931 (x,b,b,o,x,b,o,b,x)
    66 1:positive 1:positive       0.772 (x,b,b,x,o,o,x,b,b)
    67 1:positive 1:positive       0.912 (b,o,x,b,x,o,x,b,b)
    68 1:positive 1:positive       0.944 (x,b,b,o,x,o,x,o,x)
    69 1:positive 1:positive       0.65 (x,o,b,o,b,o,x,x,x)
    70 1:positive 1:positive       0.912 (o,b,x,o,x,b,x,o,x)
    71 1:positive 1:positive       0.889 (o,b,x,o,x,o,x,x,b)
    72 1:positive 1:positive       0.913 (b,o,b,o,x,o,x,x,x)
    73 1:positive 1:positive       0.877 (b,o,x,b,x,x,x,o,o)
    74 1:positive 2:negative   +   0.874 (x,o,b,x,o,o,x,x,b)
    75 1:positive 1:positive       0.948 (x,b,o,b,x,o,x,o,x)
    76 1:positive 2:negative   +   0.729 (o,x,x,o,o,x,b,b,x)
    77 1:positive 1:positive       0.8 (b,o,o,x,x,x,x,b,o)
     1 2:negative 2:negative       0.967 (x,x,o,b,o,o,x,x,o)
     2 2:negative 2:negative       0.596 (o,b,x,b,o,x,b,x,o)
     3 2:negative 2:negative       0.854 (o,o,x,x,o,b,x,x,o)
     4 2:negative 1:positive   +   0.617 (o,b,o,x,x,o,x,x,o)
     5 2:negative 2:negative       0.682 (o,x,b,o,x,b,o,b,x)
     6 2:negative 2:negative       0.903 (b,x,o,x,o,b,o,b,x)
     7 2:negative 1:positive   +   0.79 (o,o,o,b,x,x,x,x,o)
     8 2:negative 2:negative       0.765 (o,x,x,b,o,x,b,b,o)
     9 2:negative 1:positive   +   0.582 (o,x,x,x,x,o,o,o,x)
    10 2:negative 2:negative       0.804 (o,x,x,o,o,b,o,x,x)
    11 2:negative 2:negative       0.558 (o,o,o,x,x,b,x,x,o)
    12 2:negative 2:negative       0.958 (x,x,o,o,o,x,x,x,o)
    13 2:negative 2:negative       0.589 (o,b,b,x,o,x,x,b,o)
    14 2:negative 2:negative       0.87 (o,b,o,x,o,x,o,x,x)
    15 2:negative 1:positive   +   0.509 (b,x,x,o,o,o,x,x,o)
    16 2:negative 2:negative       0.736 (b,b,o,x,o,b,o,x,x)
    17 2:negative 1:positive   +   0.526 (o,x,x,o,b,x,o,x,o)
    18 2:negative 1:positive   +   0.858 (b,b,o,b,x,o,x,x,o)
    19 2:negative 2:negative       0.616 (b,b,o,x,o,x,o,b,x)
    20 2:negative 2:negative       0.952 (x,o,o,b,o,x,o,x,x)
    21 2:negative 2:negative       0.806 (o,x,x,o,o,x,o,x,b)
    22 2:negative 2:negative       0.713 (x,o,o,b,x,o,x,x,o)
    23 2:negative 2:negative       0.914 (o,x,x,x,o,x,b,o,o)
    24 2:negative 1:positive   +   0.806 (b,b,x,b,x,x,o,o,o)
    25 2:negative 2:negative       0.882 (o,x,o,x,o,x,x,o,x)
    26 2:negative 2:negative       0.701 (b,x,o,x,b,o,x,b,o)
    27 2:negative 2:negative       0.712 (o,x,x,o,b,b,o,b,x)
    28 2:negative 2:negative       0.952 (x,x,o,o,o,x,x,o,x)
    29 2:negative 2:negative       0.76 (x,b,o,x,o,o,o,x,x)
    30 2:negative 2:negative       0.931 (b,x,o,x,o,o,x,x,o)
    31 2:negative 2:negative       0.816 (x,b,x,o,o,o,b,x,b)
    32 2:negative 2:negative       0.588 (b,o,o,x,o,x,x,o,x)
    33 2:negative 2:negative       0.641 (o,x,x,x,x,b,o,o,o)
    34 2:negative 2:negative       0.97 (x,x,o,x,o,o,o,x,b)
    35 1:positive 1:positive       0.875 (b,o,b,x,x,x,o,b,b)
    36 1:positive 1:positive       0.862 (x,b,b,x,b,b,x,o,o)
    37 1:positive 1:positive       0.884 (x,b,x,b,x,o,x,o,o)
    38 1:positive 1:positive       0.762 (b,x,o,o,x,x,o,x,b)
    39 1:positive 1:positive       0.933 (x,o,b,o,x,o,x,b,x)
    40 1:positive 1:positive       0.51 (o,o,b,x,x,x,b,x,o)
    41 1:positive 2:negative   +   0.771 (o,x,b,b,o,o,x,x,x)
    42 1:positive 1:positive       0.84 (o,b,b,x,x,x,x,o,o)
    43 1:positive 1:positive       0.615 (o,x,b,b,x,o,o,x,x)
    44 1:positive 1:positive       0.924 (o,o,x,o,x,b,x,x,b)
    45 1:positive 2:negative   +   0.866 (o,x,x,x,o,x,o,o,x)
    46 1:positive 1:positive       0.811 (o,b,o,b,b,b,x,x,x)
    47 1:positive 1:positive       0.917 (b,o,o,b,x,o,x,x,x)
    48 1:positive 1:positive       0.921 (b,b,x,o,x,b,x,b,o)
    49 1:positive 1:positive       0.772 (o,o,x,b,o,b,x,x,x)
    50 1:positive 2:negative   +   0.573 (b,o,b,x,x,x,o,x,o)
    51 1:positive 2:negative   +   0.53 (x,b,b,x,o,x,x,o,o)
    52 1:positive 2:negative   +   0.684 (o,x,o,x,x,x,x,o,o)
    53 1:positive 2:negative   +   0.725 (x,b,o,x,o,x,x,o,b)
    54 1:positive 1:positive       0.913 (x,o,b,b,x,b,b,o,x)
    55 1:positive 1:positive       0.89 (o,o,x,o,x,b,x,b,x)
    56 1:positive 1:positive       0.72 (o,x,o,b,x,b,x,x,o)
    57 1:positive 1:positive       0.909 (o,b,x,o,x,b,x,x,o)
    58 1:positive 2:negative   +   0.631 (o,x,o,x,x,b,o,x,b)
    59 1:positive 1:positive       0.544 (o,b,x,b,o,x,b,b,x)
    60 1:positive 2:negative   +   0.669 (x,o,b,x,b,o,x,x,o)
    61 1:positive 1:positive       0.772 (x,b,o,x,b,b,x,o,b)
    62 1:positive 1:positive       0.776 (b,b,o,x,x,x,b,o,b)
    63 1:positive 1:positive       0.918 (b,o,x,b,x,b,x,o,b)
    64 1:positive 1:positive       0.827 (b,o,o,x,x,x,b,o,x)
    65 1:positive 1:positive       0.908 (o,o,x,b,x,o,x,x,b)
    66 1:positive 1:positive       0.871 (o,o,x,b,b,x,b,b,x)
    67 1:positive 2:negative   +   0.887 (o,x,o,x,o,o,x,x,x)
    68 1:positive 1:positive       0.658 (b,x,x,o,o,x,b,o,x)
    69 1:positive 1:positive       0.704 (o,b,x,x,x,x,o,b,o)
    70 1:positive 1:positive       0.83 (o,o,x,x,x,x,b,b,o)
    71 1:positive 1:positive       0.836 (b,b,b,x,x,x,b,o,o)
    72 1:positive 1:positive       0.792 (o,b,o,x,x,x,b,b,b)
    73 1:positive 1:positive       0.879 (o,b,x,b,x,o,x,x,o)
    74 1:positive 1:positive       0.933 (b,o,x,o,x,o,x,x,b)
    75 1:positive 2:negative   +   0.772 (o,x,o,x,x,x,o,x,o)
    76 1:positive 1:positive       0.528 (o,x,b,o,b,o,x,x,x)
    77 1:positive 1:positive       0.759 (o,x,x,b,x,b,o,x,o)
     1 2:negative 2:negative       0.764 (b,b,x,o,o,o,x,x,b)
     2 2:negative 2:negative       0.839 (o,x,o,x,b,o,x,x,o)
     3 2:negative 1:positive   +   0.592 (x,o,x,x,x,b,o,o,o)
     4 2:negative 2:negative       0.905 (x,x,o,b,x,x,o,o,o)
     5 2:negative 2:negative       0.946 (x,x,o,b,o,x,o,x,o)
     6 2:negative 1:positive   +   0.924 (o,o,o,b,x,b,b,x,x)
     7 2:negative 2:negative       0.728 (b,x,x,b,b,x,o,o,o)
     8 2:negative 2:negative       0.923 (o,x,x,o,o,o,x,b,x)
     9 2:negative 2:negative       0.907 (b,x,o,b,o,x,o,x,b)
    10 2:negative 1:positive   +   0.769 (o,o,o,x,x,b,x,o,x)
    11 2:negative 2:negative       0.76 (x,x,o,b,x,o,x,o,o)
    12 2:negative 2:negative       0.512 (o,o,o,b,x,x,o,x,x)
    13 2:negative 2:negative       0.94 (o,x,b,x,o,x,o,x,o)
    14 2:negative 1:positive   +   0.624 (b,o,x,x,o,x,x,o,o)
    15 2:negative 1:positive   +   0.801 (x,b,b,b,x,x,o,o,o)
    16 2:negative 2:negative       0.911 (x,x,b,x,b,b,o,o,o)
    17 2:negative 2:negative       0.89 (b,x,x,o,o,o,x,b,b)
    18 2:negative 2:negative       0.805 (x,x,o,o,o,o,x,b,x)
    19 2:negative 1:positive   +   0.884 (o,b,b,o,x,x,o,b,x)
    20 2:negative 1:positive   +   0.759 (x,x,o,o,b,o,x,x,o)
    21 2:negative 1:positive   +   0.873 (o,o,o,b,x,b,x,b,x)
    22 2:negative 1:positive   +   0.657 (o,b,x,o,x,b,o,x,b)
    23 2:negative 2:negative       0.76 (o,b,b,x,o,b,x,x,o)
    24 2:negative 2:negative       0.909 (x,o,o,x,o,b,o,x,x)
    25 2:negative 2:negative       0.939 (x,x,o,x,o,b,o,b,b)
    26 2:negative 1:positive   +   0.569 (o,x,b,o,b,x,o,x,b)
    27 2:negative 1:positive   +   0.689 (o,o,b,x,o,x,x,o,x)
    28 2:negative 2:negative       0.707 (x,o,x,x,o,x,b,o,o)
    29 2:negative 2:negative       0.9 (x,o,x,o,o,o,x,x,b)
    30 2:negative 1:positive   +   0.594 (o,x,b,o,x,x,o,b,b)
    31 2:negative 1:positive   +   0.503 (o,b,x,o,b,x,o,x,b)
    32 2:negative 2:negative       0.899 (o,o,x,x,o,x,b,x,o)
    33 2:negative 1:positive   +   0.713 (o,o,x,x,x,o,o,x,x)
    34 1:positive 1:positive       0.889 (o,o,x,o,x,x,b,b,x)
    35 1:positive 2:negative   +   0.799 (o,b,o,x,x,x,b,x,o)
    36 1:positive 2:negative   +   0.896 (o,x,o,x,x,x,b,b,o)
    37 1:positive 2:negative   +   0.534 (o,x,x,o,x,o,x,b,b)
    38 1:positive 1:positive       0.837 (o,b,x,o,x,o,x,b,x)
    39 1:positive 1:positive       0.935 (o,x,b,b,x,o,x,x,o)
    40 1:positive 1:positive       0.95 (o,x,b,o,x,b,x,x,o)
    41 1:positive 2:negative   +   0.727 (b,b,x,o,o,x,o,x,x)
    42 1:positive 2:negative   +   0.542 (o,b,x,o,b,o,x,x,x)
    43 1:positive 1:positive       0.764 (o,o,x,x,b,x,o,b,x)
    44 1:positive 1:positive       0.886 (o,x,x,o,x,b,b,x,o)
    45 1:positive 1:positive       0.933 (b,o,x,o,x,b,x,x,o)
    46 1:positive 1:positive       0.805 (b,o,x,x,x,x,o,b,o)
    47 1:positive 2:negative   +   0.773 (x,b,o,x,o,b,x,b,b)
    48 1:positive 1:positive       0.644 (b,b,o,o,o,x,x,x,x)
    49 1:positive 1:positive       0.903 (o,b,x,x,x,x,o,o,b)
    50 1:positive 1:positive       0.575 (o,x,o,x,x,o,b,x,b)
    51 1:positive 1:positive       0.893 (b,o,x,o,x,b,x,b,b)
    52 1:positive 1:positive       0.605 (x,b,x,o,o,x,b,o,x)
    53 1:positive 1:positive       0.876 (b,b,x,o,b,x,o,b,x)
    54 1:positive 1:positive       0.889 (o,o,x,b,b,x,x,o,x)
    55 1:positive 1:positive       0.875 (o,x,x,o,x,o,x,x,o)
    56 1:positive 2:negative   +   0.76 (o,o,x,o,o,x,x,x,x)
    57 1:positive 1:positive       0.532 (o,x,o,x,x,o,o,x,x)
    58 1:positive 1:positive       0.946 (b,o,b,b,b,o,x,x,x)
    59 1:positive 1:positive       0.9 (o,o,x,x,x,o,x,b,b)
    60 1:positive 2:negative   +   0.821 (o,x,b,x,x,x,o,b,o)
    61 1:positive 1:positive       0.881 (b,b,b,b,o,o,x,x,x)
    62 1:positive 2:negative   +   0.704 (o,o,x,x,o,o,x,x,x)
    63 1:positive 2:negative   +   0.834 (o,o,x,x,o,x,o,x,x)
    64 1:positive 1:positive       0.842 (o,o,b,x,x,x,o,b,x)
    65 1:positive 2:negative   +   0.926 (x,b,o,x,o,b,x,x,o)
    66 1:positive 1:positive       0.922 (o,b,x,o,x,x,x,o,b)
    67 1:positive 1:positive       0.774 (o,o,b,x,x,x,x,b,o)
    68 1:positive 1:positive       0.672 (o,b,x,x,o,x,o,b,x)
    69 1:positive 1:positive       0.881 (x,o,b,o,x,o,b,x,x)
    70 1:positive 1:positive       0.909 (b,b,x,o,b,x,b,o,x)
    71 1:positive 1:positive       0.86 (o,b,x,o,b,x,b,b,x)
    72 1:positive 1:positive       0.943 (o,b,o,o,x,b,x,x,x)
    73 1:positive 1:positive       0.763 (o,x,o,o,x,x,b,x,b)
    74 1:positive 1:positive       0.913 (o,o,x,x,x,o,x,o,x)
    75 1:positive 2:negative   +   0.646 (o,x,x,o,x,o,x,o,x)
    76 1:positive 2:negative   +   0.687 (o,o,x,b,o,x,b,x,x)
    77 1:positive 1:positive       0.81 (x,b,o,x,b,o,x,o,x)
     1 2:negative 2:negative       0.873 (x,b,o,o,o,x,o,x,x)
     2 2:negative 1:positive   +   0.784 (o,o,o,x,x,o,x,b,x)
     3 2:negative 1:positive   +   0.817 (b,x,x,o,o,o,x,o,x)
     4 2:negative 1:positive   +   0.704 (b,b,x,x,x,b,o,o,o)
     5 2:negative 1:positive   +   0.605 (x,b,o,b,x,o,x,b,o)
     6 2:negative 2:negative       0.808 (o,x,o,x,o,x,b,x,o)
     7 2:negative 2:negative       0.807 (x,b,o,b,o,x,o,x,b)
     8 2:negative 2:negative       0.605 (o,b,x,x,o,b,x,b,o)
     9 2:negative 2:negative       0.927 (x,x,o,x,b,x,o,o,o)
    10 2:negative 1:positive   +   0.773 (x,o,x,o,o,x,x,o,b)
    11 2:negative 1:positive   +   0.734 (o,b,b,o,b,x,o,x,x)
    12 2:negative 1:positive   +   0.589 (o,o,x,x,o,b,x,o,x)
    13 2:negative 1:positive   +   0.748 (b,o,x,x,o,b,x,o,b)
    14 2:negative 2:negative       0.915 (x,x,o,b,x,o,b,b,o)
    15 2:negative 1:positive   +   0.873 (o,o,x,o,x,b,o,x,x)
    16 2:negative 2:negative       0.841 (x,b,o,x,o,x,o,x,o)
    17 2:negative 2:negative       0.957 (x,x,o,x,o,b,o,x,o)
    18 2:negative 2:negative       0.684 (o,x,x,o,o,o,b,x,x)
    19 2:negative 2:negative       0.597 (o,b,x,x,o,x,x,o,o)
    20 2:negative 2:negative       0.847 (o,x,b,x,o,b,b,x,o)
    21 2:negative 2:negative       0.584 (b,b,x,x,b,x,o,o,o)
    22 2:negative 2:negative       0.517 (o,b,b,b,o,x,x,x,o)
    23 2:negative 1:positive   +   0.53 (x,o,x,b,x,x,o,o,o)
    24 2:negative 1:positive   +   0.834 (x,o,x,b,o,b,b,o,x)
    25 2:negative 2:negative       0.878 (x,o,o,b,o,x,x,o,x)
    26 2:negative 1:positive   +   0.554 (o,b,x,o,o,x,x,x,o)
    27 2:negative 2:negative       0.864 (x,b,x,o,o,o,o,x,x)
    28 2:negative 2:negative       0.949 (x,x,b,o,o,o,o,x,x)
    29 2:negative 1:positive   +   0.784 (x,b,b,o,o,o,b,x,x)
    30 2:negative 2:negative       0.936 (x,x,o,x,o,b,o,o,x)
    31 2:negative 2:negative       0.521 (o,o,o,b,x,b,x,x,b)
    32 2:negative 2:negative       0.822 (x,o,o,x,o,x,o,b,x)
    33 2:negative 2:negative       0.806 (b,x,x,o,x,x,o,o,o)
    34 1:positive 1:positive       0.753 (o,x,o,x,x,x,b,o,b)
    35 1:positive 1:positive       0.868 (b,x,o,x,x,x,o,o,b)
    36 1:positive 1:positive       0.846 (b,o,b,x,x,x,o,o,x)
    37 1:positive 1:positive       0.943 (x,b,x,o,x,o,x,o,b)
    38 1:positive 1:positive       0.934 (o,o,x,b,x,b,x,b,b)
    39 1:positive 1:positive       0.725 (o,x,o,b,x,b,o,x,x)
    40 1:positive 1:positive       0.606 (o,x,x,b,x,o,x,b,o)
    41 1:positive 1:positive       0.641 (b,x,o,b,x,o,b,x,b)
    42 1:positive 1:positive       0.945 (x,o,b,b,x,o,b,b,x)
    43 1:positive 1:positive       0.92 (o,o,x,o,x,x,x,b,b)
    44 1:positive 1:positive       0.798 (b,x,b,o,x,o,x,x,o)
    45 1:positive 1:positive       0.672 (b,o,b,b,o,b,x,x,x)
    46 1:positive 1:positive       0.646 (b,x,o,o,x,o,x,x,b)
    47 1:positive 1:positive       0.943 (o,o,x,o,b,b,x,x,x)
    48 1:positive 1:positive       0.678 (o,o,b,o,b,x,x,x,x)
    49 1:positive 2:negative   +   0.878 (x,b,o,x,o,o,x,x,b)
    50 1:positive 1:positive       0.883 (o,b,x,o,o,x,x,b,x)
    51 1:positive 1:positive       0.946 (x,b,x,o,x,o,b,o,x)
    52 1:positive 1:positive       0.957 (x,o,b,b,x,o,x,o,x)
    53 1:positive 2:negative   +   0.88 (b,o,o,b,o,x,x,x,x)
    54 1:positive 1:positive       0.889 (x,b,b,b,x,b,o,o,x)
    55 1:positive 1:positive       0.892 (x,b,o,b,x,b,b,o,x)
    56 1:positive 1:positive       0.669 (b,x,o,b,x,b,b,x,o)
    57 1:positive 1:positive       0.93 (b,b,x,b,x,o,x,b,o)
    58 1:positive 1:positive       0.784 (b,o,x,b,b,x,o,b,x)
    59 1:positive 1:positive       0.935 (b,o,x,o,x,x,x,b,o)
    60 1:positive 1:positive       0.913 (x,o,b,o,x,x,b,o,x)
    61 1:positive 1:positive       0.95 (b,o,x,x,x,o,x,o,b)
    62 1:positive 2:negative   +   0.825 (b,x,x,b,o,x,o,o,x)
    63 1:positive 1:positive       0.675 (o,x,o,x,x,b,b,x,o)
    64 1:positive 1:positive       0.893 (o,o,x,b,x,x,x,o,b)
    65 1:positive 2:negative   +   0.895 (o,x,o,o,o,x,x,x,x)
    66 1:positive 1:positive       0.946 (o,o,b,b,x,o,x,x,x)
    67 1:positive 1:positive       0.796 (o,o,b,x,x,x,b,b,b)
    68 1:positive 2:negative   +   0.891 (b,x,x,b,x,o,o,x,o)
    69 1:positive 1:positive       0.848 (x,o,b,b,x,b,o,b,x)
    70 1:positive 1:positive       0.558 (x,o,b,x,b,x,x,o,o)
    71 1:positive 2:negative   +   0.716 (x,b,o,x,b,x,x,o,o)
    72 1:positive 1:positive       0.51 (o,x,x,x,x,o,x,o,o)
    73 1:positive 1:positive       0.703 (b,x,x,o,x,o,x,b,o)
    74 1:positive 1:positive       0.805 (o,x,o,b,x,x,o,x,b)
    75 1:positive 1:positive       0.823 (x,o,b,o,o,b,x,x,x)
    76 1:positive 1:positive       0.616 (b,x,b,o,x,x,o,x,o)
    77 1:positive 1:positive       0.875 (b,b,x,b,o,x,b,o,x)
     1 2:negative 1:positive   +   0.524 (b,x,x,x,x,o,o,o,o)
     2 2:negative 2:negative       0.939 (x,x,o,b,o,x,o,o,x)
     3 2:negative 2:negative       0.899 (x,o,x,x,o,b,o,o,x)
     4 2:negative 2:negative       0.844 (x,x,b,o,o,o,x,x,o)
     5 2:negative 2:negative       0.777 (o,x,x,o,b,x,o,b,b)
     6 2:negative 1:positive   +   0.544 (o,b,x,o,x,o,o,x,x)
     7 2:negative 1:positive   +   0.608 (o,x,x,o,x,b,o,o,x)
     8 2:negative 1:positive   +   0.793 (b,o,b,b,o,x,x,o,x)
     9 2:negative 2:negative       0.903 (b,x,o,x,o,b,o,x,b)
    10 2:negative 1:positive   +   0.548 (o,o,o,x,x,o,x,x,b)
    11 2:negative 1:positive   +   0.627 (o,o,o,x,x,o,b,x,x)
    12 2:negative 2:negative       0.728 (x,o,o,o,x,x,x,x,o)
    13 2:negative 1:positive   +   0.73 (o,x,o,o,x,x,o,b,x)
    14 2:negative 1:positive   +   0.557 (b,b,x,o,o,o,b,x,x)
    15 2:negative 2:negative       0.898 (o,b,x,x,o,x,o,x,o)
    16 2:negative 2:negative       0.856 (o,o,o,x,b,x,x,x,o)
    17 2:negative 2:negative       0.814 (x,b,o,x,o,x,o,o,x)
    18 2:negative 2:negative       0.675 (x,o,b,o,o,x,x,o,x)
    19 2:negative 2:negative       0.593 (o,x,o,o,b,x,o,x,x)
    20 2:negative 2:negative       0.661 (x,b,x,x,b,b,o,o,o)
    21 2:negative 2:negative       0.891 (x,o,x,x,b,x,o,o,o)
    22 2:negative 1:positive   +   0.918 (o,o,o,o,x,x,x,b,x)
    23 2:negative 1:positive   +   0.606 (x,b,x,o,o,o,x,o,x)
    24 2:negative 1:positive   +   0.542 (x,o,x,o,x,x,o,x,o)
    25 2:negative 2:negative       0.891 (o,x,o,b,o,x,o,x,x)
    26 2:negative 1:positive   +   0.736 (o,x,b,o,x,x,o,o,x)
    27 2:negative 2:negative       0.87 (o,x,x,x,o,b,b,b,o)
    28 2:negative 2:negative       0.927 (x,x,o,b,o,b,o,x,b)
    29 2:negative 1:positive   +   0.59 (o,o,o,x,x,b,o,x,x)
    30 2:negative 1:positive   +   0.536 (o,x,x,o,x,x,o,o,b)
    31 2:negative 2:negative       0.754 (x,x,o,x,x,b,o,o,o)
    32 2:negative 2:negative       0.729 (x,o,b,b,o,b,x,o,x)
    33 2:negative 2:negative       0.94 (x,x,b,x,o,x,o,o,o)
    34 1:positive 1:positive       0.93 (o,b,x,b,x,o,x,o,x)
    35 1:positive 1:positive       0.915 (x,b,o,o,x,o,x,b,x)
    36 1:positive 1:positive       0.837 (x,b,o,x,b,o,x,b,b)
    37 1:positive 1:positive       0.932 (b,b,x,b,x,o,x,o,b)
    38 1:positive 1:positive       0.92 (b,b,b,o,b,o,x,x,x)
    39 1:positive 1:positive       0.761 (x,b,o,b,x,x,o,o,x)
    40 1:positive 1:positive       0.863 (b,o,o,o,b,x,x,x,x)
    41 1:positive 1:positive       0.585 (b,o,o,x,x,x,o,b,x)
    42 1:positive 1:positive       0.948 (b,o,x,o,x,o,x,b,x)
    43 1:positive 1:positive       0.865 (b,b,x,o,o,x,x,o,x)
    44 1:positive 2:negative   +   0.515 (o,x,x,b,o,x,b,o,x)
    45 1:positive 1:positive       0.871 (b,o,x,x,x,o,x,b,o)
    46 1:positive 1:positive       0.626 (b,b,o,x,x,x,o,x,o)
    47 1:positive 1:positive       0.717 (x,b,x,o,x,b,o,o,x)
    48 1:positive 1:positive       0.894 (b,o,b,o,o,x,x,x,x)
    49 1:positive 1:positive       0.912 (x,b,o,x,x,o,b,o,x)
    50 1:positive 1:positive       0.712 (x,b,o,x,x,x,o,o,b)
    51 1:positive 1:positive       0.591 (o,b,x,b,b,x,o,b,x)
    52 1:positive 2:negative   +   0.593 (o,x,b,b,x,x,o,x,o)
    53 1:positive 1:positive       0.834 (b,o,b,x,x,x,b,b,o)
    54 1:positive 2:negative   +   0.544 (o,x,o,b,x,x,b,x,o)
    55 1:positive 1:positive       0.893 (o,b,x,o,b,x,x,o,x)
    56 1:positive 1:positive       0.875 (x,o,b,o,x,b,b,b,x)
    57 1:positive 1:positive       0.837 (x,b,b,o,x,x,o,o,x)
    58 1:positive 1:positive       0.785 (o,b,b,x,x,x,b,b,o)
    59 1:positive 1:positive       0.82 (x,b,x,o,x,b,x,o,o)
