

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Hair,Feathers,Eggs,Milk,Airborne,Aquatic,Predator,Toothed,Backbone,Breathes,Venomous,Fins,Legs,Tail,Domestic,Catsize,Type)
    10 60:vulture    80:frog   +   0.022 (0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2)
     1 2:antelope    80:frog   +   0.022 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     2    92:crab    80:frog   +   0.022 (0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7)
     3    98:slug    80:frog   +   0.022 (0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7)
     4     3:bear    80:frog   +   0.022 (1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1)
     5 73:herring    80:frog   +   0.022 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     6 24:mongoos    80:frog   +   0.022 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     7    41:wolf    80:frog   +   0.022 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     8 76:seahors    80:frog   +   0.022 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
     9 62:pitvipe    80:frog   +   0.022 (0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3)
    10    14:girl    80:frog   +   0.022 (1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1)
     1  5:buffalo    80:frog   +   0.022 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     2 58:sparrow    80:frog   +   0.022 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     3 46:flaming    80:frog   +   0.022 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2)
     4 63:seasnak    80:frog   +   0.022 (0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3)
     5 34:reindee    80:frog   +   0.022 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     6 78:stingra    80:frog   +   0.022 (0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4)
     7 93:crayfis    80:frog   +   0.022 (0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7)
     8 85:honeybe    80:frog   +   0.022 (1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6)
     9 28:polecat    80:frog   +   0.022 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
    10   100:worm    80:frog   +   0.022 (0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7)
     1    31:puma    80:frog   +   0.022 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     2    79:tuna    80:frog   +   0.022 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4)
     3 71:dogfish    80:frog   +   0.022 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4)
     4 56:skimmer    80:frog   +   0.022 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
     5 64:slowwor    80:frog   +   0.022 (0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3)
     6     7:cavy    80:frog   +   0.022 (1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1)
     7    91:clam    80:frog   +   0.022 (0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7)
     8 95:octopus    80:frog   +   0.022 (0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7)
     9    83:flea    80:frog   +   0.022 (0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6)
    10 25:opossum    80:frog   +   0.022 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1)
     1    68:carp    80:frog   +   0.022 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4)
     2 17:hamster    80:frog   +   0.022 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1)
     3 66:tuatara    80:frog   +   0.022 (0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3)
     4    74:pike    80:frog   +   0.022 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4)
     5 27:platypu    80:frog   +   0.022 (1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1)
     6    88:moth    80:frog   +   0.022 (1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
     7    55:rhea    80:frog   +   0.022 (0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2)
     8    49:kiwi    80:frog   +   0.022 (0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2)
     9    57:skua    80:frog   +   0.022 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
    10    23:mole    80:frog   +   0.022 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1)
     1    80:frog 2:antelope   +   0.011 (0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5)
     2 53:penguin 2:antelope   +   0.011 (0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2)
     3    81:newt 2:antelope   +   0.011 (0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5)
     4 65:tortois 2:antelope   +   0.011 (0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3)
     5    20:lion 2:antelope   +   0.011 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     6 1:aardvark 2:antelope   +   0.011 (1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1)
     7    22:mink 2:antelope   +   0.011 (1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1)
     8  8:cheetah 2:antelope   +   0.011 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     9 38:vampire 2:antelope   +   0.011 (1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1)
    10 10:dolphin 2:antelope   +   0.011 (0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1)
     1    80:frog 1:aardvark   +   0.011 (0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5)
     2    67:bass 1:aardvark   +   0.011 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     3    43:crow 1:aardvark   +   0.011 (0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2)
     4    15:goat 1:aardvark   +   0.011 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     5    47:gull 1:aardvark   +   0.011 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
     6    44:dove 1:aardvark   +   0.011 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2)
     7 72:haddock 1:aardvark   +   0.011 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
     8    70:chub 1:aardvark   +   0.011 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     9    50:lark 1:aardvark   +   0.011 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
    10 89:termite 1:aardvark   +   0.011 (0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6)

