

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square)
    29 2:negative 2:negative       0.746 (o,b,x,x,o,x,b,b,o)
    30 2:negative 2:negative       0.814 (o,o,x,x,o,x,x,b,o)
    31 2:negative 2:negative       0.63 (x,o,x,b,o,b,x,o,b)
    32 2:negative 2:negative       0.614 (x,x,b,o,o,o,x,o,x)
    33 2:negative 2:negative       0.808 (o,o,o,x,o,x,b,x,x)
    34 2:negative 2:negative       0.63 (x,o,o,x,x,o,b,x,o)
    35 1:positive 2:negative   +   0.817 (o,x,x,b,o,x,o,b,x)
    36 1:positive 1:positive       0.946 (o,b,o,b,x,o,x,x,x)
    37 1:positive 1:positive       0.588 (o,x,b,x,x,o,o,x,b)
    38 1:positive 1:positive       0.887 (o,o,b,x,x,x,b,o,x)
    39 1:positive 1:positive       0.894 (b,o,x,o,b,o,x,x,x)
    40 1:positive 1:positive       0.79 (b,x,b,b,x,o,b,x,o)
    41 1:positive 1:positive       0.54 (b,o,o,x,o,b,x,x,x)
    42 1:positive 1:positive       0.8 (o,x,x,o,x,b,x,o,b)
    43 1:positive 1:positive       0.583 (x,b,o,x,b,b,x,b,o)
    44 1:positive 1:positive       0.894 (b,b,o,x,x,x,x,o,o)
    45 1:positive 1:positive       0.778 (o,b,b,x,o,o,x,x,x)
    46 1:positive 1:positive       0.888 (b,o,o,o,x,b,x,x,x)
    47 1:positive 1:positive       0.908 (o,b,b,o,b,b,x,x,x)
    48 1:positive 1:positive       0.887 (x,o,b,x,x,o,b,o,x)
    49 1:positive 1:positive       0.601 (o,x,b,x,x,x,b,o,o)
    50 1:positive 1:positive       0.909 (b,x,x,o,x,o,x,o,b)
    51 1:positive 1:positive       0.939 (o,o,x,b,x,o,x,b,x)
    52 1:positive 1:positive       0.583 (b,x,o,x,x,o,o,x,b)
    53 1:positive 1:positive       0.884 (o,x,x,b,x,o,x,o,b)
    54 1:positive 1:positive       0.905 (o,b,x,b,b,x,b,o,x)
    55 1:positive 1:positive       0.825 (x,b,o,o,x,o,b,x,x)
    56 1:positive 1:positive       0.648 (o,b,b,o,o,x,x,x,x)
    57 1:positive 2:negative   +   0.563 (b,x,o,o,x,x,b,x,o)
    58 1:positive 1:positive       0.771 (o,b,o,x,x,x,x,b,o)
    59 1:positive 1:positive       0.631 (o,x,x,o,b,x,b,o,x)
    60 1:positive 1:positive       0.601 (o,x,x,b,x,o,b,x,o)
    61 1:positive 1:positive       0.774 (b,b,o,b,o,b,x,x,x)
    62 1:positive 1:positive       0.957 (o,b,x,b,x,o,x,b,b)
    63 1:positive 1:positive       0.771 (x,b,o,x,x,b,x,o,o)
    64 1:positive 2:negative   +   0.643 (o,o,x,x,x,x,o,x,o)
    65 1:positive 1:positive       0.817 (x,b,b,o,x,b,o,b,x)
    66 1:positive 1:positive       0.632 (x,b,b,x,o,o,x,b,b)
    67 1:positive 1:positive       0.95 (b,o,x,b,x,o,x,b,b)
    68 1:positive 1:positive       0.96 (x,b,b,o,x,o,x,o,x)
    69 1:positive 1:positive       0.771 (x,o,b,o,b,o,x,x,x)
    70 1:positive 1:positive       0.96 (o,b,x,o,x,b,x,o,x)
    71 1:positive 1:positive       0.921 (o,b,x,o,x,o,x,x,b)
    72 1:positive 1:positive       0.953 (b,o,b,o,x,o,x,x,x)
    73 1:positive 1:positive       0.881 (b,o,x,b,x,x,x,o,o)
    74 1:positive 2:negative   +   0.63 (x,o,b,x,o,o,x,x,b)
    75 1:positive 1:positive       0.946 (x,b,o,b,x,o,x,o,x)
    76 1:positive 2:negative   +   0.758 (o,x,x,o,o,x,b,b,x)
    77 1:positive 1:positive       0.743 (b,o,o,x,x,x,x,b,o)
     1 2:negative 2:negative       0.921 (x,x,o,b,o,o,x,x,o)
     2 2:negative 2:negative       0.763 (o,b,x,b,o,x,b,x,o)
     3 2:negative 2:negative       0.817 (o,o,x,x,o,b,x,x,o)
     4 2:negative 1:positive   +   0.764 (o,b,o,x,x,o,x,x,o)
     5 2:negative 1:positive   +   0.646 (o,x,b,o,x,b,o,b,x)
     6 2:negative 2:negative       0.818 (b,x,o,x,o,b,o,b,x)
     7 2:negative 1:positive   +   0.542 (o,o,o,b,x,x,x,x,o)
     8 2:negative 2:negative       0.898 (o,x,x,b,o,x,b,b,o)
     9 2:negative 1:positive   +   0.776 (o,x,x,x,x,o,o,o,x)
    10 2:negative 2:negative       0.884 (o,x,x,o,o,b,o,x,x)
    11 2:negative 1:positive   +   0.542 (o,o,o,x,x,b,x,x,o)
    12 2:negative 2:negative       0.957 (x,x,o,o,o,x,x,x,o)
    13 2:negative 2:negative       0.619 (o,b,b,x,o,x,x,b,o)
    14 2:negative 2:negative       0.793 (o,b,o,x,o,x,o,x,x)
    15 2:negative 2:negative       0.783 (b,x,x,o,o,o,x,x,o)
    16 2:negative 2:negative       0.62 (b,b,o,x,o,b,o,x,x)
    17 2:negative 2:negative       0.902 (o,x,x,o,b,x,o,x,o)
    18 2:negative 1:positive   +   0.884 (b,b,o,b,x,o,x,x,o)
    19 2:negative 2:negative       0.62 (b,b,o,x,o,x,o,b,x)
    20 2:negative 2:negative       0.913 (x,o,o,b,o,x,o,x,x)
    21 2:negative 2:negative       0.954 (o,x,x,o,o,x,o,x,b)
    22 2:negative 1:positive   +   0.542 (x,o,o,b,x,o,x,x,o)
    23 2:negative 2:negative       0.898 (o,x,x,x,o,x,b,o,o)
    24 2:negative 1:positive   +   0.779 (b,b,x,b,x,x,o,o,o)
    25 2:negative 2:negative       0.649 (o,x,o,x,o,x,x,o,x)
    26 2:negative 1:positive   +   0.513 (b,x,o,x,b,o,x,b,o)
    27 2:negative 2:negative       0.591 (o,x,x,o,b,b,o,b,x)
    28 2:negative 2:negative       0.779 (x,x,o,o,o,x,x,o,x)
    29 2:negative 2:negative       0.793 (x,b,o,x,o,o,o,x,x)
    30 2:negative 2:negative       0.833 (b,x,o,x,o,o,x,x,o)
    31 2:negative 2:negative       0.726 (x,b,x,o,o,o,b,x,b)
    32 2:negative 1:positive   +   0.559 (b,o,o,x,o,x,x,o,x)
    33 2:negative 2:negative       0.647 (o,x,x,x,x,b,o,o,o)
    34 2:negative 2:negative       0.967 (x,x,o,x,o,o,o,x,b)
    35 1:positive 1:positive       0.747 (b,o,b,x,x,x,o,b,b)
    36 1:positive 1:positive       0.765 (x,b,b,x,b,b,x,o,o)
    37 1:positive 1:positive       0.895 (x,b,x,b,x,o,x,o,o)
    38 1:positive 2:negative   +   0.629 (b,x,o,o,x,x,o,x,b)
    39 1:positive 1:positive       0.912 (x,o,b,o,x,o,x,b,x)
    40 1:positive 1:positive       0.611 (o,o,b,x,x,x,b,x,o)
    41 1:positive 1:positive       0.587 (o,x,b,b,o,o,x,x,x)
    42 1:positive 1:positive       0.895 (o,b,b,x,x,x,x,o,o)
    43 1:positive 1:positive       0.776 (o,x,b,b,x,o,o,x,x)
    44 1:positive 1:positive       0.79 (o,o,x,o,x,b,x,x,b)
    45 1:positive 2:negative   +   0.8 (o,x,x,x,o,x,o,o,x)
    46 1:positive 1:positive       0.887 (o,b,o,b,b,b,x,x,x)
    47 1:positive 1:positive       0.946 (b,o,o,b,x,o,x,x,x)
    48 1:positive 1:positive       0.913 (b,b,x,o,x,b,x,b,o)
    49 1:positive 1:positive       0.587 (o,o,x,b,o,b,x,x,x)
    50 1:positive 1:positive       0.562 (b,o,b,x,x,x,o,x,o)
    51 1:positive 2:negative   +   0.619 (x,b,b,x,o,x,x,o,o)
    52 1:positive 1:positive       0.542 (o,x,o,x,x,x,x,o,o)
    53 1:positive 2:negative   +   0.65 (x,b,o,x,o,x,x,o,b)
    54 1:positive 1:positive       0.909 (x,o,b,b,x,b,b,o,x)
    55 1:positive 1:positive       0.912 (o,o,x,o,x,b,x,b,x)
    56 1:positive 1:positive       0.542 (o,x,o,b,x,b,x,x,o)
    57 1:positive 1:positive       0.818 (o,b,x,o,x,b,x,x,o)
    58 1:positive 2:negative   +   0.676 (o,x,o,x,x,b,o,x,b)
    59 1:positive 1:positive       0.664 (o,b,x,b,o,x,b,b,x)
    60 1:positive 1:positive       0.542 (x,o,b,x,b,o,x,x,o)
    61 1:positive 1:positive       0.74 (x,b,o,x,b,b,x,o,b)
    62 1:positive 1:positive       0.899 (b,b,o,x,x,x,b,o,b)
    63 1:positive 1:positive       0.944 (b,o,x,b,x,b,x,o,b)
    64 1:positive 1:positive       0.899 (b,o,o,x,x,x,b,o,x)
    65 1:positive 1:positive       0.878 (o,o,x,b,x,o,x,x,b)
    66 1:positive 1:positive       0.791 (o,o,x,b,b,x,b,b,x)
    67 1:positive 2:negative   +   0.649 (o,x,o,x,o,o,x,x,x)
    68 1:positive 2:negative   +   0.53 (b,x,x,o,o,x,b,o,x)
    69 1:positive 1:positive       0.6 (o,b,x,x,x,x,o,b,o)
    70 1:positive 1:positive       0.611 (o,o,x,x,x,x,b,b,o)
    71 1:positive 1:positive       0.91 (b,b,b,x,x,x,b,o,o)
    72 1:positive 1:positive       0.791 (o,b,o,x,x,x,b,b,b)
    73 1:positive 1:positive       0.895 (o,b,x,b,x,o,x,x,o)
    74 1:positive 1:positive       0.898 (b,o,x,o,x,o,x,x,b)
    75 1:positive 2:negative   +   0.828 (o,x,o,x,x,x,o,x,o)
    76 1:positive 1:positive       0.798 (o,x,b,o,b,o,x,x,x)
    77 1:positive 2:negative   +   0.647 (o,x,x,b,x,b,o,x,o)
     1 2:negative 1:positive   +   0.694 (b,b,x,o,o,o,x,x,b)
     2 2:negative 2:negative       0.684 (o,x,o,x,b,o,x,x,o)
     3 2:negative 2:negative       0.64 (x,o,x,x,x,b,o,o,o)
     4 2:negative 2:negative       0.822 (x,x,o,b,x,x,o,o,o)
     5 2:negative 2:negative       0.985 (x,x,o,b,o,x,o,x,o)
     6 2:negative 1:positive   +   0.76 (o,o,o,b,x,b,b,x,x)
     7 2:negative 2:negative       0.619 (b,x,x,b,b,x,o,o,o)
     8 2:negative 2:negative       0.631 (o,x,x,o,o,o,x,b,x)
     9 2:negative 2:negative       0.899 (b,x,o,b,o,x,o,x,b)
    10 2:negative 1:positive   +   0.867 (o,o,o,x,x,b,x,o,x)
    11 2:negative 1:positive   +   0.532 (x,x,o,b,x,o,x,o,o)
    12 2:negative 1:positive   +   0.555 (o,o,o,b,x,x,o,x,x)
    13 2:negative 2:negative       0.963 (o,x,b,x,o,x,o,x,o)
    14 2:negative 2:negative       0.649 (b,o,x,x,o,x,x,o,o)
    15 2:negative 1:positive   +   0.622 (x,b,b,b,x,x,o,o,o)
    16 2:negative 2:negative       0.814 (x,x,b,x,b,b,o,o,o)
    17 2:negative 2:negative       0.563 (b,x,x,o,o,o,x,b,b)
    18 2:negative 2:negative       0.816 (x,x,o,o,o,o,x,b,x)
    19 2:negative 1:positive   +   0.828 (o,b,b,o,x,x,o,b,x)
    20 2:negative 2:negative       0.81 (x,x,o,o,b,o,x,x,o)
    21 2:negative 1:positive   +   0.867 (o,o,o,b,x,b,x,b,x)
    22 2:negative 1:positive   +   0.703 (o,b,x,o,x,b,o,x,b)
    23 2:negative 2:negative       0.63 (o,b,b,x,o,b,x,x,o)
    24 2:negative 2:negative       0.922 (x,o,o,x,o,b,o,x,x)
    25 2:negative 2:negative       0.96 (x,x,o,x,o,b,o,b,b)
    26 2:negative 2:negative       0.753 (o,x,b,o,b,x,o,x,b)
    27 2:negative 1:positive   +   0.535 (o,o,b,x,o,x,x,o,x)
    28 2:negative 2:negative       0.911 (x,o,x,x,o,x,b,o,o)
    29 2:negative 2:negative       0.777 (x,o,x,o,o,o,x,x,b)
    30 2:negative 2:negative       0.553 (o,x,b,o,x,x,o,b,b)
    31 2:negative 2:negative       0.51 (o,b,x,o,b,x,o,x,b)
    32 2:negative 2:negative       0.911 (o,o,x,x,o,x,b,x,o)
    33 2:negative 1:positive   +   0.764 (o,o,x,x,x,o,o,x,x)
    34 1:positive 1:positive       0.807 (o,o,x,o,x,x,b,b,x)
    35 1:positive 1:positive       0.618 (o,b,o,x,x,x,b,x,o)
    36 1:positive 2:negative   +   0.644 (o,x,o,x,x,x,b,b,o)
    37 1:positive 1:positive       0.809 (o,x,x,o,x,o,x,b,b)
    38 1:positive 1:positive       0.962 (o,b,x,o,x,o,x,b,x)
    39 1:positive 1:positive       0.747 (o,x,b,b,x,o,x,x,o)
    40 1:positive 1:positive       0.599 (o,x,b,o,x,b,x,x,o)
    41 1:positive 2:negative   +   0.532 (b,b,x,o,o,x,o,x,x)
    42 1:positive 1:positive       0.911 (o,b,x,o,b,o,x,x,x)
    43 1:positive 1:positive       0.568 (o,o,x,x,b,x,o,b,x)
    44 1:positive 2:negative   +   0.579 (o,x,x,o,x,b,b,x,o)
    45 1:positive 1:positive       0.801 (b,o,x,o,x,b,x,x,o)
    46 1:positive 1:positive       0.603 (b,o,x,x,x,x,o,b,o)
    47 1:positive 2:negative   +   0.61 (x,b,o,x,o,b,x,b,b)
    48 1:positive 1:positive       0.64 (b,b,o,o,o,x,x,x,x)
    49 1:positive 1:positive       0.824 (o,b,x,x,x,x,o,o,b)
    50 1:positive 1:positive       0.61 (o,x,o,x,x,o,b,x,b)
    51 1:positive 1:positive       0.919 (b,o,x,o,x,b,x,b,b)
    52 1:positive 2:negative   +   0.546 (x,b,x,o,o,x,b,o,x)
    53 1:positive 1:positive       0.84 (b,b,x,o,b,x,o,b,x)
    54 1:positive 1:positive       0.873 (o,o,x,b,b,x,x,o,x)
    55 1:positive 1:positive       0.599 (o,x,x,o,x,o,x,x,o)
    56 1:positive 2:negative   +   0.631 (o,o,x,o,o,x,x,x,x)
    57 1:positive 1:positive       0.555 (o,x,o,x,x,o,o,x,x)
    58 1:positive 1:positive       0.949 (b,o,b,b,b,o,x,x,x)
    59 1:positive 1:positive       0.893 (o,o,x,x,x,o,x,b,b)
    60 1:positive 2:negative   +   0.64 (o,x,b,x,x,x,o,b,o)
    61 1:positive 1:positive       0.901 (b,b,b,b,o,o,x,x,x)
    62 1:positive 1:positive       0.535 (o,o,x,x,o,o,x,x,x)
    63 1:positive 2:negative   +   0.82 (o,o,x,x,o,x,o,x,x)
    64 1:positive 1:positive       0.764 (o,o,b,x,x,x,o,b,x)
    65 1:positive 2:negative   +   0.815 (x,b,o,x,o,b,x,x,o)
    66 1:positive 1:positive       0.925 (o,b,x,o,x,x,x,o,b)
    67 1:positive 1:positive       0.747 (o,o,b,x,x,x,x,b,o)
    68 1:positive 2:negative   +   0.609 (o,b,x,x,o,x,o,b,x)
    69 1:positive 1:positive       0.807 (x,o,b,o,x,o,b,x,x)
    70 1:positive 1:positive       0.93 (b,b,x,o,b,x,b,o,x)
    71 1:positive 1:positive       0.832 (o,b,x,o,b,x,b,b,x)
    72 1:positive 1:positive       0.907 (o,b,o,o,x,b,x,x,x)
    73 1:positive 2:negative   +   0.558 (o,x,o,o,x,x,b,x,b)
    74 1:positive 1:positive       0.944 (o,o,x,x,x,o,x,o,x)
    75 1:positive 1:positive       0.896 (o,x,x,o,x,o,x,o,x)
    76 1:positive 2:negative   +   0.642 (o,o,x,b,o,x,b,x,x)
    77 1:positive 1:positive       0.886 (x,b,o,x,b,o,x,o,x)
     1 2:negative 2:negative       0.8 (x,b,o,o,o,x,o,x,x)
     2 2:negative 1:positive   +   0.882 (o,o,o,x,x,o,x,b,x)
     3 2:negative 1:positive   +   0.746 (b,x,x,o,o,o,x,o,x)
     4 2:negative 1:positive   +   0.811 (b,b,x,x,x,b,o,o,o)
     5 2:negative 1:positive   +   0.749 (x,b,o,b,x,o,x,b,o)
     6 2:negative 2:negative       0.958 (o,x,o,x,o,x,b,x,o)
     7 2:negative 2:negative       0.902 (x,b,o,b,o,x,o,x,b)
     8 2:negative 2:negative       0.642 (o,b,x,x,o,b,x,b,o)
     9 2:negative 2:negative       0.907 (x,x,o,x,b,x,o,o,o)
    10 2:negative 2:negative       0.623 (x,o,x,o,o,x,x,o,b)
    11 2:negative 1:positive   +   0.743 (o,b,b,o,b,x,o,x,x)
    12 2:negative 1:positive   +   0.583 (o,o,x,x,o,b,x,o,x)
    13 2:negative 1:positive   +   0.648 (b,o,x,x,o,b,x,o,b)
    14 2:negative 2:negative       0.656 (x,x,o,b,x,o,b,b,o)
    15 2:negative 1:positive   +   0.779 (o,o,x,o,x,b,o,x,x)
    16 2:negative 2:negative       0.949 (x,b,o,x,o,x,o,x,o)
    17 2:negative 2:negative       0.981 (x,x,o,x,o,b,o,x,o)
    18 2:negative 2:negative       0.686 (o,x,x,o,o,o,b,x,x)
    19 2:negative 2:negative       0.642 (o,b,x,x,o,x,x,o,o)
    20 2:negative 2:negative       0.911 (o,x,b,x,o,b,b,x,o)
    21 2:negative 1:positive   +   0.654 (b,b,x,x,b,x,o,o,o)
    22 2:negative 2:negative       0.642 (o,b,b,b,o,x,x,x,o)
    23 2:negative 2:negative       0.57 (x,o,x,b,x,x,o,o,o)
    24 2:negative 2:negative       0.6 (x,o,x,b,o,b,b,o,x)
    25 2:negative 2:negative       0.613 (x,o,o,b,o,x,x,o,x)
    26 2:negative 2:negative       0.642 (o,b,x,o,o,x,x,x,o)
    27 2:negative 2:negative       0.643 (x,b,x,o,o,o,o,x,x)
    28 2:negative 2:negative       0.83 (x,x,b,o,o,o,o,x,x)
    29 2:negative 1:positive   +   0.554 (x,b,b,o,o,o,b,x,x)
    30 2:negative 2:negative       0.915 (x,x,o,x,o,b,o,o,x)
    31 2:negative 1:positive   +   0.764 (o,o,o,b,x,b,x,x,b)
    32 2:negative 2:negative       0.882 (x,o,o,x,o,x,o,b,x)
    33 2:negative 1:positive   +   0.613 (b,x,x,o,x,x,o,o,o)
    34 1:positive 1:positive       0.514 (o,x,o,x,x,x,b,o,b)
    35 1:positive 1:positive       0.591 (b,x,o,x,x,x,o,o,b)
    36 1:positive 1:positive       0.915 (b,o,b,x,x,x,o,o,x)
    37 1:positive 1:positive       0.93 (x,b,x,o,x,o,x,o,b)
    38 1:positive 1:positive       0.877 (o,o,x,b,x,b,x,b,b)
    39 1:positive 1:positive       0.523 (o,x,o,b,x,b,o,x,x)
    40 1:positive 1:positive       0.709 (o,x,x,b,x,o,x,b,o)
    41 1:positive 1:positive       0.764 (b,x,o,b,x,o,b,x,b)
    42 1:positive 1:positive       0.887 (x,o,b,b,x,o,b,b,x)
    43 1:positive 1:positive       0.877 (o,o,x,o,x,x,x,b,b)
    44 1:positive 1:positive       0.882 (b,x,b,o,x,o,x,x,o)
    45 1:positive 1:positive       0.81 (b,o,b,b,o,b,x,x,x)
    46 1:positive 1:positive       0.872 (b,x,o,o,x,o,x,x,b)
    47 1:positive 1:positive       0.879 (o,o,x,o,b,b,x,x,x)
    48 1:positive 1:positive       0.879 (o,o,b,o,b,x,x,x,x)
    49 1:positive 2:negative   +   0.663 (x,b,o,x,o,o,x,x,b)
    50 1:positive 1:positive       0.722 (o,b,x,o,o,x,x,b,x)
    51 1:positive 1:positive       0.936 (x,b,x,o,x,o,b,o,x)
    52 1:positive 1:positive       0.943 (x,o,b,b,x,o,x,o,x)
    53 1:positive 1:positive       0.658 (b,o,o,b,o,x,x,x,x)
    54 1:positive 1:positive       0.868 (x,b,b,b,x,b,o,o,x)
    55 1:positive 1:positive       0.869 (x,b,o,b,x,b,b,o,x)
    56 1:positive 1:positive       0.615 (b,x,o,b,x,b,b,x,o)
    57 1:positive 1:positive       0.953 (b,b,x,b,x,o,x,b,o)
    58 1:positive 1:positive       0.826 (b,o,x,b,b,x,o,b,x)
    59 1:positive 1:positive       0.915 (b,o,x,o,x,x,x,b,o)
    60 1:positive 1:positive       0.887 (x,o,b,o,x,x,b,o,x)
    61 1:positive 1:positive       0.956 (b,o,x,x,x,o,x,o,b)
    62 1:positive 2:negative   +   0.615 (b,x,x,b,o,x,o,o,x)
    63 1:positive 2:negative   +   0.656 (o,x,o,x,x,b,b,x,o)
    64 1:positive 1:positive       0.877 (o,o,x,b,x,x,x,o,b)
    65 1:positive 2:negative   +   0.697 (o,x,o,o,o,x,x,x,x)
    66 1:positive 1:positive       0.943 (o,o,b,b,x,o,x,x,x)
    67 1:positive 1:positive       0.773 (o,o,b,x,x,x,b,b,b)
    68 1:positive 1:positive       0.613 (b,x,x,b,x,o,o,x,o)
    69 1:positive 1:positive       0.779 (x,o,b,b,x,b,o,b,x)
    70 1:positive 1:positive       0.609 (x,o,b,x,b,x,x,o,o)
    71 1:positive 1:positive       0.567 (x,b,o,x,b,x,x,o,o)
    72 1:positive 1:positive       0.709 (o,x,x,x,x,o,x,o,o)
    73 1:positive 1:positive       0.882 (b,x,x,o,x,o,x,b,o)
    74 1:positive 2:negative   +   0.678 (o,x,o,b,x,x,o,x,b)
    75 1:positive 1:positive       0.583 (x,o,b,o,o,b,x,x,x)
    76 1:positive 1:positive       0.613 (b,x,b,o,x,x,o,x,o)
    77 1:positive 1:positive       0.791 (b,b,x,b,o,x,b,o,x)
     1 2:negative 1:positive   +   0.564 (b,x,x,x,x,o,o,o,o)
     2 2:negative 2:negative       0.919 (x,x,o,b,o,x,o,o,x)
     3 2:negative 2:negative       0.815 (x,o,x,x,o,b,o,o,x)
     4 2:negative 2:negative       0.896 (x,x,b,o,o,o,x,x,o)
     5 2:negative 2:negative       0.732 (o,x,x,o,b,x,o,b,b)
     6 2:negative 1:positive   +   0.841 (o,b,x,o,x,o,o,x,x)
     7 2:negative 1:positive   +   0.654 (o,x,x,o,x,b,o,o,x)
     8 2:negative 1:positive   +   0.752 (b,o,b,b,o,x,x,o,x)
     9 2:negative 2:negative       0.904 (b,x,o,x,o,b,o,x,b)
    10 2:negative 1:positive   +   0.768 (o,o,o,x,x,o,x,x,b)
    11 2:negative 1:positive   +   0.758 (o,o,o,x,x,o,b,x,x)
    12 2:negative 2:negative       0.61 (x,o,o,o,x,x,x,x,o)
    13 2:negative 2:negative       0.578 (o,x,o,o,x,x,o,b,x)
    14 2:negative 1:positive   +   0.695 (b,b,x,o,o,o,b,x,x)
    15 2:negative 2:negative       0.907 (o,b,x,x,o,x,o,x,o)
    16 2:negative 2:negative       0.697 (o,o,o,x,b,x,x,x,o)
    17 2:negative 2:negative       0.803 (x,b,o,x,o,x,o,o,x)
    18 2:negative 2:negative       0.582 (x,o,b,o,o,x,x,o,x)
    19 2:negative 2:negative       0.775 (o,x,o,o,b,x,o,x,x)
    20 2:negative 2:negative       0.632 (x,b,x,x,b,b,o,o,o)
    21 2:negative 2:negative       0.828 (x,o,x,x,b,x,o,o,o)
    22 2:negative 1:positive   +   0.798 (o,o,o,o,x,x,x,b,x)
    23 2:negative 1:positive   +   0.667 (x,b,x,o,o,o,x,o,x)
    24 2:negative 2:negative       0.766 (x,o,x,o,x,x,o,x,o)
    25 2:negative 2:negative       0.919 (o,x,o,b,o,x,o,x,x)
    26 2:negative 1:positive   +   0.654 (o,x,b,o,x,x,o,o,x)
    27 2:negative 2:negative       0.916 (o,x,x,x,o,b,b,b,o)
    28 2:negative 2:negative       0.959 (x,x,o,b,o,b,o,x,b)
    29 2:negative 1:positive   +   0.556 (o,o,o,x,x,b,o,x,x)
    30 2:negative 2:negative       0.52 (o,x,x,o,x,x,o,o,b)
    31 2:negative 2:negative       0.832 (x,x,o,x,x,b,o,o,o)
    32 2:negative 1:positive   +   0.552 (x,o,b,b,o,b,x,o,x)
    33 2:negative 2:negative       0.964 (x,x,b,x,o,x,o,o,o)
    34 1:positive 1:positive       0.98 (o,b,x,b,x,o,x,o,x)
    35 1:positive 1:positive       0.917 (x,b,o,o,x,o,x,b,x)
    36 1:positive 1:positive       0.785 (x,b,o,x,b,o,x,b,b)
    37 1:positive 1:positive       0.983 (b,b,x,b,x,o,x,o,b)
    38 1:positive 1:positive       0.965 (b,b,b,o,b,o,x,x,x)
    39 1:positive 1:positive       0.777 (x,b,o,b,x,x,o,o,x)
    40 1:positive 1:positive       0.794 (b,o,o,o,b,x,x,x,x)
    41 1:positive 1:positive       0.755 (b,o,o,x,x,x,o,b,x)
    42 1:positive 1:positive       0.962 (b,o,x,o,x,o,x,b,x)
    43 1:positive 1:positive       0.832 (b,b,x,o,o,x,x,o,x)
    44 1:positive 2:negative   +   0.637 (o,x,x,b,o,x,b,o,x)
    45 1:positive 1:positive       0.875 (b,o,x,x,x,o,x,b,o)
    46 1:positive 1:positive       0.582 (b,b,o,x,x,x,o,x,o)
    47 1:positive 1:positive       0.841 (x,b,x,o,x,b,o,o,x)
    48 1:positive 1:positive       0.639 (b,o,b,o,o,x,x,x,x)
    49 1:positive 1:positive       0.897 (x,b,o,x,x,o,b,o,x)
    50 1:positive 1:positive       0.63 (x,b,o,x,x,x,o,o,b)
    51 1:positive 1:positive       0.782 (o,b,x,b,b,x,o,b,x)
    52 1:positive 2:negative   +   0.656 (o,x,b,b,x,x,o,x,o)
    53 1:positive 1:positive       0.764 (b,o,b,x,x,x,b,b,o)
    54 1:positive 2:negative   +   0.664 (o,x,o,b,x,x,b,x,o)
    55 1:positive 1:positive       0.919 (o,b,x,o,b,x,x,o,x)
    56 1:positive 1:positive       0.825 (x,o,b,o,x,b,b,b,x)
    57 1:positive 1:positive       0.841 (x,b,b,o,x,x,o,o,x)
    58 1:positive 1:positive       0.785 (o,b,b,x,x,x,b,b,o)
    59 1:positive 1:positive       0.822 (x,b,x,o,x,b,x,o,o)
    60 1:positive 1:positive       0.61 (o,x,o,o,b,b,x,x,x)
