

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Sequence_Name,mcg,gvh,alm,mit,erl,pox,vac,nuc)
    35      2:NUC      2:NUC       0.735 (MER2_YEAST,0.4,0.53,0.61,0.21,0.5,0,0.48,0.33)
    36      2:NUC      2:NUC       0.64 (ZIP1_YEAST,0.47,0.43,0.61,0.4,0.5,0,0.48,0.47)
    37      3:MIT      1:CYT   +   0.813 (RM16_YEAST,0.53,0.42,0.58,0.29,0.5,0,0.5,0.22)
    38      3:MIT      3:MIT       0.968 (ODPA_YEAST,0.6,0.54,0.54,0.53,0.5,0,0.52,0.27)
    39      3:MIT      2:NUC   +   0.888 (PT54_YEAST,0.5,0.57,0.62,0.25,0.5,0,0.51,0.22)
    40      3:MIT      1:CYT   +   0.957 (SYMM_YEAST,0.51,0.48,0.51,0.43,0.5,0,0.49,0.22)
    41      3:MIT      1:CYT   +   0.402 (IDH1_YEAST,0.53,0.56,0.49,0.46,0.5,0,0.52,0.22)
    42      3:MIT      1:CYT   +   0.794 (RT13_YEAST,0.51,0.42,0.56,0.38,0.5,0,0.46,0.22)
    43      3:MIT      2:NUC   +   0.945 (SYWM_YEAST,0.44,0.53,0.53,0.37,0.5,0,0.51,0.22)
    44      3:MIT      1:CYT   +   0.775 (OM20_YEAST,0.72,0.58,0.42,0.28,0.5,0,0.48,0.22)
    45      3:MIT      1:CYT   +   0.998 (PT22_YEAST,0.56,0.68,0.52,0.39,0.5,0,0.36,0.22)
    46      3:MIT      1:CYT   +   0.975 (RT02_YEAST,0.57,0.4,0.62,0.3,0.5,0,0.48,0.11)
    47      3:MIT      3:MIT       0.445 (MRF1_YEAST,0.46,0.61,0.55,0.29,0.5,0,0.49,0.22)
    48      3:MIT      3:MIT       0.566 (EFG1_YEAST,0.53,0.48,0.45,0.44,0.5,0,0.49,0.27)
    49      3:MIT      1:CYT   +   0.814 (ACOX_YEAST,0.46,0.41,0.5,0.44,0.5,0,0.53,0.22)
    50      3:MIT      4:ME3   +   0.888 (RCA1_YEAST,0.41,0.41,0.43,0.61,0.5,0,0.53,0.22)
    51      3:MIT      3:MIT       0.979 (SCO1_YEAST,0.52,0.54,0.47,0.49,0.5,0,0.54,0.22)
    52      3:MIT      3:MIT       0.957 (SODM_YEAST,0.54,0.47,0.58,0.4,0.5,0,0.46,0.27)
    53      3:MIT      3:MIT       0.987 (YME1_YEAST,0.63,0.57,0.5,0.48,0.5,0,0.51,0.22)
    54      1:CYT      1:CYT       0.963 (TRPG_YEAST,0.57,0.36,0.51,0.25,0.5,0,0.54,0.25)
    55      1:CYT      2:NUC   +   0.937 (R17A_YEAST,0.43,0.33,0.54,0.37,0.5,0,0.38,0.16)
    56      1:CYT      1:CYT       0.953 (SYKC_YEAST,0.43,0.45,0.54,0.14,0.5,0,0.5,0.31)
    57      1:CYT      1:CYT       0.856 (TCPE_YEAST,0.62,0.42,0.47,0.16,0.5,0,0.52,0.22)
    58      1:CYT      3:MIT   +   0.6 (GDI1_YEAST,0.64,0.53,0.45,0.13,0.5,0,0.53,0.22)
    59      1:CYT      1:CYT       0.977 (AMPM_YEAST,0.48,0.51,0.57,0.24,0.5,0,0.5,0.22)
    60      1:CYT      1:CYT       0.685 (PRC9_YEAST,0.48,0.56,0.49,0.32,0.5,0,0.5,0.22)
    61      1:CYT      8:VAC   +   1 (GAL1_YEAST,0.48,0.35,0.42,0.21,0.5,0,0.57,0.22)
    62      1:CYT      1:CYT       1 (RL41_YEAST,0.35,0.21,1,0.8,0.5,0,0.13,0.01)
    63      1:CYT      2:NUC   +   0.466 (LEU2_YEAST,0.51,0.43,0.47,0.19,0.5,0,0.52,0.37)
    64      1:CYT      3:MIT   +   0.829 (SMY2_YEAST,0.6,0.64,0.56,0.36,0.5,0,0.46,0.27)
    65      1:CYT      1:CYT       0.908 (PGK_YEAST,0.48,0.42,0.48,0.19,0.5,0,0.58,0.22)
    66      1:CYT      1:CYT       0.687 (FIMB_YEAST,0.51,0.4,0.5,0.28,0.5,0,0.48,0.27)
    67      1:CYT      1:CYT       0.528 (SEC1_YEAST,0.6,0.51,0.49,0.18,0.5,0,0.53,0.38)
    68      1:CYT      1:CYT       0.857 (ERG6_YEAST,0.32,0.47,0.55,0.12,0.5,0,0.52,0.22)
    69      1:CYT      1:CYT       0.585 (GCN2_YEAST,0.37,0.33,0.5,0.12,0.5,0,0.51,0.54)
    70      1:CYT      1:CYT       0.975 (TBA3_YEAST,0.59,0.46,0.55,0.17,0.5,0,0.52,0.25)
    71      1:CYT      1:CYT       0.952 (GFA1_YEAST,0.52,0.51,0.51,0.12,0.5,0,0.51,0.4)
    72      1:CYT      1:CYT       0.983 (SC72_YEAST,0.59,0.55,0.57,0.18,0.5,0,0.51,0.22)
    73      1:CYT      2:NUC   +   0.932 (UGS2_YEAST,0.58,0.41,0.51,0.26,0.5,0,0.51,0.37)
    74      1:CYT      1:CYT       0.628 (TCPD_YEAST,0.39,0.47,0.49,0.2,0.5,0,0.53,0.26)
    75      1:CYT      1:CYT       0.653 (CNA2_YEAST,0.39,0.58,0.5,0.1,0.5,0,0.51,0.25)
    76      1:CYT      1:CYT       0.977 (PGM1_YEAST,0.43,0.45,0.53,0.19,0.5,0,0.56,0.22)
    77      1:CYT      1:CYT       0.968 (TKT1_YEAST,0.58,0.55,0.51,0.13,0.5,0,0.52,0.22)
    78      1:CYT      2:NUC   +   0.683 (NAB1_YEAST,0.49,0.6,0.55,0.17,0.5,0,0.44,0.22)
    79      1:CYT      1:CYT       0.98 (DCP3_YEAST,0.52,0.46,0.51,0.18,0.5,0,0.5,0.22)
    80      1:CYT      1:CYT       0.582 (E2BA_YEAST,0.45,0.56,0.49,0.17,0.5,0,0.52,0.22)
    81      1:CYT      1:CYT       0.938 (G3P1_YEAST,0.59,0.48,0.49,0.42,0.5,0,0.52,0.22)
    82      1:CYT      4:ME3   +   0.618 (MDM1_YEAST,0.49,0.44,0.45,0.22,0.5,0,0.51,0.22)
    83      1:CYT      4:ME3   +   0.96 (PROC_YEAST,0.77,0.57,0.45,0.17,0.5,0,0.53,0.22)
    84      1:CYT      2:NUC   +   0.904 (HXKA_YEAST,0.41,0.3,0.49,0.28,0.5,0,0.54,0.22)
    85      1:CYT      1:CYT       0.993 (RL15_YEAST,0.46,0.35,0.69,0.18,0.5,0,0.3,0.25)
    86      1:CYT      2:NUC   +   0.852 (GBG_YEAST,0.36,0.37,0.63,0.25,0.5,0,0.3,0.22)
    87      1:CYT      2:NUC   +   0.949 (NAM7_YEAST,0.37,0.41,0.45,0.14,0.5,0,0.47,0.22)
    88      1:CYT      3:MIT   +   0.457 (G6PD_YEAST,0.65,0.54,0.54,0.13,0.5,0,0.53,0.22)
    89      1:CYT      2:NUC   +   0.568 (KIP2_YEAST,0.38,0.49,0.54,1,0.5,0,0.5,0.27)
    90      1:CYT      2:NUC   +   0.839 (KAPA_YEAST,0.25,0.26,0.53,0.17,0.5,0,0.45,0.22)
    91      6:ME1      6:ME1       1 (OSTD_YEAST,0.78,0.73,0.27,0.28,0.5,0,0.56,0.22)
    92      6:ME1      6:ME1       1 (YIR3_YEAST,0.85,0.85,0.3,0.31,0.5,0,0.55,0.42)
    93      6:ME1      7:EXC   +   1 (YHQ1_YEAST,0.72,0.73,0.41,0.28,0.5,0,0.44,0.22)
    94      6:ME1      6:ME1       1 (KEX2_YEAST,0.7,0.73,0.38,0.36,0.5,0,0.54,0.22)
    95      7:EXC      1:CYT   +   0.515 (MFA2_YEAST,0.46,0.42,0.6,0.21,0.5,0,0.4,0.22)
    96      7:EXC      1:CYT   +   1 (H150_YEAST,0.74,0.71,0.52,0.3,0.5,0,0.27,0.22)
    97      7:EXC      2:NUC   +   1 (AMYH_YEAST,0.83,0.81,0.45,0.38,0.5,0,0.4,0.26)
    98      4:ME3      1:CYT   +   0.442 (YIB3_YEAST,0.52,0.46,0.34,0.2,0.5,0,0.51,0.25)
    99      4:ME3      3:MIT   +   0.988 (HMD2_YEAST,0.53,0.68,0.34,0.42,0.5,0,0.54,0.27)
   100      4:ME3      1:CYT   +   0.503 (HXT5_YEAST,0.43,0.45,0.37,0.12,0.5,0,0.48,0.22)
   101      4:ME3      2:NUC   +   0.582 (YK68_YEAST,0.32,0.29,0.29,0.08,0.5,0,0.52,0.22)
   102      4:ME3      3:MIT   +   0.546 (YHG2_YEAST,0.2,0.6,0.5,0.29,0.5,0,0.51,0.22)
   103      4:ME3      1:CYT   +   0.576 (YBE2_YEAST,0.26,0.3,0.37,0.15,0.5,0,0.53,0.25)
   104      4:ME3      4:ME3       1 (YAE2_YEAST,0.39,0.63,0.41,0.27,0.5,0,0.49,0.22)
   105      4:ME3      1:CYT   +   0.639 (SNC2_YEAST,0.25,0.35,0.22,0.18,0.5,0,0.46,0.22)
   106      4:ME3      3:MIT   +   0.803 (HS30_YEAST,0.37,0.62,0.34,0.25,0.5,0,0.51,0.22)
   107      4:ME3      4:ME3       0.868 (FDFT_YEAST,0.53,0.68,0.42,0.19,0.5,0,0.53,0.22)
   108      4:ME3      2:NUC   +   0.459 (YAG7_YEAST,0.49,0.49,0.4,0.2,0.5,0,0.48,0.26)
   109      4:ME3      1:CYT   +   0.656 (YCQ0_YEAST,0.35,0.32,0.31,0.16,0.5,0,0.56,0.22)
   110      4:ME3      4:ME3       0.822 (UBC6_YEAST,0.43,0.48,0.36,0.26,0.5,0,0.52,0.22)
   111      9:POX      1:CYT   +   0.962 (THIK_YEAST,0.46,0.48,0.44,0.21,0.5,0,0.55,0.22)
   112      9:POX      3:MIT   +   1 (FOX2_YEAST,0.69,0.6,0.51,0.13,0.5,0.83,0.52,0.22)
   113      5:ME2      2:NUC   +   0.528 (KTR4_YEAST,0.94,0.6,0.33,0.49,0.5,0,0.54,0.22)
   114      5:ME2      2:NUC   +   0.64 (LCB1_YEAST,0.83,0.53,0.52,0.2,0.5,0,0.48,0.25)
   115      5:ME2      3:MIT   +   0.796 (NCPR_YEAST,0.78,0.63,0.53,0.13,0.5,0,0.54,0.22)
   116      5:ME2      6:ME1   +   1 (KTR1_YEAST,0.77,0.6,0.42,0.33,0.5,0,0.57,0.22)
   117      8:VAC      1:CYT   +   0.765 (PEP8_YEAST,0.4,0.36,0.55,0.15,0.5,0,0.53,0.22)
   118      8:VAC      1:CYT   +   0.763 (AMYG_YEAST,0.7,0.78,0.53,0.24,0.5,0,0.48,0.22)
   119      8:VAC      6:ME1   +   1 (CARP_YEAST,0.8,0.82,0.57,0.26,0.5,0,0.57,0.27)
     1      2:NUC      1:CYT   +   0.891 (YJ16_YEAST,0.5,0.45,0.49,0.3,0.5,0,0.47,0.4)
     2      2:NUC      5:ME2   +   1 (RPB2_YEAST,0.34,0.48,0.47,0.19,0.5,0,0.5,0.3)
     3      2:NUC      2:NUC       0.653 (H2A1_YEAST,0.44,0.53,0.52,0.37,0.5,0,0.5,0.22)
     4      2:NUC      2:NUC       0.801 (GAL4_YEAST,0.44,0.44,0.49,0.15,0.5,0,0.46,0.27)
     5      2:NUC      2:NUC       0.918 (NMD2_YEAST,0.36,0.3,0.5,0.19,0.5,0,0.55,0.3)
     6      2:NUC      1:CYT   +   0.982 (TOP2_YEAST,0.45,0.36,0.5,0.19,0.5,0,0.53,0.7)
     7      2:NUC      3:MIT   +   0.816 (YOX1_YEAST,0.59,0.67,0.54,0.19,0.5,0,0.48,0.6)
     8      2:NUC      2:NUC       0.834 (TRNL_YEAST,0.49,0.38,0.49,0.15,0.5,0,0.53,0.25)
     9      2:NUC      2:NUC       0.86 (YE14_YEAST,0.4,0.4,0.44,0.37,0.5,0,0.53,0.25)
    10      2:NUC      2:NUC       1 (TFC1_YEAST,0.54,0.67,0.56,0.15,0.5,0,0.57,0.33)
    11      2:NUC      2:NUC       0.941 (MDS1_YEAST,0.46,0.57,0.52,0.28,0.5,0,0.52,0.22)
    12      2:NUC      2:NUC       0.988 (LEUR_YEAST,0.44,0.41,0.44,0.13,0.5,0,0.49,0.42)
    13      2:NUC      2:NUC       0.644 (RME1_YEAST,0.45,0.49,0.57,0.25,0.5,0,0.48,0.22)
    14      2:NUC      2:NUC       0.891 (ORC2_YEAST,0.39,0.42,0.49,0.1,0.5,0,0.49,0.65)
    15      2:NUC      2:NUC       0.792 (PPR1_YEAST,0.42,0.28,0.51,0.23,0.5,0,0.53,0.27)
    16      2:NUC      1:CYT   +   0.903 (RPA1_YEAST,0.56,0.49,0.54,0.15,0.5,0,0.5,0.35)
    17      2:NUC      1:CYT   +   0.95 (SRPI_YEAST,0.25,0.33,0.48,0.18,0.5,0,0.42,0.33)
    18      2:NUC      2:NUC       0.971 (EST1_YEAST,0.35,0.6,0.47,0.13,0.5,0,0.52,0.43)
    19      2:NUC      1:CYT   +   0.969 (ZUO1_YEAST,0.43,0.4,0.6,0.16,0.5,0,0.53,0.39)
    20      2:NUC      2:NUC       0.965 (MA3R_YEAST,0.33,0.37,0.54,0.28,0.5,0,0.53,0.27)
    21      2:NUC      2:NUC       0.775 (RPB6_YEAST,0.27,0.31,0.55,0.13,0.5,0,0.5,0.22)
    22      2:NUC      1:CYT   +   0.972 (PRI1_YEAST,0.33,0.35,0.56,0.19,0.5,0,0.5,0.22)
    23      2:NUC      2:NUC       0.62 (RA26_YEAST,0.47,0.43,0.48,0.16,0.5,0,0.46,0.27)
    24      2:NUC      1:CYT   +   0.823 (PDR3_YEAST,0.61,0.46,0.44,0.47,0.5,0,0.5,0.37)
    25      2:NUC      2:NUC       0.949 (SNF6_YEAST,0.55,0.4,0.62,0.22,0.5,0,0.37,0.28)
    26      2:NUC      2:NUC       0.798 (SNM1_YEAST,0.37,0.44,0.51,0.56,0.5,0,0.5,0.38)
    27      2:NUC      2:NUC       0.828 (HAP3_YEAST,0.28,0.51,0.55,0.11,0.5,0,0.46,0.22)
    28      2:NUC      2:NUC       0.565 (RIF1_YEAST,0.35,0.4,0.44,0.25,0.5,0,0.53,0.57)
    29      2:NUC      1:CYT   +   0.846 (YB00_YEAST,0.25,0.41,0.47,0.14,0.5,0,0.56,0.68)
    30      2:NUC      2:NUC       0.89 (MER1_YEAST,0.55,0.49,0.45,0.18,0.5,0,0.49,0.22)
    31      2:NUC      2:NUC       0.928 (YKW2_YEAST,0.41,0.47,0.5,0.14,0.5,0,0.53,0.37)
    32      2:NUC      1:CYT   +   0.98 (HSF_YEAST,0.34,0.35,0.61,0.19,0.5,0,0.52,0.25)
    33      2:NUC      1:CYT   +   0.818 (LOS1_YEAST,0.53,0.44,0.47,0.22,0.5,0,0.53,0.22)
    34      2:NUC      2:NUC       0.991 (PR04_YEAST,0.34,0.35,0.58,0.2,0.5,0,0.46,0.32)
    35      2:NUC      1:CYT   +   0.978 (TUP1_YEAST,0.5,0.43,0.56,0.17,0.5,0,0.35,0.22)
    36      2:NUC      1:CYT   +   0.755 (UME5_YEAST,0.34,0.42,0.48,0.19,0.5,0,0.46,0.31)
    37      3:MIT      3:MIT       0.947 (HS77_YEAST,0.51,0.5,0.49,0.45,0.5,0,0.48,0.22)
    38      3:MIT      2:NUC   +   0.988 (YAB1_YEAST,0.51,0.39,0.56,0.55,0.5,0,0.46,0.64)
    39      3:MIT      1:CYT   +   0.782 (MRS4_YEAST,0.4,0.74,0.49,0.16,0.5,0,0.51,0.22)
    40      3:MIT      3:MIT       0.637 (RM20_YEAST,0.41,0.52,0.53,0.41,0.5,0,0.39,0.33)
    41      3:MIT      1:CYT   +   0.469 (MD10_YEAST,0.32,0.47,0.55,0.25,0.5,0,0.49,0.22)
    42      3:MIT      3:MIT       0.992 (ACP_YEAST,0.52,0.53,0.58,0.69,0.5,0,0.5,0.22)
    43      3:MIT      1:CYT   +   0.459 (SUV3_YEAST,0.61,0.54,0.54,0.38,0.5,0,0.54,0.29)
    44      3:MIT      2:NUC   +   0.945 (IMP2_YEAST,0.35,0.49,0.47,0.22,0.5,0,0.5,0.28)
    45      3:MIT      1:CYT   +   0.787 (EFG2_YEAST,0.49,0.48,0.46,0.63,0.5,0,0.52,0.22)
    46      3:MIT      1:CYT   +   0.944 (HSP7_YEAST,0.38,0.46,0.52,0.75,0.5,0,0.5,0.26)
    47      3:MIT      2:NUC   +   0.665 (RM13_YEAST,0.6,0.57,0.64,0.52,0.5,0,0.47,0.28)
    48      3:MIT      3:MIT       0.834 (RIM1_YEAST,0.55,0.38,0.64,0.42,0.5,0,0.47,0.22)
    49      3:MIT      1:CYT   +   0.893 (LEU1_YEAST,0.52,0.62,0.54,0.19,0.5,0,0.5,0.22)
    50      3:MIT      3:MIT       0.972 (SYKM_YEAST,0.5,0.56,0.49,0.61,0.5,0,0.5,0.22)
    51      3:MIT      3:MIT       0.943 (HEM1_YEAST,0.57,0.59,0.5,0.58,0.5,0,0.53,0.22)
    52      3:MIT      1:CYT   +   0.461 (STF1_YEAST,0.55,0.41,0.67,0.61,0.5,0,0.49,0.14)
    53      3:MIT      2:NUC   +   0.51 (SYR_YEAST,0.46,0.44,0.53,0.31,0.5,0,0.48,0.22)
    54      1:CYT      1:CYT       1 (RL41_YEAST,0.35,0.21,1,0.8,0.5,0,0.13,0.01)
    55      1:CYT      1:CYT       0.848 (R272_YEAST,0.39,0.65,0.57,0.19,0.5,0,0.43,0.25)
    56      1:CYT      1:CYT       0.991 (RS28_YEAST,0.38,0.5,0.52,0.44,0.5,0,0.54,0.11)
    57      1:CYT      2:NUC   +   0.783 (GCY_YEAST,0.6,0.4,0.59,0.18,0.5,0,0.48,0.22)
    58      1:CYT      1:CYT       0.815 (YKM9_YEAST,0.41,0.45,0.46,0.23,0.5,0,0.5,0.7)
    59      1:CYT      4:ME3   +   0.948 (TPM2_YEAST,0.39,0.45,0.75,0.17,0.5,0,0.51,0.22)
    60      1:CYT      3:MIT   +   0.98 (SODC_YEAST,0.55,0.57,0.51,0.07,0.5,0,0.55,0.22)
    61      1:CYT      1:CYT       0.901 (SR68_YEAST,0.62,0.33,0.49,0.24,0.5,0,0.51,0.42)
    62      1:CYT      4:ME3   +   0.981 (CAP_YEAST,0.52,0.56,0.55,0.16,0.5,0,0.53,0.39)
    63      1:CYT      2:NUC   +   0.96 (SC13_YEAST,0.49,0.38,0.56,0.09,0.5,0,0.46,0.22)
    64      1:CYT      1:CYT       0.671 (IF2A_YEAST,0.51,0.59,0.55,0.21,0.5,0,0.52,0.22)
    65      1:CYT      3:MIT   +   0.687 (RS4E_YEAST,0.53,0.57,0.6,0.36,0.5,0,0.5,0.22)
    66      1:CYT      2:NUC   +   0.935 (TRPE_YEAST,0.33,0.46,0.53,0.12,0.5,0,0.5,0.27)
    67      1:CYT      2:NUC   +   0.944 (SYQ_YEAST,0.49,0.42,0.54,0.17,0.5,0,0.5,0.36)
    68      1:CYT      2:NUC   +   0.59 (TPIS_YEAST,0.44,0.49,0.49,0.27,0.5,0,0.52,0.22)
    69      1:CYT      1:CYT       0.661 (LEU3_YEAST,0.54,0.54,0.49,0.14,0.5,0,0.56,0.22)
    70      1:CYT      1:CYT       0.986 (HIS7_YEAST,0.56,0.44,0.56,0.19,0.5,0,0.54,0.22)
    71      1:CYT      1:CYT       0.98 (MAK3_YEAST,0.5,0.34,0.62,0.19,0.5,0,0.57,0.22)
    72      1:CYT      1:CYT       0.779 (IF2G_YEAST,0.51,0.35,0.46,0.15,0.5,0,0.51,0.42)
    73      1:CYT      2:NUC   +   0.711 (RL21_YEAST,0.4,0.28,0.58,0.44,0.5,0,0.41,0.22)
    74      1:CYT      1:CYT       0.537 (RNA1_YEAST,0.45,0.52,0.5,0.12,0.5,0,0.6,0.22)
    75      1:CYT      2:NUC   +   0.999 (6P2K_YEAST,0.45,0.41,0.49,0.14,1,0,0.53,0.3)
    76      1:CYT      1:CYT       0.499 (MA3S_YEAST,0.39,0.37,0.56,0.15,0.5,0,0.5,0.27)
    77      1:CYT      3:MIT   +   0.943 (R26A_YEAST,0.46,0.54,0.59,0.41,0.5,0,0.53,0.21)
    78      1:CYT      2:NUC   +   0.478 (SUP1_YEAST,0.41,0.49,0.55,0.13,0.5,0,0.55,0.22)
    79      1:CYT      1:CYT       0.858 (RL1_YEAST,0.35,0.33,0.48,0.42,0.5,0,0.47,0.43)
    80      1:CYT      1:CYT       0.981 (PRC5_YEAST,0.28,0.51,0.55,0.19,0.5,0,0.57,0.22)
    81      1:CYT      1:CYT       0.931 (RL19_YEAST,0.72,0.37,0.63,0.38,0.5,0,0.4,0.14)
    82      1:CYT      1:CYT       0.513 (HXKB_YEAST,0.41,0.43,0.5,0.28,0.5,0,0.5,0.22)
    83      1:CYT      2:NUC   +   0.597 (MLP1_YEAST,0.46,0.55,0.61,0.13,0.5,0,0.47,0.22)
    84      1:CYT      1:CYT       0.999 (EF1A_YEAST,0.63,0.43,0.48,0.11,0.5,0,0.51,0.22)
    85      1:CYT      2:NUC   +   0.941 (SYG_YEAST,0.4,0.48,0.5,0.17,0.5,0,0.54,0.5)
    86      1:CYT      1:CYT       0.544 (DHE4_YEAST,0.38,0.47,0.53,0.12,0.5,0,0.48,0.22)
    87      1:CYT      1:CYT       0.993 (RL12_YEAST,0.59,0.51,0.48,0.12,0.5,0,0.54,0.31)
    88      1:CYT      1:CYT       0.988 (TBA1_YEAST,0.59,0.46,0.57,0.17,0.5,0,0.52,0.22)
    89      1:CYT      1:CYT       0.912 (SYFA_YEAST,0.45,0.4,0.56,0.14,0.5,0,0.54,0.22)
    90      1:CYT      1:CYT       0.798 (PRCF_YEAST,0.35,0.47,0.53,0.19,0.5,0,0.48,0.22)
    91      6:ME1      3:MIT   +   1 (YB37_YEAST,0.8,0.82,0.4,0.31,0.5,0,0.57,0.25)
    92      6:ME1      6:ME1       1 (TIP1_YEAST,0.77,0.7,0.44,0.29,0.5,0,0.56,0.22)
    93      6:ME1      6:ME1       1 (OSTB_YEAST,0.78,0.71,0.35,0.25,0.5,0,0.49,0.22)
    94      6:ME1      6:ME1       1 (SRP1_YEAST,0.79,0.79,0.42,0.26,0.5,0,0.6,0.22)
    95      7:EXC      3:MIT   +   0.493 (YN70_YEAST,0.51,0.65,0.53,0.19,0.5,0,0.49,0.22)
    96      7:EXC      8:VAC   +   0.859 (S120_YEAST,0.7,0.58,0.53,0.39,0.5,0,0.59,0.22)
    97      7:EXC      6:ME1   +   1 (YGP1_YEAST,0.8,0.79,0.43,0.25,0.5,0,0.52,0.22)
    98      4:ME3      2:NUC   +   0.846 (ITR2_YEAST,0.35,0.53,0.35,0.33,0.5,0,0.5,0.32)
    99      4:ME3      3:MIT   +   0.598 (PIS_YEAST,0.47,0.61,0.5,0.23,0.5,0,0.49,0.22)
   100      4:ME3      2:NUC   +   0.592 (SSO2_YEAST,0.25,0.42,0.21,0.14,0.5,0,0.41,0.22)
   101      4:ME3      3:MIT   +   0.915 (MDL1_YEAST,0.51,0.47,0.41,0.44,0.5,0,0.5,0.22)
   102      4:ME3      2:NUC   +   0.764 (IRA1_YEAST,0.47,0.59,0.43,0.13,0.5,0,0.56,0.3)
   103      4:ME3      4:ME3       0.837 (GAL2_YEAST,0.44,0.51,0.37,0.15,0.5,0,0.51,0.22)
   104      4:ME3      1:CYT   +   0.492 (SKN1_YEAST,0.38,0.42,0.31,0.35,0.5,0,0.52,0.22)
   105      4:ME3      1:CYT   +   0.605 (SSO1_YEAST,0.41,0.42,0.23,0.16,0.5,0,0.4,0.22)
   106      4:ME3      4:ME3       0.998 (PMT1_YEAST,0.37,0.51,0.39,0.18,0.5,0,0.51,0.27)
