

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Sequence_Name,mcg,gvh,lip,chg,aac,alm1,alm2)
    10       5:om       3:pp   +   0.6 (PA1_ECOLI,0.68,0.63,0.48,0.5,0.73,0.4,0.3)
    11       1:cp       1:cp       1 (RNC_ECOLI,0.26,0.5,0.48,0.5,0.44,0.32,0.41)
    12       1:cp       1:cp       1 (PTCA_ECOLI,0.5,0.51,0.48,0.5,0.27,0.23,0.34)
    13       1:cp       1:cp       1 (SYE_ECOLI,0.38,0.44,0.48,0.5,0.43,0.2,0.31)
    14       1:cp       1:cp       1 (OTC2_ECOLI,0.48,0.42,0.48,0.5,0.45,0.25,0.35)
    15       1:cp       1:cp       1 (UBIC_ECOLI,0.3,0.37,0.48,0.5,0.43,0.18,0.3)
    16       1:cp       1:cp       1 (SYK1_ECOLI,0.24,0.41,0.48,0.5,0.49,0.23,0.34)
    17       1:cp       1:cp       1 (UVRB_ECOLI,0.22,0.34,0.48,0.5,0.42,0.29,0.39)
    18      4:imU       2:im   +   0.5 (CRED_ECOLI,0.78,0.33,0.48,0.5,0.57,0.77,0.79)
    19      4:imU       2:im   +   0.5 (KEFC_ECOLI,0.63,0.42,0.48,0.5,0.48,0.77,0.8)
    20      4:imU       2:im   +   0.5 (CAIT_ECOLI,0.69,0.43,0.48,0.5,0.59,0.74,0.77)
    21      4:imU      4:imU       0.75 (LEP_ECOLI,0.78,0.44,0.48,0.5,0.45,0.73,0.68)
    22       3:pp       1:cp   +   0.5 (ECOT_ECOLI,0.67,0.81,0.48,0.5,0.25,0.42,0.25)
    23       3:pp       3:pp       0.5 (TESA_ECOLI,0.69,0.66,0.48,0.5,0.41,0.5,0.25)
    24       3:pp       5:om   +   0.5 (AGP_ECOLI,0.74,0.49,0.48,0.5,0.42,0.54,0.36)
    25       3:pp       3:pp       0.625 (RBSB_ECOLI,0.64,0.81,0.48,0.5,0.37,0.39,0.44)
    26       3:pp       3:pp       0.5 (TORA_ECOLI,0.43,0.59,0.48,0.5,0.52,0.49,0.56)
    27      6:omL      4:imU   +   0.5 (NLPE_ECOLI,0.71,0.46,1,0.5,0.52,0.59,0.3)
     1       2:im       2:im       0.571 (YCEE_ECOLI,0.52,0.54,0.48,0.5,0.62,0.76,0.79)
     2       2:im       2:im       0.571 (PSTA_ECOLI,0.34,0.67,0.48,0.5,0.52,0.76,0.79)
     3       2:im       2:im       0.8 (POTE_ECOLI,0.63,0.65,0.48,0.5,0.66,0.67,0.71)
     4       2:im       2:im       0.333 (AMPE_ECOLI,0.63,0.47,0.48,0.5,0.51,0.82,0.84)
     5       2:im       2:im       1 (MALG_ECOLI,0.7,0.4,0.48,0.5,0.56,0.86,0.83)
     6       2:im       2:im       0.75 (FTSL_ECOLI,0.36,0.45,0.48,0.5,0.38,0.79,0.17)
     7       2:im       3:pp   +   1 (GLPT_ECOLI,0.31,0.5,0.48,0.5,0.57,0.84,0.85)
     8       2:im       2:im       1 (ARAE_ECOLI,0.23,0.48,0.48,0.5,0.59,0.88,0.89)
     9       5:om       3:pp   +   0.714 (OMPP_ECOLI,0.69,0.59,0.48,0.5,0.77,0.39,0.21)
    10       5:om       3:pp   +   1 (OMPF_ECOLI,0.75,0.76,0.48,0.5,0.83,0.57,0.3)
    11       1:cp       1:cp       0.667 (PFLB_ECOLI,0.29,0.41,0.48,0.5,0.48,0.38,0.46)
    12       1:cp       1:cp       1 (SYQ_ECOLI,0.28,0.33,0.48,0.5,0.45,0.22,0.33)
    13       1:cp       3:pp   +   0.4 (RNE_ECOLI,0.43,0.32,0.48,0.5,0.33,0.45,0.52)
    14       1:cp       1:cp       1 (RHAS_ECOLI,0.38,0.4,0.48,0.5,0.63,0.25,0.35)
    15       1:cp       1:cp       1 (NADA_ECOLI,0.26,0.26,0.48,0.5,0.34,0.25,0.35)
    16       1:cp       1:cp       1 (METX_ECOLI,0.25,0.37,0.48,0.5,0.43,0.26,0.36)
    17       1:cp       1:cp       1 (SERC_ECOLI,0.49,0.43,0.48,0.5,0.49,0.3,0.4)
    18      4:imU       2:im   +   1 (NUPC_ECOLI,0.7,0.53,0.48,0.5,0.7,0.86,0.87)
    19      4:imU       2:im   +   0.5 (MELB_ECOLI,0.47,0.46,0.48,0.5,0.62,0.74,0.77)
    20      4:imU       2:im   +   0.667 (BCR_ECOLI,0.79,0.41,0.48,0.5,0.66,0.81,0.83)
    21      4:imU       2:im   +   0.833 (DSBD_ECOLI,0.76,0.71,0.48,0.5,0.5,0.71,0.75)
    22       3:pp       3:pp       0.5 (GLNH_ECOLI,0.63,0.86,0.48,0.5,0.39,0.47,0.34)
    23       3:pp       1:cp   +   0.667 (DSBC_ECOLI,0.66,0.74,0.48,0.5,0.31,0.38,0.43)
    24       3:pp       1:cp   +   0.333 (AMY1_ECOLI,0.7,0.61,0.48,0.5,0.56,0.52,0.43)
    25       3:pp       5:om   +   0.5 (LIVJ_ECOLI,0.71,0.86,0.48,0.5,0.4,0.54,0.32)
    26       3:pp       3:pp       0.714 (USHA_ECOLI,0.61,0.6,0.48,0.5,0.44,0.39,0.38)
    27      6:omL       2:im   +   0.5 (PAL_ECOLI,0.67,0.55,1,0.5,0.66,0.58,0.16)
     1       2:im      4:imU   +   1 (TOLQ_ECOLI,0.63,0.75,0.48,0.5,0.64,0.73,0.66)
     2       2:im      4:imU   +   0.667 (FTSW_ECOLI,0.54,0.57,0.48,0.5,0.56,0.81,0.83)
     3       2:im       2:im       0.75 (FTSN_ECOLI,0,0.51,0.48,0.5,0.35,0.67,0.44)
     4       2:im       2:im       0.625 (NHAB_ECOLI,0.7,0.46,0.48,0.5,0.56,0.78,0.73)
     5       2:im       2:im       0.4 (PTGB_ECOLI,0.58,0.55,0.48,0.5,0.57,0.7,0.74)
     6       2:im       2:im       0.286 (SECY_ECOLI,0.31,0.36,0.48,0.5,0.58,0.94,0.94)
     7       2:im       2:im       0.75 (PHOR_ECOLI,0.61,0.52,0.48,0.5,0.54,0.67,0.52)
     8       2:im       5:om   +   0.5 (CYOC_ECOLI,0.12,0.67,0.48,0.5,0.74,0.58,0.63)
     9       5:om       5:om       1 (NFRA_ECOLI,0.61,0.75,0.48,0.5,0.51,0.33,0.33)
    10       5:om       3:pp   +   0.5 (CIRA_ECOLI,0.65,0.51,0.48,0.5,0.66,0.54,0.33)
    11       1:cp       1:cp       1 (TYRB_ECOLI,0.36,0.42,0.48,0.5,0.53,0.32,0.41)
    12       1:cp       1:cp       1 (SYK2_ECOLI,0.17,0.39,0.48,0.5,0.53,0.3,0.39)
    13       1:cp       1:cp       1 (SYY_ECOLI,0.3,0.44,0.48,0.5,0.49,0.22,0.33)
    14       1:cp       1:cp       1 (NIRD_ECOLI,0.44,0.42,0.48,0.5,0.42,0.25,0.2)
    15       1:cp       2:im   +   0.286 (PTHP_ECOLI,0.3,0.45,0.48,0.5,0.36,0.21,0.32)
    16       1:cp       1:cp       0.667 (PMBA_ECOLI,0.34,0.55,0.48,0.5,0.58,0.31,0.41)
    17       1:cp       1:cp       1 (SLYD_ECOLI,0.47,0.28,0.48,0.5,0.56,0.2,0.25)
    18      4:imU       2:im   +   1 (MCP2_ECOLI,0.81,0.53,0.48,0.5,0.57,0.87,0.88)
    19      4:imU      4:imU       1 (SECD_ECOLI,0.88,0.42,0.48,0.5,0.52,0.73,0.75)
    20      4:imU       3:pp   +   0.6 (TONB_ECOLI,0.57,0.38,0.48,0.5,0.06,0.49,0.33)
    21      4:imU       5:om   +   0.5 (MOTA_ECOLI,0.76,0.41,0.48,0.5,0.5,0.59,0.62)
    22       3:pp       3:pp       0.6 (PSTS_ECOLI,0.62,0.78,0.48,0.5,0.47,0.49,0.54)
    23       3:pp       3:pp       1 (FEPB_ECOLI,0.7,0.64,0.48,0.5,0.47,0.51,0.47)
    24       3:pp       3:pp       0.5 (BGLX_ECOLI,0.65,0.57,0.48,0.5,0.47,0.47,0.51)
    25       3:pp       1:cp   +   0.4 (CN16_ECOLI,0.67,0.7,0.48,0.5,0.46,0.45,0.33)
    26       3:pp       1:cp   +   0.5 (SUBI_ECOLI,0.62,0.83,0.48,0.5,0.46,0.36,0.4)
    27      7:imL       2:im   +   0.667 (CYOA_ECOLI,0.7,0.39,1,0.5,0.51,0.82,0.84)
     1       2:im       2:im       0.667 (TNAB_ECOLI,0.68,0.51,0.48,0.5,0.71,0.75,0.78)
     2       2:im       2:im       0.667 (CODB_ECOLI,0.29,0.47,0.48,0.5,0.71,0.65,0.69)
     3       2:im       2:im       0.5 (LLDP_ECOLI,0.66,0.53,0.48,0.5,0.59,0.66,0.66)
     4       2:im       2:im       0.8 (FTSQ_ECOLI,0.1,0.49,0.48,0.5,0.41,0.67,0.21)
     5       2:im       2:im       0.667 (PSTC_ECOLI,0.58,0.34,0.48,0.5,0.56,0.87,0.81)
     6       2:im       2:im       0.4 (PHEP_ECOLI,0.12,0.43,0.48,0.5,0.63,0.7,0.74)
     7       2:im       2:im       0.333 (CYOD_ECOLI,0.4,0.5,0.48,0.5,0.65,0.82,0.84)
     8       5:om       3:pp   +   0.5 (NMPC_ECOLI,0.67,0.84,0.48,0.5,0.74,0.54,0.37)
     9       5:om       5:om       1 (FEPA_ECOLI,0.64,0.57,0.48,0.5,0.7,0.33,0.26)
    10      8:imS       2:im   +   0.857 (NFRB_ECOLI,0.63,0.49,0.48,0.5,0.54,0.76,0.79)
    11       1:cp       1:cp       0.5 (SYP_ECOLI,0.34,0.51,0.48,0.5,0.44,0.37,0.46)
    12       1:cp       1:cp       1 (XYLA_ECOLI,0.16,0.43,0.48,0.5,0.54,0.27,0.37)
    13       1:cp       1:cp       1 (RNB_ECOLI,0.24,0.34,0.48,0.5,0.38,0.3,0.4)
    14       1:cp       3:pp   +   0.6 (SYA_ECOLI,0.34,0.35,0.48,0.5,0.51,0.49,0.56)
    15       1:cp       1:cp       1 (PFLA_ECOLI,0.44,0.28,0.48,0.5,0.43,0.27,0.37)
    16       1:cp       3:pp   +   0.75 (SYH_ECOLI,0.29,0.28,0.48,0.5,0.5,0.42,0.5)
    17       1:cp       1:cp       0.8 (SYM_ECOLI,0.61,0.36,0.48,0.5,0.49,0.35,0.44)
    18      4:imU       2:im   +   1 (SECG_ECOLI,0.84,0.54,0.48,0.5,0.75,0.92,0.7)
    19      4:imU       2:im   +   0.6 (ATKA_ECOLI,0.72,0.42,0.48,0.5,0.65,0.77,0.79)
    20      4:imU       2:im   +   0.667 (CYOB_ECOLI,0.59,0.29,0.48,0.5,0.64,0.75,0.77)
    21      4:imU       2:im   +   0.857 (MCP4_ECOLI,0.87,0.49,0.48,0.5,0.61,0.76,0.79)
    22       3:pp       3:pp       0.5 (OSMY_ECOLI,0.64,0.66,0.48,0.5,0.41,0.39,0.2)
    23       3:pp       3:pp       0.5 (MALM_ECOLI,0.74,0.47,0.48,0.5,0.5,0.57,0.42)
    24       3:pp       3:pp       0.5 (NRFA_ECOLI,0.69,0.67,0.48,0.5,0.3,0.39,0.24)
    25       3:pp       3:pp       0.5 (PTR_ECOLI,0.76,0.73,0.48,0.5,0.44,0.39,0.39)
    26       3:pp       3:pp       0.6 (CYPH_ECOLI,0.67,0.81,0.48,0.5,0.54,0.49,0.23)
    27      7:imL       3:pp   +   0.75 (NLPA_ECOLI,0.75,0.55,1,1,0.4,0.47,0.3)
     1       2:im       2:im       1 (TOLA_ECOLI,0.61,0.47,0.48,0.5,0,0.8,0.32)
     2       2:im       2:im       0.625 (XYLE_ECOLI,0.69,0.39,0.48,0.5,0.57,0.76,0.79)
     3       2:im       2:im       0.833 (DHSC_ECOLI,0.48,0.45,0.48,0.5,0.6,0.78,0.8)
     4       2:im       2:im       0.667 (PTMA_ECOLI,0.39,0.41,0.48,0.5,0.52,0.72,0.75)
     5       2:im       2:im       0.667 (LSPA_ECOLI,0.83,0.37,0.48,0.5,0.61,0.71,0.74)
     6       2:im       2:im       0.75 (GLNP_ECOLI,0.49,0.42,0.48,0.5,0.53,0.79,0.81)
     7       2:im       3:pp   +   0.75 (AAS_ECOLI,0.44,0.52,0.48,0.5,0.43,0.47,0.54)
     8       5:om       3:pp   +   1 (LAMB_ECOLI,0.67,0.88,0.48,0.5,0.73,0.5,0.25)
     9       5:om       3:pp   +   0.5 (PHOE_ECOLI,0.74,0.78,0.48,0.5,0.75,0.54,0.15)
    10      8:imS       3:pp   +   0.667 (ATKC_ECOLI,0.85,0.53,0.48,0.5,0.53,0.52,0.35)
    11       1:cp       1:cp       0.5 (PTWX_ECOLI,0.65,0.55,0.48,0.5,0.34,0.37,0.28)
    12       1:cp       1:cp       1 (PTCB_ECOLI,0.53,0.42,0.48,0.5,0.16,0.29,0.39)
    13       1:cp       3:pp   +   0.75 (SYGB_ECOLI,0.25,0.51,0.48,0.5,0.37,0.42,0.5)
    14       1:cp       2:im   +   0.289 (PTHA_ECOLI,0.41,0.43,0.48,0.5,0.5,0.24,0.25)
    15       1:cp       1:cp       1 (PHOH_ECOLI,0.29,0.47,0.48,0.5,0.41,0.23,0.34)
    16       1:cp       1:cp       1 (RIML_ECOLI,0.33,0.47,0.48,0.5,0.53,0.18,0.29)
    17       1:cp       2:im   +   0.289 (RIMJ_ECOLI,0.38,0.26,0.48,0.5,0.54,0.16,0.28)
    18      4:imU       2:im   +   0.6 (DMSC_ECOLI,0.66,0.48,0.48,0.5,0.54,0.7,0.74)
    19      4:imU       2:im   +   1 (UHPB_ECOLI,0.79,0.54,0.48,0.5,0.5,0.66,0.68)
    20      4:imU       2:im   +   0.833 (FEPD_ECOLI,0.84,0.49,0.48,0.5,0.55,0.78,0.74)
    21      4:imU       2:im   +   0.833 (FEPG_ECOLI,0.77,0.55,0.48,0.5,0.51,0.78,0.74)
    22       3:pp       3:pp       1 (POTF_ECOLI,0.66,0.71,0.48,0.5,0.41,0.5,0.35)
    23       3:pp       3:pp       0.4 (HTRA_ECOLI,0.63,0.71,0.48,0.5,0.6,0.4,0.39)
    24       3:pp       1:cp   +   0.5 (PROX_ECOLI,0.64,0.78,0.48,0.5,0.5,0.36,0.38)
    25       3:pp       2:im   +   1 (NRFF_ECOLI,0.7,0.71,0.48,0.5,0.42,0.84,0.85)
    26       3:pp       3:pp       0.667 (LIVK_ECOLI,0.68,0.78,0.48,0.5,0.43,0.44,0.42)
     1       2:im       2:im       1 (PTAA_ECOLI,0.59,0.56,0.48,0.5,0.55,0.8,0.82)
