

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Wifes_age,Wifes_education,Husbands_education,Number_of_children_ever_born,Wifes_religion,Wifes_now_working?,Husbands_occupation,Standard-of-living_index,Media_exposure)
   104        3:3        3:3       0.705 (29,3,4,5,1,1,3,3,0)
   105        3:3        3:3       0.64 (27,2,4,1,1,1,3,3,0)
   106        3:3        3:3       0.781 (29,3,4,3,1,1,3,2,0)
   107        3:3        3:3       0.581 (30,4,4,1,1,0,3,2,0)
   108        3:3        3:3       0.739 (21,3,4,2,1,1,3,3,0)
   109        3:3        2:2   +   0.725 (35,3,4,4,1,1,1,4,0)
   110        3:3        3:3       0.605 (26,2,4,3,1,1,1,3,0)
   111        3:3        3:3       0.708 (30,3,4,3,1,1,2,3,0)
   112        3:3        3:3       0.788 (26,2,3,2,1,1,3,3,0)
   113        3:3        3:3       0.539 (23,4,3,2,1,0,2,3,0)
   114        3:3        3:3       0.643 (21,3,3,1,1,1,3,1,0)
   115        3:3        3:3       0.678 (34,2,4,4,1,1,3,3,0)
   116        3:3        3:3       0.668 (21,3,3,1,0,1,3,2,0)
   117        3:3        3:3       0.524 (25,3,4,2,1,0,2,4,0)
   118        3:3        3:3       0.514 (26,3,4,4,1,1,2,4,0)
     1        1:1        2:2   +   0.582 (28,4,4,5,1,1,1,4,0)
     2        1:1        2:2   +   0.568 (39,3,4,3,1,1,1,4,0)
     3        1:1        1:1       0.344 (48,3,4,11,1,1,1,4,0)
     4        1:1        1:1       0.569 (44,1,2,2,1,1,3,1,0)
     5        1:1        1:1       0.852 (38,2,2,10,1,1,3,2,0)
     6        1:1        1:1       0.931 (25,2,3,0,1,1,2,4,0)
     7        1:1        3:3   +   0.552 (30,2,3,1,1,1,2,1,0)
     8        1:1        3:3   +   0.723 (26,2,4,3,1,1,3,4,0)
     9        1:1        1:1       0.929 (45,3,4,0,1,1,1,3,0)
    10        1:1        1:1       0.933 (20,3,4,0,1,1,3,3,0)
    11        1:1        3:3   +   0.588 (26,2,3,1,1,0,4,4,0)
    12        1:1        1:1       0.811 (19,4,4,0,0,1,3,4,0)
    13        1:1        1:1       0.912 (21,2,4,0,1,1,2,2,0)
    14        1:1        1:1       0.989 (49,1,2,8,1,1,3,1,1)
    15        1:1        1:1       0.986 (22,2,1,0,1,1,2,2,0)
    16        1:1        1:1       0.71 (39,2,2,5,1,0,3,2,1)
    17        1:1        1:1       0.488 (49,3,4,6,1,1,1,4,0)
    18        1:1        3:3   +   0.554 (30,1,3,1,1,1,3,4,0)
    19        1:1        1:1       0.481 (44,1,3,4,1,1,3,3,1)
    20        1:1        3:3   +   0.594 (25,3,3,1,1,1,3,4,0)
    21        1:1        2:2   +   0.771 (48,4,4,1,0,1,1,4,0)
    22        1:1        1:1       0.897 (27,3,4,0,1,0,3,3,0)
    23        1:1        2:2   +   0.73 (24,4,4,4,1,1,1,4,0)
    24        1:1        3:3   +   0.582 (34,1,3,4,1,0,3,4,0)
    25        1:1        1:1       0.852 (38,1,2,12,1,1,2,3,0)
    26        1:1        1:1       0.828 (46,1,2,3,1,1,2,1,1)
    27        1:1        1:1       0.595 (45,2,3,11,1,1,2,3,0)
    28        1:1        2:2   +   0.698 (43,4,4,6,1,1,1,3,0)
    29        1:1        2:2   +   0.665 (47,4,4,1,1,1,1,4,0)
    30        1:1        1:1       0.897 (47,2,3,12,1,1,3,1,0)
    31        1:1        3:3   +   0.563 (19,4,4,1,1,1,1,3,0)
    32        1:1        3:3   +   0.643 (35,3,3,2,1,0,2,2,0)
    33        1:1        3:3   +   0.5 (31,3,3,1,1,0,3,4,0)
    34        1:1        1:1       0.851 (40,1,1,2,1,0,3,4,0)
    35        2:2        3:3   +   0.561 (36,4,4,3,1,1,3,3,0)
    36        2:2        1:1   +   0.636 (47,3,4,11,1,0,2,3,0)
    37        2:2        1:1   +   0.659 (26,1,1,2,1,1,3,4,0)
    38        2:2        3:3   +   0.705 (27,3,3,2,1,1,3,4,0)
    39        2:2        2:2       0.74 (40,4,4,3,1,1,1,4,0)
    40        2:2        3:3   +   0.542 (21,2,2,1,1,1,3,2,0)
    41        2:2        2:2       0.823 (38,4,4,3,1,0,1,4,0)
    42        2:2        3:3   +   0.629 (21,4,4,1,1,1,2,1,0)
    43        2:2        3:3   +   0.51 (21,4,4,1,1,1,1,4,0)
    44        2:2        1:1   +   0.662 (32,2,1,5,1,0,2,2,0)
    45        2:2        3:3   +   0.363 (43,3,4,2,1,0,2,4,0)
    46        2:2        3:3   +   0.583 (35,2,2,6,1,1,3,4,0)
    47        2:2        3:3   +   0.453 (44,3,4,6,1,1,3,2,0)
    48        2:2        2:2       0.677 (48,4,4,6,0,1,2,4,0)
    49        2:2        3:3   +   0.472 (32,4,4,3,0,1,3,3,0)
    50        2:2        2:2       0.871 (39,4,4,3,0,0,1,4,0)
    51        2:2        1:1   +   0.504 (49,3,4,4,1,1,3,4,0)
    52        2:2        2:2       0.56 (39,4,4,5,1,1,2,4,0)
    53        2:2        1:1   +   0.627 (49,3,3,11,1,1,1,4,0)
    54        2:2        3:3   +   0.53 (30,3,4,2,1,1,1,4,0)
    55        2:2        2:2       0.692 (39,4,4,3,0,1,2,4,0)
    56        2:2        2:2       0.583 (26,4,4,1,1,0,1,3,0)
    57        2:2        2:2       0.463 (48,4,3,7,1,0,2,4,0)
    58        2:2        2:2       0.835 (42,4,4,6,1,1,1,3,0)
    59        2:2        1:1   +   0.733 (28,2,1,2,1,0,3,3,0)
    60        2:2        2:2       0.888 (44,4,4,3,1,0,1,4,0)
    61        2:2        3:3   +   0.48 (36,3,4,7,1,1,2,2,0)
    62        2:2        3:3   +   0.53 (22,4,4,1,1,1,1,3,0)
    63        2:2        1:1   +   0.645 (18,3,4,1,1,1,3,4,0)
    64        2:2        3:3   +   0.739 (33,3,3,5,1,1,3,4,0)
    65        2:2        3:3   +   0.548 (25,4,4,2,1,1,2,4,0)
    66        2:2        2:2       0.744 (44,4,4,4,1,0,2,3,0)
    67        2:2        2:2       0.848 (39,4,4,3,0,1,1,4,0)
    68        3:3        2:2   +   0.594 (30,4,4,3,0,0,2,4,0)
    69        3:3        3:3       0.594 (25,2,4,2,1,1,2,4,0)
    70        3:3        3:3       0.712 (29,2,4,2,1,1,3,2,0)
    71        3:3        3:3       0.67 (22,4,4,1,1,1,3,3,0)
    72        3:3        3:3       0.665 (30,2,2,2,1,1,3,2,0)
    73        3:3        3:3       0.547 (27,4,4,2,1,1,3,4,0)
    74        3:3        3:3       0.494 (21,4,4,1,0,1,2,4,0)
    75        3:3        3:3       0.65 (27,2,4,4,1,1,3,4,0)
    76        3:3        1:1   +   0.499 (25,2,2,1,1,1,3,3,0)
    77        3:3        2:2   +   0.602 (26,4,4,1,0,0,2,4,0)
    78        3:3        3:3       0.576 (27,3,3,1,1,0,3,3,0)
    79        3:3        3:3       0.747 (27,3,3,3,1,1,2,3,0)
    80        3:3        3:3       0.628 (21,3,3,1,1,1,2,2,0)
    81        3:3        3:3       0.778 (32,2,3,4,1,1,3,2,0)
    82        3:3        3:3       0.779 (30,3,3,3,1,0,3,2,0)
    83        3:3        3:3       0.665 (24,3,3,3,1,0,2,1,0)
    84        3:3        3:3       0.553 (34,2,4,6,1,1,3,3,0)
    85        3:3        1:1   +   0.463 (42,2,4,6,1,1,2,4,0)
    86        3:3        3:3       0.633 (32,4,3,3,1,1,2,4,0)
    87        3:3        2:2   +   0.655 (32,4,4,4,1,1,1,3,0)
    88        3:3        3:3       0.552 (24,3,4,1,1,1,3,4,0)
    89        3:3        3:3       0.548 (25,4,4,2,1,1,2,4,0)
    90        3:3        3:3       0.673 (27,3,4,4,1,1,3,3,0)
    91        3:3        3:3       0.54 (26,4,4,3,1,1,3,4,0)
    92        3:3        1:1   +   0.672 (20,2,3,1,1,1,2,1,0)
    93        3:3        2:2   +   0.578 (37,4,4,6,1,0,3,4,0)
    94        3:3        3:3       0.475 (38,3,3,2,0,1,3,4,0)
    95        3:3        1:1   +   0.675 (22,1,2,3,1,1,3,1,1)
    96        3:3        2:2   +   0.631 (37,4,4,3,0,1,3,4,0)
    97        3:3        3:3       0.71 (22,2,2,3,1,0,3,3,0)
    98        3:3        1:1   +   0.542 (29,1,2,1,1,1,3,3,0)
    99        3:3        3:3       0.681 (31,3,4,5,1,1,3,1,0)
   100        3:3        3:3       0.547 (35,2,4,6,1,1,3,4,0)
   101        3:3        2:2   +   0.553 (30,4,4,1,1,1,1,4,0)
   102        3:3        3:3       0.606 (29,3,4,5,1,1,1,2,0)
   103        3:3        2:2   +   0.472 (24,3,4,3,1,1,1,4,0)
   104        3:3        2:2   +   0.452 (26,4,4,1,1,0,2,4,0)
   105        3:3        3:3       0.723 (26,2,4,3,1,1,3,4,0)
   106        3:3        3:3       0.766 (29,2,4,3,1,1,3,3,0)
   107        3:3        3:3       0.667 (22,3,4,1,1,1,3,3,0)
   108        3:3        3:3       0.751 (25,4,3,2,1,1,3,3,0)
   109        3:3        2:2   +   0.556 (34,4,3,3,0,1,2,4,0)
   110        3:3        3:3       0.742 (29,2,4,4,1,1,3,2,0)
   111        3:3        3:3       0.739 (25,2,4,3,1,1,3,2,0)
   112        3:3        3:3       0.632 (27,2,2,5,1,1,3,1,0)
   113        3:3        1:1   +   0.432 (39,4,3,1,1,0,2,2,0)
   114        3:3        3:3       0.455 (28,4,4,1,1,1,2,4,0)
   115        3:3        3:3       0.717 (29,2,3,5,1,1,2,4,0)
   116        3:3        3:3       0.591 (21,3,4,1,1,0,3,4,0)
   117        3:3        3:3       0.768 (30,3,4,3,1,1,3,3,0)
   118        3:3        1:1   +   0.785 (20,2,2,2,1,1,3,2,1)
     1        1:1        3:3   +   0.611 (25,3,3,1,1,1,2,2,0)
     2        1:1        3:3   +   0.609 (25,2,2,2,1,1,3,1,0)
     3        1:1        3:3   +   0.537 (16,3,4,1,1,1,3,3,0)
     4        1:1        3:3   +   0.593 (24,3,4,1,1,0,3,3,0)
     5        1:1        3:3   +   0.561 (29,3,4,2,1,1,1,3,0)
     6        1:1        3:3   +   0.422 (23,4,4,1,1,0,3,3,0)
     7        1:1        3:3   +   0.509 (26,1,3,1,1,1,3,1,0)
     8        1:1        1:1       0.873 (22,4,4,0,1,0,2,4,0)
     9        1:1        1:1       0.892 (29,2,4,0,1,0,3,4,0)
    10        1:1        3:3   +   0.489 (25,4,4,1,1,1,1,4,0)
    11        1:1        1:1       0.879 (37,3,4,0,1,1,3,4,0)
    12        1:1        3:3   +   0.668 (21,2,2,1,1,1,3,2,0)
    13        1:1        2:2   +   0.762 (35,4,4,3,1,1,1,4,0)
    14        1:1        1:1       0.831 (47,2,4,2,1,1,3,2,1)
    15        1:1        1:1       0.937 (29,3,2,0,1,1,2,2,0)
    16        1:1        3:3   +   0.807 (22,2,4,4,1,1,3,4,0)
    17        1:1        1:1       0.888 (21,2,3,0,1,1,3,4,0)
    18        1:1        2:2   +   0.63 (48,3,4,4,0,1,2,4,0)
    19        1:1        3:3   +   0.715 (27,3,3,4,1,1,2,4,0)
    20        1:1        3:3   +   0.639 (20,3,4,2,1,1,3,2,0)
    21        1:1        1:1       0.754 (18,3,2,1,1,1,3,1,0)
    22        1:1        2:2   +   0.678 (32,4,4,3,1,1,1,4,0)
    23        1:1        2:2   +   0.577 (49,3,4,9,1,1,1,4,0)
    24        1:1        1:1       0.57 (38,1,3,4,1,0,2,2,0)
    25        1:1        2:2   +   0.534 (28,4,4,1,0,1,1,3,0)
    26        1:1        1:1       0.489 (38,2,2,6,1,1,3,4,0)
    27        1:1        1:1       0.874 (25,4,4,0,0,1,2,4,0)
    28        1:1        2:2   +   0.873 (49,4,4,6,0,0,1,4,0)
    29        1:1        1:1       0.883 (43,1,2,1,1,1,3,4,1)
    30        1:1        1:1       0.941 (47,1,1,1,1,1,3,4,0)
    31        1:1        2:2   +   0.619 (49,4,4,4,1,1,3,4,0)
    32        1:1        3:3   +   0.639 (25,3,3,1,1,1,3,1,0)
    33        1:1        3:3   +   0.511 (35,2,3,8,1,1,3,2,0)
    34        1:1        2:2   +   0.72 (43,4,4,3,0,1,2,4,0)
    35        2:2        3:3   +   0.502 (24,4,4,1,0,1,2,3,0)
    36        2:2        2:2       0.53 (33,3,4,2,1,1,1,4,0)
    37        2:2        2:2       0.69 (32,4,4,2,1,0,1,4,0)
    38        2:2        3:3   +   0.45 (31,4,2,2,0,1,1,3,0)
    39        2:2        3:3   +   0.388 (23,4,4,1,1,1,1,2,0)
    40        2:2        3:3   +   0.587 (27,4,4,1,1,0,3,3,0)
    41        2:2        2:2       0.765 (33,4,4,4,1,1,1,4,0)
    42        2:2        2:2       0.58 (24,4,4,1,1,0,1,4,0)
    43        2:2        3:3   +   0.469 (37,4,4,5,1,1,3,4,0)
    44        2:2        2:2       0.842 (42,4,3,7,1,0,1,4,0)
    45        2:2        3:3   +   0.794 (35,3,3,4,1,1,3,2,0)
    46        2:2        3:3   +   0.547 (25,2,3,1,1,0,4,4,0)
    47        2:2        3:3   +   0.635 (19,4,4,1,1,1,2,3,0)
    48        2:2        2:2       0.681 (32,4,4,4,0,0,2,4,0)
    49        2:2        2:2       0.565 (35,4,4,5,1,1,2,4,0)
    50        2:2        2:2       0.643 (36,4,4,3,1,0,2,4,0)
    51        2:2        3:3   +   0.57 (25,2,4,3,1,1,1,4,1)
    52        2:2        3:3   +   0.767 (26,2,2,4,1,1,3,4,0)
    53        2:2        2:2       0.489 (32,4,4,4,1,1,2,4,0)
    54        2:2        3:3   +   0.377 (40,3,4,2,0,1,3,4,0)
    55        2:2        3:3   +   0.743 (25,3,4,3,1,1,2,3,0)
    56        2:2        2:2       0.81 (39,4,4,3,1,1,1,4,0)
    57        2:2        3:3   +   0.482 (29,4,4,1,1,0,2,4,0)
    58        2:2        2:2       0.501 (26,4,4,1,0,1,2,4,0)
    59        2:2        3:3   +   0.535 (44,2,4,4,1,1,3,3,0)
    60        2:2        3:3   +   0.475 (27,3,3,1,0,0,2,4,0)
    61        2:2        1:1   +   0.482 (40,2,3,6,1,1,1,2,0)
    62        2:2        3:3   +   0.661 (17,4,4,1,1,1,2,4,0)
    63        2:2        2:2       0.471 (45,3,3,5,0,1,1,3,0)
    64        2:2        1:1   +   0.566 (45,3,3,7,1,1,3,4,0)
    65        2:2        2:2       0.906 (36,4,4,4,0,0,1,4,0)
    66        2:2        2:2       0.465 (25,4,4,2,0,1,1,3,0)
    67        2:2        3:3   +   0.707 (35,2,4,4,0,1,3,2,0)
    68        3:3        1:1   +   0.49 (36,2,4,11,1,1,1,4,1)
    69        3:3        3:3       0.628 (26,3,3,2,1,0,2,2,0)
    70        3:3        3:3       0.816 (29,2,3,4,1,1,2,1,0)
    71        3:3        2:2   +   0.79 (37,4,4,6,1,1,1,4,0)
    72        3:3        1:1   +   0.553 (33,2,2,7,1,0,2,3,0)
    73        3:3        3:3       0.537 (35,4,3,2,0,1,3,4,0)
    74        3:3        3:3       0.566 (25,3,3,1,1,1,2,1,0)
    75        3:3        3:3       0.732 (27,2,2,5,1,1,3,3,0)
    76        3:3        2:2   +   0.839 (45,4,4,3,1,1,1,4,0)
    77        3:3        3:3       0.608 (19,4,4,1,1,1,2,4,0)
    78        3:3        2:2   +   0.359 (33,3,4,8,1,1,3,4,0)
    79        3:3        3:3       0.813 (29,3,3,2,1,1,3,2,0)
    80        3:3        3:3       0.538 (46,3,4,9,1,1,3,4,0)
    81        3:3        1:1   +   0.555 (23,3,3,1,1,1,2,2,0)
    82        3:3        3:3       0.794 (22,2,4,2,1,1,3,2,0)
    83        3:3        2:2   +   0.62 (40,3,4,3,1,0,1,4,0)
    84        3:3        3:3       0.525 (32,3,4,5,0,1,3,4,0)
    85        3:3        3:3       0.797 (29,3,3,4,1,1,3,4,0)
    86        3:3        3:3       0.744 (26,2,4,3,1,1,3,4,0)
    87        3:3        1:1   +   0.753 (39,1,2,2,1,0,2,4,0)
    88        3:3        2:2   +   0.762 (35,4,4,3,1,1,1,4,0)
    89        3:3        2:2   +   0.474 (25,4,4,3,1,1,1,4,0)
    90        3:3        1:1   +   0.484 (30,2,2,6,1,0,2,3,0)
    91        3:3        3:3       0.499 (26,3,4,2,1,1,1,3,0)
    92        3:3        2:2   +   0.716 (31,4,4,5,1,0,1,4,0)
    93        3:3        2:2   +   0.773 (35,4,4,2,1,0,1,4,0)
    94        3:3        3:3       0.806 (26,3,3,3,1,1,3,3,0)
    95        3:3        2:2   +   0.744 (33,4,4,5,1,1,1,4,0)
    96        3:3        3:3       0.704 (30,3,4,3,1,1,3,4,0)
    97        3:3        3:3       0.491 (23,4,3,1,1,1,2,2,0)
    98        3:3        3:3       0.621 (35,2,3,6,1,0,3,3,0)
    99        3:3        1:1   +   0.592 (23,3,2,2,1,0,3,2,0)
   100        3:3        3:3       0.668 (27,3,4,4,1,1,3,4,0)
   101        3:3        3:3       0.544 (27,3,4,2,1,1,1,3,0)
   102        3:3        2:2   +   0.719 (34,4,4,2,0,0,2,4,0)
   103        3:3        2:2   +   0.551 (38,4,4,2,1,1,3,4,0)
   104        3:3        1:1   +   0.458 (23,3,4,1,1,1,2,3,0)
   105        3:3        2:2   +   0.731 (32,4,4,3,1,0,1,4,0)
   106        3:3        2:2   +   0.494 (41,4,4,1,1,1,3,3,0)
   107        3:3        3:3       0.628 (24,1,2,3,1,1,3,2,0)
   108        3:3        3:3       0.548 (36,2,3,7,1,1,3,3,0)
   109        3:3        2:2   +   0.387 (38,3,4,7,1,1,3,2,0)
   110        3:3        1:1   +   0.958 (17,2,2,0,1,0,3,2,0)
   111        3:3        2:2   +   0.372 (48,3,4,3,1,1,2,3,0)
   112        3:3        3:3       0.583 (28,3,3,2,0,1,2,3,0)
   113        3:3        2:2   +   0.706 (29,4,4,3,1,0,1,4,0)
   114        3:3        1:1   +   0.652 (36,1,1,5,1,1,3,3,0)
   115        3:3        2:2   +   0.653 (41,3,3,7,0,1,2,4,0)
   116        3:3        1:1   +   0.45 (43,3,3,8,1,1,1,3,0)
   117        3:3        1:1   +   0.631 (21,1,3,1,1,1,3,3,1)
   118        3:3        3:3       0.647 (25,4,4,1,0,1,3,3,0)
     1        1:1        2:2   +   0.6 (26,4,4,2,1,1,1,3,0)
     2        1:1        3:3   +   0.716 (25,4,4,2,1,1,3,2,0)
     3        1:1        1:1       0.964 (49,1,2,5,1,0,2,2,1)
     4        1:1        3:3   +   0.496 (28,1,4,2,1,0,2,3,0)
     5        1:1        2:2   +   0.656 (27,4,4,3,1,1,1,4,0)
     6        1:1        1:1       0.521 (43,3,4,10,1,1,3,3,0)
     7        1:1        1:1       0.903 (25,3,3,0,1,1,3,4,0)
     8        1:1        1:1       0.847 (42,4,4,0,0,0,3,4,0)
     9        1:1        1:1       0.834 (32,3,4,0,1,1,3,4,0)
    10        1:1        3:3   +   0.662 (21,4,4,1,1,1,3,3,0)
    11        1:1        2:2   +   0.538 (45,3,4,3,0,1,3,4,0)
    12        1:1        1:1       0.904 (36,2,2,0,0,0,3,3,0)
    13        1:1        2:2   +   0.451 (28,4,4,2,1,1,1,3,0)
    14        1:1        1:1       0.474 (44,1,2,2,1,1,2,4,0)
    15        1:1        1:1       0.741 (22,2,2,1,1,1,3,1,1)
    16        1:1        3:3   +   0.7 (24,2,2,3,1,1,2,4,0)
    17        1:1        2:2   +   0.824 (44,4,4,3,1,0,1,4,1)
    18        1:1        3:3   +   0.513 (29,1,2,7,1,1,2,4,0)
    19        1:1        1:1       0.893 (21,3,3,0,1,1,2,2,0)
    20        1:1        3:3   +   0.775 (28,3,3,5,1,1,3,3,0)
    21        1:1        1:1       0.711 (47,2,3,5,1,1,1,1,0)
    22        1:1        3:3   +   0.474 (30,3,4,5,1,1,1,4,0)
    23        1:1        1:1       0.823 (31,4,4,0,0,0,2,4,0)
    24        1:1        3:3   +   0.476 (30,4,4,3,1,0,2,4,0)
    25        1:1        3:3   +   0.693 (25,2,3,2,1,1,3,2,0)
    26        1:1        3:3   +   0.605 (23,3,3,6,1,1,3,3,0)
    27        1:1        3:3   +   0.514 (26,3,4,1,0,1,2,2,0)
    28        1:1        3:3   +   0.497 (23,4,4,1,1,1,2,3,0)
