

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square)
    50 1:positive 1:positive       0.882 (b,x,x,o,x,o,x,o,b)
    51 1:positive 1:positive       0.895 (o,o,x,b,x,o,x,b,x)
    52 1:positive 1:positive       0.823 (b,x,o,x,x,o,o,x,b)
    53 1:positive 1:positive       1 (o,x,x,b,x,o,x,o,b)
    54 1:positive 1:positive       1 (o,b,x,b,b,x,b,o,x)
    55 1:positive 1:positive       0.823 (x,b,o,o,x,o,b,x,x)
    56 1:positive 1:positive       0.789 (o,b,b,o,o,x,x,x,x)
    57 1:positive 1:positive       1 (b,x,o,o,x,x,b,x,o)
    58 1:positive 1:positive       0.75 (o,b,o,x,x,x,x,b,o)
    59 1:positive 1:positive       1 (o,x,x,o,b,x,b,o,x)
    60 1:positive 1:positive       0.889 (o,x,x,b,x,o,b,x,o)
    61 1:positive 1:positive       0.818 (b,b,o,b,o,b,x,x,x)
    62 1:positive 1:positive       1 (o,b,x,b,x,o,x,b,b)
    63 1:positive 1:positive       0.875 (x,b,o,x,x,b,x,o,o)
    64 1:positive 1:positive       0.652 (o,o,x,x,x,x,o,x,o)
    65 1:positive 1:positive       0.8 (x,b,b,o,x,b,o,b,x)
    66 1:positive 1:positive       0.789 (x,b,b,x,o,o,x,b,b)
    67 1:positive 1:positive       1 (b,o,x,b,x,o,x,b,b)
    68 1:positive 1:positive       0.895 (x,b,b,o,x,o,x,o,x)
    69 1:positive 1:positive       1 (x,o,b,o,b,o,x,x,x)
    70 1:positive 1:positive       0.913 (o,b,x,o,x,b,x,o,x)
    71 1:positive 1:positive       0.826 (o,b,x,o,x,o,x,x,b)
    72 1:positive 1:positive       1 (b,o,b,o,x,o,x,x,x)
    73 1:positive 1:positive       0.773 (b,o,x,b,x,x,x,o,o)
    74 1:positive 1:positive       0.818 (x,o,b,x,o,o,x,x,b)
    75 1:positive 1:positive       0.882 (x,b,o,b,x,o,x,o,x)
    76 1:positive 1:positive       0.647 (o,x,x,o,o,x,b,b,x)
    77 1:positive 1:positive       0.857 (b,o,o,x,x,x,x,b,o)
     1 2:negative 2:negative       0.867 (x,x,o,b,o,o,x,x,o)
     2 2:negative 2:negative       0.823 (o,b,x,b,o,x,b,x,o)
     3 2:negative 2:negative       0.7 (o,o,x,x,o,b,x,x,o)
     4 2:negative 2:negative       0.647 (o,b,o,x,x,o,x,x,o)
     5 2:negative 2:negative       0.917 (o,x,b,o,x,b,o,b,x)
     6 2:negative 2:negative       1 (b,x,o,x,o,b,o,b,x)
     7 2:negative 2:negative       0.687 (o,o,o,b,x,x,x,x,o)
     8 2:negative 2:negative       0.812 (o,x,x,b,o,x,b,b,o)
     9 2:negative 1:positive   +   0.5 (o,x,x,x,x,o,o,o,x)
    10 2:negative 2:negative       0.875 (o,x,x,o,o,b,o,x,x)
    11 2:negative 2:negative       0.714 (o,o,o,x,x,b,x,x,o)
    12 2:negative 2:negative       0.833 (x,x,o,o,o,x,x,x,o)
    13 2:negative 2:negative       0.714 (o,b,b,x,o,x,x,b,o)
    14 2:negative 2:negative       0.682 (o,b,o,x,o,x,o,x,x)
    15 2:negative 2:negative       0.687 (b,x,x,o,o,o,x,x,o)
    16 2:negative 2:negative       0.733 (b,b,o,x,o,b,o,x,x)
    17 2:negative 2:negative       1 (o,x,x,o,b,x,o,x,o)
    18 2:negative 2:negative       0.625 (b,b,o,b,x,o,x,x,o)
    19 2:negative 2:negative       0.6 (b,b,o,x,o,x,o,b,x)
    20 2:negative 2:negative       0.882 (x,o,o,b,o,x,o,x,x)
    21 2:negative 2:negative       1 (o,x,x,o,o,x,o,x,b)
    22 2:negative 2:negative       0.889 (x,o,o,b,x,o,x,x,o)
    23 2:negative 2:negative       0.789 (o,x,x,x,o,x,b,o,o)
    24 2:negative 2:negative       0.6 (b,b,x,b,x,x,o,o,o)
    25 2:negative 2:negative       0.769 (o,x,o,x,o,x,x,o,x)
    26 2:negative 2:negative       1 (b,x,o,x,b,o,x,b,o)
    27 2:negative 2:negative       1 (o,x,x,o,b,b,o,b,x)
    28 2:negative 2:negative       0.8 (x,x,o,o,o,x,x,o,x)
    29 2:negative 2:negative       0.684 (x,b,o,x,o,o,o,x,x)
    30 2:negative 2:negative       0.846 (b,x,o,x,o,o,x,x,o)
    31 2:negative 2:negative       1 (x,b,x,o,o,o,b,x,b)
    32 2:negative 2:negative       0.812 (b,o,o,x,o,x,x,o,x)
    33 2:negative 2:negative       0.706 (o,x,x,x,x,b,o,o,o)
    34 2:negative 2:negative       0.882 (x,x,o,x,o,o,o,x,b)
    35 1:positive 1:positive       1 (b,o,b,x,x,x,o,b,b)
    36 1:positive 1:positive       0.778 (x,b,b,x,b,b,x,o,o)
    37 1:positive 1:positive       0.778 (x,b,x,b,x,o,x,o,o)
    38 1:positive 1:positive       0.823 (b,x,o,o,x,x,o,x,b)
    39 1:positive 1:positive       0.875 (x,o,b,o,x,o,x,b,x)
    40 1:positive 1:positive       0.812 (o,o,b,x,x,x,b,x,o)
    41 1:positive 1:positive       0.812 (o,x,b,b,o,o,x,x,x)
    42 1:positive 1:positive       0.889 (o,b,b,x,x,x,x,o,o)
    43 1:positive 1:positive       1 (o,x,b,b,x,o,o,x,x)
    44 1:positive 1:positive       0.737 (o,o,x,o,x,b,x,x,b)
    45 1:positive 1:positive       0.632 (o,x,x,x,o,x,o,o,x)
    46 1:positive 1:positive       1 (o,b,o,b,b,b,x,x,x)
    47 1:positive 1:positive       0.937 (b,o,o,b,x,o,x,x,x)
    48 1:positive 1:positive       1 (b,b,x,o,x,b,x,b,o)
    49 1:positive 1:positive       0.818 (o,o,x,b,o,b,x,x,x)
    50 1:positive 1:positive       1 (b,o,b,x,x,x,o,x,o)
    51 1:positive 1:positive       0.667 (x,b,b,x,o,x,x,o,o)
    52 1:positive 1:positive       0.632 (o,x,o,x,x,x,x,o,o)
    53 1:positive 1:positive       0.769 (x,b,o,x,o,x,x,o,b)
    54 1:positive 1:positive       0.765 (x,o,b,b,x,b,b,o,x)
    55 1:positive 1:positive       0.818 (o,o,x,o,x,b,x,b,x)
    56 1:positive 1:positive       0.789 (o,x,o,b,x,b,x,x,o)
    57 1:positive 1:positive       0.773 (o,b,x,o,x,b,x,x,o)
    58 1:positive 1:positive       0.75 (o,x,o,x,x,b,o,x,b)
    59 1:positive 1:positive       0.905 (o,b,x,b,o,x,b,b,x)
    60 1:positive 1:positive       1 (x,o,b,x,b,o,x,x,o)
    61 1:positive 1:positive       1 (x,b,o,x,b,b,x,o,b)
    62 1:positive 1:positive       1 (b,b,o,x,x,x,b,o,b)
    63 1:positive 1:positive       0.809 (b,o,x,b,x,b,x,o,b)
    64 1:positive 1:positive       0.857 (b,o,o,x,x,x,b,o,x)
    65 1:positive 1:positive       0.889 (o,o,x,b,x,o,x,x,b)
    66 1:positive 1:positive       0.826 (o,o,x,b,b,x,b,b,x)
    67 1:positive 1:positive       0.579 (o,x,o,x,o,o,x,x,x)
    68 1:positive 1:positive       0.875 (b,x,x,o,o,x,b,o,x)
    69 1:positive 1:positive       0.727 (o,b,x,x,x,x,o,b,o)
    70 1:positive 1:positive       0.842 (o,o,x,x,x,x,b,b,o)
    71 1:positive 1:positive       1 (b,b,b,x,x,x,b,o,o)
    72 1:positive 1:positive       1 (o,b,o,x,x,x,b,b,b)
    73 1:positive 1:positive       0.85 (o,b,x,b,x,o,x,x,o)
    74 1:positive 1:positive       0.889 (b,o,x,o,x,o,x,x,b)
    75 1:positive 1:positive       0.833 (o,x,o,x,x,x,o,x,o)
    76 1:positive 1:positive       0.882 (o,x,b,o,b,o,x,x,x)
    77 1:positive 1:positive       0.737 (o,x,x,b,x,b,o,x,o)
     1 2:negative 2:negative       0.714 (b,b,x,o,o,o,x,x,b)
     2 2:negative 2:negative       0.786 (o,x,o,x,b,o,x,x,o)
     3 2:negative 2:negative       0.786 (x,o,x,x,x,b,o,o,o)
     4 2:negative 2:negative       0.833 (x,x,o,b,x,x,o,o,o)
     5 2:negative 2:negative       0.941 (x,x,o,b,o,x,o,x,o)
     6 2:negative 2:negative       0.714 (o,o,o,b,x,b,b,x,x)
     7 2:negative 2:negative       0.75 (b,x,x,b,b,x,o,o,o)
     8 2:negative 2:negative       0.786 (o,x,x,o,o,o,x,b,x)
     9 2:negative 2:negative       0.778 (b,x,o,b,o,x,o,x,b)
    10 2:negative 2:negative       0.833 (o,o,o,x,x,b,x,o,x)
    11 2:negative 2:negative       0.769 (x,x,o,b,x,o,x,o,o)
    12 2:negative 2:negative       0.75 (o,o,o,b,x,x,o,x,x)
    13 2:negative 2:negative       0.809 (o,x,b,x,o,x,o,x,o)
    14 2:negative 2:negative       0.687 (b,o,x,x,o,x,x,o,o)
    15 2:negative 2:negative       0.733 (x,b,b,b,x,x,o,o,o)
    16 2:negative 2:negative       0.923 (x,x,b,x,b,b,o,o,o)
    17 2:negative 2:negative       0.769 (b,x,x,o,o,o,x,b,b)
    18 2:negative 2:negative       0.857 (x,x,o,o,o,o,x,b,x)
    19 2:negative 2:negative       0.611 (o,b,b,o,x,x,o,b,x)
    20 2:negative 2:negative       0.846 (x,x,o,o,b,o,x,x,o)
    21 2:negative 2:negative       0.714 (o,o,o,b,x,b,x,b,x)
    22 2:negative 2:negative       0.733 (o,b,x,o,x,b,o,x,b)
    23 2:negative 2:negative       0.682 (o,b,b,x,o,b,x,x,o)
    24 2:negative 2:negative       0.941 (x,o,o,x,o,b,o,x,x)
    25 2:negative 2:negative       1 (x,x,o,x,o,b,o,b,b)
    26 2:negative 2:negative       1 (o,x,b,o,b,x,o,x,b)
    27 2:negative 2:negative       0.778 (o,o,b,x,o,x,x,o,x)
    28 2:negative 2:negative       0.923 (x,o,x,x,o,x,b,o,o)
    29 2:negative 2:negative       0.833 (x,o,x,o,o,o,x,x,b)
    30 2:negative 2:negative       0.769 (o,x,b,o,x,x,o,b,b)
    31 2:negative 2:negative       1 (o,b,x,o,b,x,o,x,b)
    32 2:negative 2:negative       0.789 (o,o,x,x,o,x,b,x,o)
    33 2:negative 2:negative       0.615 (o,o,x,x,x,o,o,x,x)
    34 1:positive 1:positive       0.833 (o,o,x,o,x,x,b,b,x)
    35 1:positive 1:positive       0.75 (o,b,o,x,x,x,b,x,o)
    36 1:positive 1:positive       0.737 (o,x,o,x,x,x,b,b,o)
    37 1:positive 1:positive       0.812 (o,x,x,o,x,o,x,b,b)
    38 1:positive 1:positive       0.818 (o,b,x,o,x,o,x,b,x)
    39 1:positive 1:positive       0.833 (o,x,b,b,x,o,x,x,o)
    40 1:positive 1:positive       0.833 (o,x,b,o,x,b,x,x,o)
    41 1:positive 1:positive       0.667 (b,b,x,o,o,x,o,x,x)
    42 1:positive 1:positive       0.842 (o,b,x,o,b,o,x,x,x)
    43 1:positive 1:positive       0.867 (o,o,x,x,b,x,o,b,x)
    44 1:positive 1:positive       0.812 (o,x,x,o,x,b,b,x,o)
    45 1:positive 1:positive       1 (b,o,x,o,x,b,x,x,o)
    46 1:positive 1:positive       1 (b,o,x,x,x,x,o,b,o)
    47 1:positive 1:positive       0.8 (x,b,o,x,o,b,x,b,b)
    48 1:positive 1:positive       0.833 (b,b,o,o,o,x,x,x,x)
    49 1:positive 1:positive       0.895 (o,b,x,x,x,x,o,o,b)
    50 1:positive 1:positive       0.8 (o,x,o,x,x,o,b,x,b)
    51 1:positive 1:positive       1 (b,o,x,o,x,b,x,b,b)
    52 1:positive 1:positive       0.857 (x,b,x,o,o,x,b,o,x)
    53 1:positive 1:positive       1 (b,b,x,o,b,x,o,b,x)
    54 1:positive 1:positive       0.842 (o,o,x,b,b,x,x,o,x)
    55 1:positive 1:positive       0.833 (o,x,x,o,x,o,x,x,o)
    56 1:positive 1:positive       0.87 (o,o,x,o,o,x,x,x,x)
    57 1:positive 1:positive       0.632 (o,x,o,x,x,o,o,x,x)
    58 1:positive 1:positive       1 (b,o,b,b,b,o,x,x,x)
    59 1:positive 1:positive       0.823 (o,o,x,x,x,o,x,b,b)
    60 1:positive 1:positive       0.8 (o,x,b,x,x,x,o,b,o)
    61 1:positive 1:positive       1 (b,b,b,b,o,o,x,x,x)
    62 1:positive 1:positive       0.611 (o,o,x,x,o,o,x,x,x)
    63 1:positive 1:positive       0.5 (o,o,x,x,o,x,o,x,x)
    64 1:positive 1:positive       0.933 (o,o,b,x,x,x,o,b,x)
    65 1:positive 1:positive       0.687 (x,b,o,x,o,b,x,x,o)
    66 1:positive 1:positive       0.905 (o,b,x,o,x,x,x,o,b)
    67 1:positive 1:positive       0.823 (o,o,b,x,x,x,x,b,o)
    68 1:positive 1:positive       0.714 (o,b,x,x,o,x,o,b,x)
    69 1:positive 1:positive       0.867 (x,o,b,o,x,o,b,x,x)
    70 1:positive 1:positive       1 (b,b,x,o,b,x,b,o,x)
    71 1:positive 1:positive       1 (o,b,x,o,b,x,b,b,x)
    72 1:positive 1:positive       0.909 (o,b,o,o,x,b,x,x,x)
    73 1:positive 1:positive       0.812 (o,x,o,o,x,x,b,x,b)
    74 1:positive 1:positive       0.684 (o,o,x,x,x,o,x,o,x)
    75 1:positive 1:positive       0.632 (o,x,x,o,x,o,x,o,x)
    76 1:positive 1:positive       0.789 (o,o,x,b,o,x,b,x,x)
    77 1:positive 1:positive       1 (x,b,o,x,b,o,x,o,x)
     1 2:negative 2:negative       0.667 (x,b,o,o,o,x,o,x,x)
     2 2:negative 2:negative       0.786 (o,o,o,x,x,o,x,b,x)
     3 2:negative 2:negative       0.647 (b,x,x,o,o,o,x,o,x)
     4 2:negative 2:negative       0.733 (b,b,x,x,x,b,o,o,o)
     5 2:negative 2:negative       0.687 (x,b,o,b,x,o,x,b,o)
     6 2:negative 2:negative       0.8 (o,x,o,x,o,x,b,x,o)
     7 2:negative 2:negative       1 (x,b,o,b,o,x,o,x,b)
     8 2:negative 2:negative       0.667 (o,b,x,x,o,b,x,b,o)
     9 2:negative 2:negative       1 (x,x,o,x,b,x,o,o,o)
    10 2:negative 2:negative       0.917 (x,o,x,o,o,x,x,o,b)
    11 2:negative 2:negative       0.8 (o,b,b,o,b,x,o,x,x)
    12 2:negative 2:negative       0.667 (o,o,x,x,o,b,x,o,x)
    13 2:negative 2:negative       0.786 (b,o,x,x,o,b,x,o,b)
    14 2:negative 2:negative       0.917 (x,x,o,b,x,o,b,b,o)
    15 2:negative 2:negative       0.687 (o,o,x,o,x,b,o,x,x)
    16 2:negative 2:negative       0.789 (x,b,o,x,o,x,o,x,o)
    17 2:negative 2:negative       0.889 (x,x,o,x,o,b,o,x,o)
    18 2:negative 2:negative       0.778 (o,x,x,o,o,o,b,x,x)
    19 2:negative 2:negative       0.609 (o,b,x,x,o,x,x,o,o)
    20 2:negative 2:negative       0.823 (o,x,b,x,o,b,b,x,o)
    21 2:negative 2:negative       0.733 (b,b,x,x,b,x,o,o,o)
    22 2:negative 2:negative       0.778 (o,b,b,b,o,x,x,x,o)
    23 2:negative 2:negative       0.786 (x,o,x,b,x,x,o,o,o)
    24 2:negative 2:negative       0.923 (x,o,x,b,o,b,b,o,x)
    25 2:negative 2:negative       1 (x,o,o,b,o,x,x,o,x)
    26 2:negative 2:negative       0.667 (o,b,x,o,o,x,x,x,o)
    27 2:negative 2:negative       0.714 (x,b,x,o,o,o,o,x,x)
    28 2:negative 2:negative       0.833 (x,x,b,o,o,o,o,x,x)
    29 2:negative 2:negative       0.714 (x,b,b,o,o,o,b,x,x)
    30 2:negative 2:negative       0.875 (x,x,o,x,o,b,o,o,x)
    31 2:negative 2:negative       0.632 (o,o,o,b,x,b,x,x,b)
    32 2:negative 2:negative       0.889 (x,o,o,x,o,x,o,b,x)
    33 2:negative 2:negative       0.647 (b,x,x,o,x,x,o,o,o)
    34 1:positive 1:positive       1 (o,x,o,x,x,x,b,o,b)
    35 1:positive 1:positive       0.833 (b,x,o,x,x,x,o,o,b)
    36 1:positive 1:positive       0.895 (b,o,b,x,x,x,o,o,x)
    37 1:positive 1:positive       0.875 (x,b,x,o,x,o,x,o,b)
    38 1:positive 1:positive       0.857 (o,o,x,b,x,b,x,b,b)
    39 1:positive 1:positive       0.684 (o,x,o,b,x,b,o,x,x)
    40 1:positive 1:positive       0.737 (o,x,x,b,x,o,x,b,o)
    41 1:positive 1:positive       1 (b,x,o,b,x,o,b,x,b)
    42 1:positive 1:positive       1 (x,o,b,b,x,o,b,b,x)
    43 1:positive 1:positive       0.75 (o,o,x,o,x,x,x,b,b)
    44 1:positive 1:positive       0.812 (b,x,b,o,x,o,x,x,o)
    45 1:positive 1:positive       0.809 (b,o,b,b,o,b,x,x,x)
    46 1:positive 1:positive       0.882 (b,x,o,o,x,o,x,x,b)
    47 1:positive 1:positive       0.944 (o,o,x,o,b,b,x,x,x)
    48 1:positive 1:positive       0.937 (o,o,b,o,b,x,x,x,x)
    49 1:positive 1:positive       0.706 (x,b,o,x,o,o,x,x,b)
    50 1:positive 1:positive       0.826 (o,b,x,o,o,x,x,b,x)
    51 1:positive 1:positive       0.867 (x,b,x,o,x,o,b,o,x)
    52 1:positive 1:positive       0.857 (x,o,b,b,x,o,x,o,x)
    53 1:positive 1:positive       0.706 (b,o,o,b,o,x,x,x,x)
    54 1:positive 1:positive       0.778 (x,b,b,b,x,b,o,o,x)
    55 1:positive 1:positive       1 (x,b,o,b,x,b,b,o,x)
    56 1:positive 1:positive       1 (b,x,o,b,x,b,b,x,o)
    57 1:positive 1:positive       0.85 (b,b,x,b,x,o,x,b,o)
    58 1:positive 1:positive       1 (b,o,x,b,b,x,o,b,x)
    59 1:positive 1:positive       1 (b,o,x,o,x,x,x,b,o)
    60 1:positive 1:positive       0.857 (x,o,b,o,x,x,b,o,x)
    61 1:positive 1:positive       0.941 (b,o,x,x,x,o,x,o,b)
    62 1:positive 1:positive       0.722 (b,x,x,b,o,x,o,o,x)
    63 1:positive 1:positive       0.823 (o,x,o,x,x,b,b,x,o)
    64 1:positive 1:positive       0.809 (o,o,x,b,x,x,x,o,b)
    65 1:positive 1:positive       0.565 (o,x,o,o,o,x,x,x,x)
    66 1:positive 1:positive       1 (o,o,b,b,x,o,x,x,x)
    67 1:positive 1:positive       1 (o,o,b,x,x,x,b,b,b)
    68 1:positive 1:positive       0.882 (b,x,x,b,x,o,o,x,o)
    69 1:positive 1:positive       1 (x,o,b,b,x,b,o,b,x)
    70 1:positive 1:positive       0.818 (x,o,b,x,b,x,x,o,o)
    71 1:positive 1:positive       0.917 (x,b,o,x,b,x,x,o,o)
    72 1:positive 1:positive       0.625 (o,x,x,x,x,o,x,o,o)
    73 1:positive 1:positive       0.765 (b,x,x,o,x,o,x,b,o)
    74 1:positive 1:positive       0.737 (o,x,o,b,x,x,o,x,b)
    75 1:positive 1:positive       0.812 (x,o,b,o,o,b,x,x,x)
    76 1:positive 1:positive       0.857 (b,x,b,o,x,x,o,x,o)
    77 1:positive 1:positive       1 (b,b,x,b,o,x,b,o,x)
     1 2:negative 2:negative       0.687 (b,x,x,x,x,o,o,o,o)
     2 2:negative 2:negative       0.875 (x,x,o,b,o,x,o,o,x)
     3 2:negative 2:negative       0.928 (x,o,x,x,o,b,o,o,x)
     4 2:negative 2:negative       0.875 (x,x,b,o,o,o,x,x,o)
     5 2:negative 2:negative       1 (o,x,x,o,b,x,o,b,b)
     6 2:negative 2:negative       0.611 (o,b,x,o,x,o,o,x,x)
     7 2:negative 2:negative       0.75 (o,x,x,o,x,b,o,o,x)
     8 2:negative 2:negative       0.769 (b,o,b,b,o,x,x,o,x)
     9 2:negative 2:negative       0.778 (b,x,o,x,o,b,o,x,b)
    10 2:negative 2:negative       0.667 (o,o,o,x,x,o,x,x,b)
    11 2:negative 2:negative       0.75 (o,o,o,x,x,o,b,x,x)
    12 2:negative 2:negative       0.778 (x,o,o,o,x,x,x,x,o)
    13 2:negative 2:negative       0.714 (o,x,o,o,x,x,o,b,x)
    14 2:negative 2:negative       0.75 (b,b,x,o,o,o,b,x,x)
    15 2:negative 2:negative       0.75 (o,b,x,x,o,x,o,x,o)
    16 2:negative 2:negative       1 (o,o,o,x,b,x,x,x,o)
    17 2:negative 2:negative       0.75 (x,b,o,x,o,x,o,o,x)
    18 2:negative 2:negative       0.75 (x,o,b,o,o,x,x,o,x)
    19 2:negative 2:negative       0.833 (o,x,o,o,b,x,o,x,x)
    20 2:negative 2:negative       0.846 (x,b,x,x,b,b,o,o,o)
    21 2:negative 2:negative       0.846 (x,o,x,x,b,x,o,o,o)
    22 2:negative 2:negative       0.667 (o,o,o,o,x,x,x,b,x)
    23 2:negative 2:negative       0.611 (x,b,x,o,o,o,x,o,x)
    24 2:negative 2:negative       0.778 (x,o,x,o,x,x,o,x,o)
    25 2:negative 2:negative       0.727 (o,x,o,b,o,x,o,x,x)
    26 2:negative 2:negative       0.8 (o,x,b,o,x,x,o,o,x)
    27 2:negative 2:negative       1 (o,x,x,x,o,b,b,b,o)
    28 2:negative 2:negative       0.933 (x,x,o,b,o,b,o,x,b)
    29 2:negative 2:negative       0.8 (o,o,o,x,x,b,o,x,x)
    30 2:negative 2:negative       0.667 (o,x,x,o,x,x,o,o,b)
    31 2:negative 2:negative       0.812 (x,x,o,x,x,b,o,o,o)
    32 2:negative 2:negative       0.625 (x,o,b,b,o,b,x,o,x)
    33 2:negative 2:negative       0.933 (x,x,b,x,o,x,o,o,o)
    34 1:positive 1:positive       1 (o,b,x,b,x,o,x,o,x)
    35 1:positive 1:positive       0.762 (x,b,o,o,x,o,x,b,x)
    36 1:positive 1:positive       1 (x,b,o,x,b,o,x,b,b)
    37 1:positive 1:positive       1 (b,b,x,b,x,o,x,o,b)
    38 1:positive 1:positive       1 (b,b,b,o,b,o,x,x,x)
    39 1:positive 1:positive       0.812 (x,b,o,b,x,x,o,o,x)
    40 1:positive 1:positive       1 (b,o,o,o,b,x,x,x,x)
    41 1:positive 1:positive       0.812 (b,o,o,x,x,x,o,b,x)
    42 1:positive 1:positive       0.9 (b,o,x,o,x,o,x,b,x)
    43 1:positive 1:positive       0.882 (b,b,x,o,o,x,x,o,x)
    44 1:positive 1:positive       0.823 (o,x,x,b,o,x,b,o,x)
    45 1:positive 1:positive       0.882 (b,o,x,x,x,o,x,b,o)
    46 1:positive 1:positive       0.737 (b,b,o,x,x,x,o,x,o)
    47 1:positive 1:positive       0.8 (x,b,x,o,x,b,o,o,x)
    48 1:positive 1:positive       1 (b,o,b,o,o,x,x,x,x)
    49 1:positive 1:positive       0.882 (x,b,o,x,x,o,b,o,x)
    50 1:positive 1:positive       0.857 (x,b,o,x,x,x,o,o,b)
    51 1:positive 1:positive       1 (o,b,x,b,b,x,o,b,x)
    52 1:positive 1:positive       0.722 (o,x,b,b,x,x,o,x,o)
    53 1:positive 1:positive       1 (b,o,b,x,x,x,b,b,o)
    54 1:positive 1:positive       0.762 (o,x,o,b,x,x,b,x,o)
    55 1:positive 1:positive       1 (o,b,x,o,b,x,x,o,x)
    56 1:positive 1:positive       1 (x,o,b,o,x,b,b,b,x)
    57 1:positive 1:positive       0.765 (x,b,b,o,x,x,o,o,x)
    58 1:positive 1:positive       0.826 (o,b,b,x,x,x,b,b,o)
    59 1:positive 1:positive       0.867 (x,b,x,o,x,b,x,o,o)
    60 1:positive 1:positive       0.937 (o,x,o,o,b,b,x,x,x)
    61 1:positive 1:positive       0.889 (o,o,x,b,x,x,o,b,x)
    62 1:positive 1:positive       0.75 (x,b,o,b,o,o,x,x,x)
    63 1:positive 1:positive       0.928 (o,x,b,x,x,x,o,o,b)
    64 1:positive 1:positive       0.8 (b,o,o,x,x,x,o,x,b)
    65 1:positive 1:positive       0.833 (b,o,x,x,x,x,b,o,o)
    66 1:positive 1:positive       0.833 (x,o,b,o,x,x,o,b,x)
    67 1:positive 1:positive       0.722 (b,b,x,x,o,x,o,o,x)
    68 1:positive 1:positive       0.823 (o,b,x,x,o,x,b,o,x)
