

=== Predictions on training data ===

 inst#     actual  predicted error prediction (Hair,Feathers,Eggs,Milk,Airborne,Aquatic,Predator,Toothed,Backbone,Breathes,Venomous,Fins,Legs,Tail,Domestic,Catsize,Type)
    29 13:giraffe     9:deer   +   0.124 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
    30    14:girl    14:girl       0.801 (1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1)
    31    84:gnat    84:gnat       0.503 (0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
    32    15:goat 34:reindee   +   0.22 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
    33 16:gorilla 16:gorilla       0.698 (1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1)
    34    47:gull    57:skua   +   0.257 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
    35 72:haddock 76:seahors   +   0.229 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
    36 17:hamster 17:hamster       0.605 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1)
    37    18:hare    18:hare       0.337 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1)
    38    48:hawk    48:hawk       0.34 (0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2)
    39 73:herring 73:herring       0.155 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
    40 85:honeybe 85:honeybe       0.816 (1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6)
    41 86:housefl    88:moth   +   0.367 (1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
    42    49:kiwi    49:kiwi       0.588 (0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2)
    43 87:ladybir 87:ladybir       0.606 (0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6)
    44    50:lark    50:lark       0.175 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
    45 19:leopard 33:raccoon   +   0.077 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
    46    20:lion 33:raccoon   +   0.077 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
    47 94:lobster 94:lobster       0.374 (0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7)
    48    21:lynx 33:raccoon   +   0.077 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
    49    22:mink    22:mink       0.598 (1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1)
    50    23:mole 25:opossum   +   0.302 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1)
    51 24:mongoos 33:raccoon   +   0.077 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
    52    88:moth    88:moth       0.367 (1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
    53    81:newt    81:newt       0.682 (0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5)
    54 95:octopus 95:octopus       0.838 (0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7)
    55 25:opossum 25:opossum       0.302 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1)
    56    26:oryx     9:deer   +   0.124 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
    57 51:ostrich 51:ostrich       0.743 (0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2)
    58 52:parakee 52:parakee       0.284 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2)
    59 53:penguin 53:penguin       0.71 (0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2)
    60 54:pheasan    50:lark   +   0.175 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
    61    74:pike 71:dogfish   +   0.286 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4)
    62 75:piranha 73:herring   +   0.155 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
    63 62:pitvipe 62:pitvipe       0.761 (0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3)
    64 27:platypu 27:platypu       0.646 (1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1)
    65 28:polecat 33:raccoon   +   0.077 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
    66    29:pony 34:reindee   +   0.22 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
    67 30:porpois 30:porpois       0.33 (0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1)
    68    31:puma 33:raccoon   +   0.077 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
    69 32:pussyca 32:pussyca       0.621 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1)
    70 33:raccoon 33:raccoon       0.077 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
    71 34:reindee 34:reindee       0.22 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
    72    55:rhea    55:rhea       0.668 (0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2)
    73 96:scorpio 96:scorpio       0.783 (0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7)
    74 76:seahors 76:seahors       0.229 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
    75    35:seal    35:seal       0.736 (1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1)
    76 36:sealion 36:sealion       0.685 (1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1)
    77 63:seasnak 63:seasnak       0.794 (0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3)
    78 97:seawasp 97:seawasp       0.785 (0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7)
    79 56:skimmer    57:skua   +   0.257 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
    80    57:skua    57:skua       0.257 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
    81 64:slowwor 64:slowwor       0.559 (0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3)
    82    98:slug    98:slug       0.336 (0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7)
    83    77:sole 76:seahors   +   0.229 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
    84 58:sparrow    50:lark   +   0.175 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
    85 37:squirre 37:squirre       0.588 (1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1)
    86 99:starfis 99:starfis       0.706 (0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7)
    87 78:stingra 78:stingra       0.759 (0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4)
    88    59:swan    59:swan       0.716 (0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2)
    89 89:termite    83:flea   +   0.337 (0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6)
    90    82:toad    82:toad       0.744 (0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5)
    91 65:tortois 65:tortois       0.692 (0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3)
    92 66:tuatara 66:tuatara       0.654 (0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3)
    93    79:tuna 71:dogfish   +   0.286 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4)
    94 38:vampire 12:fruitba   +   0.375 (1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1)
    95    39:vole    18:hare   +   0.337 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1)
    96 60:vulture 60:vulture       0.624 (0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2)
    97 40:wallaby 40:wallaby       0.575 (1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1)
    98    90:wasp    90:wasp       0.742 (1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6)
    99    41:wolf 33:raccoon   +   0.077 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
   100   100:worm    98:slug   +   0.336 (0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7)
   101    61:wren    50:lark   +   0.175 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)

