

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square)
    61 1:positive 1:positive       0.549 (x,b,o,x,b,b,x,o,b)
    62 1:positive 1:positive       0.838 (b,b,o,x,x,x,b,o,b)
    63 1:positive 1:positive       0.926 (b,o,x,b,x,b,x,o,b)
    64 1:positive 1:positive       0.821 (b,o,o,x,x,x,b,o,x)
    65 1:positive 1:positive       0.863 (o,o,x,b,x,o,x,x,b)
    66 1:positive 1:positive       0.733 (o,o,x,b,b,x,b,b,x)
    67 1:positive 2:negative   +   0.768 (o,x,o,x,o,o,x,x,x)
    68 1:positive 1:positive       0.505 (b,x,x,o,o,x,b,o,x)
    69 1:positive 1:positive       0.632 (o,b,x,x,x,x,o,b,o)
    70 1:positive 1:positive       0.642 (o,o,x,x,x,x,b,b,o)
    71 1:positive 1:positive       0.869 (b,b,b,x,x,x,b,o,o)
    72 1:positive 1:positive       0.731 (o,b,o,x,x,x,b,b,b)
    73 1:positive 1:positive       0.862 (o,b,x,b,x,o,x,x,o)
    74 1:positive 1:positive       0.924 (b,o,x,o,x,o,x,x,b)
    75 1:positive 2:negative   +   0.782 (o,x,o,x,x,x,o,x,o)
    76 1:positive 1:positive       0.723 (o,x,b,o,b,o,x,x,x)
    77 1:positive 2:negative   +   0.553 (o,x,x,b,x,b,o,x,o)
     1 2:negative 1:positive   +   0.713 (b,b,x,o,o,o,x,x,b)
     2 2:negative 2:negative       0.756 (o,x,o,x,b,o,x,x,o)
     3 2:negative 1:positive   +   0.523 (x,o,x,x,x,b,o,o,o)
     4 2:negative 2:negative       0.709 (x,x,o,b,x,x,o,o,o)
     5 2:negative 2:negative       0.957 (x,x,o,b,o,x,o,x,o)
     6 2:negative 1:positive   +   0.801 (o,o,o,b,x,b,b,x,x)
     7 2:negative 2:negative       0.563 (b,x,x,b,b,x,o,o,o)
     8 2:negative 2:negative       0.629 (o,x,x,o,o,o,x,b,x)
     9 2:negative 2:negative       0.824 (b,x,o,b,o,x,o,x,b)
    10 2:negative 1:positive   +   0.814 (o,o,o,x,x,b,x,o,x)
    11 2:negative 1:positive   +   0.525 (x,x,o,b,x,o,x,o,o)
    12 2:negative 1:positive   +   0.661 (o,o,o,b,x,x,o,x,x)
    13 2:negative 2:negative       0.912 (o,x,b,x,o,x,o,x,o)
    14 2:negative 2:negative       0.581 (b,o,x,x,o,x,x,o,o)
    15 2:negative 1:positive   +   0.747 (x,b,b,b,x,x,o,o,o)
    16 2:negative 2:negative       0.745 (x,x,b,x,b,b,o,o,o)
    17 2:negative 2:negative       0.516 (b,x,x,o,o,o,x,b,b)
    18 2:negative 2:negative       0.798 (x,x,o,o,o,o,x,b,x)
    19 2:negative 1:positive   +   0.869 (o,b,b,o,x,x,o,b,x)
    20 2:negative 2:negative       0.752 (x,x,o,o,b,o,x,x,o)
    21 2:negative 1:positive   +   0.859 (o,o,o,b,x,b,x,b,x)
    22 2:negative 1:positive   +   0.815 (o,b,x,o,x,b,o,x,b)
    23 2:negative 2:negative       0.558 (o,b,b,x,o,b,x,x,o)
    24 2:negative 2:negative       0.866 (x,o,o,x,o,b,o,x,x)
    25 2:negative 2:negative       0.934 (x,x,o,x,o,b,o,b,b)
    26 2:negative 2:negative       0.565 (o,x,b,o,b,x,o,x,b)
    27 2:negative 1:positive   +   0.55 (o,o,b,x,o,x,x,o,x)
    28 2:negative 2:negative       0.831 (x,o,x,x,o,x,b,o,o)
    29 2:negative 2:negative       0.596 (x,o,x,o,o,o,x,x,b)
    30 2:negative 1:positive   +   0.66 (o,x,b,o,x,x,o,b,b)
    31 2:negative 1:positive   +   0.605 (o,b,x,o,b,x,o,x,b)
    32 2:negative 2:negative       0.819 (o,o,x,x,o,x,b,x,o)
    33 2:negative 1:positive   +   0.709 (o,o,x,x,x,o,o,x,x)
    34 1:positive 1:positive       0.839 (o,o,x,o,x,x,b,b,x)
    35 1:positive 1:positive       0.569 (o,b,o,x,x,x,b,x,o)
    36 1:positive 2:negative   +   0.667 (o,x,o,x,x,x,b,b,o)
    37 1:positive 1:positive       0.782 (o,x,x,o,x,o,x,b,b)
    38 1:positive 1:positive       0.924 (o,b,x,o,x,o,x,b,x)
    39 1:positive 1:positive       0.747 (o,x,b,b,x,o,x,x,o)
    40 1:positive 1:positive       0.731 (o,x,b,o,x,b,x,x,o)
    41 1:positive 1:positive       0.518 (b,b,x,o,o,x,o,x,x)
    42 1:positive 1:positive       0.828 (o,b,x,o,b,o,x,x,x)
    43 1:positive 2:negative   +   0.505 (o,o,x,x,b,x,o,b,x)
    44 1:positive 1:positive       0.575 (o,x,x,o,x,b,b,x,o)
    45 1:positive 1:positive       0.876 (b,o,x,o,x,b,x,x,o)
    46 1:positive 1:positive       0.66 (b,o,x,x,x,x,o,b,o)
    47 1:positive 2:negative   +   0.681 (x,b,o,x,o,b,x,b,b)
    48 1:positive 1:positive       0.591 (b,b,o,o,o,x,x,x,x)
    49 1:positive 1:positive       0.761 (o,b,x,x,x,x,o,o,b)
    50 1:positive 2:negative   +   0.502 (o,x,o,x,x,o,b,x,b)
    51 1:positive 1:positive       0.935 (b,o,x,o,x,b,x,b,b)
    52 1:positive 2:negative   +   0.531 (x,b,x,o,o,x,b,o,x)
    53 1:positive 1:positive       0.785 (b,b,x,o,b,x,o,b,x)
    54 1:positive 1:positive       0.806 (o,o,x,b,b,x,x,o,x)
    55 1:positive 1:positive       0.638 (o,x,x,o,x,o,x,x,o)
    56 1:positive 2:negative   +   0.521 (o,o,x,o,o,x,x,x,x)
    57 1:positive 2:negative   +   0.587 (o,x,o,x,x,o,o,x,x)
    58 1:positive 1:positive       0.913 (b,o,b,b,b,o,x,x,x)
    59 1:positive 1:positive       0.838 (o,o,x,x,x,o,x,b,b)
    60 1:positive 2:negative   +   0.572 (o,x,b,x,x,x,o,b,o)
    61 1:positive 1:positive       0.829 (b,b,b,b,o,o,x,x,x)
    62 1:positive 2:negative   +   0.563 (o,o,x,x,o,o,x,x,x)
    63 1:positive 2:negative   +   0.776 (o,o,x,x,o,x,o,x,x)
    64 1:positive 1:positive       0.767 (o,o,b,x,x,x,o,b,x)
    65 1:positive 2:negative   +   0.812 (x,b,o,x,o,b,x,x,o)
    66 1:positive 1:positive       0.91 (o,b,x,o,x,x,x,o,b)
    67 1:positive 1:positive       0.776 (o,o,b,x,x,x,x,b,o)
    68 1:positive 2:negative   +   0.689 (o,b,x,x,o,x,o,b,x)
    69 1:positive 1:positive       0.857 (x,o,b,o,x,o,b,x,x)
    70 1:positive 1:positive       0.875 (b,b,x,o,b,x,b,o,x)
    71 1:positive 1:positive       0.764 (o,b,x,o,b,x,b,b,x)
    72 1:positive 1:positive       0.873 (o,b,o,o,x,b,x,x,x)
    73 1:positive 1:positive       0.541 (o,x,o,o,x,x,b,x,b)
    74 1:positive 1:positive       0.876 (o,o,x,x,x,o,x,o,x)
    75 1:positive 1:positive       0.829 (o,x,x,o,x,o,x,o,x)
    76 1:positive 2:negative   +   0.567 (o,o,x,b,o,x,b,x,x)
    77 1:positive 1:positive       0.652 (x,b,o,x,b,o,x,o,x)
     1 2:negative 2:negative       0.75 (x,b,o,o,o,x,o,x,x)
     2 2:negative 1:positive   +   0.787 (o,o,o,x,x,o,x,b,x)
     3 2:negative 1:positive   +   0.578 (b,x,x,o,o,o,x,o,x)
     4 2:negative 1:positive   +   0.816 (b,b,x,x,x,b,o,o,o)
     5 2:negative 1:positive   +   0.705 (x,b,o,b,x,o,x,b,o)
     6 2:negative 2:negative       0.929 (o,x,o,x,o,x,b,x,o)
     7 2:negative 2:negative       0.821 (x,b,o,b,o,x,o,x,b)
     8 2:negative 2:negative       0.527 (o,b,x,x,o,b,x,b,o)
     9 2:negative 2:negative       0.911 (x,x,o,x,b,x,o,o,o)
    10 2:negative 2:negative       0.586 (x,o,x,o,o,x,x,o,b)
    11 2:negative 1:positive   +   0.766 (o,b,b,o,b,x,o,x,x)
    12 2:negative 1:positive   +   0.57 (o,o,x,x,o,b,x,o,x)
    13 2:negative 1:positive   +   0.605 (b,o,x,x,o,b,x,o,b)
    14 2:negative 2:negative       0.663 (x,x,o,b,x,o,b,b,o)
    15 2:negative 1:positive   +   0.803 (o,o,x,o,x,b,o,x,x)
    16 2:negative 2:negative       0.906 (x,b,o,x,o,x,o,x,o)
    17 2:negative 2:negative       0.967 (x,x,o,x,o,b,o,x,o)
    18 2:negative 2:negative       0.652 (o,x,x,o,o,o,b,x,x)
    19 2:negative 2:negative       0.547 (o,b,x,x,o,x,x,o,o)
    20 2:negative 2:negative       0.825 (o,x,b,x,o,b,b,x,o)
    21 2:negative 1:positive   +   0.628 (b,b,x,x,b,x,o,o,o)
    22 2:negative 1:positive   +   0.518 (o,b,b,b,o,x,x,x,o)
    23 2:negative 1:positive   +   0.524 (x,o,x,b,x,x,o,o,o)
    24 2:negative 2:negative       0.529 (x,o,x,b,o,b,b,o,x)
    25 2:negative 2:negative       0.668 (x,o,o,b,o,x,x,o,x)
    26 2:negative 2:negative       0.514 (o,b,x,o,o,x,x,x,o)
    27 2:negative 2:negative       0.579 (x,b,x,o,o,o,o,x,x)
    28 2:negative 2:negative       0.807 (x,x,b,o,o,o,o,x,x)
    29 2:negative 1:positive   +   0.612 (x,b,b,o,o,o,b,x,x)
    30 2:negative 2:negative       0.913 (x,x,o,x,o,b,o,o,x)
    31 2:negative 1:positive   +   0.763 (o,o,o,b,x,b,x,x,b)
    32 2:negative 2:negative       0.869 (x,o,o,x,o,x,o,b,x)
    33 2:negative 1:positive   +   0.582 (b,x,x,o,x,x,o,o,o)
    34 1:positive 2:negative   +   0.52 (o,x,o,x,x,x,b,o,b)
    35 1:positive 2:negative   +   0.54 (b,x,o,x,x,x,o,o,b)
    36 1:positive 1:positive       0.855 (b,o,b,x,x,x,o,o,x)
    37 1:positive 1:positive       0.896 (x,b,x,o,x,o,x,o,b)
    38 1:positive 1:positive       0.869 (o,o,x,b,x,b,x,b,b)
    39 1:positive 2:negative   +   0.514 (o,x,o,b,x,b,o,x,x)
    40 1:positive 1:positive       0.649 (o,x,x,b,x,o,x,b,o)
    41 1:positive 1:positive       0.651 (b,x,o,b,x,o,b,x,b)
    42 1:positive 1:positive       0.85 (x,o,b,b,x,o,b,b,x)
    43 1:positive 1:positive       0.855 (o,o,x,o,x,x,x,b,b)
    44 1:positive 1:positive       0.784 (b,x,b,o,x,o,x,x,o)
    45 1:positive 1:positive       0.739 (b,o,b,b,o,b,x,x,x)
    46 1:positive 1:positive       0.718 (b,x,o,o,x,o,x,x,b)
    47 1:positive 1:positive       0.81 (o,o,x,o,b,b,x,x,x)
    48 1:positive 1:positive       0.811 (o,o,b,o,b,x,x,x,x)
    49 1:positive 2:negative   +   0.695 (x,b,o,x,o,o,x,x,b)
    50 1:positive 1:positive       0.704 (o,b,x,o,o,x,x,b,x)
    51 1:positive 1:positive       0.906 (x,b,x,o,x,o,b,o,x)
    52 1:positive 1:positive       0.89 (x,o,b,b,x,o,x,o,x)
    53 1:positive 1:positive       0.505 (b,o,o,b,o,x,x,x,x)
    54 1:positive 1:positive       0.865 (x,b,b,b,x,b,o,o,x)
    55 1:positive 1:positive       0.833 (x,b,o,b,x,b,b,o,x)
    56 1:positive 1:positive       0.548 (b,x,o,b,x,b,b,x,o)
    57 1:positive 1:positive       0.918 (b,b,x,b,x,o,x,b,o)
    58 1:positive 1:positive       0.723 (b,o,x,b,b,x,o,b,x)
    59 1:positive 1:positive       0.858 (b,o,x,o,x,x,x,b,o)
    60 1:positive 1:positive       0.855 (x,o,b,o,x,x,b,o,x)
    61 1:positive 1:positive       0.9 (b,o,x,x,x,o,x,o,b)
    62 1:positive 2:negative   +   0.673 (b,x,x,b,o,x,o,o,x)
    63 1:positive 2:negative   +   0.639 (o,x,o,x,x,b,b,x,o)
    64 1:positive 1:positive       0.86 (o,o,x,b,x,x,x,o,b)
    65 1:positive 2:negative   +   0.762 (o,x,o,o,o,x,x,x,x)
    66 1:positive 1:positive       0.909 (o,o,b,b,x,o,x,x,x)
    67 1:positive 1:positive       0.801 (o,o,b,x,x,x,b,b,b)
    68 1:positive 1:positive       0.551 (b,x,x,b,x,o,o,x,o)
    69 1:positive 1:positive       0.769 (x,o,b,b,x,b,o,b,x)
    70 1:positive 1:positive       0.518 (x,o,b,x,b,x,x,o,o)
    71 1:positive 2:negative   +   0.552 (x,b,o,x,b,x,x,o,o)
    72 1:positive 1:positive       0.613 (o,x,x,x,x,o,x,o,o)
    73 1:positive 1:positive       0.766 (b,x,x,o,x,o,x,b,o)
    74 1:positive 2:negative   +   0.645 (o,x,o,b,x,x,o,x,b)
    75 1:positive 1:positive       0.547 (x,o,b,o,o,b,x,x,x)
    76 1:positive 1:positive       0.581 (b,x,b,o,x,x,o,x,o)
    77 1:positive 1:positive       0.762 (b,b,x,b,o,x,b,o,x)
     1 2:negative 1:positive   +   0.553 (b,x,x,x,x,o,o,o,o)
     2 2:negative 2:negative       0.901 (x,x,o,b,o,x,o,o,x)
     3 2:negative 2:negative       0.736 (x,o,x,x,o,b,o,o,x)
     4 2:negative 2:negative       0.795 (x,x,b,o,o,o,x,x,o)
     5 2:negative 2:negative       0.602 (o,x,x,o,b,x,o,b,b)
     6 2:negative 1:positive   +   0.868 (o,b,x,o,x,o,o,x,x)
     7 2:negative 1:positive   +   0.744 (o,x,x,o,x,b,o,o,x)
     8 2:negative 1:positive   +   0.757 (b,o,b,b,o,x,x,o,x)
     9 2:negative 2:negative       0.866 (b,x,o,x,o,b,o,x,b)
    10 2:negative 1:positive   +   0.746 (o,o,o,x,x,o,x,x,b)
    11 2:negative 1:positive   +   0.748 (o,o,o,x,x,o,b,x,x)
    12 2:negative 1:positive   +   0.557 (x,o,o,o,x,x,x,x,o)
    13 2:negative 1:positive   +   0.527 (o,x,o,o,x,x,o,b,x)
    14 2:negative 1:positive   +   0.73 (b,b,x,o,o,o,b,x,x)
    15 2:negative 2:negative       0.82 (o,b,x,x,o,x,o,x,o)
    16 2:negative 2:negative       0.636 (o,o,o,x,b,x,x,x,o)
    17 2:negative 2:negative       0.824 (x,b,o,x,o,x,o,o,x)
    18 2:negative 1:positive   +   0.562 (x,o,b,o,o,x,x,o,x)
    19 2:negative 2:negative       0.685 (o,x,o,o,b,x,o,x,x)
    20 2:negative 2:negative       0.636 (x,b,x,x,b,b,o,o,o)
    21 2:negative 2:negative       0.743 (x,o,x,x,b,x,o,o,o)
    22 2:negative 1:positive   +   0.837 (o,o,o,o,x,x,x,b,x)
    23 2:negative 1:positive   +   0.62 (x,b,x,o,o,o,x,o,x)
    24 2:negative 1:positive   +   0.508 (x,o,x,o,x,x,o,x,o)
    25 2:negative 2:negative       0.87 (o,x,o,b,o,x,o,x,x)
    26 2:negative 1:positive   +   0.751 (o,x,b,o,x,x,o,o,x)
    27 2:negative 2:negative       0.852 (o,x,x,x,o,b,b,b,o)
    28 2:negative 2:negative       0.922 (x,x,o,b,o,b,o,x,b)
    29 2:negative 1:positive   +   0.638 (o,o,o,x,x,b,o,x,x)
    30 2:negative 1:positive   +   0.641 (o,x,x,o,x,x,o,o,b)
    31 2:negative 2:negative       0.793 (x,x,o,x,x,b,o,o,o)
    32 2:negative 1:positive   +   0.594 (x,o,b,b,o,b,x,o,x)
    33 2:negative 2:negative       0.93 (x,x,b,x,o,x,o,o,o)
    34 1:positive 1:positive       0.943 (o,b,x,b,x,o,x,o,x)
    35 1:positive 1:positive       0.837 (x,b,o,o,x,o,x,b,x)
    36 1:positive 1:positive       0.519 (x,b,o,x,b,o,x,b,b)
    37 1:positive 1:positive       0.952 (b,b,x,b,x,o,x,o,b)
    38 1:positive 1:positive       0.929 (b,b,b,o,b,o,x,x,x)
    39 1:positive 1:positive       0.671 (x,b,o,b,x,x,o,o,x)
    40 1:positive 1:positive       0.774 (b,o,o,o,b,x,x,x,x)
    41 1:positive 1:positive       0.707 (b,o,o,x,x,x,o,b,x)
    42 1:positive 1:positive       0.948 (b,o,x,o,x,o,x,b,x)
    43 1:positive 1:positive       0.78 (b,b,x,o,o,x,x,o,x)
    44 1:positive 2:negative   +   0.639 (o,x,x,b,o,x,b,o,x)
    45 1:positive 1:positive       0.832 (b,o,x,x,x,o,x,b,o)
    46 1:positive 1:positive       0.563 (b,b,o,x,x,x,o,x,o)
    47 1:positive 1:positive       0.832 (x,b,x,o,x,b,o,o,x)
    48 1:positive 1:positive       0.737 (b,o,b,o,o,x,x,x,x)
    49 1:positive 1:positive       0.747 (x,b,o,x,x,o,b,o,x)
    50 1:positive 1:positive       0.519 (x,b,o,x,x,x,o,o,b)
    51 1:positive 1:positive       0.694 (o,b,x,b,b,x,o,b,x)
    52 1:positive 2:negative   +   0.508 (o,x,b,b,x,x,o,x,o)
    53 1:positive 1:positive       0.8 (b,o,b,x,x,x,b,b,o)
    54 1:positive 2:negative   +   0.586 (o,x,o,b,x,x,b,x,o)
    55 1:positive 1:positive       0.864 (o,b,x,o,b,x,x,o,x)
    56 1:positive 1:positive       0.875 (x,o,b,o,x,b,b,b,x)
    57 1:positive 1:positive       0.838 (x,b,b,o,x,x,o,o,x)
    58 1:positive 1:positive       0.77 (o,b,b,x,x,x,b,b,o)
    59 1:positive 1:positive       0.821 (x,b,x,o,x,b,x,o,o)
