

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Hair,Feathers,Eggs,Milk,Airborne,Aquatic,Predator,Toothed,Backbone,Breathes,Venomous,Fins,Legs,Tail,Domestic,Catsize,Type)
     1 69:catfish    67:bass   +   0.198 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     2    61:wren    50:lark   +   0.326 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     3    45:duck    47:gull   +   0.142 (0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2)
     4 54:pheasan    50:lark   +   0.326 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     5     6:calf    15:goat   +   0.247 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     6 30:porpois 10:dolphin   +   0.482 (0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1)
     7 12:fruitba 38:vampire   +   0.482 (1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1)
     8 40:wallaby 2:antelope   +   0.111 (1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1)
     9 99:starfis    92:crab   +   0.247 (0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7)
    10 86:housefl    88:moth   +   0.482 (1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
     1 11:elephan 2:antelope   +   0.166 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     2 32:pussyca     4:boar   +   0.072 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1)
     3 19:leopard     4:boar   +   0.1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     4 96:scorpio 62:pitvipe   +   0.166 (0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7)
     5 52:parakee 42:chicken   +   0.326 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2)
     6    59:swan    45:duck   +   0.326 (0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2)
     7 36:sealion 10:dolphin   +   0.198 (1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1)
     8 75:piranha    67:bass   +   0.198 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     9 87:ladybir    84:gnat   +   0.482 (0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6)
    10 60:vulture    43:crow   +   0.198 (0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2)
     1 2:antelope  5:buffalo   +   0.166 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     2    92:crab 93:crayfis   +   0.247 (0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7)
     3    98:slug   100:worm   +   0.482 (0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7)
     4     3:bear 1:aardvark   +   0.482 (1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1)
     5 73:herring    67:bass   +   0.198 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     6 24:mongoos     4:boar   +   0.111 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     7    41:wolf     4:boar   +   0.111 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     8 76:seahors 72:haddock   +   0.326 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
     9 62:pitvipe 64:slowwor   +   0.482 (0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3)
    10    14:girl 1:aardvark   +   0.247 (1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1)
     1  5:buffalo 2:antelope   +   0.166 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     2 58:sparrow    50:lark   +   0.247 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     3 46:flaming    50:lark   +   0.142 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2)
     4 63:seasnak 62:pitvipe   +   0.482 (0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3)
     5 34:reindee     6:calf   +   0.247 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     6 78:stingra 71:dogfish   +   0.247 (0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4)
     7 93:crayfis 94:lobster   +   0.482 (0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7)
     8 85:honeybe    90:wasp   +   0.482 (1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6)
     9 28:polecat     4:boar   +   0.1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
    10   100:worm    98:slug   +   0.482 (0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7)
     1    31:puma     4:boar   +   0.1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     2    79:tuna    74:pike   +   0.482 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4)
     3 71:dogfish    74:pike   +   0.482 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4)
     4 56:skimmer    47:gull   +   0.326 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
     5 64:slowwor 62:pitvipe   +   0.326 (0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3)
     6     7:cavy 17:hamster   +   0.482 (1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1)
     7    91:clam    92:crab   +   0.125 (0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7)
     8 95:octopus    92:crab   +   0.198 (0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7)
     9    83:flea 89:termite   +   0.482 (0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6)
    10 25:opossum    23:mole   +   0.482 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1)
     1    68:carp 72:haddock   +   0.247 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4)
     2 17:hamster     6:calf   +   0.125 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1)
     3 66:tuatara 64:slowwor   +   0.482 (0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3)
     4    74:pike 71:dogfish   +   0.326 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4)
     5 27:platypu    22:mink   +   0.482 (1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1)
     6    88:moth 86:housefl   +   0.482 (1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
     7    55:rhea 51:ostrich   +   0.247 (0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2)
     8    49:kiwi    43:crow   +   0.326 (0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2)
     9    57:skua    47:gull   +   0.326 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
    10    23:mole 25:opossum   +   0.482 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1)
     1    80:frog    80:frog       0.326 (0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5)
     2 53:penguin    55:rhea   +   0.482 (0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2)
     3    81:newt 66:tuatara   +   0.247 (0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5)
     4 65:tortois 51:ostrich   +   0.326 (0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3)
     5    20:lion     4:boar   +   0.111 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     6 1:aardvark     3:bear   +   0.482 (1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1)
     7    22:mink     4:boar   +   0.111 (1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1)
     8  8:cheetah     4:boar   +   0.111 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     9 38:vampire 12:fruitba   +   0.482 (1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1)
    10 10:dolphin 30:porpois   +   0.482 (0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1)
     1    80:frog    80:frog       0.482 (0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5)
     2    67:bass 69:catfish   +   0.247 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     3    43:crow    48:hawk   +   0.482 (0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2)
     4    15:goat     6:calf   +   0.247 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     5    47:gull 56:skimmer   +   0.326 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
     6    44:dove 42:chicken   +   0.326 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2)
     7 72:haddock 76:seahors   +   0.326 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
     8    70:chub 69:catfish   +   0.247 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     9    50:lark 54:pheasan   +   0.247 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
    10 89:termite    83:flea   +   0.482 (0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6)

