

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Hair,Feathers,Eggs,Milk,Airborne,Aquatic,Predator,Toothed,Backbone,Breathes,Venomous,Fins,Legs,Tail,Domestic,Catsize,Type)
     8    49:kiwi    48:hawk   +   1 (0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2)
     1 11:elephan    26:oryx   +   1 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     2    31:puma 33:raccoon   +   1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     3    55:rhea 60:vulture   +   1 (0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2)
     4    23:mole 25:opossum   +   1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1)
     5 58:sparrow 54:pheasan   +   1 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     6 76:seahors 72:haddock   +   1 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
     7    98:slug   100:worm   +   1 (0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7)
     8    20:lion 33:raccoon   +   1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     1 46:flaming    61:wren   +   1 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2)
     2 12:fruitba 38:vampire   +   1 (1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1)
     3 52:parakee    61:wren   +   1 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2)
     4 73:herring 75:piranha   +   1 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     5 30:porpois 36:sealion   +   1 (0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1)
     6    90:wasp    88:moth   +   1 (1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6)
     7 89:termite    83:flea   +   1 (0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6)
     8    82:toad    80:frog   +   1 (0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5)
     1    74:pike    79:tuna   +   1 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4)
     2 65:tortois 51:ostrich   +   1 (0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3)
     3 99:starfis 94:lobster   +   1 (0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7)
     4    84:gnat    88:moth   +   1 (0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
     5    18:hare    26:oryx   +   1 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1)
     6    57:skua    47:gull   +   1 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
     7    39:vole    26:oryx   +   1 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1)
     8 54:pheasan    61:wren   +   1 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     1 33:raccoon    21:lynx   +   1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     2    35:seal 36:sealion   +   1 (1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1)
     3    83:flea 89:termite   +   1 (0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6)
     4 38:vampire 12:fruitba   +   1 (1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1)
     5 25:opossum    23:mole   +   1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1)
     6    80:frog    80:frog       1 (0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5)
     7 78:stingra    74:pike   +   1 (0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4)
     8 37:squirre 12:fruitba   +   1 (1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1)
     1    41:wolf    21:lynx   +   1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     2 28:polecat    21:lynx   +   1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     3    59:swan 46:flaming   +   1 (0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2)
     4    81:newt    80:frog   +   1 (0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5)
     5    77:sole 72:haddock   +   1 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
     6    80:frog    80:frog       1 (0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5)
     7 24:mongoos    21:lynx   +   1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     8 13:giraffe 11:elephan   +   1 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     1 27:platypu    22:mink   +   1 (1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1)
     2    21:lynx    41:wolf   +   1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     3    79:tuna    74:pike   +   1 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4)
     4 19:leopard    41:wolf   +   1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     5    26:oryx 13:giraffe   +   1 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     6 85:honeybe    90:wasp   +   1 (1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6)
     7 60:vulture    48:hawk   +   1 (0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2)
     8    61:wren 58:sparrow   +   1 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     1 51:ostrich 46:flaming   +   1 (0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2)
     2 95:octopus 99:starfis   +   1 (0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7)
     3    50:lark    61:wren   +   1 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     4    29:pony    15:goat   +   1 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     5 64:slowwor 62:pitvipe   +   1 (0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3)
     6 97:seawasp 99:starfis   +   1 (0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7)
     7 86:housefl    88:moth   +   1 (1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
     8 94:lobster 99:starfis   +   1 (0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7)

