

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Hair,Feathers,Eggs,Milk,Airborne,Aquatic,Predator,Toothed,Backbone,Breathes,Venomous,Fins,Legs,Tail,Domestic,Catsize,Type)
     5 58:sparrow    50:lark   +   0.139 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     6 76:seahors 72:haddock   +   0.248 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
     7    98:slug   100:worm   +   0.396 (0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7)
     8    20:lion 19:leopard   +   0.089 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     1 46:flaming    50:lark   +   0.097 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2)
     2 12:fruitba 38:vampire   +   0.238 (1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1)
     3 52:parakee    50:lark   +   0.135 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2)
     4 73:herring 75:piranha   +   0.232 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     5 30:porpois    35:seal   +   0.13 (0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1)
     6    90:wasp 85:honeybe   +   0.222 (1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6)
     7 89:termite    83:flea   +   0.302 (0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6)
     8    82:toad    80:frog   +   0.764 (0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5)
     1    74:pike    79:tuna   +   0.269 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4)
     2 65:tortois 51:ostrich   +   0.083 (0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3)
     3 99:starfis 94:lobster   +   0.32 (0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7)
     4    84:gnat    83:flea   +   0.142 (0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
     5    18:hare 11:elephan   +   0.065 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1)
     6    57:skua    47:gull   +   0.182 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
     7    39:vole 11:elephan   +   0.065 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1)
     8 54:pheasan    50:lark   +   0.142 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     1 33:raccoon 19:leopard   +   0.08 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     2    35:seal 30:porpois   +   0.15 (1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1)
     3    83:flea 89:termite   +   0.287 (0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6)
     4 38:vampire 12:fruitba   +   0.283 (1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1)
     5 25:opossum    23:mole   +   0.122 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1)
     6    80:frog    80:frog       0.312 (0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5)
     7 78:stingra    74:pike   +   0.225 (0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4)
     8 37:squirre 12:fruitba   +   0.095 (1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1)
     1    41:wolf 19:leopard   +   0.093 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     2 28:polecat 19:leopard   +   0.093 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     3    59:swan    45:duck   +   0.12 (0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2)
     4    81:newt 66:tuatara   +   0.124 (0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5)
     5    77:sole 72:haddock   +   0.25 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
     6    80:frog    80:frog       0.257 (0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5)
     7 24:mongoos 19:leopard   +   0.093 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     8 13:giraffe 11:elephan   +   0.101 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     1 27:platypu    22:mink   +   0.122 (1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1)
     2    21:lynx    20:lion   +   0.086 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     3    79:tuna    74:pike   +   0.269 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4)
     4 19:leopard    20:lion   +   0.086 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     5    26:oryx 11:elephan   +   0.096 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     6 85:honeybe    90:wasp   +   0.337 (1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6)
     7 60:vulture 46:flaming   +   0.11 (0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2)
     8    61:wren    50:lark   +   0.141 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     1 51:ostrich 46:flaming   +   0.132 (0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2)
     2 95:octopus 99:starfis   +   0.383 (0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7)
     3    50:lark 54:pheasan   +   0.142 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     4    29:pony    15:goat   +   0.12 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     5 64:slowwor 62:pitvipe   +   0.196 (0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3)
     6 97:seawasp 99:starfis   +   0.321 (0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7)
     7 86:housefl    88:moth   +   0.295 (1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
     8 94:lobster 99:starfis   +   0.416 (0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7)

