

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Sequence_Name,mcg,gvh,lip,chg,aac,alm1,alm2)
     7       2:im       2:im       0.458 (LACY_ECOLI,0.71,0.4,0.48,0.5,0.71,0.7,0.74)
     8       2:im      4:imU   +   1 (KGTP_ECOLI,0.45,0.4,0.48,0.5,0.61,0.74,0.77)
     9       5:om       3:pp   +   1 (OMPC_ECOLI,0.73,0.84,0.48,0.5,0.86,0.58,0.29)
    10       5:om       3:pp   +   0.75 (TSX_ECOLI,0.68,0.76,0.48,0.5,0.84,0.45,0.27)
    11       1:cp       2:im   +   0.458 (PTKB_ECOLI,0.64,0.76,0.48,0.5,0.45,0.35,0.38)
    12       1:cp       2:im   +   0.458 (RHAR_ECOLI,0.51,0.46,0.48,0.5,0.58,0.31,0.41)
    13       1:cp       3:pp   +   1 (NFRC_ECOLI,0.44,0.51,0.48,0.5,0.47,0.26,0.36)
    14       1:cp       2:im   +   0.458 (PTWB_ECOLI,0.57,0.54,0.48,0.5,0.37,0.28,0.33)
    15       1:cp       2:im   +   0.458 (SYW_ECOLI,0.39,0.31,0.48,0.5,0.38,0.34,0.43)
    16       1:cp       2:im   +   0.458 (SYV_ECOLI,0,0.38,0.48,0.5,0.42,0.48,0.55)
    17       1:cp       2:im   +   0.458 (UVRC_ECOLI,0.44,0.35,0.48,0.5,0.44,0.52,0.59)
    18       1:cp       2:im   +   0.458 (MURF_ECOLI,0.35,0.48,0.48,0.5,0.56,0.4,0.48)
    19      4:imU      4:imU       0.75 (DPPB_ECOLI,0.64,0.46,0.48,0.5,0.48,0.73,0.76)
    20      4:imU       3:pp   +   0.667 (CYOE_ECOLI,0.67,0.37,0.48,0.5,0.54,0.64,0.68)
    21      4:imU       2:im   +   0.458 (PTKC_ECOLI,0.73,0.26,0.48,0.5,0.57,0.75,0.78)
    22       3:pp       2:im   +   0.458 (DPPA_ECOLI,0.57,0.59,0.48,0.5,0.39,0.47,0.33)
    23       3:pp       1:cp   +   0.571 (FIMC_ECOLI,0.63,0.57,0.48,0.5,0.49,0.7,0.2)
    24       3:pp       2:im   +   0.458 (XYLF_ECOLI,0.59,0.61,0.48,0.5,0.42,0.42,0.37)
    25       3:pp       2:im   +   0.458 (FECR_ECOLI,0.32,0.39,0.48,0.5,0.53,0.28,0.38)
    26       3:pp       2:im   +   0.458 (MODA_ECOLI,0.63,0.65,0.48,0.5,0.39,0.44,0.35)
    27      6:omL       3:pp   +   0.75 (SLP_ECOLI,0.68,0.49,1,0.5,0.62,0.55,0.28)
     1       2:im       3:pp   +   0.714 (MTR_ECOLI,0.74,0.7,0.48,0.5,0.66,0.65,0.69)
     2       2:im       2:im       0.432 (ATKB_ECOLI,0.46,0.61,0.48,0.5,0.48,0.86,0.87)
     3       2:im       2:im       0.432 (DSBB_ECOLI,0.5,0.66,0.48,0.5,0.31,0.92,0.92)
     4       2:im       2:im       0.432 (DPPC_ECOLI,0.48,0.41,0.48,0.5,0.51,0.9,0.88)
     5       2:im      4:imU   +   1 (EMRB_ECOLI,0.71,0.52,0.48,0.5,0.64,1,0.99)
     6       2:im       2:im       0.432 (LGT_ECOLI,0.5,0.37,0.48,0.5,0.66,0.64,0.69)
     7       2:im       3:pp   +   0.75 (EXBD_ECOLI,0.46,0.59,0.48,0.5,0.36,0.76,0.23)
     8       2:im       2:im       0.432 (NANT_ECOLI,0.2,0.46,0.48,0.5,0.57,0.78,0.81)
     9       5:om       2:im   +   0.432 (OMPX_ECOLI,0.77,0.57,0.48,0.5,0.88,0.53,0.2)
    10       5:om      6:omL   +   0.571 (FHUE_ECOLI,0.6,0.76,1,0.5,0.77,0.59,0.52)
    11       1:cp       2:im   +   0.432 (NHAR_ECOLI,0.37,0.5,0.48,0.5,0.42,0.36,0.45)
    12       1:cp       2:im   +   0.432 (RIMI_ECOLI,0.24,0.57,0.48,0.5,0.63,0.34,0.43)
    13       1:cp       2:im   +   0.432 (SYFA_ECOLI,0.41,0.51,0.48,0.5,0.58,0.2,0.31)
    14       1:cp       2:im   +   0.432 (USPA_ECOLI,0.4,0.41,0.48,0.5,0.55,0.22,0.33)
    15       1:cp       1:cp       1 (THGA_ECOLI,0.27,0.3,0.48,0.5,0.71,0.28,0.39)
    16       1:cp       2:im   +   0.432 (PGK_ECOLI,0.34,0.28,0.48,0.5,0.41,0.35,0.44)
    17       1:cp       2:im   +   0.432 (UGPQ_ECOLI,0.26,0.4,0.48,0.5,0.36,0.26,0.37)
    18       1:cp       1:cp       0.833 (PT1_ECOLI,0.52,0.44,0.48,0.5,0.37,0.36,0.42)
    19      4:imU       2:im   +   0.432 (KUP_ECOLI,0.62,0.42,0.48,0.5,0.58,0.79,0.81)
    20      4:imU      4:imU       1 (PNTB_ECOLI,0.81,0.52,0.48,0.5,0.57,0.78,0.8)
    21      4:imU      6:omL   +   0.571 (RHAT_ECOLI,0.49,0.61,1,0.5,0.56,0.71,0.74)
    22       3:pp       2:im   +   0.432 (FECB_ECOLI,0.68,0.82,0.48,0.5,0.38,0.65,0.56)
    23       3:pp       1:cp   +   0.857 (TBPA_ECOLI,0.56,0.54,0.48,0.5,0.43,0.37,0.3)
    24       3:pp       2:im   +   0.432 (CYSP_ECOLI,0.67,0.61,0.48,0.5,0.51,0.37,0.38)
    25       3:pp       1:cp   +   1 (TOLB_ECOLI,0.69,0.65,0.48,0.5,0.63,0.48,0.41)
    26       3:pp       2:im   +   0.432 (MEPA_ECOLI,0.75,0.84,0.48,0.5,0.35,0.52,0.33)
    27      6:omL      6:omL       0.571 (MULI_ECOLI,0.77,0.57,1,0.5,0.37,0.54,0.01)
     1       2:im       2:im       0.467 (RODA_ECOLI,0.61,0.66,0.48,0.5,0.46,0.87,0.88)
     2       2:im       2:im       0.467 (EMRA_ECOLI,0.06,0.61,0.48,0.5,0.49,0.92,0.37)
     3       2:im       1:cp   +   1 (MOTB_ECOLI,0.3,0.51,0.48,0.5,0.42,0.61,0.34)
     4       2:im       2:im       0.467 (PTHB_ECOLI,0.36,0.47,0.48,0.5,0.51,0.69,0.72)
     5       2:im       3:pp   +   0.8 (MSBB_ECOLI,0.16,0.51,0.48,0.5,0.33,0.39,0.48)
     6       2:im       2:im       0.467 (BETT_ECOLI,0.52,0.39,0.48,0.5,0.65,0.71,0.73)
     7       2:im       3:pp   +   0.667 (GLTP_ECOLI,0.74,0.44,0.48,0.5,0.55,0.88,0.89)
     8       2:im       2:im       0.467 (FRDC_ECOLI,0.33,0.56,0.48,0.5,0.33,0.78,0.8)
     9       5:om       2:im   +   0.467 (FADL_ECOLI,0.78,0.68,0.48,0.5,0.83,0.4,0.29)
    10       5:om       3:pp   +   0.667 (OMPA_ECOLI,0.74,0.9,0.48,0.5,0.57,0.53,0.29)
    11       1:cp       1:cp       0.714 (OMPR_ECOLI,0.24,0.43,0.48,0.5,0.37,0.28,0.38)
    12       1:cp       1:cp       0.8 (PTKA_ECOLI,0.31,0.47,0.48,0.5,0.29,0.28,0.39)
    13       1:cp       2:im   +   0.467 (SYFB_ECOLI,0.34,0.42,0.48,0.5,0.41,0.34,0.43)
    14       1:cp       2:im   +   0.467 (THIK_ECOLI,0.17,0.52,0.48,0.5,0.49,0.37,0.46)
    15       1:cp       1:cp       0.8 (SYL_ECOLI,0.04,0.31,0.48,0.5,0.41,0.29,0.39)
    16       1:cp       2:im   +   0.467 (PEPE_ECOLI,0.41,0.48,0.48,0.5,0.51,0.44,0.51)
    17       1:cp       1:cp       0.8 (SYD_ECOLI,0.38,0.3,0.48,0.5,0.43,0.29,0.39)
    18       1:cp       2:im   +   0.467 (PROB_ECOLI,0.4,0.46,0.48,0.5,0.52,0.49,0.56)
    19      4:imU       2:im   +   0.467 (CADB_ECOLI,0.83,0.48,0.48,0.5,0.65,0.76,0.79)
    20      4:imU       2:im   +   0.467 (TEHA_ECOLI,0.63,0.51,0.48,0.5,0.64,0.72,0.76)
    21      4:imU       2:im   +   0.467 (CYDB_ECOLI,0.75,0.37,0.48,0.5,0.64,0.7,0.74)
    22       3:pp       2:im   +   0.467 (SPEA_ECOLI,0.29,0.39,0.48,0.5,0.52,0.4,0.48)
    23       3:pp       3:pp       0.667 (GGT_ECOLI,0.74,0.82,0.48,0.5,0.49,0.49,0.41)
    24       3:pp       3:pp       0.8 (GLPQ_ECOLI,0.63,0.83,0.48,0.5,0.4,0.39,0.19)
    25       3:pp       2:im   +   0.467 (PPB_ECOLI,0.68,0.67,0.48,0.5,0.49,0.4,0.34)
    26       3:pp       1:cp   +   0.8 (DSBA_ECOLI,0.71,0.71,0.48,0.5,0.4,0.54,0.39)
    27      6:omL       2:im   +   0.467 (NLPB_ECOLI,0.66,0.49,1,0.5,0.54,0.56,0.36)
     1       2:im       2:im       0.437 (PTFB_ECOLI,0.37,0.47,0.48,0.5,0.39,0.76,0.79)
     2       2:im       2:im       0.437 (LNT_ECOLI,0.6,0.61,0.48,0.5,0.54,0.67,0.71)
     3       2:im       2:im       0.437 (GABP_ECOLI,0.47,0.59,0.48,0.5,0.52,0.76,0.79)
     4       2:im       2:im       0.437 (MCP3_ECOLI,0.6,0.5,1,0.5,0.54,0.77,0.8)
     5       2:im       2:im       0.437 (DHSD_ECOLI,0.54,0.49,0.48,0.5,0.4,0.87,0.88)
     6       2:im       2:im       0.437 (SECE_ECOLI,0.48,0.49,0.48,0.5,0.52,0.77,0.71)
     7       2:im       2:im       0.437 (PTDA_ECOLI,0.6,0.46,0.48,0.5,0.45,0.81,0.83)
     8       2:im       2:im       0.437 (ENVZ_ECOLI,0.72,0.46,0.48,0.5,0.51,0.66,0.7)
     9       5:om       2:im   +   0.437 (FECA_ECOLI,0.52,0.81,0.48,0.5,0.72,0.38,0.38)
    10       5:om       2:im   +   0.437 (PA1_ECOLI,0.68,0.63,0.48,0.5,0.73,0.4,0.3)
    11       1:cp       2:im   +   0.437 (RNC_ECOLI,0.26,0.5,0.48,0.5,0.44,0.32,0.41)
    12       1:cp       2:im   +   0.437 (PTCA_ECOLI,0.5,0.51,0.48,0.5,0.27,0.23,0.34)
    13       1:cp       2:im   +   0.437 (SYE_ECOLI,0.38,0.44,0.48,0.5,0.43,0.2,0.31)
    14       1:cp       2:im   +   0.437 (OTC2_ECOLI,0.48,0.42,0.48,0.5,0.45,0.25,0.35)
    15       1:cp       2:im   +   0.437 (UBIC_ECOLI,0.3,0.37,0.48,0.5,0.43,0.18,0.3)
    16       1:cp       2:im   +   0.437 (SYK1_ECOLI,0.24,0.41,0.48,0.5,0.49,0.23,0.34)
    17       1:cp       1:cp       1 (UVRB_ECOLI,0.22,0.34,0.48,0.5,0.42,0.29,0.39)
    18      4:imU       2:im   +   0.437 (CRED_ECOLI,0.78,0.33,0.48,0.5,0.57,0.77,0.79)
    19      4:imU       2:im   +   0.437 (KEFC_ECOLI,0.63,0.42,0.48,0.5,0.48,0.77,0.8)
    20      4:imU       3:pp   +   0.75 (CAIT_ECOLI,0.69,0.43,0.48,0.5,0.59,0.74,0.77)
    21      4:imU       2:im   +   0.437 (LEP_ECOLI,0.78,0.44,0.48,0.5,0.45,0.73,0.68)
    22       3:pp       2:im   +   0.437 (ECOT_ECOLI,0.67,0.81,0.48,0.5,0.25,0.42,0.25)
    23       3:pp       3:pp       0.75 (TESA_ECOLI,0.69,0.66,0.48,0.5,0.41,0.5,0.25)
    24       3:pp       3:pp       0.667 (AGP_ECOLI,0.74,0.49,0.48,0.5,0.42,0.54,0.36)
    25       3:pp       3:pp       0.714 (RBSB_ECOLI,0.64,0.81,0.48,0.5,0.37,0.39,0.44)
    26       3:pp       2:im   +   0.437 (TORA_ECOLI,0.43,0.59,0.48,0.5,0.52,0.49,0.56)
    27      6:omL       2:im   +   0.437 (NLPE_ECOLI,0.71,0.46,1,0.5,0.52,0.59,0.3)
     1       2:im       2:im       0.476 (YCEE_ECOLI,0.52,0.54,0.48,0.5,0.62,0.76,0.79)
     2       2:im       1:cp   +   0.75 (PSTA_ECOLI,0.34,0.67,0.48,0.5,0.52,0.76,0.79)
     3       2:im       2:im       0.476 (POTE_ECOLI,0.63,0.65,0.48,0.5,0.66,0.67,0.71)
     4       2:im       2:im       0.476 (AMPE_ECOLI,0.63,0.47,0.48,0.5,0.51,0.82,0.84)
     5       2:im       2:im       0.476 (MALG_ECOLI,0.7,0.4,0.48,0.5,0.56,0.86,0.83)
     6       2:im       2:im       0.476 (FTSL_ECOLI,0.36,0.45,0.48,0.5,0.38,0.79,0.17)
     7       2:im       2:im       0.476 (GLPT_ECOLI,0.31,0.5,0.48,0.5,0.57,0.84,0.85)
     8       2:im       2:im       0.476 (ARAE_ECOLI,0.23,0.48,0.48,0.5,0.59,0.88,0.89)
     9       5:om       3:pp   +   0.714 (OMPP_ECOLI,0.69,0.59,0.48,0.5,0.77,0.39,0.21)
    10       5:om       5:om       0.667 (OMPF_ECOLI,0.75,0.76,0.48,0.5,0.83,0.57,0.3)
    11       1:cp       2:im   +   0.476 (PFLB_ECOLI,0.29,0.41,0.48,0.5,0.48,0.38,0.46)
    12       1:cp       2:im   +   0.476 (SYQ_ECOLI,0.28,0.33,0.48,0.5,0.45,0.22,0.33)
    13       1:cp       2:im   +   0.476 (RNE_ECOLI,0.43,0.32,0.48,0.5,0.33,0.45,0.52)
    14       1:cp       2:im   +   0.476 (RHAS_ECOLI,0.38,0.4,0.48,0.5,0.63,0.25,0.35)
    15       1:cp       2:im   +   0.476 (NADA_ECOLI,0.26,0.26,0.48,0.5,0.34,0.25,0.35)
    16       1:cp       1:cp       0.625 (METX_ECOLI,0.25,0.37,0.48,0.5,0.43,0.26,0.36)
    17       1:cp       2:im   +   0.476 (SERC_ECOLI,0.49,0.43,0.48,0.5,0.49,0.3,0.4)
    18      4:imU       2:im   +   0.476 (NUPC_ECOLI,0.7,0.53,0.48,0.5,0.7,0.86,0.87)
    19      4:imU       2:im   +   0.476 (MELB_ECOLI,0.47,0.46,0.48,0.5,0.62,0.74,0.77)
    20      4:imU      4:imU       1 (BCR_ECOLI,0.79,0.41,0.48,0.5,0.66,0.81,0.83)
    21      4:imU       3:pp   +   0.8 (DSBD_ECOLI,0.76,0.71,0.48,0.5,0.5,0.71,0.75)
    22       3:pp       2:im   +   0.476 (GLNH_ECOLI,0.63,0.86,0.48,0.5,0.39,0.47,0.34)
    23       3:pp       2:im   +   0.476 (DSBC_ECOLI,0.66,0.74,0.48,0.5,0.31,0.38,0.43)
    24       3:pp       2:im   +   0.476 (AMY1_ECOLI,0.7,0.61,0.48,0.5,0.56,0.52,0.43)
    25       3:pp       2:im   +   0.476 (LIVJ_ECOLI,0.71,0.86,0.48,0.5,0.4,0.54,0.32)
    26       3:pp       2:im   +   0.476 (USHA_ECOLI,0.61,0.6,0.48,0.5,0.44,0.39,0.38)
    27      6:omL       3:pp   +   0.667 (PAL_ECOLI,0.67,0.55,1,0.5,0.66,0.58,0.16)
     1       2:im       2:im       0.444 (TOLQ_ECOLI,0.63,0.75,0.48,0.5,0.64,0.73,0.66)
     2       2:im       2:im       0.444 (FTSW_ECOLI,0.54,0.57,0.48,0.5,0.56,0.81,0.83)
     3       2:im       1:cp   +   1 (FTSN_ECOLI,0,0.51,0.48,0.5,0.35,0.67,0.44)
     4       2:im       2:im       0.444 (NHAB_ECOLI,0.7,0.46,0.48,0.5,0.56,0.78,0.73)
     5       2:im       2:im       0.444 (PTGB_ECOLI,0.58,0.55,0.48,0.5,0.57,0.7,0.74)
     6       2:im       2:im       0.444 (SECY_ECOLI,0.31,0.36,0.48,0.5,0.58,0.94,0.94)
     7       2:im       2:im       0.444 (PHOR_ECOLI,0.61,0.52,0.48,0.5,0.54,0.67,0.52)
     8       2:im       2:im       0.444 (CYOC_ECOLI,0.12,0.67,0.48,0.5,0.74,0.58,0.63)
     9       5:om       2:im   +   0.444 (NFRA_ECOLI,0.61,0.75,0.48,0.5,0.51,0.33,0.33)
    10       5:om       2:im   +   0.444 (CIRA_ECOLI,0.65,0.51,0.48,0.5,0.66,0.54,0.33)
    11       1:cp       2:im   +   0.444 (TYRB_ECOLI,0.36,0.42,0.48,0.5,0.53,0.32,0.41)
    12       1:cp       1:cp       1 (SYK2_ECOLI,0.17,0.39,0.48,0.5,0.53,0.3,0.39)
    13       1:cp       2:im   +   0.444 (SYY_ECOLI,0.3,0.44,0.48,0.5,0.49,0.22,0.33)
    14       1:cp       2:im   +   0.444 (NIRD_ECOLI,0.44,0.42,0.48,0.5,0.42,0.25,0.2)
    15       1:cp       2:im   +   0.444 (PTHP_ECOLI,0.3,0.45,0.48,0.5,0.36,0.21,0.32)
    16       1:cp       2:im   +   0.444 (PMBA_ECOLI,0.34,0.55,0.48,0.5,0.58,0.31,0.41)
    17       1:cp       2:im   +   0.444 (SLYD_ECOLI,0.47,0.28,0.48,0.5,0.56,0.2,0.25)
    18      4:imU       2:im   +   0.444 (MCP2_ECOLI,0.81,0.53,0.48,0.5,0.57,0.87,0.88)
    19      4:imU       2:im   +   0.444 (SECD_ECOLI,0.88,0.42,0.48,0.5,0.52,0.73,0.75)
    20      4:imU       2:im   +   0.444 (TONB_ECOLI,0.57,0.38,0.48,0.5,0.06,0.49,0.33)
    21      4:imU       2:im   +   0.444 (MOTA_ECOLI,0.76,0.41,0.48,0.5,0.5,0.59,0.62)
    22       3:pp       2:im   +   0.444 (PSTS_ECOLI,0.62,0.78,0.48,0.5,0.47,0.49,0.54)
    23       3:pp       2:im   +   0.444 (FEPB_ECOLI,0.7,0.64,0.48,0.5,0.47,0.51,0.47)
    24       3:pp       2:im   +   0.444 (BGLX_ECOLI,0.65,0.57,0.48,0.5,0.47,0.47,0.51)
    25       3:pp       2:im   +   0.444 (CN16_ECOLI,0.67,0.7,0.48,0.5,0.46,0.45,0.33)
    26       3:pp       2:im   +   0.444 (SUBI_ECOLI,0.62,0.83,0.48,0.5,0.46,0.36,0.4)
    27      7:imL      6:omL   +   0.556 (CYOA_ECOLI,0.7,0.39,1,0.5,0.51,0.82,0.84)
     1       2:im       2:im       0.496 (TNAB_ECOLI,0.68,0.51,0.48,0.5,0.71,0.75,0.78)
     2       2:im       2:im       0.496 (CODB_ECOLI,0.29,0.47,0.48,0.5,0.71,0.65,0.69)
     3       2:im       2:im       0.496 (LLDP_ECOLI,0.66,0.53,0.48,0.5,0.59,0.66,0.66)
     4       2:im       2:im       0.496 (FTSQ_ECOLI,0.1,0.49,0.48,0.5,0.41,0.67,0.21)
     5       2:im       2:im       0.496 (PSTC_ECOLI,0.58,0.34,0.48,0.5,0.56,0.87,0.81)
     6       2:im       2:im       0.496 (PHEP_ECOLI,0.12,0.43,0.48,0.5,0.63,0.7,0.74)
     7       2:im       1:cp   +   1 (CYOD_ECOLI,0.4,0.5,0.48,0.5,0.65,0.82,0.84)
     8       5:om       2:im   +   0.496 (NMPC_ECOLI,0.67,0.84,0.48,0.5,0.74,0.54,0.37)
     9       5:om       2:im   +   0.496 (FEPA_ECOLI,0.64,0.57,0.48,0.5,0.7,0.33,0.26)
    10      8:imS       2:im   +   0.496 (NFRB_ECOLI,0.63,0.49,0.48,0.5,0.54,0.76,0.79)
    11       1:cp       1:cp       1 (SYP_ECOLI,0.34,0.51,0.48,0.5,0.44,0.37,0.46)
    12       1:cp       2:im   +   0.496 (XYLA_ECOLI,0.16,0.43,0.48,0.5,0.54,0.27,0.37)
    13       1:cp       2:im   +   0.496 (RNB_ECOLI,0.24,0.34,0.48,0.5,0.38,0.3,0.4)
    14       1:cp       2:im   +   0.496 (SYA_ECOLI,0.34,0.35,0.48,0.5,0.51,0.49,0.56)
    15       1:cp       1:cp       0.625 (PFLA_ECOLI,0.44,0.28,0.48,0.5,0.43,0.27,0.37)
    16       1:cp       1:cp       1 (SYH_ECOLI,0.29,0.28,0.48,0.5,0.5,0.42,0.5)
    17       1:cp       2:im   +   0.496 (SYM_ECOLI,0.61,0.36,0.48,0.5,0.49,0.35,0.44)
    18      4:imU       2:im   +   0.496 (SECG_ECOLI,0.84,0.54,0.48,0.5,0.75,0.92,0.7)
    19      4:imU       2:im   +   0.496 (ATKA_ECOLI,0.72,0.42,0.48,0.5,0.65,0.77,0.79)
    20      4:imU       2:im   +   0.496 (CYOB_ECOLI,0.59,0.29,0.48,0.5,0.64,0.75,0.77)
    21      4:imU       2:im   +   0.496 (MCP4_ECOLI,0.87,0.49,0.48,0.5,0.61,0.76,0.79)
    22       3:pp       2:im   +   0.496 (OSMY_ECOLI,0.64,0.66,0.48,0.5,0.41,0.39,0.2)
    23       3:pp       2:im   +   0.496 (MALM_ECOLI,0.74,0.47,0.48,0.5,0.5,0.57,0.42)
    24       3:pp       2:im   +   0.496 (NRFA_ECOLI,0.69,0.67,0.48,0.5,0.3,0.39,0.24)
    25       3:pp      4:imU   +   1 (PTR_ECOLI,0.76,0.73,0.48,0.5,0.44,0.39,0.39)
    26       3:pp       2:im   +   0.496 (CYPH_ECOLI,0.67,0.81,0.48,0.5,0.54,0.49,0.23)
    27      7:imL      6:omL   +   0.556 (NLPA_ECOLI,0.75,0.55,1,1,0.4,0.47,0.3)
     1       2:im       2:im       0.474 (TOLA_ECOLI,0.61,0.47,0.48,0.5,0,0.8,0.32)
     2       2:im       3:pp   +   1 (XYLE_ECOLI,0.69,0.39,0.48,0.5,0.57,0.76,0.79)
     3       2:im       2:im       0.474 (DHSC_ECOLI,0.48,0.45,0.48,0.5,0.6,0.78,0.8)
     4       2:im       2:im       0.474 (PTMA_ECOLI,0.39,0.41,0.48,0.5,0.52,0.72,0.75)
     5       2:im       2:im       0.474 (LSPA_ECOLI,0.83,0.37,0.48,0.5,0.61,0.71,0.74)
     6       2:im       2:im       0.474 (GLNP_ECOLI,0.49,0.42,0.48,0.5,0.53,0.79,0.81)
     7       2:im       1:cp   +   1 (AAS_ECOLI,0.44,0.52,0.48,0.5,0.43,0.47,0.54)
     8       5:om       2:im   +   0.474 (LAMB_ECOLI,0.67,0.88,0.48,0.5,0.73,0.5,0.25)
     9       5:om       3:pp   +   0.714 (PHOE_ECOLI,0.74,0.78,0.48,0.5,0.75,0.54,0.15)
    10      8:imS       2:im   +   0.474 (ATKC_ECOLI,0.85,0.53,0.48,0.5,0.53,0.52,0.35)
    11       1:cp       5:om   +   0.667 (PTWX_ECOLI,0.65,0.55,0.48,0.5,0.34,0.37,0.28)
    12       1:cp       1:cp       0.857 (PTCB_ECOLI,0.53,0.42,0.48,0.5,0.16,0.29,0.39)
    13       1:cp       1:cp       0.667 (SYGB_ECOLI,0.25,0.51,0.48,0.5,0.37,0.42,0.5)
    14       1:cp       2:im   +   0.474 (PTHA_ECOLI,0.41,0.43,0.48,0.5,0.5,0.24,0.25)
    15       1:cp       2:im   +   0.474 (PHOH_ECOLI,0.29,0.47,0.48,0.5,0.41,0.23,0.34)
    16       1:cp       5:om   +   0.75 (RIML_ECOLI,0.33,0.47,0.48,0.5,0.53,0.18,0.29)
    17       1:cp       5:om   +   0.667 (RIMJ_ECOLI,0.38,0.26,0.48,0.5,0.54,0.16,0.28)
    18      4:imU       2:im   +   0.474 (DMSC_ECOLI,0.66,0.48,0.48,0.5,0.54,0.7,0.74)
    19      4:imU       2:im   +   0.474 (UHPB_ECOLI,0.79,0.54,0.48,0.5,0.5,0.66,0.68)
    20      4:imU       2:im   +   0.474 (FEPD_ECOLI,0.84,0.49,0.48,0.5,0.55,0.78,0.74)
    21      4:imU       2:im   +   0.474 (FEPG_ECOLI,0.77,0.55,0.48,0.5,0.51,0.78,0.74)
    22       3:pp       2:im   +   0.474 (POTF_ECOLI,0.66,0.71,0.48,0.5,0.41,0.5,0.35)
    23       3:pp       1:cp   +   0.857 (HTRA_ECOLI,0.63,0.71,0.48,0.5,0.6,0.4,0.39)
    24       3:pp       2:im   +   0.474 (PROX_ECOLI,0.64,0.78,0.48,0.5,0.5,0.36,0.38)
