

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Sequence_Name,mcg,gvh,lip,chg,aac,alm1,alm2)
    15       1:cp       1:cp       0.25 (SYW_ECOLI,0.39,0.31,0.48,0.5,0.38,0.34,0.43)
    16       1:cp       3:pp   +   0.25 (SYV_ECOLI,0,0.38,0.48,0.5,0.42,0.48,0.55)
    17       1:cp       1:cp       0.25 (UVRC_ECOLI,0.44,0.35,0.48,0.5,0.44,0.52,0.59)
    18       1:cp       3:pp   +   0.25 (MURF_ECOLI,0.35,0.48,0.48,0.5,0.56,0.4,0.48)
    19      4:imU      4:imU       0.25 (DPPB_ECOLI,0.64,0.46,0.48,0.5,0.48,0.73,0.76)
    20      4:imU       3:pp   +   0.25 (CYOE_ECOLI,0.67,0.37,0.48,0.5,0.54,0.64,0.68)
    21      4:imU       2:im   +   0.25 (PTKC_ECOLI,0.73,0.26,0.48,0.5,0.57,0.75,0.78)
    22       3:pp       3:pp       0.25 (DPPA_ECOLI,0.57,0.59,0.48,0.5,0.39,0.47,0.33)
    23       3:pp       3:pp       0.25 (FIMC_ECOLI,0.63,0.57,0.48,0.5,0.49,0.7,0.2)
    24       3:pp       2:im   +   0.25 (XYLF_ECOLI,0.59,0.61,0.48,0.5,0.42,0.42,0.37)
    25       3:pp       1:cp   +   0.25 (FECR_ECOLI,0.32,0.39,0.48,0.5,0.53,0.28,0.38)
    26       3:pp       3:pp       0.25 (MODA_ECOLI,0.63,0.65,0.48,0.5,0.39,0.44,0.35)
    27      6:omL       5:om   +   0.25 (SLP_ECOLI,0.68,0.49,1,0.5,0.62,0.55,0.28)
     1       2:im       2:im       0.25 (MTR_ECOLI,0.74,0.7,0.48,0.5,0.66,0.65,0.69)
     2       2:im       2:im       0.25 (ATKB_ECOLI,0.46,0.61,0.48,0.5,0.48,0.86,0.87)
     3       2:im       2:im       0.25 (DSBB_ECOLI,0.5,0.66,0.48,0.5,0.31,0.92,0.92)
     4       2:im       2:im       0.25 (DPPC_ECOLI,0.48,0.41,0.48,0.5,0.51,0.9,0.88)
     5       2:im       2:im       0.25 (EMRB_ECOLI,0.71,0.52,0.48,0.5,0.64,1,0.99)
     6       2:im       2:im       0.25 (LGT_ECOLI,0.5,0.37,0.48,0.5,0.66,0.64,0.69)
     7       2:im       2:im       0.25 (EXBD_ECOLI,0.46,0.59,0.48,0.5,0.36,0.76,0.23)
     8       2:im       2:im       0.25 (NANT_ECOLI,0.2,0.46,0.48,0.5,0.57,0.78,0.81)
     9       5:om       3:pp   +   0.25 (OMPX_ECOLI,0.77,0.57,0.48,0.5,0.88,0.53,0.2)
    10       5:om       2:im   +   0.214 (FHUE_ECOLI,0.6,0.76,1,0.5,0.77,0.59,0.52)
    11       1:cp       2:im   +   0.25 (NHAR_ECOLI,0.37,0.5,0.48,0.5,0.42,0.36,0.45)
    12       1:cp       1:cp       0.25 (RIMI_ECOLI,0.24,0.57,0.48,0.5,0.63,0.34,0.43)
    13       1:cp       2:im   +   0.25 (SYFA_ECOLI,0.41,0.51,0.48,0.5,0.58,0.2,0.31)
    14       1:cp       1:cp       0.25 (USPA_ECOLI,0.4,0.41,0.48,0.5,0.55,0.22,0.33)
    15       1:cp       1:cp       0.25 (THGA_ECOLI,0.27,0.3,0.48,0.5,0.71,0.28,0.39)
    16       1:cp       1:cp       0.25 (PGK_ECOLI,0.34,0.28,0.48,0.5,0.41,0.35,0.44)
    17       1:cp       1:cp       0.25 (UGPQ_ECOLI,0.26,0.4,0.48,0.5,0.36,0.26,0.37)
    18       1:cp       1:cp       0.25 (PT1_ECOLI,0.52,0.44,0.48,0.5,0.37,0.36,0.42)
    19      4:imU       2:im   +   0.25 (KUP_ECOLI,0.62,0.42,0.48,0.5,0.58,0.79,0.81)
    20      4:imU      4:imU       0.25 (PNTB_ECOLI,0.81,0.52,0.48,0.5,0.57,0.78,0.8)
    21      4:imU       2:im   +   0.25 (RHAT_ECOLI,0.49,0.61,1,0.5,0.56,0.71,0.74)
    22       3:pp       1:cp   +   0.214 (FECB_ECOLI,0.68,0.82,0.48,0.5,0.38,0.65,0.56)
    23       3:pp       1:cp   +   0.25 (TBPA_ECOLI,0.56,0.54,0.48,0.5,0.43,0.37,0.3)
    24       3:pp       3:pp       0.25 (CYSP_ECOLI,0.67,0.61,0.48,0.5,0.51,0.37,0.38)
    25       3:pp       1:cp   +   0.25 (TOLB_ECOLI,0.69,0.65,0.48,0.5,0.63,0.48,0.41)
    26       3:pp       3:pp       0.25 (MEPA_ECOLI,0.75,0.84,0.48,0.5,0.35,0.52,0.33)
    27      6:omL       3:pp   +   0.25 (MULI_ECOLI,0.77,0.57,1,0.5,0.37,0.54,0.01)
     1       2:im       2:im       0.25 (RODA_ECOLI,0.61,0.66,0.48,0.5,0.46,0.87,0.88)
     2       2:im       3:pp   +   0.25 (EMRA_ECOLI,0.06,0.61,0.48,0.5,0.49,0.92,0.37)
     3       2:im       1:cp   +   0.25 (MOTB_ECOLI,0.3,0.51,0.48,0.5,0.42,0.61,0.34)
     4       2:im       2:im       0.25 (PTHB_ECOLI,0.36,0.47,0.48,0.5,0.51,0.69,0.72)
     5       2:im       1:cp   +   0.25 (MSBB_ECOLI,0.16,0.51,0.48,0.5,0.33,0.39,0.48)
     6       2:im       2:im       0.25 (BETT_ECOLI,0.52,0.39,0.48,0.5,0.65,0.71,0.73)
     7       2:im       2:im       0.25 (GLTP_ECOLI,0.74,0.44,0.48,0.5,0.55,0.88,0.89)
     8       2:im       2:im       0.25 (FRDC_ECOLI,0.33,0.56,0.48,0.5,0.33,0.78,0.8)
     9       5:om       5:om       0.25 (FADL_ECOLI,0.78,0.68,0.48,0.5,0.83,0.4,0.29)
    10       5:om       3:pp   +   0.25 (OMPA_ECOLI,0.74,0.9,0.48,0.5,0.57,0.53,0.29)
    11       1:cp       1:cp       0.25 (OMPR_ECOLI,0.24,0.43,0.48,0.5,0.37,0.28,0.38)
    12       1:cp       1:cp       0.25 (PTKA_ECOLI,0.31,0.47,0.48,0.5,0.29,0.28,0.39)
    13       1:cp       1:cp       0.25 (SYFB_ECOLI,0.34,0.42,0.48,0.5,0.41,0.34,0.43)
    14       1:cp       1:cp       0.25 (THIK_ECOLI,0.17,0.52,0.48,0.5,0.49,0.37,0.46)
    15       1:cp       1:cp       0.25 (SYL_ECOLI,0.04,0.31,0.48,0.5,0.41,0.29,0.39)
    16       1:cp       2:im   +   0.25 (PEPE_ECOLI,0.41,0.48,0.48,0.5,0.51,0.44,0.51)
    17       1:cp       1:cp       0.25 (SYD_ECOLI,0.38,0.3,0.48,0.5,0.43,0.29,0.39)
    18       1:cp       1:cp       0.25 (PROB_ECOLI,0.4,0.46,0.48,0.5,0.52,0.49,0.56)
    19      4:imU       2:im   +   0.25 (CADB_ECOLI,0.83,0.48,0.48,0.5,0.65,0.76,0.79)
    20      4:imU       2:im   +   0.25 (TEHA_ECOLI,0.63,0.51,0.48,0.5,0.64,0.72,0.76)
    21      4:imU       2:im   +   0.25 (CYDB_ECOLI,0.75,0.37,0.48,0.5,0.64,0.7,0.74)
    22       3:pp       1:cp   +   0.25 (SPEA_ECOLI,0.29,0.39,0.48,0.5,0.52,0.4,0.48)
    23       3:pp       3:pp       0.25 (GGT_ECOLI,0.74,0.82,0.48,0.5,0.49,0.49,0.41)
    24       3:pp       3:pp       0.25 (GLPQ_ECOLI,0.63,0.83,0.48,0.5,0.4,0.39,0.19)
    25       3:pp       3:pp       0.25 (PPB_ECOLI,0.68,0.67,0.48,0.5,0.49,0.4,0.34)
    26       3:pp       3:pp       0.25 (DSBA_ECOLI,0.71,0.71,0.48,0.5,0.4,0.54,0.39)
    27      6:omL      4:imU   +   0.25 (NLPB_ECOLI,0.66,0.49,1,0.5,0.54,0.56,0.36)
     1       2:im       2:im       0.25 (PTFB_ECOLI,0.37,0.47,0.48,0.5,0.39,0.76,0.79)
     2       2:im       2:im       0.25 (LNT_ECOLI,0.6,0.61,0.48,0.5,0.54,0.67,0.71)
     3       2:im       2:im       0.25 (GABP_ECOLI,0.47,0.59,0.48,0.5,0.52,0.76,0.79)
     4       2:im      4:imU   +   0.25 (MCP3_ECOLI,0.6,0.5,1,0.5,0.54,0.77,0.8)
     5       2:im       2:im       0.25 (DHSD_ECOLI,0.54,0.49,0.48,0.5,0.4,0.87,0.88)
     6       2:im       2:im       0.25 (SECE_ECOLI,0.48,0.49,0.48,0.5,0.52,0.77,0.71)
     7       2:im      4:imU   +   0.25 (PTDA_ECOLI,0.6,0.46,0.48,0.5,0.45,0.81,0.83)
     8       2:im      4:imU   +   0.25 (ENVZ_ECOLI,0.72,0.46,0.48,0.5,0.51,0.66,0.7)
     9       5:om       3:pp   +   0.25 (FECA_ECOLI,0.52,0.81,0.48,0.5,0.72,0.38,0.38)
    10       5:om       3:pp   +   0.25 (PA1_ECOLI,0.68,0.63,0.48,0.5,0.73,0.4,0.3)
    11       1:cp       1:cp       0.25 (RNC_ECOLI,0.26,0.5,0.48,0.5,0.44,0.32,0.41)
    12       1:cp       2:im   +   0.25 (PTCA_ECOLI,0.5,0.51,0.48,0.5,0.27,0.23,0.34)
    13       1:cp       1:cp       0.25 (SYE_ECOLI,0.38,0.44,0.48,0.5,0.43,0.2,0.31)
    14       1:cp       1:cp       0.25 (OTC2_ECOLI,0.48,0.42,0.48,0.5,0.45,0.25,0.35)
    15       1:cp       1:cp       0.25 (UBIC_ECOLI,0.3,0.37,0.48,0.5,0.43,0.18,0.3)
    16       1:cp       1:cp       0.25 (SYK1_ECOLI,0.24,0.41,0.48,0.5,0.49,0.23,0.34)
    17       1:cp       1:cp       0.25 (UVRB_ECOLI,0.22,0.34,0.48,0.5,0.42,0.29,0.39)
    18      4:imU       2:im   +   0.25 (CRED_ECOLI,0.78,0.33,0.48,0.5,0.57,0.77,0.79)
    19      4:imU       2:im   +   0.25 (KEFC_ECOLI,0.63,0.42,0.48,0.5,0.48,0.77,0.8)
    20      4:imU       2:im   +   0.25 (CAIT_ECOLI,0.69,0.43,0.48,0.5,0.59,0.74,0.77)
    21      4:imU      4:imU       0.25 (LEP_ECOLI,0.78,0.44,0.48,0.5,0.45,0.73,0.68)
    22       3:pp       3:pp       0.25 (ECOT_ECOLI,0.67,0.81,0.48,0.5,0.25,0.42,0.25)
    23       3:pp       3:pp       0.25 (TESA_ECOLI,0.69,0.66,0.48,0.5,0.41,0.5,0.25)
    24       3:pp       5:om   +   0.25 (AGP_ECOLI,0.74,0.49,0.48,0.5,0.42,0.54,0.36)
    25       3:pp       3:pp       0.25 (RBSB_ECOLI,0.64,0.81,0.48,0.5,0.37,0.39,0.44)
    26       3:pp       3:pp       0.25 (TORA_ECOLI,0.43,0.59,0.48,0.5,0.52,0.49,0.56)
    27      6:omL       3:pp   +   0.25 (NLPE_ECOLI,0.71,0.46,1,0.5,0.52,0.59,0.3)
     1       2:im       2:im       0.25 (YCEE_ECOLI,0.52,0.54,0.48,0.5,0.62,0.76,0.79)
     2       2:im       2:im       0.25 (PSTA_ECOLI,0.34,0.67,0.48,0.5,0.52,0.76,0.79)
     3       2:im       2:im       0.25 (POTE_ECOLI,0.63,0.65,0.48,0.5,0.66,0.67,0.71)
     4       2:im       2:im       0.25 (AMPE_ECOLI,0.63,0.47,0.48,0.5,0.51,0.82,0.84)
     5       2:im       2:im       0.25 (MALG_ECOLI,0.7,0.4,0.48,0.5,0.56,0.86,0.83)
     6       2:im       2:im       0.25 (FTSL_ECOLI,0.36,0.45,0.48,0.5,0.38,0.79,0.17)
     7       2:im       2:im       0.25 (GLPT_ECOLI,0.31,0.5,0.48,0.5,0.57,0.84,0.85)
     8       2:im      4:imU   +   0.25 (ARAE_ECOLI,0.23,0.48,0.48,0.5,0.59,0.88,0.89)
     9       5:om       3:pp   +   0.25 (OMPP_ECOLI,0.69,0.59,0.48,0.5,0.77,0.39,0.21)
    10       5:om       1:cp   +   0.214 (OMPF_ECOLI,0.75,0.76,0.48,0.5,0.83,0.57,0.3)
    11       1:cp       1:cp       0.25 (PFLB_ECOLI,0.29,0.41,0.48,0.5,0.48,0.38,0.46)
    12       1:cp       1:cp       0.25 (SYQ_ECOLI,0.28,0.33,0.48,0.5,0.45,0.22,0.33)
    13       1:cp       3:pp   +   0.25 (RNE_ECOLI,0.43,0.32,0.48,0.5,0.33,0.45,0.52)
    14       1:cp       1:cp       0.25 (RHAS_ECOLI,0.38,0.4,0.48,0.5,0.63,0.25,0.35)
    15       1:cp       1:cp       0.25 (NADA_ECOLI,0.26,0.26,0.48,0.5,0.34,0.25,0.35)
    16       1:cp       1:cp       0.25 (METX_ECOLI,0.25,0.37,0.48,0.5,0.43,0.26,0.36)
    17       1:cp       1:cp       0.25 (SERC_ECOLI,0.49,0.43,0.48,0.5,0.49,0.3,0.4)
    18      4:imU       2:im   +   0.25 (NUPC_ECOLI,0.7,0.53,0.48,0.5,0.7,0.86,0.87)
    19      4:imU       2:im   +   0.25 (MELB_ECOLI,0.47,0.46,0.48,0.5,0.62,0.74,0.77)
    20      4:imU      4:imU       0.25 (BCR_ECOLI,0.79,0.41,0.48,0.5,0.66,0.81,0.83)
    21      4:imU       2:im   +   0.214 (DSBD_ECOLI,0.76,0.71,0.48,0.5,0.5,0.71,0.75)
    22       3:pp       3:pp       0.25 (GLNH_ECOLI,0.63,0.86,0.48,0.5,0.39,0.47,0.34)
    23       3:pp       1:cp   +   0.25 (DSBC_ECOLI,0.66,0.74,0.48,0.5,0.31,0.38,0.43)
    24       3:pp       2:im   +   0.25 (AMY1_ECOLI,0.7,0.61,0.48,0.5,0.56,0.52,0.43)
    25       3:pp       3:pp       0.25 (LIVJ_ECOLI,0.71,0.86,0.48,0.5,0.4,0.54,0.32)
    26       3:pp       3:pp       0.25 (USHA_ECOLI,0.61,0.6,0.48,0.5,0.44,0.39,0.38)
    27      6:omL       2:im   +   0.214 (PAL_ECOLI,0.67,0.55,1,0.5,0.66,0.58,0.16)
     1       2:im      4:imU   +   0.25 (TOLQ_ECOLI,0.63,0.75,0.48,0.5,0.64,0.73,0.66)
     2       2:im       2:im       0.25 (FTSW_ECOLI,0.54,0.57,0.48,0.5,0.56,0.81,0.83)
     3       2:im       2:im       0.25 (FTSN_ECOLI,0,0.51,0.48,0.5,0.35,0.67,0.44)
     4       2:im       2:im       0.25 (NHAB_ECOLI,0.7,0.46,0.48,0.5,0.56,0.78,0.73)
     5       2:im      4:imU   +   0.25 (PTGB_ECOLI,0.58,0.55,0.48,0.5,0.57,0.7,0.74)
     6       2:im       2:im       0.25 (SECY_ECOLI,0.31,0.36,0.48,0.5,0.58,0.94,0.94)
     7       2:im       2:im       0.25 (PHOR_ECOLI,0.61,0.52,0.48,0.5,0.54,0.67,0.52)
     8       2:im       2:im       0.25 (CYOC_ECOLI,0.12,0.67,0.48,0.5,0.74,0.58,0.63)
     9       5:om       2:im   +   0.25 (NFRA_ECOLI,0.61,0.75,0.48,0.5,0.51,0.33,0.33)
    10       5:om       2:im   +   0.25 (CIRA_ECOLI,0.65,0.51,0.48,0.5,0.66,0.54,0.33)
    11       1:cp       1:cp       0.25 (TYRB_ECOLI,0.36,0.42,0.48,0.5,0.53,0.32,0.41)
    12       1:cp       3:pp   +   0.25 (SYK2_ECOLI,0.17,0.39,0.48,0.5,0.53,0.3,0.39)
    13       1:cp       1:cp       0.25 (SYY_ECOLI,0.3,0.44,0.48,0.5,0.49,0.22,0.33)
    14       1:cp       1:cp       0.25 (NIRD_ECOLI,0.44,0.42,0.48,0.5,0.42,0.25,0.2)
    15       1:cp       2:im   +   0.25 (PTHP_ECOLI,0.3,0.45,0.48,0.5,0.36,0.21,0.32)
    16       1:cp       1:cp       0.25 (PMBA_ECOLI,0.34,0.55,0.48,0.5,0.58,0.31,0.41)
    17       1:cp       1:cp       0.25 (SLYD_ECOLI,0.47,0.28,0.48,0.5,0.56,0.2,0.25)
    18      4:imU      4:imU       0.25 (MCP2_ECOLI,0.81,0.53,0.48,0.5,0.57,0.87,0.88)
    19      4:imU      4:imU       0.25 (SECD_ECOLI,0.88,0.42,0.48,0.5,0.52,0.73,0.75)
    20      4:imU       1:cp   +   0.25 (TONB_ECOLI,0.57,0.38,0.48,0.5,0.06,0.49,0.33)
    21      4:imU       1:cp   +   0.25 (MOTA_ECOLI,0.76,0.41,0.48,0.5,0.5,0.59,0.62)
    22       3:pp       3:pp       0.25 (PSTS_ECOLI,0.62,0.78,0.48,0.5,0.47,0.49,0.54)
    23       3:pp       3:pp       0.25 (FEPB_ECOLI,0.7,0.64,0.48,0.5,0.47,0.51,0.47)
    24       3:pp       3:pp       0.25 (BGLX_ECOLI,0.65,0.57,0.48,0.5,0.47,0.47,0.51)
    25       3:pp       3:pp       0.25 (CN16_ECOLI,0.67,0.7,0.48,0.5,0.46,0.45,0.33)
    26       3:pp       1:cp   +   0.25 (SUBI_ECOLI,0.62,0.83,0.48,0.5,0.46,0.36,0.4)
    27      7:imL       2:im   +   0.25 (CYOA_ECOLI,0.7,0.39,1,0.5,0.51,0.82,0.84)
     1       2:im       2:im       0.25 (TNAB_ECOLI,0.68,0.51,0.48,0.5,0.71,0.75,0.78)
     2       2:im       2:im       0.25 (CODB_ECOLI,0.29,0.47,0.48,0.5,0.71,0.65,0.69)
     3       2:im      4:imU   +   0.25 (LLDP_ECOLI,0.66,0.53,0.48,0.5,0.59,0.66,0.66)
     4       2:im       2:im       0.25 (FTSQ_ECOLI,0.1,0.49,0.48,0.5,0.41,0.67,0.21)
     5       2:im       2:im       0.25 (PSTC_ECOLI,0.58,0.34,0.48,0.5,0.56,0.87,0.81)
     6       2:im      4:imU   +   0.25 (PHEP_ECOLI,0.12,0.43,0.48,0.5,0.63,0.7,0.74)
     7       2:im       2:im       0.25 (CYOD_ECOLI,0.4,0.5,0.48,0.5,0.65,0.82,0.84)
     8       5:om       3:pp   +   0.25 (NMPC_ECOLI,0.67,0.84,0.48,0.5,0.74,0.54,0.37)
     9       5:om       3:pp   +   0.25 (FEPA_ECOLI,0.64,0.57,0.48,0.5,0.7,0.33,0.26)
    10      8:imS       2:im   +   0.25 (NFRB_ECOLI,0.63,0.49,0.48,0.5,0.54,0.76,0.79)
    11       1:cp       1:cp       0.25 (SYP_ECOLI,0.34,0.51,0.48,0.5,0.44,0.37,0.46)
    12       1:cp       2:im   +   0.25 (XYLA_ECOLI,0.16,0.43,0.48,0.5,0.54,0.27,0.37)
    13       1:cp       1:cp       0.25 (RNB_ECOLI,0.24,0.34,0.48,0.5,0.38,0.3,0.4)
    14       1:cp       1:cp       0.25 (SYA_ECOLI,0.34,0.35,0.48,0.5,0.51,0.49,0.56)
    15       1:cp       1:cp       0.25 (PFLA_ECOLI,0.44,0.28,0.48,0.5,0.43,0.27,0.37)
    16       1:cp       1:cp       0.25 (SYH_ECOLI,0.29,0.28,0.48,0.5,0.5,0.42,0.5)
    17       1:cp       1:cp       0.25 (SYM_ECOLI,0.61,0.36,0.48,0.5,0.49,0.35,0.44)
    18      4:imU       2:im   +   0.25 (SECG_ECOLI,0.84,0.54,0.48,0.5,0.75,0.92,0.7)
    19      4:imU      4:imU       0.25 (ATKA_ECOLI,0.72,0.42,0.48,0.5,0.65,0.77,0.79)
    20      4:imU      4:imU       0.25 (CYOB_ECOLI,0.59,0.29,0.48,0.5,0.64,0.75,0.77)
    21      4:imU       2:im   +   0.25 (MCP4_ECOLI,0.87,0.49,0.48,0.5,0.61,0.76,0.79)
    22       3:pp       3:pp       0.25 (OSMY_ECOLI,0.64,0.66,0.48,0.5,0.41,0.39,0.2)
    23       3:pp       2:im   +   0.25 (MALM_ECOLI,0.74,0.47,0.48,0.5,0.5,0.57,0.42)
    24       3:pp       3:pp       0.25 (NRFA_ECOLI,0.69,0.67,0.48,0.5,0.3,0.39,0.24)
    25       3:pp       1:cp   +   0.25 (PTR_ECOLI,0.76,0.73,0.48,0.5,0.44,0.39,0.39)
    26       3:pp       3:pp       0.25 (CYPH_ECOLI,0.67,0.81,0.48,0.5,0.54,0.49,0.23)
    27      7:imL      6:omL   +   0.25 (NLPA_ECOLI,0.75,0.55,1,1,0.4,0.47,0.3)
     1       2:im       2:im       0.25 (TOLA_ECOLI,0.61,0.47,0.48,0.5,0,0.8,0.32)
     2       2:im      4:imU   +   0.25 (XYLE_ECOLI,0.69,0.39,0.48,0.5,0.57,0.76,0.79)
     3       2:im       2:im       0.25 (DHSC_ECOLI,0.48,0.45,0.48,0.5,0.6,0.78,0.8)
     4       2:im       2:im       0.25 (PTMA_ECOLI,0.39,0.41,0.48,0.5,0.52,0.72,0.75)
     5       2:im      4:imU   +   0.25 (LSPA_ECOLI,0.83,0.37,0.48,0.5,0.61,0.71,0.74)
     6       2:im      4:imU   +   0.25 (GLNP_ECOLI,0.49,0.42,0.48,0.5,0.53,0.79,0.81)
     7       2:im       1:cp   +   0.25 (AAS_ECOLI,0.44,0.52,0.48,0.5,0.43,0.47,0.54)
     8       5:om       3:pp   +   0.25 (LAMB_ECOLI,0.67,0.88,0.48,0.5,0.73,0.5,0.25)
     9       5:om       3:pp   +   0.25 (PHOE_ECOLI,0.74,0.78,0.48,0.5,0.75,0.54,0.15)
    10      8:imS       1:cp   +   0.25 (ATKC_ECOLI,0.85,0.53,0.48,0.5,0.53,0.52,0.35)
    11       1:cp       1:cp       0.214 (PTWX_ECOLI,0.65,0.55,0.48,0.5,0.34,0.37,0.28)
    12       1:cp       1:cp       0.25 (PTCB_ECOLI,0.53,0.42,0.48,0.5,0.16,0.29,0.39)
    13       1:cp       1:cp       0.25 (SYGB_ECOLI,0.25,0.51,0.48,0.5,0.37,0.42,0.5)
    14       1:cp       1:cp       0.25 (PTHA_ECOLI,0.41,0.43,0.48,0.5,0.5,0.24,0.25)
    15       1:cp       1:cp       0.25 (PHOH_ECOLI,0.29,0.47,0.48,0.5,0.41,0.23,0.34)
    16       1:cp       2:im   +   0.25 (RIML_ECOLI,0.33,0.47,0.48,0.5,0.53,0.18,0.29)
    17       1:cp       1:cp       0.25 (RIMJ_ECOLI,0.38,0.26,0.48,0.5,0.54,0.16,0.28)
    18      4:imU       2:im   +   0.25 (DMSC_ECOLI,0.66,0.48,0.48,0.5,0.54,0.7,0.74)
    19      4:imU      4:imU       0.25 (UHPB_ECOLI,0.79,0.54,0.48,0.5,0.5,0.66,0.68)
    20      4:imU       2:im   +   0.25 (FEPD_ECOLI,0.84,0.49,0.48,0.5,0.55,0.78,0.74)
    21      4:imU       2:im   +   0.25 (FEPG_ECOLI,0.77,0.55,0.48,0.5,0.51,0.78,0.74)
    22       3:pp       3:pp       0.25 (POTF_ECOLI,0.66,0.71,0.48,0.5,0.41,0.5,0.35)
    23       3:pp       3:pp       0.25 (HTRA_ECOLI,0.63,0.71,0.48,0.5,0.6,0.4,0.39)
    24       3:pp       3:pp       0.25 (PROX_ECOLI,0.64,0.78,0.48,0.5,0.5,0.36,0.38)
