

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (OBJNUM,TYPE,XX1,YY1,XX2,YY2,SIZE,DIAG)
   155        6:G        6:G       0.967 (5,line,21,0,20,6,6.08,46.96)
   156        6:G       10:R   +   0.841 (2,line,0,21,14,31,17.2,55.97)
   157        6:G        6:G       1 (0,line,9,0,5,3,5,20.59)
   158        6:G        9:P   +   0.889 (3,line,0,33,13,41,15.26,56.36)
   159        6:G        7:H   +   0.464 (2,line,0,12,2,18,6.32,27.78)
   160        6:G        6:G       0.998 (0,line,22,0,3,11,21.95,49.65)
   161        6:G        7:H   +   0.837 (3,line,11,17,21,22,11.18,30.41)
   162        6:G        3:D   +   0.545 (0,line,16,0,0,12,20,39.4)
   163        6:G        6:G       0.578 (1,line,11,12,0,24,16.28,58.25)
   164        6:G        6:G       0.962 (1,line,12,8,0,16,14.42,54.59)
   165        6:G        9:P   +   0.889 (3,line,0,33,13,41,15.26,56.36)
   166        6:G        6:G       0.964 (3,line,7,0,8,7,7.07,16.64)
   167        6:G        6:G       0.939 (0,line,23,0,2,12,24.19,52.84)
   168        6:G        6:G       0.998 (5,line,8,0,9,8,8.06,18.87)
   169        6:G        6:G       1 (5,line,35,8,30,8,5,48.8)
   170        6:G        6:G       1 (6,line,14,9,11,9,3,26.08)
   171        6:G        6:G       0.97 (4,line,11,9,6,9,5,24.6)
   172        6:G        5:F   +   0.489 (3,line,1,19,21,26,21.19,33.42)
   173        6:G        6:G       0.998 (1,line,3,6,0,11,5.83,29.73)
   174        6:G        6:G       1 (6,line,41,10,34,10,7,61.62)
   175        6:G        6:G       0.974 (5,line,10,0,8,10,10.2,22.36)
   176        6:G        6:G       0.898 (3,line,38,0,39,6,6.08,60.96)
   177        6:G        5:F   +   0.603 (1,line,0,8,0,16,8,30)
   178        6:G        6:G       0.928 (4,line,19,6,13,6,6,38.95)
   179        6:G        6:G       0.998 (5,line,20,9,14,9,6,39.45)
   180        6:G        3:D   +   0.441 (1,line,0,7,0,14,7,24.6)
   181        6:G        6:G       0.982 (4,line,5,19,11,22,6.71,25.06)
   182        6:G        6:G       0.996 (5,line,11,0,13,8,8.25,17.69)
   183        6:G        6:G       0.993 (5,line,19,0,17,10,10.2,43.42)
   184        6:G        6:G       0.944 (0,line,9,0,0,7,11.4,22.83)
   185        6:G        6:G       0.999 (5,line,27,9,23,9,4,38.9)
   186        6:G        6:G       0.99 (4,line,28,6,22,6,6,47.2)
   187        6:G        6:G       0.851 (4,line,11,0,12,6,6.08,25.55)
   188        6:G        3:D   +   0.335 (2,line,0,17,10,25,12.81,46.69)
   189        6:G        6:G       0.998 (0,line,13,0,3,6,11.66,29.53)
   190        6:G        3:D   +   0.49 (2,line,0,10,2,15,5.39,23.85)
   191        6:G        6:G       1 (6,line,17,11,13,11,4,36.24)
   192        6:G       10:R   +   0.429 (3,line,15,35,44,46,31.02,63.66)
   193        6:G        5:F   +   0.789 (1,line,0,13,0,26,13,47.2)
   194        6:G        6:G       1 (6,line,11,10,5,10,6,16.28)
   195        6:G        6:G       0.883 (2,line,0,22,3,33,11.4,50.12)
   196        6:G        6:G       0.773 (0,line,26,0,12,8,16.12,42.52)
   197        6:G        6:G       0.997 (5,line,14,0,15,11,11.05,32.25)
   198        6:G        6:G       0.747 (0,line,11,0,1,4,10.77,25.55)
   199        6:G        6:G       0.852 (4,line,27,9,21,9,6,53.34)
   200        6:G        6:G       0.748 (0,line,15,0,9,4,7.21,27.8)
   201        6:G        6:G       0.985 (3,line,0,12,3,15,4.24,20.59)
   202        6:G        6:G       0.868 (0,line,7,0,0,5,8.6,17.89)
   203        6:G        6:G       0.888 (3,line,10,0,8,6,6.32,28.23)
   204        6:G        6:G       0.999 (6,line,21,11,16,11,5,35)
   205        6:G        6:G       0.994 (5,line,30,0,32,9,9.22,53.41)
   206        6:G        6:G       0.996 (4,line,21,7,18,7,3,41.68)
   207        6:G        3:D   +   0.487 (2,line,0,22,14,34,18.44,37.58)
   208        6:G        3:D   +   0.559 (4,line,10,0,10,10,10,22.36)
   209        6:G        6:G       0.463 (2,line,0,25,4,37,12.65,55.9)
   210        6:G        5:F   +   0.411 (2,line,0,10,0,19,9,37.54)
   211        6:G        7:H   +   0.735 (0,line,16,0,0,12,20,39.81)
   212        6:G        6:G       0.987 (2,line,0,8,5,12,6.4,13.89)
   213        6:G        6:G       0.414 (4,line,12,40,24,48,14.42,55.57)
   214        6:G        6:G       1 (5,line,28,9,22,9,6,42.52)
   215        6:G        6:G       0.999 (6,line,39,10,32,10,7,60.31)
   216        6:G        6:G       0.381 (0,line,19,0,0,15,24.21,48.75)
   217        6:G        6:G       0.703 (4,line,21,0,23,6,6.32,32.56)
   218        6:G        6:G       0.996 (1,line,0,5,0,10,5,16.12)
   219        6:G        6:G       0.892 (0,line,18,0,2,9,18.36,40.71)
   220        6:G        6:G       0.999 (5,line,32,10,27,10,5,56.04)
   221        6:G        6:G       0.424 (2,line,0,6,0,13,7,22.83)
   222        6:G        6:G       1 (6,line,24,11,19,11,5,48.37)
   223        6:G        6:G       0.634 (1,line,22,7,0,14,23.09,53.81)
   224        6:G        6:G       0.862 (0,line,10,0,0,9,13.45,28.23)
   225        6:G        9:P   +   0.544 (4,line,13,41,25,50,15,56.36)
   226        6:G        6:G       0.554 (1,line,5,6,0,12,7.81,44.69)
   227        6:G        6:G       0.995 (1,line,2,4,0,8,4.47,18.36)
   228        6:G        6:G       0.511 (3,line,18,29,35,38,19.24,53.74)
   229        6:G        6:G       0.991 (2,line,0,13,3,19,6.71,31.06)
   230        6:G        6:G       0.979 (3,line,33,0,33,11,11,50.21)
   231        6:G        6:G       0.81 (0,line,9,0,2,2,7.28,15.62)
   232        6:G        6:G       0.26 (3,line,0,16,15,20,15.52,31.89)
   233        6:G        6:G       0.975 (1,line,4,10,0,21,11.7,46.96)
   234        6:G        3:D   +   0.893 (3,line,0,20,7,25,8.6,33.54)
   235        6:G        6:G       0.965 (2,line,0,6,1,9,3.16,13.89)
   236        6:G        6:G       0.998 (4,line,42,8,36,8,6,65.3)
   237        6:G        6:G       0.63 (1,line,1,6,0,11,5.1,25.55)
   238        6:G        6:G       0.593 (1,line,1,8,0,15,7.07,34)
   239        6:G        6:G       0.628 (5,line,16,0,16,8,8,36.72)
   240        6:G        6:G       0.992 (1,line,4,6,0,12,7.21,42.94)
   241        6:G        6:G       0.783 (5,line,16,0,16,7,7,36.72)
   242        6:G        6:G       0.392 (3,line,0,19,8,24,9.43,31.76)
   243        6:G        6:G       0.367 (1,line,23,6,0,12,23.77,50.99)
   244        6:G        6:G       0.991 (1,line,3,8,0,17,9.49,39.45)
   245        6:G        6:G       0.994 (1,line,2,3,0,6,3.61,14.42)
   246        6:G        3:D   +   0.485 (2,line,0,20,14,30,17.2,34)
   247        6:G        6:G       0.972 (0,line,13,0,6,4,8.06,21.26)
   248        6:G        6:G       0.432 (3,line,17,0,18,6,6.08,46.1)
   249        6:G        6:G       0.861 (0,line,19,0,9,6,11.66,43.42)
   250        6:G        4:E   +   0.753 (2,line,0,22,29,34,31.38,45.34)
   251        6:G        9:P   +   0.555 (4,line,4,39,25,46,22.14,52.84)
   252        6:G        6:G       0.966 (0,line,6,0,1,3,5.83,14.42)
   253        6:G        6:G       0.752 (4,line,9,41,25,50,18.36,56.82)
   254        6:G        6:G       1 (5,line,44,9,39,9,5,63.66)
   255        6:G        6:G       0.974 (1,line,23,8,0,16,24.35,61.62)
   256        6:G        9:P   +   0.544 (2,line,0,34,45,50,47.76,68.62)
   257        6:G        6:G       0.44 (4,line,19,10,12,10,7,33.84)
   258        6:G        6:G       0.682 (3,line,26,0,27,7,7.07,44.05)
   259        6:G        7:H   +   0.335 (1,line,0,12,0,24,12,39.4)
   260        6:G        6:G       0.885 (5,line,13,0,13,8,8,21.93)
   261        6:G        6:G       0.572 (1,line,12,6,0,12,13.42,33.94)
   262        6:G        6:G       0.665 (2,line,0,21,4,31,10.77,47.41)
   263        6:G        3:D   +   0.545 (0,line,18,0,9,6,10.82,40.25)
   264        6:G        6:G       0.393 (3,line,1,27,34,36,34.21,49.52)
   265        6:G        6:G       0.793 (4,line,4,16,10,20,7.21,22.36)
   266        6:G        6:G       0.994 (5,line,25,0,25,9,9,52.84)
   267        6:G        6:G       0.967 (4,line,41,0,39,10,10.2,63.13)
   268        6:G        6:G       0.584 (0,line,26,0,14,7,13.89,38.9)
   269        6:G        3:D   +   0.751 (3,line,0,21,8,26,9.43,36.72)
   270        6:G        6:G       0.798 (4,line,17,0,18,9,9.06,39.45)
   271        6:G        4:E   +   0.378 (1,line,0,15,0,30,15,60.96)
   272        6:G        6:G       0.683 (0,line,21,0,0,17,27.02,54.23)
   273        6:G        6:G       0.842 (2,line,0,9,2,13,4.47,21.1)
   274        6:G        4:E   +   0.439 (2,line,0,10,0,20,10,40.36)
   275        6:G        7:H   +   0.552 (2,line,0,12,0,23,11,42.8)
   276        6:G        3:D   +   0.596 (3,line,0,24,13,30,14.32,45)
   277        6:G        6:G       1 (6,line,21,8,15,8,6,43.42)
   278        6:G        6:G       0.918 (0,line,20,0,8,7,13.89,35.61)
   279        6:G        3:D   +   0.469 (4,line,13,30,23,36,11.66,45)
   280        6:G        6:G       0.649 (0,line,24,0,13,7,13.04,51.11)
   281        6:G        6:G       1 (6,line,37,7,32,7,5,55.97)
   282        6:G        7:H   +   0.464 (2,line,0,12,2,18,6.32,27.78)
   283        6:G        6:G       0.98 (0,line,11,0,6,2,5.39,17.69)
   284        6:G        6:G       0.726 (5,line,15,0,15,8,8,33.54)
   285        6:G        5:F   +   0.349 (2,line,0,16,0,32,16,60)
   286        6:G        6:G       0.999 (5,line,16,11,10,11,6,32.25)
   287        6:G       10:R   +   0.586 (3,line,0,25,23,31,23.77,50.99)
   288        6:G        6:G       1 (0,line,11,0,4,4,8.06,18.44)
   289        6:G        6:G       0.932 (1,line,13,8,0,16,15.26,56.36)
   290        6:G        6:G       0.461 (3,line,17,0,16,6,6.08,46.1)
   291        6:G        5:F   +   0.388 (2,line,0,12,0,23,11,38.47)
   292        6:G        6:G       0.9 (3,line,21,0,22,10,10.05,55.46)
   293        6:G        6:G       0.994 (0,line,13,0,3,6,11.66,27.8)
   294        6:G        6:G       0.581 (2,line,0,21,4,31,10.77,46.96)
   295        6:G        9:P   +   0.755 (3,line,0,33,1,41,8.06,56.82)
   296        6:G        6:G       1 (5,line,27,11,22,11,5,55.07)
   297        6:G        6:G       0.966 (0,line,8,0,1,4,8.06,20)
   298        6:G        6:G       0.934 (4,line,1,10,11,12,10.2,19.21)
   299        6:G        6:G       0.927 (0,line,7,0,0,5,8.6,16.12)
   300        6:G        6:G       0.543 (1,line,16,6,0,12,17.09,54.45)
   301        6:G        6:G       0.406 (3,line,0,19,6,24,7.81,35.61)
   302        6:G        6:G       0.998 (0,line,13,0,3,6,11.66,31.06)
   303        3:D        3:D       0.932 (3,line,18,18,16,9,9.22,41.15)
   304        3:D        4:E   +   0.36 (1,line,1,36,30,24,31.38,46.86)
   305        3:D        3:D       0.687 (2,line,27,24,28,16,8.06,43.28)
   306        3:D        3:D       0.994 (4,line,10,6,0,0,11.66,25.94)
   307        3:D        5:F   +   0.56 (0,line,0,0,1,26,26.02,31.06)
   308        3:D       10:R   +   0.617 (1,line,0,32,14,22,17.2,34.93)
   309        3:D        4:E   +   0.401 (1,line,0,36,35,24,37,50.21)
   310        3:D        9:P   +   0.418 (1,line,1,31,22,22,22.85,38.01)
   311        3:D        3:D       0.584 (1,line,0,21,17,14,18.38,27.02)
   312        3:D        3:D       0.886 (4,line,20,8,7,4,13.6,31.24)
   313        3:D        7:H   +   0.833 (3,line,24,25,24,12,13,44.94)
   314        3:D        9:P   +   0.339 (0,line,0,0,0,33,33,38.08)
   315        3:D        3:D       0.984 (2,line,10,24,14,19,6.4,31.3)
   316        3:D        6:G   +   0.673 (2,line,9,14,9,7,7,21.93)
   317        3:D       10:R   +   0.561 (1,line,2,34,23,24,23.26,43.42)
   318        3:D        3:D       0.993 (2,line,7,24,14,19,8.6,32.2)
   319        3:D        8:L   +   0.401 (0,line,0,0,1,21,21.02,25.81)
   320        3:D        4:E   +   0.402 (0,line,0,0,0,33,33,40.8)
   321        3:D        3:D       0.57 (3,line,14,14,12,7,7.28,31.3)
   322        3:D        3:D       0.986 (1,line,1,23,10,18,10.3,26.93)
   323        3:D        3:D       0.842 (1,line,2,36,16,27,16.64,43.83)
   324        3:D        3:D       0.996 (3,line,9,7,0,0,11.4,21.93)
   325        3:D        6:G   +   0.595 (2,line,16,20,16,10,10,34)
   326        3:D        3:D       0.957 (2,line,17,30,29,20,15.62,48.6)
   327        3:D        3:D       0.996 (4,line,10,6,0,0,11.66,29.07)
   328        3:D        3:D       0.746 (3,line,29,24,29,12,12,47.01)
   329        3:D        3:D       1 (5,line,7,5,0,0,8.6,32.2)
   330        3:D        8:L   +   0.367 (0,line,0,0,2,24,24.08,27.29)
   331        3:D        6:G   +   0.517 (2,line,35,24,35,12,12,50.21)
   332        3:D        3:D       1 (5,line,6,4,0,0,7.21,29.07)
   333        3:D        3:D       0.763 (3,line,17,17,14,8,9.49,38.01)
   334        3:D        3:D       0.713 (1,line,1,35,16,24,18.6,38.48)
   335        3:D        3:D       0.943 (2,line,10,16,10,8,8,25.08)
   336        3:D        3:D       0.998 (5,line,19,5,0,0,19.65,44.55)
   337        3:D        3:D       0.908 (3,line,21,12,0,0,24.19,41.68)
   338        3:D        3:D       0.613 (1,line,2,36,12,30,11.66,49.52)
   339        3:D        4:E   +   0.415 (0,line,0,0,0,29,29,38.95)
   340        3:D        3:D       0.956 (3,line,20,27,20,14,13,43.83)
   341        3:D        3:D       0.654 (3,line,23,12,16,6,9.22,32.53)
   342        3:D        3:D       0.538 (1,line,1,37,9,30,10.63,41.15)
   343        3:D        4:E   +   0.439 (1,line,2,27,19,21,18.03,38.18)
   344        3:D        3:D       0.349 (1,line,0,31,12,26,13,35.85)
   345        3:D        8:L   +   0.653 (0,line,0,0,2,31,31.06,34.89)
   346        3:D        8:L   +   0.446 (0,line,0,0,2,28,28.07,31.3)
   347        3:D        3:D       0.374 (1,line,0,36,16,24,20,39.4)
   348        3:D        3:D       0.766 (3,line,20,16,20,8,8,31.24)
   349        3:D        3:D       0.981 (1,line,1,29,7,24,7.81,32.2)
   350        3:D        3:D       0.996 (4,line,10,6,0,0,11.66,24.6)
   351        3:D        3:D       0.493 (1,line,1,32,14,24,15.26,41.23)
   352        3:D        3:D       0.99 (3,line,16,12,0,0,20,38.48)
   353        3:D        9:P   +   0.546 (0,line,0,0,0,38,38,44.94)
   354        3:D        3:D       0.633 (2,line,12,14,12,7,7,23.32)
   355        3:D        3:D       0.988 (4,line,14,8,0,0,16.12,42.64)
   356        3:D        3:D       0.968 (1,line,2,24,10,16,11.31,26)
   357        3:D        3:D       0.998 (3,line,10,10,9,5,5.1,23.26)
   358        3:D        3:D       0.408 (2,line,6,21,16,17,10.77,30.53)
   359        3:D        3:D       0.859 (3,line,14,19,14,10,9,31.3)
   360        3:D        3:D       0.832 (2,line,14,24,16,16,8.25,35.78)
   361        3:D        3:D       0.904 (3,line,18,12,10,6,10,29.21)
   362        3:D        3:D       0.958 (4,line,12,8,6,4,7.21,25.94)
   363        3:D        4:E   +   0.329 (0,line,0,0,0,26,26,29.07)
   364        3:D        3:D       0.974 (3,line,29,20,17,10,15.62,48.6)
   365        3:D        3:D       0.844 (1,line,1,23,10,16,11.4,25.08)
   366        3:D        7:H   +   0.897 (2,line,6,21,21,17,15.52,33.42)
   367        3:D        3:D       0.948 (2,line,15,24,16,16,8.06,36.67)
   368        3:D        4:E   +   0.67 (0,line,0,0,1,22,22.02,27.8)
   369        3:D        3:D       0.848 (2,line,6,19,11,15,6.4,24.6)
   370        3:D        3:D       0.571 (2,line,17,14,17,7,7,27.02)
   371        3:D        3:D       0.996 (5,line,10,4,0,0,10.77,30.02)
   372        3:D        3:D       0.539 (1,line,1,38,17,30,17.89,42.49)
   373        3:D        4:E   +   0.338 (0,line,0,0,2,30,30.07,36.62)
   374        3:D        5:F   +   0.345 (1,line,0,22,13,14,15.26,25.55)
   375        3:D        3:D       0.779 (4,line,17,12,10,6,9.22,38.01)
   376        3:D        7:H   +   0.515 (2,line,18,22,18,11,11,37.59)
   377        3:D        3:D       0.991 (5,line,6,4,0,0,7.21,30.53)
