

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Hair,Feathers,Eggs,Milk,Airborne,Aquatic,Predator,Toothed,Backbone,Breathes,Venomous,Fins,Legs,Tail,Domestic,Catsize,Type)
     6 63:seasnak 62:pitvipe   +   0.5 (0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3)
     7 87:ladybir    83:flea   +   0.25 (0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6)
     8    49:kiwi    48:hawk   +   0.333 (0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2)
     1 11:elephan 13:giraffe   +   0.5 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     2    31:puma 19:leopard   +   0.143 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     3    55:rhea    48:hawk   +   0.333 (0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2)
     4    23:mole 19:leopard   +   0.143 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1)
     5 58:sparrow    45:duck   +   0.2 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     6 76:seahors 72:haddock   +   0.333 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
     7    98:slug 72:haddock   +   0.333 (0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7)
     8    20:lion 19:leopard   +   0.143 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     1 46:flaming    50:lark   +   0.2 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2)
     2 12:fruitba 37:squirre   +   0.5 (1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1)
     3 52:parakee    50:lark   +   0.2 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2)
     4 73:herring 64:slowwor   +   0.5 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     5 30:porpois    74:pike   +   0.5 (0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1)
     6    90:wasp 85:honeybe   +   0.333 (1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6)
     7 89:termite    83:flea   +   0.5 (0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6)
     8    82:toad    80:frog   +   0.667 (0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5)
     1    74:pike 78:stingra   +   0.5 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4)
     2 65:tortois 66:tuatara   +   0.5 (0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3)
     3 99:starfis    80:frog   +   0.05 (0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7)
     4    84:gnat    83:flea   +   0.5 (0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
     5    18:hare 11:elephan   +   0.333 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1)
     6    57:skua    47:gull   +   0.5 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
     7    39:vole 11:elephan   +   0.333 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1)
     8 54:pheasan    45:duck   +   0.2 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     1 33:raccoon 19:leopard   +   0.143 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     2    35:seal    22:mink   +   0.5 (1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1)
     3    83:flea    84:gnat   +   0.5 (0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6)
     4 38:vampire 12:fruitba   +   0.333 (1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1)
     5 25:opossum    23:mole   +   0.5 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1)
     6    80:frog 27:platypu   +   0.25 (0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5)
     7 78:stingra    74:pike   +   0.5 (0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4)
     8 37:squirre 16:gorilla   +   0.5 (1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1)
     1    41:wolf 19:leopard   +   0.2 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     2 28:polecat 19:leopard   +   0.2 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     3    59:swan 46:flaming   +   0.5 (0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2)
     4    81:newt    22:mink   +   0.333 (0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5)
     5    77:sole 72:haddock   +   0.5 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
     6    80:frog    22:mink   +   0.333 (0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5)
     7 24:mongoos 19:leopard   +   0.2 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     8 13:giraffe 11:elephan   +   0.5 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     1 27:platypu 66:tuatara   +   0.5 (1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1)
     2    21:lynx    20:lion   +   0.167 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     3    79:tuna    74:pike   +   0.5 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4)
     4 19:leopard    20:lion   +   0.167 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     5    26:oryx 11:elephan   +   0.5 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     6 85:honeybe 86:housefl   +   0.333 (1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6)
     7 60:vulture    47:gull   +   0.25 (0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2)
     8    61:wren    45:duck   +   0.2 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     1 51:ostrich 46:flaming   +   0.2 (0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2)
     2 95:octopus 96:scorpio   +   1 (0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7)
     3    50:lark 46:flaming   +   0.2 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     4    29:pony    15:goat   +   0.5 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     5 64:slowwor 73:herring   +   0.5 (0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3)
     6 97:seawasp 62:pitvipe   +   0.333 (0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7)
     7 86:housefl 85:honeybe   +   0.333 (1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
     8 94:lobster    83:flea   +   0.5 (0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7)

