

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Sequence_Name,mcg,gvh,lip,chg,aac,alm1,alm2)
     3       2:im       2:im       0.369 (DSBB_ECOLI,0.5,0.66,0.48,0.5,0.31,0.92,0.92)
     4       2:im       2:im       0.793 (DPPC_ECOLI,0.48,0.41,0.48,0.5,0.51,0.9,0.88)
     5       2:im       2:im       0.32 (EMRB_ECOLI,0.71,0.52,0.48,0.5,0.64,1,0.99)
     6       2:im       2:im       0.419 (LGT_ECOLI,0.5,0.37,0.48,0.5,0.66,0.64,0.69)
     7       2:im       3:pp   +   0.321 (EXBD_ECOLI,0.46,0.59,0.48,0.5,0.36,0.76,0.23)
     8       2:im       2:im       0.853 (NANT_ECOLI,0.2,0.46,0.48,0.5,0.57,0.78,0.81)
     9       5:om       3:pp   +   0.636 (OMPX_ECOLI,0.77,0.57,0.48,0.5,0.88,0.53,0.2)
    10       5:om      6:omL   +   0.513 (FHUE_ECOLI,0.6,0.76,1,0.5,0.77,0.59,0.52)
    11       1:cp       1:cp       0.293 (NHAR_ECOLI,0.37,0.5,0.48,0.5,0.42,0.36,0.45)
    12       1:cp       1:cp       0.817 (RIMI_ECOLI,0.24,0.57,0.48,0.5,0.63,0.34,0.43)
    13       1:cp       1:cp       0.77 (SYFA_ECOLI,0.41,0.51,0.48,0.5,0.58,0.2,0.31)
    14       1:cp       1:cp       0.735 (USPA_ECOLI,0.4,0.41,0.48,0.5,0.55,0.22,0.33)
    15       1:cp       1:cp       0.856 (THGA_ECOLI,0.27,0.3,0.48,0.5,0.71,0.28,0.39)
    16       1:cp       1:cp       0.976 (PGK_ECOLI,0.34,0.28,0.48,0.5,0.41,0.35,0.44)
    17       1:cp       1:cp       0.912 (UGPQ_ECOLI,0.26,0.4,0.48,0.5,0.36,0.26,0.37)
    18       1:cp       1:cp       0.397 (PT1_ECOLI,0.52,0.44,0.48,0.5,0.37,0.36,0.42)
    19      4:imU       2:im   +   0.83 (KUP_ECOLI,0.62,0.42,0.48,0.5,0.58,0.79,0.81)
    20      4:imU       2:im   +   0.782 (PNTB_ECOLI,0.81,0.52,0.48,0.5,0.57,0.78,0.8)
    21      4:imU       2:im   +   0.916 (RHAT_ECOLI,0.49,0.61,1,0.5,0.56,0.71,0.74)
    22       3:pp       3:pp       0.376 (FECB_ECOLI,0.68,0.82,0.48,0.5,0.38,0.65,0.56)
    23       3:pp       1:cp   +   0.779 (TBPA_ECOLI,0.56,0.54,0.48,0.5,0.43,0.37,0.3)
    24       3:pp       3:pp       0.447 (CYSP_ECOLI,0.67,0.61,0.48,0.5,0.51,0.37,0.38)
    25       3:pp       3:pp       0.406 (TOLB_ECOLI,0.69,0.65,0.48,0.5,0.63,0.48,0.41)
    26       3:pp       5:om   +   0.445 (MEPA_ECOLI,0.75,0.84,0.48,0.5,0.35,0.52,0.33)
    27      6:omL       3:pp   +   0.316 (MULI_ECOLI,0.77,0.57,1,0.5,0.37,0.54,0.01)
     1       2:im       2:im       0.544 (RODA_ECOLI,0.61,0.66,0.48,0.5,0.46,0.87,0.88)
     2       2:im       3:pp   +   0.433 (EMRA_ECOLI,0.06,0.61,0.48,0.5,0.49,0.92,0.37)
     3       2:im       1:cp   +   0.945 (MOTB_ECOLI,0.3,0.51,0.48,0.5,0.42,0.61,0.34)
     4       2:im       2:im       0.659 (PTHB_ECOLI,0.36,0.47,0.48,0.5,0.51,0.69,0.72)
     5       2:im       1:cp   +   0.77 (MSBB_ECOLI,0.16,0.51,0.48,0.5,0.33,0.39,0.48)
     6       2:im       2:im       0.792 (BETT_ECOLI,0.52,0.39,0.48,0.5,0.65,0.71,0.73)
     7       2:im       2:im       0.732 (GLTP_ECOLI,0.74,0.44,0.48,0.5,0.55,0.88,0.89)
     8       2:im       2:im       0.806 (FRDC_ECOLI,0.33,0.56,0.48,0.5,0.33,0.78,0.8)
     9       5:om       5:om       0.679 (FADL_ECOLI,0.78,0.68,0.48,0.5,0.83,0.4,0.29)
    10       5:om       3:pp   +   0.405 (OMPA_ECOLI,0.74,0.9,0.48,0.5,0.57,0.53,0.29)
    11       1:cp       1:cp       0.922 (OMPR_ECOLI,0.24,0.43,0.48,0.5,0.37,0.28,0.38)
    12       1:cp       1:cp       0.486 (PTKA_ECOLI,0.31,0.47,0.48,0.5,0.29,0.28,0.39)
    13       1:cp       1:cp       0.981 (SYFB_ECOLI,0.34,0.42,0.48,0.5,0.41,0.34,0.43)
    14       1:cp       1:cp       0.805 (THIK_ECOLI,0.17,0.52,0.48,0.5,0.49,0.37,0.46)
    15       1:cp       1:cp       0.77 (SYL_ECOLI,0.04,0.31,0.48,0.5,0.41,0.29,0.39)
    16       1:cp       3:pp   +   0.324 (PEPE_ECOLI,0.41,0.48,0.48,0.5,0.51,0.44,0.51)
    17       1:cp       1:cp       0.983 (SYD_ECOLI,0.38,0.3,0.48,0.5,0.43,0.29,0.39)
    18       1:cp       1:cp       0.525 (PROB_ECOLI,0.4,0.46,0.48,0.5,0.52,0.49,0.56)
    19      4:imU       2:im   +   0.872 (CADB_ECOLI,0.83,0.48,0.48,0.5,0.65,0.76,0.79)
    20      4:imU       2:im   +   0.931 (TEHA_ECOLI,0.63,0.51,0.48,0.5,0.64,0.72,0.76)
    21      4:imU       2:im   +   0.754 (CYDB_ECOLI,0.75,0.37,0.48,0.5,0.64,0.7,0.74)
    22       3:pp       1:cp   +   0.577 (SPEA_ECOLI,0.29,0.39,0.48,0.5,0.52,0.4,0.48)
    23       3:pp       3:pp       0.82 (GGT_ECOLI,0.74,0.82,0.48,0.5,0.49,0.49,0.41)
    24       3:pp       3:pp       0.939 (GLPQ_ECOLI,0.63,0.83,0.48,0.5,0.4,0.39,0.19)
    25       3:pp       3:pp       0.615 (PPB_ECOLI,0.68,0.67,0.48,0.5,0.49,0.4,0.34)
    26       3:pp       3:pp       0.858 (DSBA_ECOLI,0.71,0.71,0.48,0.5,0.4,0.54,0.39)
    27      6:omL      6:omL       0.238 (NLPB_ECOLI,0.66,0.49,1,0.5,0.54,0.56,0.36)
     1       2:im       2:im       0.641 (PTFB_ECOLI,0.37,0.47,0.48,0.5,0.39,0.76,0.79)
     2       2:im       2:im       0.537 (LNT_ECOLI,0.6,0.61,0.48,0.5,0.54,0.67,0.71)
     3       2:im       2:im       0.689 (GABP_ECOLI,0.47,0.59,0.48,0.5,0.52,0.76,0.79)
     4       2:im      6:omL   +   0.357 (MCP3_ECOLI,0.6,0.5,1,0.5,0.54,0.77,0.8)
     5       2:im       2:im       0.538 (DHSD_ECOLI,0.54,0.49,0.48,0.5,0.4,0.87,0.88)
     6       2:im       2:im       0.679 (SECE_ECOLI,0.48,0.49,0.48,0.5,0.52,0.77,0.71)
     7       2:im      4:imU   +   0.49 (PTDA_ECOLI,0.6,0.46,0.48,0.5,0.45,0.81,0.83)
     8       2:im      4:imU   +   0.719 (ENVZ_ECOLI,0.72,0.46,0.48,0.5,0.51,0.66,0.7)
     9       5:om       3:pp   +   0.499 (FECA_ECOLI,0.52,0.81,0.48,0.5,0.72,0.38,0.38)
    10       5:om       3:pp   +   0.617 (PA1_ECOLI,0.68,0.63,0.48,0.5,0.73,0.4,0.3)
    11       1:cp       1:cp       0.913 (RNC_ECOLI,0.26,0.5,0.48,0.5,0.44,0.32,0.41)
    12       1:cp       2:im   +   0.529 (PTCA_ECOLI,0.5,0.51,0.48,0.5,0.27,0.23,0.34)
    13       1:cp       1:cp       0.957 (SYE_ECOLI,0.38,0.44,0.48,0.5,0.43,0.2,0.31)
    14       1:cp       1:cp       0.918 (OTC2_ECOLI,0.48,0.42,0.48,0.5,0.45,0.25,0.35)
    15       1:cp       1:cp       0.712 (UBIC_ECOLI,0.3,0.37,0.48,0.5,0.43,0.18,0.3)
    16       1:cp       1:cp       0.86 (SYK1_ECOLI,0.24,0.41,0.48,0.5,0.49,0.23,0.34)
    17       1:cp       1:cp       0.955 (UVRB_ECOLI,0.22,0.34,0.48,0.5,0.42,0.29,0.39)
    18      4:imU      4:imU       0.458 (CRED_ECOLI,0.78,0.33,0.48,0.5,0.57,0.77,0.79)
    19      4:imU       2:im   +   0.7 (KEFC_ECOLI,0.63,0.42,0.48,0.5,0.48,0.77,0.8)
    20      4:imU       2:im   +   0.506 (CAIT_ECOLI,0.69,0.43,0.48,0.5,0.59,0.74,0.77)
    21      4:imU      4:imU       0.566 (LEP_ECOLI,0.78,0.44,0.48,0.5,0.45,0.73,0.68)
    22       3:pp       3:pp       0.557 (ECOT_ECOLI,0.67,0.81,0.48,0.5,0.25,0.42,0.25)
    23       3:pp       3:pp       0.66 (TESA_ECOLI,0.69,0.66,0.48,0.5,0.41,0.5,0.25)
    24       3:pp       3:pp       0.367 (AGP_ECOLI,0.74,0.49,0.48,0.5,0.42,0.54,0.36)
    25       3:pp       3:pp       0.542 (RBSB_ECOLI,0.64,0.81,0.48,0.5,0.37,0.39,0.44)
    26       3:pp       3:pp       0.493 (TORA_ECOLI,0.43,0.59,0.48,0.5,0.52,0.49,0.56)
    27      6:omL       5:om   +   0.284 (NLPE_ECOLI,0.71,0.46,1,0.5,0.52,0.59,0.3)
     1       2:im      4:imU   +   0.473 (YCEE_ECOLI,0.52,0.54,0.48,0.5,0.62,0.76,0.79)
     2       2:im       2:im       0.841 (PSTA_ECOLI,0.34,0.67,0.48,0.5,0.52,0.76,0.79)
     3       2:im       2:im       0.723 (POTE_ECOLI,0.63,0.65,0.48,0.5,0.66,0.67,0.71)
     4       2:im       2:im       0.843 (AMPE_ECOLI,0.63,0.47,0.48,0.5,0.51,0.82,0.84)
     5       2:im       2:im       0.906 (MALG_ECOLI,0.7,0.4,0.48,0.5,0.56,0.86,0.83)
     6       2:im       2:im       0.404 (FTSL_ECOLI,0.36,0.45,0.48,0.5,0.38,0.79,0.17)
     7       2:im       2:im       0.742 (GLPT_ECOLI,0.31,0.5,0.48,0.5,0.57,0.84,0.85)
     8       2:im      4:imU   +   0.419 (ARAE_ECOLI,0.23,0.48,0.48,0.5,0.59,0.88,0.89)
     9       5:om       3:pp   +   0.925 (OMPP_ECOLI,0.69,0.59,0.48,0.5,0.77,0.39,0.21)
    10       5:om       5:om       0.429 (OMPF_ECOLI,0.75,0.76,0.48,0.5,0.83,0.57,0.3)
    11       1:cp       1:cp       0.766 (PFLB_ECOLI,0.29,0.41,0.48,0.5,0.48,0.38,0.46)
    12       1:cp       1:cp       0.725 (SYQ_ECOLI,0.28,0.33,0.48,0.5,0.45,0.22,0.33)
    13       1:cp       3:pp   +   0.477 (RNE_ECOLI,0.43,0.32,0.48,0.5,0.33,0.45,0.52)
    14       1:cp       1:cp       0.771 (RHAS_ECOLI,0.38,0.4,0.48,0.5,0.63,0.25,0.35)
    15       1:cp       1:cp       0.845 (NADA_ECOLI,0.26,0.26,0.48,0.5,0.34,0.25,0.35)
    16       1:cp       1:cp       0.963 (METX_ECOLI,0.25,0.37,0.48,0.5,0.43,0.26,0.36)
    17       1:cp       1:cp       0.889 (SERC_ECOLI,0.49,0.43,0.48,0.5,0.49,0.3,0.4)
    18      4:imU       2:im   +   0.466 (NUPC_ECOLI,0.7,0.53,0.48,0.5,0.7,0.86,0.87)
    19      4:imU       2:im   +   0.572 (MELB_ECOLI,0.47,0.46,0.48,0.5,0.62,0.74,0.77)
    20      4:imU       2:im   +   0.546 (BCR_ECOLI,0.79,0.41,0.48,0.5,0.66,0.81,0.83)
    21      4:imU      4:imU       0.366 (DSBD_ECOLI,0.76,0.71,0.48,0.5,0.5,0.71,0.75)
    22       3:pp       3:pp       0.913 (GLNH_ECOLI,0.63,0.86,0.48,0.5,0.39,0.47,0.34)
    23       3:pp       3:pp       0.374 (DSBC_ECOLI,0.66,0.74,0.48,0.5,0.31,0.38,0.43)
    24       3:pp       1:cp   +   0.327 (AMY1_ECOLI,0.7,0.61,0.48,0.5,0.56,0.52,0.43)
    25       3:pp       3:pp       0.874 (LIVJ_ECOLI,0.71,0.86,0.48,0.5,0.4,0.54,0.32)
    26       3:pp       3:pp       0.524 (USHA_ECOLI,0.61,0.6,0.48,0.5,0.44,0.39,0.38)
    27      6:omL       5:om   +   0.44 (PAL_ECOLI,0.67,0.55,1,0.5,0.66,0.58,0.16)
     1       2:im      4:imU   +   0.804 (TOLQ_ECOLI,0.63,0.75,0.48,0.5,0.64,0.73,0.66)
     2       2:im       2:im       0.522 (FTSW_ECOLI,0.54,0.57,0.48,0.5,0.56,0.81,0.83)
     3       2:im       1:cp   +   0.548 (FTSN_ECOLI,0,0.51,0.48,0.5,0.35,0.67,0.44)
     4       2:im       2:im       0.76 (NHAB_ECOLI,0.7,0.46,0.48,0.5,0.56,0.78,0.73)
     5       2:im      4:imU   +   0.604 (PTGB_ECOLI,0.58,0.55,0.48,0.5,0.57,0.7,0.74)
     6       2:im       2:im       0.508 (SECY_ECOLI,0.31,0.36,0.48,0.5,0.58,0.94,0.94)
     7       2:im       2:im       0.572 (PHOR_ECOLI,0.61,0.52,0.48,0.5,0.54,0.67,0.52)
     8       2:im       5:om   +   0.434 (CYOC_ECOLI,0.12,0.67,0.48,0.5,0.74,0.58,0.63)
     9       5:om       1:cp   +   0.321 (NFRA_ECOLI,0.61,0.75,0.48,0.5,0.51,0.33,0.33)
    10       5:om       1:cp   +   0.424 (CIRA_ECOLI,0.65,0.51,0.48,0.5,0.66,0.54,0.33)
    11       1:cp       1:cp       0.903 (TYRB_ECOLI,0.36,0.42,0.48,0.5,0.53,0.32,0.41)
    12       1:cp       1:cp       0.737 (SYK2_ECOLI,0.17,0.39,0.48,0.5,0.53,0.3,0.39)
    13       1:cp       1:cp       0.919 (SYY_ECOLI,0.3,0.44,0.48,0.5,0.49,0.22,0.33)
    14       1:cp       1:cp       0.965 (NIRD_ECOLI,0.44,0.42,0.48,0.5,0.42,0.25,0.2)
    15       1:cp       2:im   +   0.643 (PTHP_ECOLI,0.3,0.45,0.48,0.5,0.36,0.21,0.32)
    16       1:cp       1:cp       0.82 (PMBA_ECOLI,0.34,0.55,0.48,0.5,0.58,0.31,0.41)
    17       1:cp       1:cp       0.587 (SLYD_ECOLI,0.47,0.28,0.48,0.5,0.56,0.2,0.25)
    18      4:imU       2:im   +   0.744 (MCP2_ECOLI,0.81,0.53,0.48,0.5,0.57,0.87,0.88)
    19      4:imU      4:imU       0.563 (SECD_ECOLI,0.88,0.42,0.48,0.5,0.52,0.73,0.75)
    20      4:imU       1:cp   +   0.509 (TONB_ECOLI,0.57,0.38,0.48,0.5,0.06,0.49,0.33)
    21      4:imU      4:imU       0.441 (MOTA_ECOLI,0.76,0.41,0.48,0.5,0.5,0.59,0.62)
    22       3:pp       3:pp       0.738 (PSTS_ECOLI,0.62,0.78,0.48,0.5,0.47,0.49,0.54)
    23       3:pp       3:pp       0.677 (FEPB_ECOLI,0.7,0.64,0.48,0.5,0.47,0.51,0.47)
    24       3:pp       3:pp       0.486 (BGLX_ECOLI,0.65,0.57,0.48,0.5,0.47,0.47,0.51)
    25       3:pp       3:pp       0.714 (CN16_ECOLI,0.67,0.7,0.48,0.5,0.46,0.45,0.33)
    26       3:pp       3:pp       0.555 (SUBI_ECOLI,0.62,0.83,0.48,0.5,0.46,0.36,0.4)
    27      7:imL       2:im   +   0.664 (CYOA_ECOLI,0.7,0.39,1,0.5,0.51,0.82,0.84)
     1       2:im       2:im       0.777 (TNAB_ECOLI,0.68,0.51,0.48,0.5,0.71,0.75,0.78)
     2       2:im       2:im       0.848 (CODB_ECOLI,0.29,0.47,0.48,0.5,0.71,0.65,0.69)
     3       2:im      4:imU   +   0.883 (LLDP_ECOLI,0.66,0.53,0.48,0.5,0.59,0.66,0.66)
     4       2:im       1:cp   +   0.252 (FTSQ_ECOLI,0.1,0.49,0.48,0.5,0.41,0.67,0.21)
     5       2:im       2:im       0.623 (PSTC_ECOLI,0.58,0.34,0.48,0.5,0.56,0.87,0.81)
     6       2:im      4:imU   +   0.733 (PHEP_ECOLI,0.12,0.43,0.48,0.5,0.63,0.7,0.74)
     7       2:im       2:im       0.636 (CYOD_ECOLI,0.4,0.5,0.48,0.5,0.65,0.82,0.84)
     8       5:om       3:pp   +   0.783 (NMPC_ECOLI,0.67,0.84,0.48,0.5,0.74,0.54,0.37)
     9       5:om       3:pp   +   0.63 (FEPA_ECOLI,0.64,0.57,0.48,0.5,0.7,0.33,0.26)
    10      8:imS       2:im   +   0.938 (NFRB_ECOLI,0.63,0.49,0.48,0.5,0.54,0.76,0.79)
    11       1:cp       1:cp       0.935 (SYP_ECOLI,0.34,0.51,0.48,0.5,0.44,0.37,0.46)
    12       1:cp       1:cp       0.628 (XYLA_ECOLI,0.16,0.43,0.48,0.5,0.54,0.27,0.37)
    13       1:cp       1:cp       0.957 (RNB_ECOLI,0.24,0.34,0.48,0.5,0.38,0.3,0.4)
    14       1:cp       1:cp       0.427 (SYA_ECOLI,0.34,0.35,0.48,0.5,0.51,0.49,0.56)
    15       1:cp       1:cp       0.965 (PFLA_ECOLI,0.44,0.28,0.48,0.5,0.43,0.27,0.37)
    16       1:cp       1:cp       0.639 (SYH_ECOLI,0.29,0.28,0.48,0.5,0.5,0.42,0.5)
    17       1:cp       1:cp       0.497 (SYM_ECOLI,0.61,0.36,0.48,0.5,0.49,0.35,0.44)
    18      4:imU       2:im   +   0.536 (SECG_ECOLI,0.84,0.54,0.48,0.5,0.75,0.92,0.7)
    19      4:imU       2:im   +   0.638 (ATKA_ECOLI,0.72,0.42,0.48,0.5,0.65,0.77,0.79)
    20      4:imU      4:imU       0.493 (CYOB_ECOLI,0.59,0.29,0.48,0.5,0.64,0.75,0.77)
    21      4:imU       2:im   +   0.948 (MCP4_ECOLI,0.87,0.49,0.48,0.5,0.61,0.76,0.79)
    22       3:pp       3:pp       0.815 (OSMY_ECOLI,0.64,0.66,0.48,0.5,0.41,0.39,0.2)
    23       3:pp       3:pp       0.441 (MALM_ECOLI,0.74,0.47,0.48,0.5,0.5,0.57,0.42)
    24       3:pp       3:pp       0.68 (NRFA_ECOLI,0.69,0.67,0.48,0.5,0.3,0.39,0.24)
    25       3:pp       1:cp   +   0.47 (PTR_ECOLI,0.76,0.73,0.48,0.5,0.44,0.39,0.39)
    26       3:pp       3:pp       0.61 (CYPH_ECOLI,0.67,0.81,0.48,0.5,0.54,0.49,0.23)
    27      7:imL      6:omL   +   0.675 (NLPA_ECOLI,0.75,0.55,1,1,0.4,0.47,0.3)
     1       2:im       2:im       0.485 (TOLA_ECOLI,0.61,0.47,0.48,0.5,0,0.8,0.32)
     2       2:im      4:imU   +   0.599 (XYLE_ECOLI,0.69,0.39,0.48,0.5,0.57,0.76,0.79)
     3       2:im       2:im       0.864 (DHSC_ECOLI,0.48,0.45,0.48,0.5,0.6,0.78,0.8)
     4       2:im      4:imU   +   0.51 (PTMA_ECOLI,0.39,0.41,0.48,0.5,0.52,0.72,0.75)
     5       2:im       2:im       0.502 (LSPA_ECOLI,0.83,0.37,0.48,0.5,0.61,0.71,0.74)
     6       2:im      4:imU   +   0.455 (GLNP_ECOLI,0.49,0.42,0.48,0.5,0.53,0.79,0.81)
     7       2:im       1:cp   +   0.721 (AAS_ECOLI,0.44,0.52,0.48,0.5,0.43,0.47,0.54)
     8       5:om       3:pp   +   0.723 (LAMB_ECOLI,0.67,0.88,0.48,0.5,0.73,0.5,0.25)
     9       5:om       3:pp   +   0.826 (PHOE_ECOLI,0.74,0.78,0.48,0.5,0.75,0.54,0.15)
    10      8:imS       1:cp   +   0.474 (ATKC_ECOLI,0.85,0.53,0.48,0.5,0.53,0.52,0.35)
    11       1:cp       3:pp   +   0.345 (PTWX_ECOLI,0.65,0.55,0.48,0.5,0.34,0.37,0.28)
    12       1:cp       1:cp       0.905 (PTCB_ECOLI,0.53,0.42,0.48,0.5,0.16,0.29,0.39)
    13       1:cp       1:cp       0.905 (SYGB_ECOLI,0.25,0.51,0.48,0.5,0.37,0.42,0.5)
    14       1:cp       1:cp       0.7 (PTHA_ECOLI,0.41,0.43,0.48,0.5,0.5,0.24,0.25)
    15       1:cp       1:cp       0.663 (PHOH_ECOLI,0.29,0.47,0.48,0.5,0.41,0.23,0.34)
    16       1:cp       2:im   +   0.614 (RIML_ECOLI,0.33,0.47,0.48,0.5,0.53,0.18,0.29)
    17       1:cp       1:cp       0.482 (RIMJ_ECOLI,0.38,0.26,0.48,0.5,0.54,0.16,0.28)
    18      4:imU       2:im   +   0.811 (DMSC_ECOLI,0.66,0.48,0.48,0.5,0.54,0.7,0.74)
    19      4:imU      4:imU       0.772 (UHPB_ECOLI,0.79,0.54,0.48,0.5,0.5,0.66,0.68)
    20      4:imU       2:im   +   0.934 (FEPD_ECOLI,0.84,0.49,0.48,0.5,0.55,0.78,0.74)
    21      4:imU       2:im   +   0.951 (FEPG_ECOLI,0.77,0.55,0.48,0.5,0.51,0.78,0.74)
    22       3:pp       3:pp       0.795 (POTF_ECOLI,0.66,0.71,0.48,0.5,0.41,0.5,0.35)
    23       3:pp       3:pp       0.686 (HTRA_ECOLI,0.63,0.71,0.48,0.5,0.6,0.4,0.39)
    24       3:pp       3:pp       0.829 (PROX_ECOLI,0.64,0.78,0.48,0.5,0.5,0.36,0.38)
