

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Hair,Feathers,Eggs,Milk,Airborne,Aquatic,Predator,Toothed,Backbone,Breathes,Venomous,Fins,Legs,Tail,Domestic,Catsize,Type)
     4    74:pike    80:frog   +   0.041 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4)
     5 27:platypu    80:frog   +   0.041 (1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1)
     6    88:moth 2:antelope   +   0.024 (1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
     7    55:rhea    80:frog   +   0.041 (0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2)
     8    49:kiwi    80:frog   +   0.041 (0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2)
     9    57:skua    80:frog   +   0.041 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
    10    23:mole    80:frog   +   0.041 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1)
     1    80:frog     3:bear   +   0.021 (0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5)
     2 53:penguin     3:bear   +   0.021 (0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2)
     3    81:newt     3:bear   +   0.021 (0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5)
     4 65:tortois 2:antelope   +   0.023 (0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3)
     5    20:lion     3:bear   +   0.021 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     6 1:aardvark     3:bear   +   0.021 (1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1)
     7    22:mink     3:bear   +   0.021 (1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1)
     8  8:cheetah     3:bear   +   0.021 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     9 38:vampire 2:antelope   +   0.023 (1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1)
    10 10:dolphin     3:bear   +   0.021 (0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1)
     1    80:frog     7:cavy   +   0.021 (0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5)
     2    67:bass     7:cavy   +   0.021 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     3    43:crow     7:cavy   +   0.021 (0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2)
     4    15:goat 1:aardvark   +   0.023 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     5    47:gull     7:cavy   +   0.021 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
     6    44:dove     7:cavy   +   0.021 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2)
     7 72:haddock     7:cavy   +   0.021 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
     8    70:chub     7:cavy   +   0.021 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     9    50:lark     7:cavy   +   0.021 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
    10 89:termite     7:cavy   +   0.021 (0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6)

