

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Hair,Feathers,Eggs,Milk,Airborne,Aquatic,Predator,Toothed,Backbone,Breathes,Venomous,Fins,Legs,Tail,Domestic,Catsize,Type)
     1    31:puma 19:leopard   +   1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     2    79:tuna    74:pike   +   1 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4)
     3 71:dogfish    74:pike   +   1 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4)
     4 56:skimmer    47:gull   +   1 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
     5 64:slowwor 66:tuatara   +   1 (0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3)
     6     7:cavy 17:hamster   +   1 (1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1)
     7    91:clam 99:starfis   +   1 (0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7)
     8 95:octopus 99:starfis   +   1 (0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7)
     9    83:flea 89:termite   +   1 (0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6)
    10 25:opossum    23:mole   +   1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1)
     1    68:carp    77:sole   +   1 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4)
     2 17:hamster     6:calf   +   1 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1)
     3 66:tuatara 64:slowwor   +   1 (0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3)
     4    74:pike 71:dogfish   +   1 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4)
     5 27:platypu    22:mink   +   1 (1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1)
     6    88:moth 86:housefl   +   1 (1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
     7    55:rhea 51:ostrich   +   1 (0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2)
     8    49:kiwi    48:hawk   +   1 (0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2)
     9    57:skua    47:gull   +   1 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
    10    23:mole 25:opossum   +   1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1)
     1    80:frog    82:toad   +   1 (0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5)
     2 53:penguin    55:rhea   +   1 (0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2)
     3    81:newt    82:toad   +   1 (0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5)
     4 65:tortois 51:ostrich   +   1 (0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3)
     5    20:lion 19:leopard   +   1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     6 1:aardvark     3:bear   +   1 (1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1)
     7    22:mink 19:leopard   +   1 (1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1)
     8  8:cheetah 19:leopard   +   1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     9 38:vampire 12:fruitba   +   1 (1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1)
    10 10:dolphin 30:porpois   +   1 (0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1)
     1    80:frog    80:frog       1 (0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5)
     2    67:bass 75:piranha   +   1 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     3    43:crow    48:hawk   +   1 (0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2)
     4    15:goat 34:reindee   +   1 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     5    47:gull    57:skua   +   1 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
     6    44:dove 52:parakee   +   1 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2)
     7 72:haddock    77:sole   +   1 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
     8    70:chub 75:piranha   +   1 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     9    50:lark    61:wren   +   1 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
    10 89:termite    83:flea   +   1 (0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6)

