

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx)
   133       15:O       15:O       0.914 (4,7,4,5,3,7,7,7,4,9,7,10,3,8,3,9)
   134       15:O       18:R   +   0.389 (3,5,5,4,3,6,6,6,5,9,5,8,3,6,4,7)
   135       15:O       15:O       0.468 (5,8,6,6,5,8,7,7,4,9,6,7,3,7,4,9)
   136       15:O       23:W   +   0.788 (5,9,6,7,8,8,9,5,2,7,7,8,8,9,4,8)
   137       15:O       15:O       0.99 (3,7,4,5,3,7,7,8,5,7,6,8,3,8,3,8)
   138       15:O       15:O       0.996 (5,9,6,7,4,8,7,8,5,7,6,8,3,8,3,8)
   139       15:O       15:O       0.942 (3,7,4,5,3,8,8,8,6,7,5,8,2,8,3,7)
   140       15:O       13:M   +   0.862 (6,9,8,8,6,6,5,5,5,9,6,10,5,5,7,4)
   141       15:O       15:O       0.993 (4,8,5,6,4,7,7,8,4,7,6,10,3,8,3,8)
   142       15:O       15:O       0.999 (2,5,3,4,2,8,7,7,4,9,6,8,2,8,2,8)
   143       15:O       15:O       0.953 (5,11,5,8,5,8,7,8,4,9,6,6,4,9,4,8)
   144       15:O       18:R   +   0.517 (5,6,7,5,5,6,6,6,5,7,5,6,3,6,5,6)
   145       15:O       15:O       0.813 (4,6,5,4,3,8,7,8,4,7,6,5,3,8,3,7)
   146       15:O        9:I   +   0.644 (1,0,2,0,0,7,6,6,4,7,6,8,2,8,3,8)
   147       15:O       15:O       0.578 (1,3,2,1,1,7,7,5,3,9,6,8,2,8,2,8)
   148       15:O       15:O       0.997 (3,4,4,3,2,8,7,7,4,9,6,8,2,8,3,8)
   149       15:O        2:B   +   0.784 (7,11,8,8,7,8,7,8,5,9,5,7,5,8,5,10)
   150       15:O        1:A   +   0.361 (6,8,8,7,6,8,4,3,4,9,3,8,4,7,5,8)
   151       15:O       15:O       0.868 (3,4,4,6,2,7,7,9,7,7,6,8,3,8,4,8)
   152       15:O       14:N   +   0.779 (10,15,7,8,4,7,7,5,5,8,4,7,5,9,6,8)
   153       15:O       15:O       0.593 (4,4,5,7,2,7,8,8,8,6,8,9,3,8,4,8)
   154       15:O       15:O       0.327 (4,9,3,5,3,6,8,6,4,9,7,9,5,9,4,8)
   155       15:O       15:O       0.961 (4,8,5,6,3,7,7,7,5,10,7,8,3,8,3,8)
   156       15:O       15:O       0.864 (4,8,5,6,4,8,7,7,4,7,6,6,4,8,3,8)
   157       15:O        7:G   +   0.936 (5,11,7,8,6,7,7,8,5,6,7,11,6,7,5,7)
   158       15:O       21:U   +   0.976 (5,11,4,6,3,4,9,6,4,9,9,8,3,9,4,8)
   159       15:O       15:O       0.996 (5,9,6,7,4,7,7,9,5,7,7,8,3,8,3,8)
   160       15:O       13:M   +   0.771 (5,10,7,7,8,9,7,6,1,7,7,9,10,9,4,6)
   161       15:O       15:O       0.974 (5,9,6,6,3,8,6,8,8,7,5,9,3,8,4,8)
   162       15:O       15:O       0.983 (1,3,2,2,1,8,6,6,3,9,6,8,2,8,2,8)
   163       15:O       13:M   +   0.63 (5,11,6,8,9,9,9,6,2,6,7,9,12,12,6,7)
   164       15:O       15:O       0.917 (5,11,5,9,6,8,7,8,3,9,6,7,3,8,3,8)
   165       15:O       15:O       0.958 (5,5,6,7,3,7,7,9,8,7,6,8,3,8,4,8)
   166       15:O       15:O       0.991 (5,8,6,6,4,8,9,8,4,7,7,8,3,8,3,8)
   167       15:O       18:R   +   0.639 (4,8,6,7,5,7,6,5,5,9,5,8,3,6,5,6)
   168       15:O       15:O       0.996 (4,7,4,5,4,8,7,7,4,9,5,8,3,8,3,8)
   169       15:O        8:H   +   0.608 (9,14,6,8,4,7,6,5,6,8,3,8,6,8,6,8)
   170       15:O       15:O       0.65 (4,7,6,5,4,7,9,8,5,6,8,10,3,8,3,8)
   171       15:O       15:O       0.95 (4,7,5,5,3,8,8,8,5,7,7,6,3,8,4,8)
   172       15:O       15:O       0.424 (9,15,6,8,5,5,7,7,4,10,7,10,5,9,5,8)
   173       15:O        7:G   +   0.338 (5,8,7,6,8,7,9,5,2,7,6,7,10,9,6,10)
   174       15:O        8:H   +   0.592 (4,7,5,5,6,9,7,6,1,7,7,9,7,9,3,9)
   175       15:O       15:O       0.992 (3,9,5,6,4,8,8,8,4,7,8,8,3,8,3,8)
   176       15:O        4:D   +   0.676 (3,8,4,6,2,7,6,9,7,6,5,7,3,8,4,8)
   177       15:O       15:O       0.628 (5,10,6,8,6,8,8,8,4,7,7,6,5,7,4,9)
   178       15:O       15:O       0.737 (3,6,4,4,3,7,8,6,4,10,7,6,3,9,3,8)
   179       15:O        4:D   +   0.361 (4,6,5,5,4,7,6,4,4,6,3,6,2,7,4,7)
   180       15:O       15:O       0.973 (2,4,2,2,1,7,7,6,4,9,6,8,2,8,2,7)
   181       15:O       15:O       0.8 (5,10,7,8,5,8,7,9,4,7,6,7,3,8,4,9)
   182       15:O       15:O       0.986 (5,10,6,7,3,8,8,9,8,7,7,8,3,8,4,8)
   183       15:O       17:Q   +   0.496 (4,9,5,6,2,8,8,9,7,6,7,9,3,8,4,8)
   184       15:O        8:H   +   0.743 (3,6,5,4,5,8,7,5,1,7,6,8,8,8,4,9)
   185       26:Z       26:Z       0.998 (4,9,4,7,4,7,8,3,12,9,6,8,0,8,7,7)
   186       26:Z       26:Z       0.982 (3,6,4,4,3,7,7,3,12,8,6,8,0,8,7,8)
   187       26:Z       26:Z       0.995 (2,1,2,1,1,8,7,5,9,6,6,8,1,8,6,8)
   188       26:Z       26:Z       0.999 (4,9,6,6,4,7,8,2,10,12,7,8,1,9,6,8)
   189       26:Z       26:Z       0.858 (2,5,3,3,3,8,7,5,9,6,6,7,2,8,7,8)
   190       26:Z       26:Z       0.665 (1,1,2,2,1,7,7,4,8,6,6,8,1,8,6,8)
   191       26:Z       26:Z       0.825 (1,0,2,1,0,7,7,2,10,8,6,8,0,8,6,8)
   192       26:Z        2:B   +   0.552 (2,5,4,6,4,9,6,5,4,7,3,6,2,7,7,6)
   193       26:Z       26:Z       0.96 (5,11,7,8,4,9,6,3,10,12,4,8,1,7,6,9)
   194       26:Z       26:Z       0.985 (3,9,4,6,2,7,7,4,13,10,6,8,0,8,8,8)
   195       26:Z        5:E   +   0.521 (4,8,6,6,3,7,7,2,10,12,5,9,2,10,6,9)
   196       26:Z       26:Z       0.963 (2,1,2,2,1,7,7,3,12,8,6,8,0,8,7,8)
   197       26:Z       19:S   +   0.908 (3,9,5,7,5,8,8,3,7,8,7,7,1,9,10,9)
   198       26:Z       19:S   +   0.866 (4,8,5,6,5,8,8,3,7,7,6,7,1,9,10,8)
   199       26:Z       26:Z       0.99 (3,2,4,4,2,7,7,5,10,6,6,8,1,8,7,8)
   200       26:Z       26:Z       0.986 (2,4,4,3,2,8,7,2,9,12,5,9,1,8,5,9)
   201       26:Z       26:Z       0.976 (1,3,3,2,1,7,8,2,9,11,6,8,1,8,5,7)
   202       26:Z        6:F   +   0.778 (5,7,4,10,4,6,9,5,3,12,7,6,3,9,10,6)
   203       26:Z        1:A   +   0.909 (4,6,6,8,4,11,4,3,5,10,2,8,2,7,5,11)
   204       26:Z       17:Q   +   0.853 (7,14,7,8,4,10,4,3,8,12,4,10,3,9,4,11)
   205       26:Z       26:Z       0.93 (4,9,5,7,5,7,8,5,9,7,7,8,1,8,7,8)
   206       26:Z       26:Z       0.346 (3,9,4,7,4,8,6,5,9,7,6,6,2,7,7,8)
   207       26:Z       26:Z       0.627 (6,7,5,10,4,8,5,5,4,11,6,7,3,9,10,7)
   208       26:Z       17:Q   +   0.655 (5,7,4,10,4,9,5,5,5,11,5,7,3,9,8,10)
   209       26:Z       26:Z       0.97 (5,11,7,8,4,7,7,2,11,11,6,8,1,8,6,7)
   210       26:Z       17:Q   +   0.881 (7,7,5,10,5,9,4,4,3,11,6,9,3,9,11,8)
   211       26:Z       26:Z       0.908 (5,10,6,8,4,8,7,6,12,7,6,7,1,8,8,8)
   212       26:Z       26:Z       0.484 (4,6,6,4,3,6,9,3,9,11,9,6,1,9,6,5)
   213       26:Z       26:Z       0.963 (2,1,2,2,1,7,7,3,12,8,6,8,0,8,7,8)
   214       26:Z       26:Z       0.399 (1,3,2,2,1,7,7,5,8,6,6,8,2,8,6,8)
   215       26:Z       26:Z       0.659 (1,0,2,0,0,7,7,3,10,8,6,8,0,8,6,8)
   216       26:Z       26:Z       0.99 (3,4,4,6,2,7,7,3,13,10,6,8,0,8,8,8)
   217       26:Z       26:Z       0.998 (5,5,6,8,3,7,7,4,15,9,6,8,0,8,8,8)
   218       26:Z       26:Z       0.995 (4,9,5,7,4,7,8,3,13,8,6,8,0,8,8,7)
   219       26:Z       26:Z       0.705 (2,5,3,4,2,7,8,5,9,6,6,9,2,9,7,8)
   220       26:Z       26:Z       0.996 (2,7,3,5,1,7,7,3,13,9,6,8,0,8,8,8)
   221       26:Z       26:Z       0.998 (5,5,6,8,3,7,7,4,15,9,6,8,0,8,8,8)
   222       26:Z       26:Z       0.999 (4,9,5,7,4,7,7,3,12,9,6,8,0,8,8,8)
   223       26:Z       26:Z       0.998 (4,8,5,6,2,7,7,4,14,9,6,8,0,8,8,8)
   224       26:Z       26:Z       0.923 (1,3,2,2,1,7,7,5,8,6,6,8,1,8,7,8)
   225       26:Z       26:Z       0.988 (3,9,4,7,2,7,7,4,13,10,6,8,0,8,8,8)
   226       26:Z       26:Z       0.983 (5,11,7,8,3,7,7,4,15,9,6,8,0,8,9,8)
   227       26:Z        3:C   +   0.799 (4,10,5,8,4,6,8,6,10,7,7,10,1,9,8,8)
   228       26:Z       26:Z       0.985 (3,11,4,8,2,7,7,4,14,10,6,8,0,8,8,8)
   229       26:Z       26:Z       0.835 (8,12,8,6,5,8,5,2,8,12,6,10,3,7,7,8)
   230       26:Z       26:Z       0.999 (2,4,4,3,2,7,8,2,9,11,7,7,1,8,6,6)
   231       26:Z       26:Z       0.996 (5,11,7,8,4,7,7,2,10,12,5,9,1,9,7,8)
   232       26:Z       26:Z       0.877 (2,4,3,3,2,7,7,5,9,6,6,8,2,8,7,8)
   233       26:Z        4:D   +   0.338 (5,11,7,9,5,8,6,6,11,7,5,6,2,7,8,8)
   234       26:Z       19:S   +   0.665 (4,8,4,6,4,8,7,5,9,7,5,7,2,8,8,8)
   235       26:Z        6:F   +   0.424 (5,6,4,9,4,6,11,3,3,12,7,6,2,7,9,3)
   236       26:Z       26:Z       0.94 (3,9,4,6,3,7,7,6,11,6,6,8,1,8,8,8)
   237       26:Z       26:Z       0.953 (1,0,2,1,0,7,7,2,10,9,6,8,0,8,6,8)
   238       26:Z       26:Z       0.993 (3,2,4,3,2,7,7,5,9,6,6,8,1,8,7,8)
   239       26:Z       26:Z       0.998 (5,5,6,8,3,7,7,4,15,9,6,8,0,8,8,8)
   240       26:Z       20:T   +   0.502 (5,9,5,4,3,5,8,2,8,11,9,9,3,9,5,5)
   241       26:Z       26:Z       0.832 (4,7,5,5,5,7,6,2,7,7,6,9,1,7,10,8)
   242       26:Z       26:Z       0.993 (2,4,4,3,1,7,8,2,9,11,6,8,1,8,5,7)
   243       26:Z        1:A   +   0.82 (5,8,7,10,6,11,4,3,5,9,2,7,2,7,6,9)
   244       26:Z       26:Z       0.739 (4,9,6,7,6,7,8,3,7,7,6,8,1,9,12,5)
   245        8:H        8:H       0.391 (6,10,6,5,4,7,8,3,5,10,5,8,6,6,5,7)
   246        8:H       11:K   +   0.539 (5,6,8,4,4,6,7,3,6,10,8,10,3,8,3,7)
   247        8:H        8:H       0.998 (4,8,4,5,2,7,5,15,1,7,8,8,3,8,0,8)
   248        8:H        8:H       0.804 (2,3,4,2,2,7,7,3,6,10,6,8,3,8,2,7)
   249        8:H        4:D   +   0.913 (7,9,6,4,3,11,7,4,5,8,3,5,5,9,4,8)
   250        8:H        8:H       0.406 (3,3,5,1,2,9,6,3,5,10,4,8,3,8,2,9)
   251        8:H        8:H       0.734 (3,4,5,2,2,7,6,3,5,10,6,9,3,7,3,8)
   252        8:H       11:K   +   0.818 (5,9,7,7,6,5,8,3,6,10,9,9,3,8,3,5)
   253        8:H        8:H       0.606 (3,5,5,3,3,7,8,6,7,7,5,8,3,8,3,8)
   254        8:H        4:D   +   0.853 (4,10,6,8,7,8,7,5,6,7,6,6,3,8,4,7)
   255        8:H        8:H       0.575 (3,1,4,2,3,7,7,6,6,7,6,8,3,8,3,8)
   256        8:H        8:H       0.954 (5,8,8,6,6,7,6,3,6,10,7,8,3,8,3,7)
   257        8:H        4:D   +   0.794 (2,3,3,2,2,9,7,6,6,7,6,6,3,9,2,7)
   258        8:H       17:Q   +   0.453 (4,7,5,5,4,8,8,6,7,6,5,9,3,8,3,8)
   259        8:H        8:H       0.893 (2,6,3,4,2,7,6,12,2,7,8,8,3,9,0,8)
   260        8:H       18:R   +   0.362 (3,5,6,4,3,9,6,3,6,10,3,7,4,7,4,9)
   261        8:H       11:K   +   0.714 (7,9,10,6,6,6,7,3,7,10,8,9,3,8,3,7)
   262        8:H        8:H       0.997 (4,11,5,8,3,7,7,15,1,7,6,8,3,8,0,8)
   263        8:H        8:H       0.905 (3,7,4,5,5,7,8,6,6,7,5,8,3,8,3,7)
   264        8:H        8:H       0.529 (1,0,1,1,0,7,7,11,1,7,6,8,3,8,0,8)
   265        8:H       14:N   +   0.588 (2,6,4,4,5,7,9,5,2,7,6,7,5,6,6,6)
   266        8:H       11:K   +   0.433 (5,8,7,6,7,6,7,6,6,7,6,10,3,8,3,9)
   267        8:H        8:H       0.684 (4,9,6,6,7,7,8,6,7,7,5,8,3,8,3,8)
   268        8:H        2:B   +   0.634 (6,11,9,9,8,10,6,3,6,10,3,7,6,8,5,10)
   269        8:H        8:H       0.472 (2,3,3,1,2,8,8,3,5,10,6,8,3,8,2,8)
   270        8:H        8:H       0.893 (2,2,3,3,2,8,7,6,6,7,6,8,6,8,3,7)
   271        8:H        8:H       0.991 (4,8,4,6,2,7,9,15,1,7,4,8,3,8,0,8)
   272        8:H       11:K   +   0.602 (6,9,6,4,3,5,9,4,6,9,7,9,5,7,3,7)
   273        8:H        8:H       0.715 (3,4,4,3,3,7,7,6,6,7,6,8,3,8,3,8)
   274        8:H        8:H       0.573 (1,0,1,0,0,7,8,10,1,7,5,8,2,8,0,8)
   275        8:H        8:H       0.994 (6,11,6,8,3,7,7,15,0,7,6,8,3,8,0,8)
   276        8:H        8:H       0.362 (2,2,3,3,2,6,7,6,6,7,6,10,3,8,3,9)
