

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Wifes_age,Wifes_education,Husbands_education,Number_of_children_ever_born,Wifes_religion,Wifes_now_working?,Husbands_occupation,Standard-of-living_index,Media_exposure)
    84        3:3        1:1   +   0.999 (27,2,2,3,1,1,2,2,1)
    85        3:3        1:1   +   0.5 (23,4,4,2,1,0,2,4,0)
    86        3:3        3:3       0.666 (24,2,4,3,1,1,3,3,0)
    87        3:3        1:1   +   0.333 (28,4,4,4,1,1,3,4,0)
    88        3:3        3:3       0.998 (31,3,3,3,1,1,3,1,1)
    89        3:3        3:3       0.917 (29,1,3,5,1,1,3,3,0)
    90        3:3        2:2   +   0.455 (36,4,4,2,1,0,1,4,0)
    91        3:3        2:2   +   0.5 (36,4,4,3,0,0,2,4,0)
    92        3:3        3:3       0.5 (30,4,4,2,1,1,1,4,0)
    93        3:3        2:2   +   0.998 (37,4,4,5,0,0,2,4,0)
    94        3:3        2:2   +   0.666 (28,4,4,4,1,1,2,3,0)
    95        3:3        3:3       0.727 (29,2,3,3,1,0,3,2,0)
    96        3:3        2:2   +   0.4 (35,4,4,3,0,1,3,4,0)
    97        3:3        2:2   +   0.998 (36,4,4,4,0,1,1,4,0)
    98        3:3        2:2   +   0.999 (36,4,4,3,1,1,1,4,0)
    99        3:3        2:2   +   0.5 (43,4,4,3,1,1,1,4,0)
   100        3:3        1:1   +   0.998 (29,3,4,4,1,0,1,3,0)
   101        3:3        2:2   +   0.5 (43,4,4,3,1,1,1,4,0)
   102        3:3        3:3       0.555 (24,4,4,1,1,1,2,3,0)
   103        3:3        3:3       0.998 (36,4,4,3,0,1,3,4,0)
   104        3:3        3:3       0.444 (29,3,4,5,1,1,3,3,0)
   105        3:3        3:3       0.998 (27,2,4,1,1,1,3,3,0)
   106        3:3        3:3       0.666 (29,3,4,3,1,1,3,2,0)
   107        3:3        2:2   +   0.5 (30,4,4,1,1,0,3,2,0)
   108        3:3        1:1   +   0.5 (21,3,4,2,1,1,3,3,0)
   109        3:3        3:3       0.5 (35,3,4,4,1,1,1,4,0)
   110        3:3        1:1   +   0.333 (26,2,4,3,1,1,1,3,0)
   111        3:3        3:3       0.5 (30,3,4,3,1,1,2,3,0)
   112        3:3        2:2   +   0.666 (26,2,3,2,1,1,3,3,0)
   113        3:3        1:1   +   0.998 (23,4,3,2,1,0,2,3,0)
   114        3:3        3:3       0.6 (21,3,3,1,1,1,3,1,0)
   115        3:3        2:2   +   0.666 (34,2,4,4,1,1,3,3,0)
   116        3:3        3:3       0.998 (21,3,3,1,0,1,3,2,0)
   117        3:3        2:2   +   0.5 (25,3,4,2,1,0,2,4,0)
   118        3:3        3:3       0.998 (26,3,4,4,1,1,2,4,0)
     1        1:1        3:3   +   0.583 (28,4,4,5,1,1,1,4,0)
     2        1:1        2:2   +   0.714 (39,3,4,3,1,1,1,4,0)
     3        1:1        3:3   +   0.444 (48,3,4,11,1,1,1,4,0)
     4        1:1        1:1       0.571 (44,1,2,2,1,1,3,1,0)
     5        1:1        3:3   +   0.5 (38,2,2,10,1,1,3,2,0)
     6        1:1        3:3   +   0.998 (25,2,3,0,1,1,2,4,0)
     7        1:1        3:3   +   0.636 (30,2,3,1,1,1,2,1,0)
     8        1:1        3:3   +   0.998 (26,2,4,3,1,1,3,4,0)
     9        1:1        1:1       0.998 (45,3,4,0,1,1,1,3,0)
    10        1:1        1:1       0.998 (20,3,4,0,1,1,3,3,0)
    11        1:1        2:2   +   0.998 (26,2,3,1,1,0,4,4,0)
    12        1:1        1:1       0.5 (19,4,4,0,0,1,3,4,0)
    13        1:1        1:1       0.999 (21,2,4,0,1,1,2,2,0)
    14        1:1        1:1       0.833 (49,1,2,8,1,1,3,1,1)
    15        1:1        1:1       0.998 (22,2,1,0,1,1,2,2,0)
    16        1:1        1:1       0.998 (39,2,2,5,1,0,3,2,1)
    17        1:1        1:1       0.999 (49,3,4,6,1,1,1,4,0)
    18        1:1        3:3   +   0.999 (30,1,3,1,1,1,3,4,0)
    19        1:1        3:3   +   0.75 (44,1,3,4,1,1,3,3,1)
    20        1:1        1:1       0.666 (25,3,3,1,1,1,3,4,0)
    21        1:1        2:2   +   0.4 (48,4,4,1,0,1,1,4,0)
    22        1:1        1:1       0.998 (27,3,4,0,1,0,3,3,0)
    23        1:1        2:2   +   0.667 (24,4,4,4,1,1,1,4,0)
    24        1:1        3:3   +   0.998 (34,1,3,4,1,0,3,4,0)
    25        1:1        3:3   +   0.999 (38,1,2,12,1,1,2,3,0)
    26        1:1        1:1       0.999 (46,1,2,3,1,1,2,1,1)
    27        1:1        3:3   +   0.5 (45,2,3,11,1,1,2,3,0)
    28        1:1        2:2   +   0.75 (43,4,4,6,1,1,1,3,0)
    29        1:1        2:2   +   0.389 (47,4,4,1,1,1,1,4,0)
    30        1:1        1:1       0.5 (47,2,3,12,1,1,3,1,0)
    31        1:1        3:3   +   0.998 (19,4,4,1,1,1,1,3,0)
    32        1:1        3:3   +   0.998 (35,3,3,2,1,0,2,2,0)
    33        1:1        2:2   +   0.998 (31,3,3,1,1,0,3,4,0)
    34        1:1        2:2   +   0.998 (40,1,1,2,1,0,3,4,0)
    35        2:2        3:3   +   0.666 (36,4,4,3,1,1,3,3,0)
    36        2:2        1:1   +   0.999 (47,3,4,11,1,0,2,3,0)
    37        2:2        3:3   +   0.666 (26,1,1,2,1,1,3,4,0)
    38        2:2        3:3   +   0.464 (27,3,3,2,1,1,3,4,0)
    39        2:2        2:2       0.5 (40,4,4,3,1,1,1,4,0)
    40        2:2        1:1   +   0.5 (21,2,2,1,1,1,3,2,0)
    41        2:2        3:3   +   0.692 (38,4,4,3,1,0,1,4,0)
    42        2:2        3:3   +   0.999 (21,4,4,1,1,1,2,1,0)
    43        2:2        2:2       0.998 (21,4,4,1,1,1,1,4,0)
    44        2:2        3:3   +   0.999 (32,2,1,5,1,0,2,2,0)
    45        2:2        3:3   +   0.999 (43,3,4,2,1,0,2,4,0)
    46        2:2        1:1   +   0.998 (35,2,2,6,1,1,3,4,0)
    47        2:2        3:3   +   0.998 (44,3,4,6,1,1,3,2,0)
    48        2:2        2:2       0.56 (48,4,4,6,0,1,2,4,0)
    49        2:2        3:3   +   0.643 (32,4,4,3,0,1,3,3,0)
    50        2:2        1:1   +   0.333 (39,4,4,3,0,0,1,4,0)
    51        2:2        1:1   +   0.5 (49,3,4,4,1,1,3,4,0)
    52        2:2        2:2       0.6 (39,4,4,5,1,1,2,4,0)
    53        2:2        3:3   +   0.5 (49,3,3,11,1,1,1,4,0)
    54        2:2        1:1   +   0.333 (30,3,4,2,1,1,1,4,0)
    55        2:2        2:2       0.5 (39,4,4,3,0,1,2,4,0)
    56        2:2        1:1   +   0.666 (26,4,4,1,1,0,1,3,0)
    57        2:2        2:2       0.999 (48,4,3,7,1,0,2,4,0)
    58        2:2        2:2       0.998 (42,4,4,6,1,1,1,3,0)
    59        2:2        2:2       0.998 (28,2,1,2,1,0,3,3,0)
    60        2:2        3:3   +   0.533 (44,4,4,3,1,0,1,4,0)
    61        2:2        1:1   +   0.4 (36,3,4,7,1,1,2,2,0)
    62        2:2        2:2       0.998 (22,4,4,1,1,1,1,3,0)
    63        2:2        1:1   +   0.999 (18,3,4,1,1,1,3,4,0)
    64        2:2        1:1   +   0.333 (33,3,3,5,1,1,3,4,0)
    65        2:2        3:3   +   0.6 (25,4,4,2,1,1,2,4,0)
    66        2:2        2:2       0.444 (44,4,4,4,1,0,2,3,0)
    67        2:2        2:2       0.625 (39,4,4,3,0,1,1,4,0)
    68        3:3        3:3       0.5 (30,4,4,3,0,0,2,4,0)
    69        3:3        3:3       0.998 (25,2,4,2,1,1,2,4,0)
    70        3:3        3:3       0.998 (29,2,4,2,1,1,3,2,0)
    71        3:3        3:3       0.625 (22,4,4,1,1,1,3,3,0)
    72        3:3        3:3       0.538 (30,2,2,2,1,1,3,2,0)
    73        3:3        3:3       0.714 (27,4,4,2,1,1,3,4,0)
    74        3:3        2:2   +   0.666 (21,4,4,1,0,1,2,4,0)
    75        3:3        3:3       0.666 (27,2,4,4,1,1,3,4,0)
    76        3:3        1:1   +   0.5 (25,2,2,1,1,1,3,3,0)
    77        3:3        1:1   +   0.333 (26,4,4,1,0,0,2,4,0)
    78        3:3        2:2   +   0.998 (27,3,3,1,1,0,3,3,0)
    79        3:3        3:3       0.999 (27,3,3,3,1,1,2,3,0)
    80        3:3        3:3       0.6 (21,3,3,1,1,1,2,2,0)
    81        3:3        3:3       0.998 (32,2,3,4,1,1,3,2,0)
    82        3:3        3:3       0.998 (30,3,3,3,1,0,3,2,0)
    83        3:3        3:3       0.75 (24,3,3,3,1,0,2,1,0)
    84        3:3        3:3       0.998 (34,2,4,6,1,1,3,3,0)
    85        3:3        3:3       0.555 (42,2,4,6,1,1,2,4,0)
    86        3:3        3:3       0.7 (32,4,3,3,1,1,2,4,0)
    87        3:3        2:2   +   0.8 (32,4,4,4,1,1,1,3,0)
    88        3:3        2:2   +   0.998 (24,3,4,1,1,1,3,4,0)
    89        3:3        3:3       0.6 (25,4,4,2,1,1,2,4,0)
    90        3:3        3:3       0.667 (27,3,4,4,1,1,3,3,0)
    91        3:3        3:3       0.444 (26,4,4,3,1,1,3,4,0)
    92        3:3        3:3       0.545 (20,2,3,1,1,1,2,1,0)
    93        3:3        2:2   +   0.562 (37,4,4,6,1,0,3,4,0)
    94        3:3        3:3       0.5 (38,3,3,2,0,1,3,4,0)
    95        3:3        1:1   +   0.667 (22,1,2,3,1,1,3,1,1)
    96        3:3        2:2   +   0.998 (37,4,4,3,0,1,3,4,0)
    97        3:3        1:1   +   0.5 (22,2,2,3,1,0,3,3,0)
    98        3:3        3:3       0.857 (29,1,2,1,1,1,3,3,0)
    99        3:3        3:3       0.571 (31,3,4,5,1,1,3,1,0)
   100        3:3        2:2   +   0.998 (35,2,4,6,1,1,3,4,0)
   101        3:3        2:2   +   0.353 (30,4,4,1,1,1,1,4,0)
   102        3:3        2:2   +   0.5 (29,3,4,5,1,1,1,2,0)
   103        3:3        2:2   +   0.75 (24,3,4,3,1,1,1,4,0)
   104        3:3        2:2   +   0.5 (26,4,4,1,1,0,2,4,0)
   105        3:3        3:3       0.998 (26,2,4,3,1,1,3,4,0)
   106        3:3        3:3       1 (29,2,4,3,1,1,3,3,0)
   107        3:3        1:1   +   0.6 (22,3,4,1,1,1,3,3,0)
   108        3:3        3:3       0.998 (25,4,3,2,1,1,3,3,0)
   109        3:3        2:2   +   0.571 (34,4,3,3,0,1,2,4,0)
   110        3:3        3:3       0.998 (29,2,4,4,1,1,3,2,0)
   111        3:3        1:1   +   0.5 (25,2,4,3,1,1,3,2,0)
   112        3:3        3:3       0.998 (27,2,2,5,1,1,3,1,0)
   113        3:3        3:3       0.666 (39,4,3,1,1,0,2,2,0)
   114        3:3        3:3       0.429 (28,4,4,1,1,1,2,4,0)
   115        3:3        3:3       0.9 (29,2,3,5,1,1,2,4,0)
   116        3:3        1:1   +   0.462 (21,3,4,1,1,0,3,4,0)
   117        3:3        3:3       1 (30,3,4,3,1,1,3,3,0)
   118        3:3        1:1   +   0.666 (20,2,2,2,1,1,3,2,1)
     1        1:1        3:3   +   0.999 (25,3,3,1,1,1,2,2,0)
     2        1:1        3:3   +   0.666 (25,2,2,2,1,1,3,1,0)
     3        1:1        3:3   +   0.666 (16,3,4,1,1,1,3,3,0)
     4        1:1        3:3   +   0.571 (24,3,4,1,1,0,3,3,0)
     5        1:1        2:2   +   0.5 (29,3,4,2,1,1,1,3,0)
     6        1:1        2:2   +   0.5 (23,4,4,1,1,0,3,3,0)
     7        1:1        3:3   +   0.571 (26,1,3,1,1,1,3,1,0)
     8        1:1        1:1       0.666 (22,4,4,0,1,0,2,4,0)
     9        1:1        1:1       0.667 (29,2,4,0,1,0,3,4,0)
    10        1:1        3:3   +   0.666 (25,4,4,1,1,1,1,4,0)
    11        1:1        1:1       0.999 (37,3,4,0,1,1,3,4,0)
    12        1:1        2:2   +   0.5 (21,2,2,1,1,1,3,2,0)
    13        1:1        2:2   +   0.998 (35,4,4,3,1,1,1,4,0)
    14        1:1        3:3   +   0.999 (47,2,4,2,1,1,3,2,1)
    15        1:1        1:1       0.998 (29,3,2,0,1,1,2,2,0)
    16        1:1        3:3   +   0.666 (22,2,4,4,1,1,3,4,0)
    17        1:1        1:1       0.667 (21,2,3,0,1,1,3,4,0)
    18        1:1        3:3   +   0.998 (48,3,4,4,0,1,2,4,0)
    19        1:1        1:1       0.333 (27,3,3,4,1,1,2,4,0)
    20        1:1        1:1       0.5 (20,3,4,2,1,1,3,2,0)
    21        1:1        1:1       0.998 (18,3,2,1,1,1,3,1,0)
    22        1:1        3:3   +   0.998 (32,4,4,3,1,1,1,4,0)
    23        1:1        1:1       0.998 (49,3,4,9,1,1,1,4,0)
    24        1:1        3:3   +   0.999 (38,1,3,4,1,0,2,2,0)
    25        1:1        3:3   +   0.998 (28,4,4,1,0,1,1,3,0)
    26        1:1        2:2   +   0.998 (38,2,2,6,1,1,3,4,0)
    27        1:1        1:1       0.998 (25,4,4,0,0,1,2,4,0)
    28        1:1        2:2   +   0.998 (49,4,4,6,0,0,1,4,0)
    29        1:1        1:1       0.565 (43,1,2,1,1,1,3,4,1)
    30        1:1        2:2   +   0.75 (47,1,1,1,1,1,3,4,0)
    31        1:1        2:2   +   0.4 (49,4,4,4,1,1,3,4,0)
    32        1:1        2:2   +   0.998 (25,3,3,1,1,1,3,1,0)
    33        1:1        3:3   +   0.571 (35,2,3,8,1,1,3,2,0)
    34        1:1        2:2   +   0.75 (43,4,4,3,0,1,2,4,0)
    35        2:2        1:1   +   0.5 (24,4,4,1,0,1,2,3,0)
    36        2:2        2:2       0.666 (33,3,4,2,1,1,1,4,0)
    37        2:2        3:3   +   0.556 (32,4,4,2,1,0,1,4,0)
    38        2:2        3:3   +   0.999 (31,4,2,2,0,1,1,3,0)
    39        2:2        2:2       0.998 (23,4,4,1,1,1,1,2,0)
    40        2:2        3:3   +   0.4 (27,4,4,1,1,0,3,3,0)
    41        2:2        2:2       0.632 (33,4,4,4,1,1,1,4,0)
    42        2:2        3:3   +   0.998 (24,4,4,1,1,0,1,4,0)
    43        2:2        2:2       0.5 (37,4,4,5,1,1,3,4,0)
    44        2:2        2:2       0.667 (42,4,3,7,1,0,1,4,0)
    45        2:2        3:3   +   0.909 (35,3,3,4,1,1,3,2,0)
    46        2:2        1:1   +   0.998 (25,2,3,1,1,0,4,4,0)
    47        2:2        3:3   +   0.998 (19,4,4,1,1,1,2,3,0)
    48        2:2        2:2       1 (32,4,4,4,0,0,2,4,0)
    49        2:2        2:2       0.5 (35,4,4,5,1,1,2,4,0)
    50        2:2        3:3   +   0.5 (36,4,4,3,1,0,2,4,0)
    51        2:2        3:3   +   0.998 (25,2,4,3,1,1,1,4,1)
    52        2:2        1:1   +   0.5 (26,2,2,4,1,1,3,4,0)
    53        2:2        2:2       0.75 (32,4,4,4,1,1,2,4,0)
    54        2:2        1:1   +   0.5 (40,3,4,2,0,1,3,4,0)
    55        2:2        3:3   +   0.6 (25,3,4,3,1,1,2,3,0)
    56        2:2        2:2       0.998 (39,4,4,3,1,1,1,4,0)
    57        2:2        1:1   +   0.5 (29,4,4,1,1,0,2,4,0)
    58        2:2        3:3   +   0.5 (26,4,4,1,0,1,2,4,0)
    59        2:2        3:3   +   0.998 (44,2,4,4,1,1,3,3,0)
    60        2:2        3:3   +   0.998 (27,3,3,1,0,0,2,4,0)
    61        2:2        1:1   +   0.5 (40,2,3,6,1,1,1,2,0)
    62        2:2        3:3   +   0.5 (17,4,4,1,1,1,2,4,0)
    63        2:2        2:2       0.562 (45,3,3,5,0,1,1,3,0)
    64        2:2        3:3   +   0.998 (45,3,3,7,1,1,3,4,0)
    65        2:2        3:3   +   0.666 (36,4,4,4,0,0,1,4,0)
    66        2:2        3:3   +   0.999 (25,4,4,2,0,1,1,3,0)
    67        2:2        3:3   +   0.666 (35,2,4,4,0,1,3,2,0)
    68        3:3        3:3       0.998 (36,2,4,11,1,1,1,4,1)
    69        3:3        1:1   +   0.998 (26,3,3,2,1,0,2,2,0)
    70        3:3        3:3       0.75 (29,2,3,4,1,1,2,1,0)
    71        3:3        2:2   +   0.727 (37,4,4,6,1,1,1,4,0)
    72        3:3        1:1   +   0.5 (33,2,2,7,1,0,2,3,0)
    73        3:3        1:1   +   0.998 (35,4,3,2,0,1,3,4,0)
    74        3:3        3:3       0.666 (25,3,3,1,1,1,2,1,0)
    75        3:3        3:3       0.998 (27,2,2,5,1,1,3,3,0)
    76        3:3        2:2   +   0.999 (45,4,4,3,1,1,1,4,0)
    77        3:3        3:3       0.6 (19,4,4,1,1,1,2,4,0)
    78        3:3        3:3       0.998 (33,3,4,8,1,1,3,4,0)
    79        3:3        2:2   +   0.998 (29,3,3,2,1,1,3,2,0)
    80        3:3        3:3       0.998 (46,3,4,9,1,1,3,4,0)
    81        3:3        3:3       0.666 (23,3,3,1,1,1,2,2,0)
    82        3:3        3:3       0.998 (22,2,4,2,1,1,3,2,0)
    83        3:3        3:3       0.522 (40,3,4,3,1,0,1,4,0)
    84        3:3        3:3       0.998 (32,3,4,5,0,1,3,4,0)
    85        3:3        3:3       0.998 (29,3,3,4,1,1,3,4,0)
    86        3:3        1:1   +   0.5 (26,2,4,3,1,1,3,4,0)
    87        3:3        1:1   +   0.999 (39,1,2,2,1,0,2,4,0)
    88        3:3        2:2   +   0.998 (35,4,4,3,1,1,1,4,0)
    89        3:3        2:2   +   0.548 (25,4,4,3,1,1,1,4,0)
    90        3:3        1:1   +   0.5 (30,2,2,6,1,0,2,3,0)
    91        3:3        2:2   +   0.375 (26,3,4,2,1,1,1,3,0)
    92        3:3        2:2   +   0.5 (31,4,4,5,1,0,1,4,0)
    93        3:3        2:2   +   0.998 (35,4,4,2,1,0,1,4,0)
    94        3:3        3:3       0.998 (26,3,3,3,1,1,3,3,0)
    95        3:3        2:2   +   0.429 (33,4,4,5,1,1,1,4,0)
    96        3:3        2:2   +   0.5 (30,3,4,3,1,1,3,4,0)
    97        3:3        3:3       0.998 (23,4,3,1,1,1,2,2,0)
    98        3:3        3:3       0.998 (35,2,3,6,1,0,3,3,0)
    99        3:3        1:1   +   0.333 (23,3,2,2,1,0,3,2,0)
   100        3:3        3:3       0.666 (27,3,4,4,1,1,3,4,0)
   101        3:3        1:1   +   0.998 (27,3,4,2,1,1,1,3,0)
   102        3:3        2:2   +   0.5 (34,4,4,2,0,0,2,4,0)
   103        3:3        3:3       0.571 (38,4,4,2,1,1,3,4,0)
   104        3:3        1:1   +   0.998 (23,3,4,1,1,1,2,3,0)
   105        3:3        3:3       0.999 (32,4,4,3,1,0,1,4,0)
   106        3:3        3:3       0.6 (41,4,4,1,1,1,3,3,0)
   107        3:3        3:3       0.998 (24,1,2,3,1,1,3,2,0)
   108        3:3        3:3       0.999 (36,2,3,7,1,1,3,3,0)
   109        3:3        3:3       0.998 (38,3,4,7,1,1,3,2,0)
   110        3:3        3:3       0.998 (17,2,2,0,1,0,3,2,0)
   111        3:3        1:1   +   0.4 (48,3,4,3,1,1,2,3,0)
   112        3:3        2:2   +   0.998 (28,3,3,2,0,1,2,3,0)
   113        3:3        2:2   +   0.462 (29,4,4,3,1,0,1,4,0)
   114        3:3        3:3       0.5 (36,1,1,5,1,1,3,3,0)
   115        3:3        2:2   +   0.666 (41,3,3,7,0,1,2,4,0)
   116        3:3        2:2   +   0.75 (43,3,3,8,1,1,1,3,0)
   117        3:3        1:1   +   0.5 (21,1,3,1,1,1,3,3,1)
   118        3:3        1:1   +   0.998 (25,4,4,1,0,1,3,3,0)
     1        1:1        3:3   +   0.571 (26,4,4,2,1,1,1,3,0)
     2        1:1        3:3   +   0.998 (25,4,4,2,1,1,3,2,0)
     3        1:1        3:3   +   0.998 (49,1,2,5,1,0,2,2,1)
     4        1:1        2:2   +   0.5 (28,1,4,2,1,0,2,3,0)
     5        1:1        2:2   +   0.998 (27,4,4,3,1,1,1,4,0)
     6        1:1        3:3   +   0.476 (43,3,4,10,1,1,3,3,0)
     7        1:1        1:1       0.998 (25,3,3,0,1,1,3,4,0)
     8        1:1        1:1       0.571 (42,4,4,0,0,0,3,4,0)
     9        1:1        1:1       0.998 (32,3,4,0,1,1,3,4,0)
    10        1:1        3:3   +   0.7 (21,4,4,1,1,1,3,3,0)
    11        1:1        3:3   +   0.998 (45,3,4,3,0,1,3,4,0)
    12        1:1        1:1       0.6 (36,2,2,0,0,0,3,3,0)
    13        1:1        2:2   +   0.998 (28,4,4,2,1,1,1,3,0)
    14        1:1        1:1       0.998 (44,1,2,2,1,1,2,4,0)
    15        1:1        3:3   +   0.6 (22,2,2,1,1,1,3,1,1)
    16        1:1        3:3   +   0.6 (24,2,2,3,1,1,2,4,0)
    17        1:1        2:2   +   0.998 (44,4,4,3,1,0,1,4,1)
    18        1:1        1:1       0.5 (29,1,2,7,1,1,2,4,0)
    19        1:1        3:3   +   0.998 (21,3,3,0,1,1,2,2,0)
    20        1:1        3:3   +   0.998 (28,3,3,5,1,1,3,3,0)
    21        1:1        1:1       0.998 (47,2,3,5,1,1,1,1,0)
    22        1:1        3:3   +   0.75 (30,3,4,5,1,1,1,4,0)
    23        1:1        1:1       0.998 (31,4,4,0,0,0,2,4,0)
    24        1:1        2:2   +   0.5 (30,4,4,3,1,0,2,4,0)
    25        1:1        3:3   +   0.998 (25,2,3,2,1,1,3,2,0)
    26        1:1        1:1       0.5 (23,3,3,6,1,1,3,3,0)
    27        1:1        1:1       0.998 (26,3,4,1,0,1,2,2,0)
