

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Buying,Maint,Doors,Persons,Lug_boot,Safety)
    32    1:unacc    1:unacc       0.992 (high,med,4,2,med,high)
    33    1:unacc    1:unacc       0.996 (med,vhigh,4,2,med,med)
    34    1:unacc    1:unacc       1 (low,vhigh,4,2,med,low)
    35    1:unacc    1:unacc       1 (low,low,5more,2,small,low)
    36    1:unacc    1:unacc       0.992 (vhigh,low,5more,more,small,low)
    37    1:unacc    1:unacc       0.992 (high,high,4,2,med,high)
    38    1:unacc    1:unacc       0.99 (high,med,4,2,big,high)
    39    1:unacc    1:unacc       0.997 (high,vhigh,2,2,big,med)
    40    1:unacc    1:unacc       1 (high,low,2,2,small,low)
    41    1:unacc      2:acc   +   0.598 (med,high,3,4,small,med)
    42    1:unacc    1:unacc       0.999 (low,med,2,2,big,low)
    43    1:unacc    1:unacc       0.984 (med,low,5more,2,small,high)
    44    1:unacc    1:unacc       0.921 (low,low,4,2,med,high)
    45    1:unacc    1:unacc       0.991 (high,high,5more,2,med,high)
    46    1:unacc    1:unacc       0.997 (high,low,2,2,small,high)
    47    1:unacc    1:unacc       0.994 (high,high,2,2,med,high)
    48    1:unacc    1:unacc       1 (high,low,3,2,med,low)
    49    1:unacc    1:unacc       0.995 (high,med,5more,2,med,med)
    50    1:unacc    1:unacc       0.944 (med,low,3,2,big,high)
    51    1:unacc      2:acc   +   0.558 (vhigh,low,3,4,small,med)
    52    1:unacc    1:unacc       1 (low,med,4,2,small,low)
    53    1:unacc    1:unacc       0.991 (vhigh,low,3,2,med,med)
    54    1:unacc    1:unacc       0.989 (med,vhigh,5more,2,big,high)
    55    1:unacc      2:acc   +   0.568 (low,high,2,more,small,high)
    56    1:unacc    1:unacc       0.995 (med,high,2,more,small,low)
    57    1:unacc    1:unacc       0.986 (med,med,5more,2,med,med)
    58    1:unacc    1:unacc       0.995 (low,vhigh,2,4,big,low)
    59    1:unacc    1:unacc       0.996 (high,low,2,2,big,med)
    60    1:unacc    1:unacc       0.995 (high,low,3,more,med,low)
    61    1:unacc    1:unacc       0.996 (low,vhigh,2,more,med,low)
    62    1:unacc    1:unacc       0.955 (med,high,4,2,big,high)
    63    1:unacc    1:unacc       0.983 (med,med,5more,2,big,med)
    64    1:unacc    1:unacc       0.934 (low,med,2,2,big,high)
    65    1:unacc    1:unacc       0.995 (med,high,2,2,med,med)
    66    1:unacc    1:unacc       0.934 (low,low,4,more,big,low)
    67    1:unacc    1:unacc       0.987 (med,med,4,2,small,high)
    68    1:unacc    1:unacc       0.995 (high,med,3,more,med,low)
    69    1:unacc    1:unacc       0.996 (high,vhigh,3,2,big,med)
    70    1:unacc      2:acc   +   0.582 (vhigh,low,5more,4,small,med)
    71    1:unacc    1:unacc       0.999 (low,low,3,2,med,low)
    72    1:unacc    1:unacc       0.996 (high,med,4,more,small,low)
    73    1:unacc    1:unacc       0.995 (high,low,5more,more,med,low)
    74    1:unacc    1:unacc       0.995 (high,vhigh,3,2,med,high)
    75    1:unacc    1:unacc       0.995 (low,high,3,4,small,low)
    76    1:unacc    1:unacc       0.993 (med,high,4,2,med,med)
    77    1:unacc    1:unacc       0.999 (med,low,5more,2,big,low)
    78    1:unacc    1:unacc       0.996 (med,vhigh,5more,more,small,low)
    79    1:unacc    1:unacc       1 (high,med,3,2,big,low)
    80    1:unacc    1:unacc       0.995 (low,vhigh,4,2,big,med)
    81    1:unacc    1:unacc       0.998 (high,vhigh,2,2,small,med)
    82    1:unacc    1:unacc       1 (high,low,4,2,small,low)
    83    1:unacc     3:good   +   0.409 (low,low,2,more,small,med)
    84    1:unacc    1:unacc       0.987 (med,med,2,2,big,med)
    85    1:unacc    1:unacc       0.953 (low,med,5more,more,med,low)
    86    1:unacc    1:unacc       0.989 (high,high,4,2,big,high)
    87    1:unacc    1:unacc       0.571 (low,vhigh,2,4,med,med)
    88    1:unacc    1:unacc       0.528 (med,vhigh,4,more,small,med)
    89    1:unacc    1:unacc       0.947 (low,high,4,2,big,high)
    90    1:unacc      2:acc   +   0.607 (high,vhigh,5more,more,med,high)
    91    1:unacc    1:unacc       0.956 (low,low,2,more,big,low)
    92    4:vgood    4:vgood       0.463 (low,med,3,more,big,high)
    93    4:vgood    4:vgood       0.391 (low,low,3,more,big,high)
    94    4:vgood      2:acc   +   0.519 (low,high,2,4,big,high)
    95    4:vgood    4:vgood       0.367 (low,low,4,4,med,high)
    96    4:vgood      2:acc   +   0.549 (low,high,3,4,big,high)
    97    4:vgood    4:vgood       0.502 (low,med,5more,4,big,high)
    98      2:acc      2:acc       0.543 (high,low,2,4,med,high)
    99      2:acc      2:acc       0.537 (high,med,3,more,med,med)
   100      2:acc      2:acc       0.613 (vhigh,low,4,more,med,med)
   101      2:acc      2:acc       0.603 (high,med,4,4,big,med)
   102      2:acc      2:acc       0.627 (high,high,5more,4,med,med)
   103      2:acc      2:acc       0.585 (high,low,2,more,big,high)
   104      2:acc    1:unacc   +   0.494 (high,low,3,more,med,med)
   105      2:acc      2:acc       0.371 (med,low,2,4,med,med)
   106      2:acc    1:unacc   +   0.512 (low,vhigh,4,more,med,med)
   107      2:acc      2:acc       0.602 (vhigh,low,2,more,big,med)
   108      2:acc      2:acc       0.603 (high,low,4,4,med,high)
   109      2:acc      2:acc       0.638 (low,high,3,4,small,high)
   110      2:acc      2:acc       0.557 (high,low,4,4,big,med)
   111      2:acc      2:acc       0.56 (med,med,3,more,big,med)
   112      2:acc      2:acc       0.513 (low,high,2,4,med,high)
   113      2:acc      2:acc       0.598 (med,vhigh,4,4,big,med)
   114      2:acc      2:acc       0.703 (high,high,4,4,med,high)
   115      2:acc      2:acc       0.652 (med,high,3,more,med,med)
   116      2:acc      2:acc       0.53 (low,high,2,4,med,med)
   117      2:acc      2:acc       0.691 (med,high,3,more,small,high)
   118      2:acc      2:acc       0.577 (low,vhigh,5more,more,med,high)
   119      2:acc    1:unacc   +   0.502 (low,vhigh,4,4,med,med)
   120      2:acc      2:acc       0.377 (med,low,2,more,med,med)
   121      2:acc      2:acc       0.422 (med,low,3,4,med,med)
   122      2:acc      2:acc       0.534 (low,high,4,4,small,med)
   123      2:acc      2:acc       0.661 (med,high,4,4,med,med)
   124      2:acc      2:acc       0.534 (med,vhigh,4,more,med,med)
   125      2:acc      2:acc       0.646 (low,high,4,4,big,med)
   126      2:acc      2:acc       0.609 (high,med,5more,more,small,high)
   127      2:acc      2:acc       0.355 (low,med,5more,4,small,med)
   128      2:acc     3:good   +   0.444 (low,low,2,4,small,med)
   129      2:acc      2:acc       0.577 (med,high,5more,more,med,high)
   130      2:acc      2:acc       0.573 (high,low,5more,4,small,high)
   131      2:acc      2:acc       0.595 (low,high,3,4,med,med)
   132      2:acc      2:acc       0.595 (high,med,4,4,small,high)
   133     3:good      2:acc   +   0.49 (med,low,4,4,small,high)
   134     3:good      2:acc   +   0.391 (low,med,4,4,big,med)
   135     3:good      2:acc   +   0.38 (low,med,5more,4,med,med)
   136     3:good      2:acc   +   0.429 (med,low,3,more,med,med)
   137     3:good      2:acc   +   0.458 (low,med,5more,more,small,high)
   138     3:good      2:acc   +   0.499 (med,low,3,more,small,high)
   139     3:good      2:acc   +   0.358 (med,low,2,more,med,high)
     1    1:unacc    1:unacc       0.992 (high,high,5more,4,med,low)
     2    1:unacc    1:unacc       0.967 (med,med,5more,more,med,low)
     3    1:unacc    1:unacc       0.996 (low,vhigh,2,more,big,low)
     4    1:unacc    1:unacc       1 (med,high,3,2,small,low)
     5    1:unacc    1:unacc       0.996 (high,vhigh,3,4,big,low)
     6    1:unacc    1:unacc       1 (med,high,3,2,med,low)
     7    1:unacc    1:unacc       0.98 (low,med,5more,4,small,low)
     8    1:unacc    1:unacc       0.996 (high,vhigh,3,4,med,low)
     9    1:unacc    1:unacc       1 (high,vhigh,2,2,big,low)
    10    1:unacc      2:acc   +   0.507 (high,vhigh,3,4,small,high)
    11    1:unacc    1:unacc       0.903 (low,low,4,2,big,high)
    12    1:unacc    1:unacc       1 (high,med,2,2,small,low)
    13    1:unacc    1:unacc       1 (high,low,4,2,med,low)
    14    1:unacc      2:acc   +   0.538 (high,med,5more,4,small,med)
    15    1:unacc      2:acc   +   0.636 (med,high,2,more,small,high)
    16    1:unacc    1:unacc       0.511 (high,low,2,more,small,high)
    17    1:unacc    1:unacc       0.94 (low,low,5more,more,big,low)
    18    1:unacc    1:unacc       0.969 (med,high,4,2,med,high)
    19    1:unacc     3:good   +   0.34 (low,low,2,more,small,high)
    20    1:unacc    1:unacc       0.995 (high,med,5more,2,small,high)
    21    1:unacc    1:unacc       1 (high,vhigh,5more,2,med,low)
    22    1:unacc    1:unacc       1 (med,low,2,2,med,low)
    23    1:unacc    1:unacc       0.984 (low,med,2,4,small,low)
    24    1:unacc    1:unacc       0.991 (vhigh,low,4,2,med,med)
    25    1:unacc    1:unacc       0.515 (high,low,4,4,small,med)
    26    1:unacc    1:unacc       1 (med,vhigh,3,2,small,low)
    27    1:unacc    1:unacc       0.972 (low,high,4,more,big,low)
    28    1:unacc    1:unacc       0.956 (med,med,4,more,big,low)
    29    1:unacc    1:unacc       0.996 (high,low,5more,2,small,high)
    30    1:unacc    1:unacc       0.992 (med,vhigh,3,2,big,high)
    31    1:unacc    1:unacc       0.988 (med,low,2,2,small,high)
    32    1:unacc    1:unacc       0.919 (med,med,4,2,big,high)
    33    1:unacc    1:unacc       0.954 (low,low,2,4,big,low)
    34    1:unacc    1:unacc       0.98 (low,med,5more,2,small,high)
    35    1:unacc    1:unacc       0.934 (low,med,3,2,med,high)
    36    1:unacc    1:unacc       1 (vhigh,low,5more,2,big,low)
    37    1:unacc    1:unacc       0.984 (med,med,3,2,big,med)
    38    1:unacc    1:unacc       0.992 (high,low,5more,2,big,high)
    39    1:unacc    1:unacc       0.984 (low,med,5more,2,small,med)
    40    1:unacc    1:unacc       0.994 (low,high,3,2,small,high)
    41    1:unacc    1:unacc       0.993 (low,high,5more,2,small,high)
    42    1:unacc    1:unacc       0.997 (high,low,5more,2,small,med)
    43    1:unacc    1:unacc       0.996 (high,low,5more,4,small,low)
    44    1:unacc    1:unacc       0.999 (low,med,5more,2,med,low)
    45    1:unacc    1:unacc       0.936 (med,med,3,2,big,high)
    46    1:unacc    1:unacc       0.509 (high,vhigh,5more,more,small,high)
    47    1:unacc    1:unacc       0.995 (high,med,5more,4,small,low)
    48    1:unacc    1:unacc       0.995 (med,vhigh,4,more,med,low)
    49    1:unacc    1:unacc       0.494 (low,vhigh,3,4,med,med)
    50    1:unacc    1:unacc       0.995 (med,high,3,2,small,med)
    51    1:unacc    1:unacc       1 (med,low,5more,2,med,low)
    52    1:unacc    1:unacc       0.999 (low,low,3,2,big,low)
    53    1:unacc    1:unacc       1 (high,high,2,2,small,low)
    54    1:unacc    1:unacc       0.656 (low,vhigh,2,more,small,med)
    55    1:unacc    1:unacc       0.401 (low,med,2,more,small,med)
    56    1:unacc    1:unacc       0.994 (med,vhigh,3,4,big,low)
    57    1:unacc      2:acc   +   0.517 (high,med,3,4,small,med)
    58    1:unacc    1:unacc       0.98 (low,low,3,2,small,med)
    59    1:unacc    1:unacc       0.996 (med,vhigh,5more,2,small,high)
    60    1:unacc      2:acc   +   0.545 (high,med,2,more,small,high)
    61    1:unacc    1:unacc       0.994 (high,low,4,more,big,low)
    62    1:unacc    1:unacc       0.995 (high,med,3,2,med,med)
    63    1:unacc    1:unacc       0.994 (high,high,4,2,med,med)
    64    1:unacc      2:acc   +   0.527 (high,vhigh,2,more,med,high)
    65    1:unacc    1:unacc       0.991 (med,high,5more,2,big,med)
    66    1:unacc    1:unacc       0.967 (med,med,4,more,med,low)
    67    1:unacc    1:unacc       0.992 (high,high,5more,4,big,low)
    68    1:unacc    1:unacc       0.994 (low,high,3,2,med,med)
    69    1:unacc    1:unacc       1 (high,low,5more,2,big,low)
    70    1:unacc    1:unacc       0.972 (med,low,3,4,med,low)
    71    1:unacc    1:unacc       0.997 (high,vhigh,3,2,med,med)
    72    1:unacc    1:unacc       0.994 (low,vhigh,4,more,big,low)
    73    1:unacc    1:unacc       0.99 (med,med,2,4,small,low)
    74    1:unacc    1:unacc       0.994 (low,vhigh,5more,4,big,low)
    75    1:unacc    1:unacc       0.981 (med,high,4,4,med,low)
    76    1:unacc      2:acc   +   0.696 (med,high,3,4,med,med)
    77    1:unacc    1:unacc       0.997 (high,low,4,more,small,low)
    78    1:unacc    1:unacc       0.969 (med,med,2,4,big,low)
    79    1:unacc    1:unacc       0.993 (med,high,5more,4,small,low)
    80    1:unacc    1:unacc       0.983 (low,med,3,more,small,low)
    81    1:unacc    1:unacc       1 (high,vhigh,5more,2,big,low)
    82    1:unacc      2:acc   +   0.528 (med,vhigh,2,4,med,med)
    83    1:unacc    1:unacc       0.967 (low,low,5more,2,big,med)
    84    1:unacc    1:unacc       0.994 (med,high,2,4,small,low)
    85    1:unacc    1:unacc       0.988 (vhigh,low,4,more,med,low)
    86    1:unacc      2:acc   +   0.527 (high,vhigh,5more,4,small,high)
    87    1:unacc    1:unacc       0.977 (med,low,2,4,med,low)
    88    1:unacc    1:unacc       1 (high,low,2,2,big,low)
    89    1:unacc    1:unacc       0.986 (med,low,4,4,small,low)
    90    1:unacc    1:unacc       0.572 (high,low,3,more,small,med)
    91    1:unacc    1:unacc       0.972 (med,high,2,2,big,high)
    92    4:vgood    4:vgood       0.474 (low,med,3,4,big,high)
    93    4:vgood    4:vgood       0.451 (low,low,4,4,big,high)
    94    4:vgood      2:acc   +   0.378 (med,low,4,more,med,high)
    95    4:vgood    4:vgood       0.505 (low,low,5more,more,big,high)
    96    4:vgood    4:vgood       0.433 (med,low,5more,more,big,high)
    97    4:vgood    4:vgood       0.392 (low,med,3,more,med,high)
    98      2:acc      2:acc       0.561 (low,vhigh,3,4,med,high)
    99      2:acc      2:acc       0.546 (high,low,5more,more,big,med)
   100      2:acc      2:acc       0.429 (med,low,5more,4,small,med)
   101      2:acc    1:unacc   +   0.508 (low,vhigh,5more,more,small,high)
   102      2:acc      2:acc       0.521 (low,vhigh,4,4,big,med)
   103      2:acc      2:acc       0.529 (med,vhigh,3,more,med,med)
   104      2:acc      2:acc       0.466 (med,med,3,4,med,high)
   105      2:acc      2:acc       0.652 (high,low,4,4,big,high)
   106      2:acc     3:good   +   0.479 (low,low,3,4,med,med)
   107      2:acc      2:acc       0.534 (low,vhigh,3,more,big,high)
   108      2:acc      2:acc       0.526 (high,low,3,more,big,med)
   109      2:acc      2:acc       0.516 (med,high,5more,more,big,high)
   110      2:acc      2:acc       0.609 (high,low,5more,more,med,high)
   111      2:acc      2:acc       0.698 (med,high,4,more,big,med)
   112      2:acc      2:acc       0.638 (low,high,5more,4,med,med)
   113      2:acc      2:acc       0.603 (low,high,5more,more,small,high)
   114      2:acc      2:acc       0.683 (med,high,5more,more,med,med)
   115      2:acc      2:acc       0.614 (high,med,3,4,small,high)
   116      2:acc      2:acc       0.681 (high,high,4,4,big,med)
   117      2:acc      2:acc       0.662 (vhigh,low,3,4,med,high)
   118      2:acc      2:acc       0.619 (vhigh,low,5more,more,big,high)
   119      2:acc      2:acc       0.556 (med,vhigh,4,more,small,high)
   120      2:acc      2:acc       0.591 (low,high,2,4,small,high)
   121      2:acc      2:acc       0.503 (low,high,3,more,small,med)
   122      2:acc      2:acc       0.636 (low,high,5more,4,small,high)
   123      2:acc      2:acc       0.527 (med,high,4,more,big,high)
   124      2:acc      2:acc       0.612 (high,med,4,more,big,med)
   125      2:acc      2:acc       0.514 (low,high,3,4,med,high)
   126      2:acc      2:acc       0.612 (med,vhigh,3,more,med,high)
   127      2:acc      2:acc       0.521 (low,vhigh,5more,4,big,med)
   128      2:acc      2:acc       0.619 (vhigh,low,4,more,small,high)
   129      2:acc      2:acc       0.606 (high,low,3,more,big,high)
   130      2:acc      2:acc       0.648 (vhigh,low,5more,4,big,med)
   131      2:acc      2:acc       0.58 (high,low,5more,4,big,med)
   132      2:acc      2:acc       0.631 (vhigh,low,3,4,small,high)
   133     3:good      2:acc   +   0.394 (low,med,3,4,big,med)
   134     3:good     3:good       0.377 (low,low,3,4,small,high)
   135     3:good     3:good       0.346 (low,low,5more,more,small,high)
   136     3:good      2:acc   +   0.463 (med,low,4,more,big,med)
   137     3:good      2:acc   +   0.49 (med,low,5more,more,small,high)
   138     3:good      2:acc   +   0.474 (med,low,5more,4,med,med)
   139     3:good      2:acc   +   0.476 (med,low,2,4,small,high)
     1    1:unacc    1:unacc       0.967 (med,med,5more,4,med,low)
     2    1:unacc    1:unacc       0.978 (med,high,3,more,big,low)
     3    1:unacc      2:acc   +   0.643 (high,vhigh,4,4,big,high)
     4    1:unacc    1:unacc       0.993 (low,vhigh,3,2,med,high)
     5    1:unacc    1:unacc       0.981 (low,low,2,4,small,low)
     6    1:unacc    1:unacc       0.977 (med,low,3,2,big,med)
     7    1:unacc    1:unacc       0.989 (med,med,4,2,small,med)
     8    1:unacc    1:unacc       0.995 (high,vhigh,5more,2,med,high)
     9    1:unacc    1:unacc       0.949 (low,high,3,2,big,high)
    10    1:unacc    1:unacc       1 (med,high,2,2,big,low)
    11    1:unacc    1:unacc       0.995 (high,low,4,2,med,med)
    12    1:unacc    1:unacc       0.984 (med,low,3,2,small,high)
    13    1:unacc    1:unacc       0.959 (med,high,3,2,big,high)
    14    1:unacc    1:unacc       0.995 (med,vhigh,2,more,big,low)
    15    1:unacc      2:acc   +   0.524 (high,high,5more,more,small,med)
    16    1:unacc    1:unacc       0.948 (med,med,2,2,big,high)
    17    1:unacc    1:unacc       0.945 (med,med,5more,2,med,high)
    18    1:unacc    1:unacc       1 (high,high,4,2,big,low)
    19    1:unacc    1:unacc       0.995 (high,vhigh,3,2,big,high)
    20    1:unacc    1:unacc       0.994 (low,vhigh,2,2,big,high)
    21    1:unacc    1:unacc       0.898 (low,low,5more,2,big,high)
    22    1:unacc    1:unacc       0.997 (low,vhigh,2,2,med,med)
    23    1:unacc    1:unacc       0.981 (low,high,4,more,med,low)
    24    1:unacc    1:unacc       0.996 (low,vhigh,4,2,med,med)
    25    1:unacc    1:unacc       0.972 (med,low,3,more,med,low)
    26    1:unacc    1:unacc       1 (med,vhigh,4,2,small,low)
    27    1:unacc    1:unacc       0.934 (low,med,5more,4,big,low)
    28    1:unacc    1:unacc       0.993 (high,med,3,2,med,high)
    29    1:unacc    1:unacc       0.595 (high,vhigh,5more,4,small,med)
    30    1:unacc    1:unacc       0.995 (high,vhigh,4,2,big,high)
    31    1:unacc    1:unacc       0.955 (low,low,4,4,med,low)
    32    1:unacc    1:unacc       0.994 (med,high,4,2,small,med)
    33    1:unacc    1:unacc       0.889 (low,med,4,2,big,high)
    34    1:unacc    1:unacc       0.995 (low,high,2,2,med,med)
    35    1:unacc    1:unacc       0.951 (med,low,5more,2,med,high)
    36    1:unacc      2:acc   +   0.598 (med,high,3,more,small,med)
    37    1:unacc    1:unacc       0.992 (med,vhigh,4,4,big,low)
    38    1:unacc    1:unacc       0.981 (med,high,5more,4,med,low)
    39    1:unacc    1:unacc       1 (vhigh,low,4,2,med,low)
    40    1:unacc    1:unacc       1 (med,low,4,2,small,low)
    41    1:unacc    1:unacc       1 (med,high,4,2,small,low)
    42    1:unacc    1:unacc       1 (low,vhigh,2,2,small,low)
    43    1:unacc    1:unacc       0.97 (low,low,2,2,big,med)
    44    1:unacc    1:unacc       0.941 (low,low,3,4,big,low)
    45    1:unacc    1:unacc       1 (low,high,3,2,small,low)
    46    1:unacc    1:unacc       1 (med,med,3,2,small,low)
    47    1:unacc    1:unacc       0.954 (low,low,5more,more,med,low)
    48    1:unacc    1:unacc       0.957 (med,low,3,2,med,high)
    49    1:unacc    1:unacc       1 (low,high,2,2,med,low)
    50    1:unacc    1:unacc       0.997 (high,low,3,more,small,low)
    51    1:unacc    1:unacc       0.96 (med,low,3,4,big,low)
    52    1:unacc    1:unacc       0.989 (vhigh,low,3,2,big,med)
    53    1:unacc    1:unacc       0.996 (high,high,4,more,small,low)
    54    1:unacc      2:acc   +   0.546 (high,vhigh,4,4,big,med)
    55    1:unacc    1:unacc       0.998 (high,vhigh,2,more,med,low)
    56    1:unacc    1:unacc       0.963 (low,high,4,2,med,high)
    57    1:unacc    1:unacc       0.506 (med,vhigh,2,more,med,med)
    58    1:unacc    1:unacc       0.961 (med,low,3,more,big,low)
    59    1:unacc    1:unacc       0.455 (med,med,2,more,small,med)
    60    1:unacc    1:unacc       1 (med,vhigh,5more,2,big,low)
    61    1:unacc    1:unacc       0.991 (high,high,3,2,med,high)
    62    1:unacc    1:unacc       0.995 (high,low,4,more,med,low)
    63    1:unacc    1:unacc       0.994 (low,high,4,more,small,low)
    64    1:unacc    1:unacc       0.992 (high,med,5more,2,med,high)
    65    1:unacc    1:unacc       0.982 (med,high,4,more,med,low)
    66    1:unacc    1:unacc       0.536 (high,high,2,4,small,med)
    67    1:unacc    1:unacc       0.538 (low,high,2,more,small,med)
    68    1:unacc    1:unacc       0.971 (low,high,4,4,big,low)
    69    1:unacc    1:unacc       0.557 (high,vhigh,2,4,big,med)
    70    1:unacc    1:unacc       0.954 (med,med,5more,more,big,low)
    71    1:unacc    1:unacc       0.999 (med,med,3,2,big,low)
    72    1:unacc    1:unacc       0.982 (vhigh,low,4,2,med,high)
    73    1:unacc      2:acc   +   0.627 (med,high,2,more,med,med)
    74    1:unacc      2:acc   +   0.598 (high,vhigh,4,more,med,high)
    75    1:unacc    1:unacc       0.968 (med,med,4,4,med,low)
    76    1:unacc    1:unacc       0.971 (low,high,5more,more,big,low)
    77    1:unacc    1:unacc       0.987 (vhigh,low,3,4,med,low)
    78    1:unacc    1:unacc       1 (high,high,2,2,med,low)
    79    1:unacc    1:unacc       0.994 (high,low,5more,4,med,low)
    80    1:unacc    1:unacc       0.984 (low,med,4,more,small,low)
    81    1:unacc    1:unacc       0.994 (med,high,2,2,small,high)
    82    1:unacc    1:unacc       0.979 (med,low,5more,2,med,med)
    83    1:unacc    1:unacc       0.994 (high,low,3,more,big,low)
    84    1:unacc    1:unacc       1 (high,vhigh,4,2,small,low)
    85    1:unacc    1:unacc       0.993 (vhigh,low,4,2,small,med)
    86    1:unacc    1:unacc       0.997 (high,low,2,4,small,low)
    87    1:unacc    1:unacc       0.995 (high,med,2,4,big,low)
    88    1:unacc    1:unacc       0.976 (low,low,5more,more,small,low)
    89    1:unacc    1:unacc       0.998 (high,med,2,2,small,med)
    90    1:unacc    1:unacc       1 (high,vhigh,3,2,med,low)
    91    1:unacc    1:unacc       0.997 (high,vhigh,4,2,small,high)
    92    4:vgood    4:vgood       0.485 (med,med,5more,more,big,high)
    93    4:vgood    4:vgood       0.462 (low,low,4,more,big,high)
    94    4:vgood      2:acc   +   0.538 (low,high,4,4,med,high)
    95    4:vgood    4:vgood       0.363 (low,low,5more,more,med,high)
    96    4:vgood    4:vgood       0.376 (med,low,4,more,big,high)
    97    4:vgood    4:vgood       0.355 (low,low,4,more,med,high)
    98      2:acc      2:acc       0.636 (vhigh,low,5more,more,big,med)
    99      2:acc      2:acc       0.653 (vhigh,low,5more,4,med,med)
   100      2:acc      2:acc       0.522 (low,vhigh,3,4,big,med)
   101      2:acc      2:acc       0.723 (high,high,3,4,med,high)
   102      2:acc    1:unacc   +   0.507 (high,med,2,4,small,high)
   103      2:acc      2:acc       0.674 (med,vhigh,3,4,big,high)
   104      2:acc      2:acc       0.65 (high,med,4,more,big,high)
   105      2:acc      2:acc       0.686 (vhigh,low,4,more,med,high)
   106      2:acc      2:acc       0.595 (high,med,5more,4,big,med)
   107      2:acc      2:acc       0.667 (vhigh,low,5more,more,med,high)
   108      2:acc     3:good   +   0.416 (low,low,3,more,small,med)
   109      2:acc      2:acc       0.56 (high,med,4,more,small,high)
   110      2:acc      2:acc       0.49 (low,vhigh,5more,more,med,med)
   111      2:acc      2:acc       0.547 (low,high,2,more,med,med)
   112      2:acc      2:acc       0.661 (high,high,2,4,med,high)
   113      2:acc      2:acc       0.633 (high,low,3,4,med,high)
   114      2:acc      2:acc       0.499 (low,vhigh,2,more,big,high)
   115      2:acc      2:acc       0.678 (vhigh,low,4,4,big,med)
   116      2:acc      2:acc       0.462 (med,med,3,4,small,med)
   117      2:acc      2:acc       0.564 (high,med,2,more,big,high)
   118      2:acc      2:acc       0.606 (low,high,3,more,small,high)
   119      2:acc      2:acc       0.631 (low,high,4,more,small,high)
   120      2:acc      2:acc       0.647 (high,med,3,4,med,high)
   121      2:acc      2:acc       0.439 (med,med,3,more,small,med)
   122      2:acc      2:acc       0.63 (low,high,3,more,big,med)
   123      2:acc      2:acc       0.738 (med,high,5more,4,big,med)
   124      2:acc      2:acc       0.635 (high,med,5more,more,big,high)
   125      2:acc      2:acc       0.546 (low,high,4,more,small,med)
   126      2:acc      2:acc       0.722 (high,high,4,more,med,high)
   127      2:acc      2:acc       0.523 (low,vhigh,4,more,big,med)
   128      2:acc      2:acc       0.643 (med,high,2,more,big,med)
   129      2:acc      2:acc       0.572 (high,med,5more,4,small,high)
   130      2:acc      2:acc       0.59 (high,high,2,4,big,med)
   131      2:acc      2:acc       0.538 (high,low,2,more,med,high)
   132      2:acc      2:acc       0.507 (med,vhigh,2,4,small,high)
   133     3:good      2:acc   +   0.445 (med,low,3,4,med,high)
   134     3:good    4:vgood   +   0.322 (low,low,3,4,med,high)
   135     3:good      2:acc   +   0.423 (low,med,4,more,small,high)
   136     3:good      2:acc   +   0.361 (low,low,4,more,small,high)
   137     3:good      2:acc   +   0.427 (low,med,4,4,med,med)
