

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Hair,Feathers,Eggs,Milk,Airborne,Aquatic,Predator,Toothed,Backbone,Breathes,Venomous,Fins,Legs,Tail,Domestic,Catsize,Type)
     5 73:herring 75:piranha   +   0.25 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     6 24:mongoos  8:cheetah   +   0.125 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     7    41:wolf  8:cheetah   +   0.125 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     8 76:seahors    77:sole   +   0.5 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
     9 62:pitvipe 63:seasnak   +   0.996 (0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3)
    10    14:girl 32:pussyca   +   0.956 (1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1)
     1  5:buffalo     9:deer   +   0.2 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1)
     2 58:sparrow    50:lark   +   0.333 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
     3 46:flaming 60:vulture   +   0.8 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2)
     4 63:seasnak 62:pitvipe   +   1 (0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3)
     5 34:reindee     6:calf   +   0.333 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     6 78:stingra    79:tuna   +   0.334 (0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4)
     7 93:crayfis 94:lobster   +   1 (0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7)
     8 85:honeybe    90:wasp   +   1 (1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6)
     9 28:polecat    20:lion   +   0.111 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
    10   100:worm    98:slug   +   1 (0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7)
     1    31:puma  8:cheetah   +   0.111 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     2    79:tuna    74:pike   +   1 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4)
     3 71:dogfish    74:pike   +   1 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4)
     4 56:skimmer    47:gull   +   0.5 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
     5 64:slowwor 66:tuatara   +   0.957 (0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3)
     6     7:cavy 17:hamster   +   1 (1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1)
     7    91:clam    23:mole   +   0.772 (0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7)
     8 95:octopus 96:scorpio   +   1 (0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7)
     9    83:flea 89:termite   +   1 (0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6)
    10 25:opossum    23:mole   +   1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1)
     1    68:carp 76:seahors   +   0.335 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4)
     2 17:hamster    39:vole   +   0.455 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1)
     3 66:tuatara 64:slowwor   +   0.932 (0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3)
     4    74:pike    79:tuna   +   0.5 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4)
     5 27:platypu    22:mink   +   1 (1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1)
     6    88:moth 86:housefl   +   1 (1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6)
     7    55:rhea 60:vulture   +   0.959 (0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2)
     8    49:kiwi    43:crow   +   0.5 (0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2)
     9    57:skua    47:gull   +   0.5 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
    10    23:mole 25:opossum   +   1 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1)
     1    80:frog    82:toad   +   1 (0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5)
     2 53:penguin    55:rhea   +   0.999 (0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2)
     3    81:newt    82:toad   +   1 (0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5)
     4 65:tortois 66:tuatara   +   1 (0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3)
     5    20:lion 33:raccoon   +   0.125 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     6 1:aardvark     3:bear   +   1 (1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1)
     7    22:mink    92:crab   +   0.541 (1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1)
     8  8:cheetah 33:raccoon   +   0.125 (1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1)
     9 38:vampire 12:fruitba   +   1 (1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1)
    10 10:dolphin 30:porpois   +   1 (0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1)
     1    80:frog    80:frog       1 (0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5)
     2    67:bass 69:catfish   +   0.333 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     3    43:crow    48:hawk   +   1 (0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2)
     4    15:goat 34:reindee   +   0.333 (1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1)
     5    47:gull 56:skimmer   +   0.5 (0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2)
     6    44:dove 52:parakee   +   0.5 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2)
     7 72:haddock 76:seahors   +   0.5 (0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4)
     8    70:chub 69:catfish   +   0.333 (0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4)
     9    50:lark    61:wren   +   0.333 (0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2)
    10 89:termite    83:flea   +   1 (0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6)

