

=== Predictions under cross-validation ===

 inst#     actual  predicted error prediction (Buying,Maint,Doors,Persons,Lug_boot,Safety)
    69    1:unacc    1:unacc       1 (high,vhigh,3,2,big,med)
    70    1:unacc    1:unacc       0.71 (vhigh,low,5more,4,small,med)
    71    1:unacc    1:unacc       1 (low,low,3,2,med,low)
    72    1:unacc    1:unacc       1 (high,med,4,more,small,low)
    73    1:unacc    1:unacc       1 (high,low,5more,more,med,low)
    74    1:unacc    1:unacc       1 (high,vhigh,3,2,med,high)
    75    1:unacc    1:unacc       1 (low,high,3,4,small,low)
    76    1:unacc    1:unacc       1 (med,high,4,2,med,med)
    77    1:unacc    1:unacc       1 (med,low,5more,2,big,low)
    78    1:unacc    1:unacc       1 (med,vhigh,5more,more,small,low)
    79    1:unacc    1:unacc       1 (high,med,3,2,big,low)
    80    1:unacc    1:unacc       1 (low,vhigh,4,2,big,med)
    81    1:unacc    1:unacc       1 (high,vhigh,2,2,small,med)
    82    1:unacc    1:unacc       1 (high,low,4,2,small,low)
    83    1:unacc      2:acc   +   0.686 (low,low,2,more,small,med)
    84    1:unacc    1:unacc       1 (med,med,2,2,big,med)
    85    1:unacc    1:unacc       1 (low,med,5more,more,med,low)
    86    1:unacc    1:unacc       1 (high,high,4,2,big,high)
    87    1:unacc    1:unacc       0.741 (low,vhigh,2,4,med,med)
    88    1:unacc    1:unacc       0.968 (med,vhigh,4,more,small,med)
    89    1:unacc    1:unacc       1 (low,high,4,2,big,high)
    90    1:unacc    1:unacc       0.608 (high,vhigh,5more,more,med,high)
    91    1:unacc    1:unacc       1 (low,low,2,more,big,low)
    92    4:vgood    4:vgood       0.996 (low,med,3,more,big,high)
    93    4:vgood    4:vgood       0.995 (low,low,3,more,big,high)
    94    4:vgood      2:acc   +   0.805 (low,high,2,4,big,high)
    95    4:vgood    4:vgood       0.952 (low,low,4,4,med,high)
    96    4:vgood    4:vgood       0.935 (low,high,3,4,big,high)
    97    4:vgood    4:vgood       0.998 (low,med,5more,4,big,high)
    98      2:acc      2:acc       0.935 (high,low,2,4,med,high)
    99      2:acc      2:acc       0.582 (high,med,3,more,med,med)
   100      2:acc      2:acc       0.819 (vhigh,low,4,more,med,med)
   101      2:acc      2:acc       0.977 (high,med,4,4,big,med)
   102      2:acc      2:acc       0.632 (high,high,5more,4,med,med)
   103      2:acc      2:acc       0.988 (high,low,2,more,big,high)
   104      2:acc      2:acc       0.594 (high,low,3,more,med,med)
   105      2:acc      2:acc       0.921 (med,low,2,4,med,med)
   106      2:acc      2:acc       0.751 (low,vhigh,4,more,med,med)
   107      2:acc      2:acc       0.756 (vhigh,low,2,more,big,med)
   108      2:acc      2:acc       0.995 (high,low,4,4,med,high)
   109      2:acc      2:acc       0.997 (low,high,3,4,small,high)
   110      2:acc      2:acc       0.978 (high,low,4,4,big,med)
   111      2:acc      2:acc       0.934 (med,med,3,more,big,med)
   112      2:acc      2:acc       0.998 (low,high,2,4,med,high)
   113      2:acc      2:acc       0.921 (med,vhigh,4,4,big,med)
   114      2:acc      2:acc       0.984 (high,high,4,4,med,high)
   115      2:acc      2:acc       0.965 (med,high,3,more,med,med)
   116      2:acc      2:acc       0.961 (low,high,2,4,med,med)
   117      2:acc      2:acc       0.982 (med,high,3,more,small,high)
   118      2:acc      2:acc       0.994 (low,vhigh,5more,more,med,high)
   119      2:acc      2:acc       0.831 (low,vhigh,4,4,med,med)
   120      2:acc      2:acc       0.897 (med,low,2,more,med,med)
   121      2:acc      2:acc       0.75 (med,low,3,4,med,med)
   122      2:acc      2:acc       0.941 (low,high,4,4,small,med)
   123      2:acc      2:acc       0.989 (med,high,4,4,med,med)
   124      2:acc    1:unacc   +   0.574 (med,vhigh,4,more,med,med)
   125      2:acc      2:acc       1 (low,high,4,4,big,med)
   126      2:acc      2:acc       0.866 (high,med,5more,more,small,high)
   127      2:acc      2:acc       0.977 (low,med,5more,4,small,med)
   128      2:acc      2:acc       0.777 (low,low,2,4,small,med)
   129      2:acc      2:acc       0.992 (med,high,5more,more,med,high)
   130      2:acc      2:acc       0.918 (high,low,5more,4,small,high)
   131      2:acc      2:acc       0.995 (low,high,3,4,med,med)
   132      2:acc      2:acc       0.897 (high,med,4,4,small,high)
   133     3:good     3:good       0.838 (med,low,4,4,small,high)
   134     3:good     3:good       0.982 (low,med,4,4,big,med)
   135     3:good     3:good       0.731 (low,med,5more,4,med,med)
   136     3:good      2:acc   +   0.757 (med,low,3,more,med,med)
   137     3:good     3:good       0.917 (low,med,5more,more,small,high)
   138     3:good     3:good       0.567 (med,low,3,more,small,high)
   139     3:good     3:good       0.742 (med,low,2,more,med,high)
     1    1:unacc    1:unacc       1 (high,high,5more,4,med,low)
     2    1:unacc    1:unacc       1 (med,med,5more,more,med,low)
     3    1:unacc    1:unacc       1 (low,vhigh,2,more,big,low)
     4    1:unacc    1:unacc       1 (med,high,3,2,small,low)
     5    1:unacc    1:unacc       1 (high,vhigh,3,4,big,low)
     6    1:unacc    1:unacc       1 (med,high,3,2,med,low)
     7    1:unacc    1:unacc       1 (low,med,5more,4,small,low)
     8    1:unacc    1:unacc       1 (high,vhigh,3,4,med,low)
     9    1:unacc    1:unacc       1 (high,vhigh,2,2,big,low)
    10    1:unacc    1:unacc       0.988 (high,vhigh,3,4,small,high)
    11    1:unacc    1:unacc       1 (low,low,4,2,big,high)
    12    1:unacc    1:unacc       1 (high,med,2,2,small,low)
    13    1:unacc    1:unacc       1 (high,low,4,2,med,low)
    14    1:unacc    1:unacc       0.807 (high,med,5more,4,small,med)
    15    1:unacc      2:acc   +   0.89 (med,high,2,more,small,high)
    16    1:unacc    1:unacc       0.701 (high,low,2,more,small,high)
    17    1:unacc    1:unacc       1 (low,low,5more,more,big,low)
    18    1:unacc    1:unacc       1 (med,high,4,2,med,high)
    19    1:unacc     3:good   +   1 (low,low,2,more,small,high)
    20    1:unacc    1:unacc       1 (high,med,5more,2,small,high)
    21    1:unacc    1:unacc       1 (high,vhigh,5more,2,med,low)
    22    1:unacc    1:unacc       1 (med,low,2,2,med,low)
    23    1:unacc    1:unacc       1 (low,med,2,4,small,low)
    24    1:unacc    1:unacc       1 (vhigh,low,4,2,med,med)
    25    1:unacc    1:unacc       0.812 (high,low,4,4,small,med)
    26    1:unacc    1:unacc       1 (med,vhigh,3,2,small,low)
    27    1:unacc    1:unacc       1 (low,high,4,more,big,low)
    28    1:unacc    1:unacc       1 (med,med,4,more,big,low)
    29    1:unacc    1:unacc       1 (high,low,5more,2,small,high)
    30    1:unacc    1:unacc       1 (med,vhigh,3,2,big,high)
    31    1:unacc    1:unacc       1 (med,low,2,2,small,high)
    32    1:unacc    1:unacc       1 (med,med,4,2,big,high)
    33    1:unacc    1:unacc       1 (low,low,2,4,big,low)
    34    1:unacc    1:unacc       1 (low,med,5more,2,small,high)
    35    1:unacc    1:unacc       1 (low,med,3,2,med,high)
    36    1:unacc    1:unacc       1 (vhigh,low,5more,2,big,low)
    37    1:unacc    1:unacc       1 (med,med,3,2,big,med)
    38    1:unacc    1:unacc       1 (high,low,5more,2,big,high)
    39    1:unacc    1:unacc       1 (low,med,5more,2,small,med)
    40    1:unacc    1:unacc       1 (low,high,3,2,small,high)
    41    1:unacc    1:unacc       1 (low,high,5more,2,small,high)
    42    1:unacc    1:unacc       1 (high,low,5more,2,small,med)
    43    1:unacc    1:unacc       1 (high,low,5more,4,small,low)
    44    1:unacc    1:unacc       1 (low,med,5more,2,med,low)
    45    1:unacc    1:unacc       1 (med,med,3,2,big,high)
    46    1:unacc    1:unacc       0.985 (high,vhigh,5more,more,small,high)
    47    1:unacc    1:unacc       1 (high,med,5more,4,small,low)
    48    1:unacc    1:unacc       1 (med,vhigh,4,more,med,low)
    49    1:unacc      2:acc   +   0.769 (low,vhigh,3,4,med,med)
    50    1:unacc    1:unacc       1 (med,high,3,2,small,med)
    51    1:unacc    1:unacc       1 (med,low,5more,2,med,low)
    52    1:unacc    1:unacc       1 (low,low,3,2,big,low)
    53    1:unacc    1:unacc       1 (high,high,2,2,small,low)
    54    1:unacc    1:unacc       0.994 (low,vhigh,2,more,small,med)
    55    1:unacc      2:acc   +   0.752 (low,med,2,more,small,med)
    56    1:unacc    1:unacc       1 (med,vhigh,3,4,big,low)
    57    1:unacc    1:unacc       0.906 (high,med,3,4,small,med)
    58    1:unacc    1:unacc       1 (low,low,3,2,small,med)
    59    1:unacc    1:unacc       1 (med,vhigh,5more,2,small,high)
    60    1:unacc    1:unacc       0.708 (high,med,2,more,small,high)
    61    1:unacc    1:unacc       1 (high,low,4,more,big,low)
    62    1:unacc    1:unacc       1 (high,med,3,2,med,med)
    63    1:unacc    1:unacc       1 (high,high,4,2,med,med)
    64    1:unacc    1:unacc       0.969 (high,vhigh,2,more,med,high)
    65    1:unacc    1:unacc       1 (med,high,5more,2,big,med)
    66    1:unacc    1:unacc       1 (med,med,4,more,med,low)
    67    1:unacc    1:unacc       1 (high,high,5more,4,big,low)
    68    1:unacc    1:unacc       1 (low,high,3,2,med,med)
    69    1:unacc    1:unacc       1 (high,low,5more,2,big,low)
    70    1:unacc    1:unacc       1 (med,low,3,4,med,low)
    71    1:unacc    1:unacc       1 (high,vhigh,3,2,med,med)
    72    1:unacc    1:unacc       1 (low,vhigh,4,more,big,low)
    73    1:unacc    1:unacc       1 (med,med,2,4,small,low)
    74    1:unacc    1:unacc       1 (low,vhigh,5more,4,big,low)
    75    1:unacc    1:unacc       1 (med,high,4,4,med,low)
    76    1:unacc      2:acc   +   0.987 (med,high,3,4,med,med)
    77    1:unacc    1:unacc       1 (high,low,4,more,small,low)
    78    1:unacc    1:unacc       1 (med,med,2,4,big,low)
    79    1:unacc    1:unacc       1 (med,high,5more,4,small,low)
    80    1:unacc    1:unacc       1 (low,med,3,more,small,low)
    81    1:unacc    1:unacc       1 (high,vhigh,5more,2,big,low)
    82    1:unacc    1:unacc       0.922 (med,vhigh,2,4,med,med)
    83    1:unacc    1:unacc       1 (low,low,5more,2,big,med)
    84    1:unacc    1:unacc       1 (med,high,2,4,small,low)
    85    1:unacc    1:unacc       1 (vhigh,low,4,more,med,low)
    86    1:unacc    1:unacc       0.973 (high,vhigh,5more,4,small,high)
    87    1:unacc    1:unacc       1 (med,low,2,4,med,low)
    88    1:unacc    1:unacc       1 (high,low,2,2,big,low)
    89    1:unacc    1:unacc       1 (med,low,4,4,small,low)
    90    1:unacc    1:unacc       0.942 (high,low,3,more,small,med)
    91    1:unacc    1:unacc       1 (med,high,2,2,big,high)
    92    4:vgood    4:vgood       0.99 (low,med,3,4,big,high)
    93    4:vgood    4:vgood       1 (low,low,4,4,big,high)
    94    4:vgood    4:vgood       0.982 (med,low,4,more,med,high)
    95    4:vgood    4:vgood       1 (low,low,5more,more,big,high)
    96    4:vgood    4:vgood       1 (med,low,5more,more,big,high)
    97    4:vgood    4:vgood       0.896 (low,med,3,more,med,high)
    98      2:acc      2:acc       0.995 (low,vhigh,3,4,med,high)
    99      2:acc      2:acc       0.979 (high,low,5more,more,big,med)
   100      2:acc      2:acc       0.955 (med,low,5more,4,small,med)
   101      2:acc      2:acc       0.868 (low,vhigh,5more,more,small,high)
   102      2:acc      2:acc       0.985 (low,vhigh,4,4,big,med)
   103      2:acc    1:unacc   +   0.718 (med,vhigh,3,more,med,med)
   104      2:acc     3:good   +   0.822 (med,med,3,4,med,high)
   105      2:acc      2:acc       1 (high,low,4,4,big,high)
   106      2:acc     3:good   +   1 (low,low,3,4,med,med)
   107      2:acc      2:acc       0.999 (low,vhigh,3,more,big,high)
   108      2:acc      2:acc       0.954 (high,low,3,more,big,med)
   109      2:acc    4:vgood   +   0.971 (med,high,5more,more,big,high)
   110      2:acc      2:acc       0.997 (high,low,5more,more,med,high)
   111      2:acc      2:acc       0.999 (med,high,4,more,big,med)
   112      2:acc      2:acc       0.999 (low,high,5more,4,med,med)
   113      2:acc      2:acc       0.999 (low,high,5more,more,small,high)
   114      2:acc      2:acc       0.99 (med,high,5more,more,med,med)
   115      2:acc      2:acc       0.856 (high,med,3,4,small,high)
   116      2:acc      2:acc       0.945 (high,high,4,4,big,med)
   117      2:acc      2:acc       0.996 (vhigh,low,3,4,med,high)
   118      2:acc      2:acc       1 (vhigh,low,5more,more,big,high)
   119      2:acc      2:acc       0.561 (med,vhigh,4,more,small,high)
   120      2:acc      2:acc       0.986 (low,high,2,4,small,high)
   121      2:acc      2:acc       0.849 (low,high,3,more,small,med)
   122      2:acc      2:acc       0.999 (low,high,5more,4,small,high)
   123      2:acc    4:vgood   +   0.976 (med,high,4,more,big,high)
   124      2:acc      2:acc       0.977 (high,med,4,more,big,med)
   125      2:acc      2:acc       0.962 (low,high,3,4,med,high)
   126      2:acc      2:acc       0.957 (med,vhigh,3,more,med,high)
   127      2:acc      2:acc       0.986 (low,vhigh,5more,4,big,med)
   128      2:acc      2:acc       0.882 (vhigh,low,4,more,small,high)
   129      2:acc      2:acc       0.999 (high,low,3,more,big,high)
   130      2:acc      2:acc       0.988 (vhigh,low,5more,4,big,med)
   131      2:acc      2:acc       0.988 (high,low,5more,4,big,med)
   132      2:acc      2:acc       0.86 (vhigh,low,3,4,small,high)
   133     3:good     3:good       1 (low,med,3,4,big,med)
   134     3:good     3:good       1 (low,low,3,4,small,high)
   135     3:good     3:good       1 (low,low,5more,more,small,high)
   136     3:good     3:good       1 (med,low,4,more,big,med)
   137     3:good     3:good       1 (med,low,5more,more,small,high)
   138     3:good      2:acc   +   0.647 (med,low,5more,4,med,med)
   139     3:good      2:acc   +   0.976 (med,low,2,4,small,high)
     1    1:unacc    1:unacc       1 (med,med,5more,4,med,low)
     2    1:unacc    1:unacc       1 (med,high,3,more,big,low)
     3    1:unacc      2:acc   +   0.927 (high,vhigh,4,4,big,high)
     4    1:unacc    1:unacc       1 (low,vhigh,3,2,med,high)
     5    1:unacc    1:unacc       1 (low,low,2,4,small,low)
     6    1:unacc    1:unacc       1 (med,low,3,2,big,med)
     7    1:unacc    1:unacc       1 (med,med,4,2,small,med)
     8    1:unacc    1:unacc       1 (high,vhigh,5more,2,med,high)
     9    1:unacc    1:unacc       1 (low,high,3,2,big,high)
    10    1:unacc    1:unacc       1 (med,high,2,2,big,low)
    11    1:unacc    1:unacc       1 (high,low,4,2,med,med)
    12    1:unacc    1:unacc       1 (med,low,3,2,small,high)
    13    1:unacc    1:unacc       1 (med,high,3,2,big,high)
    14    1:unacc    1:unacc       1 (med,vhigh,2,more,big,low)
    15    1:unacc    1:unacc       0.962 (high,high,5more,more,small,med)
    16    1:unacc    1:unacc       1 (med,med,2,2,big,high)
    17    1:unacc    1:unacc       1 (med,med,5more,2,med,high)
    18    1:unacc    1:unacc       1 (high,high,4,2,big,low)
    19    1:unacc    1:unacc       1 (high,vhigh,3,2,big,high)
    20    1:unacc    1:unacc       1 (low,vhigh,2,2,big,high)
    21    1:unacc    1:unacc       1 (low,low,5more,2,big,high)
    22    1:unacc    1:unacc       1 (low,vhigh,2,2,med,med)
    23    1:unacc    1:unacc       1 (low,high,4,more,med,low)
    24    1:unacc    1:unacc       1 (low,vhigh,4,2,med,med)
    25    1:unacc    1:unacc       1 (med,low,3,more,med,low)
    26    1:unacc    1:unacc       1 (med,vhigh,4,2,small,low)
    27    1:unacc    1:unacc       1 (low,med,5more,4,big,low)
    28    1:unacc    1:unacc       1 (high,med,3,2,med,high)
    29    1:unacc    1:unacc       0.999 (high,vhigh,5more,4,small,med)
    30    1:unacc    1:unacc       1 (high,vhigh,4,2,big,high)
    31    1:unacc    1:unacc       1 (low,low,4,4,med,low)
    32    1:unacc    1:unacc       1 (med,high,4,2,small,med)
    33    1:unacc    1:unacc       1 (low,med,4,2,big,high)
    34    1:unacc    1:unacc       1 (low,high,2,2,med,med)
    35    1:unacc    1:unacc       1 (med,low,5more,2,med,high)
    36    1:unacc      2:acc   +   0.566 (med,high,3,more,small,med)
    37    1:unacc    1:unacc       1 (med,vhigh,4,4,big,low)
    38    1:unacc    1:unacc       1 (med,high,5more,4,med,low)
    39    1:unacc    1:unacc       1 (vhigh,low,4,2,med,low)
    40    1:unacc    1:unacc       1 (med,low,4,2,small,low)
    41    1:unacc    1:unacc       1 (med,high,4,2,small,low)
    42    1:unacc    1:unacc       1 (low,vhigh,2,2,small,low)
    43    1:unacc    1:unacc       1 (low,low,2,2,big,med)
    44    1:unacc    1:unacc       1 (low,low,3,4,big,low)
    45    1:unacc    1:unacc       1 (low,high,3,2,small,low)
    46    1:unacc    1:unacc       1 (med,med,3,2,small,low)
    47    1:unacc    1:unacc       1 (low,low,5more,more,med,low)
    48    1:unacc    1:unacc       1 (med,low,3,2,med,high)
    49    1:unacc    1:unacc       1 (low,high,2,2,med,low)
    50    1:unacc    1:unacc       1 (high,low,3,more,small,low)
    51    1:unacc    1:unacc       1 (med,low,3,4,big,low)
    52    1:unacc    1:unacc       1 (vhigh,low,3,2,big,med)
    53    1:unacc    1:unacc       1 (high,high,4,more,small,low)
    54    1:unacc    1:unacc       0.756 (high,vhigh,4,4,big,med)
    55    1:unacc    1:unacc       1 (high,vhigh,2,more,med,low)
    56    1:unacc    1:unacc       1 (low,high,4,2,med,high)
    57    1:unacc    1:unacc       0.947 (med,vhigh,2,more,med,med)
    58    1:unacc    1:unacc       1 (med,low,3,more,big,low)
    59    1:unacc    1:unacc       0.712 (med,med,2,more,small,med)
    60    1:unacc    1:unacc       1 (med,vhigh,5more,2,big,low)
    61    1:unacc    1:unacc       1 (high,high,3,2,med,high)
    62    1:unacc    1:unacc       1 (high,low,4,more,med,low)
    63    1:unacc    1:unacc       1 (low,high,4,more,small,low)
    64    1:unacc    1:unacc       1 (high,med,5more,2,med,high)
    65    1:unacc    1:unacc       1 (med,high,4,more,med,low)
    66    1:unacc    1:unacc       0.998 (high,high,2,4,small,med)
    67    1:unacc    1:unacc       0.713 (low,high,2,more,small,med)
    68    1:unacc    1:unacc       1 (low,high,4,4,big,low)
    69    1:unacc    1:unacc       0.989 (high,vhigh,2,4,big,med)
    70    1:unacc    1:unacc       1 (med,med,5more,more,big,low)
    71    1:unacc    1:unacc       1 (med,med,3,2,big,low)
    72    1:unacc    1:unacc       1 (vhigh,low,4,2,med,high)
    73    1:unacc      2:acc   +   0.81 (med,high,2,more,med,med)
    74    1:unacc    1:unacc       0.525 (high,vhigh,4,more,med,high)
    75    1:unacc    1:unacc       1 (med,med,4,4,med,low)
    76    1:unacc    1:unacc       1 (low,high,5more,more,big,low)
    77    1:unacc    1:unacc       1 (vhigh,low,3,4,med,low)
    78    1:unacc    1:unacc       1 (high,high,2,2,med,low)
    79    1:unacc    1:unacc       1 (high,low,5more,4,med,low)
    80    1:unacc    1:unacc       1 (low,med,4,more,small,low)
    81    1:unacc    1:unacc       1 (med,high,2,2,small,high)
    82    1:unacc    1:unacc       1 (med,low,5more,2,med,med)
    83    1:unacc    1:unacc       1 (high,low,3,more,big,low)
    84    1:unacc    1:unacc       1 (high,vhigh,4,2,small,low)
    85    1:unacc    1:unacc       1 (vhigh,low,4,2,small,med)
    86    1:unacc    1:unacc       1 (high,low,2,4,small,low)
    87    1:unacc    1:unacc       1 (high,med,2,4,big,low)
    88    1:unacc    1:unacc       1 (low,low,5more,more,small,low)
    89    1:unacc    1:unacc       1 (high,med,2,2,small,med)
    90    1:unacc    1:unacc       1 (high,vhigh,3,2,med,low)
    91    1:unacc    1:unacc       1 (high,vhigh,4,2,small,high)
    92    4:vgood    4:vgood       0.995 (med,med,5more,more,big,high)
    93    4:vgood    4:vgood       1 (low,low,4,more,big,high)
    94    4:vgood    4:vgood       0.566 (low,high,4,4,med,high)
    95    4:vgood    4:vgood       0.995 (low,low,5more,more,med,high)
    96    4:vgood    4:vgood       0.998 (med,low,4,more,big,high)
    97    4:vgood    4:vgood       0.994 (low,low,4,more,med,high)
    98      2:acc      2:acc       0.984 (vhigh,low,5more,more,big,med)
    99      2:acc      2:acc       0.891 (vhigh,low,5more,4,med,med)
   100      2:acc      2:acc       0.964 (low,vhigh,3,4,big,med)
   101      2:acc      2:acc       0.971 (high,high,3,4,med,high)
   102      2:acc    1:unacc   +   0.767 (high,med,2,4,small,high)
   103      2:acc      2:acc       0.997 (med,vhigh,3,4,big,high)
   104      2:acc      2:acc       1 (high,med,4,more,big,high)
   105      2:acc      2:acc       0.997 (vhigh,low,4,more,med,high)
   106      2:acc      2:acc       0.984 (high,med,5more,4,big,med)
   107      2:acc      2:acc       0.996 (vhigh,low,5more,more,med,high)
   108      2:acc      2:acc       0.76 (low,low,3,more,small,med)
   109      2:acc      2:acc       0.866 (high,med,4,more,small,high)
   110      2:acc      2:acc       0.806 (low,vhigh,5more,more,med,med)
   111      2:acc      2:acc       0.932 (low,high,2,more,med,med)
   112      2:acc      2:acc       0.762 (high,high,2,4,med,high)
   113      2:acc      2:acc       0.992 (high,low,3,4,med,high)
   114      2:acc      2:acc       0.986 (low,vhigh,2,more,big,high)
   115      2:acc      2:acc       0.991 (vhigh,low,4,4,big,med)
   116      2:acc      2:acc       0.854 (med,med,3,4,small,med)
   117      2:acc      2:acc       0.987 (high,med,2,more,big,high)
   118      2:acc      2:acc       0.994 (low,high,3,more,small,high)
   119      2:acc      2:acc       0.998 (low,high,4,more,small,high)
   120      2:acc      2:acc       0.991 (high,med,3,4,med,high)
   121      2:acc      2:acc       0.809 (med,med,3,more,small,med)
   122      2:acc      2:acc       0.999 (low,high,3,more,big,med)
   123      2:acc      2:acc       0.999 (med,high,5more,4,big,med)
   124      2:acc      2:acc       0.999 (high,med,5more,more,big,high)
   125      2:acc      2:acc       0.922 (low,high,4,more,small,med)
   126      2:acc      2:acc       0.986 (high,high,4,more,med,high)
   127      2:acc      2:acc       0.982 (low,vhigh,4,more,big,med)
   128      2:acc      2:acc       0.977 (med,high,2,more,big,med)
   129      2:acc      2:acc       0.874 (high,med,5more,4,small,high)
   130      2:acc    1:unacc   +   0.547 (high,high,2,4,big,med)
   131      2:acc      2:acc       0.896 (high,low,2,more,med,high)
   132      2:acc    1:unacc   +   0.918 (med,vhigh,2,4,small,high)
   133     3:good    4:vgood   +   0.614 (med,low,3,4,med,high)
   134     3:good    4:vgood   +   0.947 (low,low,3,4,med,high)
   135     3:good     3:good       0.916 (low,med,4,more,small,high)
   136     3:good     3:good       0.999 (low,low,4,more,small,high)
   137     3:good     3:good       0.595 (low,med,4,4,med,med)
   138     3:good    4:vgood   +   0.566 (low,low,2,4,med,high)
     1    1:unacc    1:unacc       1 (high,med,2,2,med,low)
     2    1:unacc    1:unacc       1 (high,vhigh,5more,2,big,med)
     3    1:unacc    1:unacc       0.764 (high,med,4,4,small,med)
     4    1:unacc    1:unacc       1 (high,low,2,more,small,low)
     5    1:unacc    1:unacc       1 (med,med,2,2,small,high)
     6    1:unacc    1:unacc       1 (high,med,2,2,small,high)
     7    1:unacc    1:unacc       1 (med,low,3,4,small,low)
     8    1:unacc    1:unacc       1 (vhigh,low,3,more,big,low)
     9    1:unacc    1:unacc       1 (high,low,3,2,big,med)
    10    1:unacc    1:unacc       1 (med,med,2,2,med,med)
    11    1:unacc    1:unacc       1 (low,vhigh,4,4,med,low)
    12    1:unacc    1:unacc       1 (high,vhigh,2,2,small,low)
    13    1:unacc    1:unacc       1 (low,high,5more,2,med,high)
