@relation ArtificialCharacters-weka.filters.supervised.attribute.NominalToBinary

@attribute CLASS {A,C,D,E,F,G,H,L,P,R}
@attribute OBJNUM numeric
@attribute TYPE string
@attribute XX1 numeric
@attribute YY1 numeric
@attribute XX2 numeric
@attribute YY2 numeric
@attribute SIZE numeric
@attribute DIAG numeric

@data
A,3,line,0,21,14,38,22.02,44.94
A,4,line,24,23,14,38,18.03,44.94
A,0,line,0,0,0,17,17,38.08
A,1,line,9,0,9,17,17,38.08
A,2,line,0,17,9,17,9,38.08
A,3,line,0,17,5,37,20.62,38.08
A,4,line,9,17,5,37,20.4,38.08
A,0,line,0,0,0,24,24,30.59
A,1,line,6,0,6,13,13,30.59
A,2,line,0,24,6,13,12.53,30.59
A,3,line,0,24,2,30,6.32,30.59
A,4,line,6,13,2,30,17.46,30.59
A,0,line,0,0,0,12,12,36.72
A,1,line,17,0,18,12,12.04,36.72
A,2,line,0,12,18,12,18,36.72
A,3,line,0,12,14,32,24.41,36.72
A,4,line,18,12,14,32,20.4,36.72
A,0,line,0,0,0,22,22,52.33
A,1,line,22,0,23,12,12.04,52.33
A,2,line,0,22,23,12,25.08,52.33
A,3,line,0,22,14,47,28.65,52.33
A,4,line,23,12,14,47,36.14,52.33
A,0,line,0,0,0,17,17,29.53
A,1,line,12,0,14,21,21.1,29.53
A,2,line,0,17,14,21,14.56,29.53
A,3,line,0,17,6,26,10.82,29.53
A,4,line,14,21,6,26,9.43,29.53
A,0,line,0,0,0,7,7,38.83
A,1,line,22,0,22,7,7,38.83
A,2,line,0,7,22,7,22,38.83
A,3,line,0,7,1,32,25.02,38.83
A,4,line,22,7,22,31,24,38.83
A,5,line,1,32,22,31,21.02,38.83
A,0,line,0,0,0,18,18,43.68
A,1,line,8,0,10,16,16.12,43.68
A,2,line,0,18,10,16,10.2,43.68
A,3,line,0,18,2,37,19.1,43.68
A,4,line,10,16,12,24,8.25,43.68
A,5,line,2,37,10,42,9.43,43.68
A,6,line,10,42,12,24,18.11,43.68
A,0,line,0,0,0,19,19,53.85
A,1,line,19,0,20,15,15.03,53.85
A,2,line,0,19,20,15,20.4,53.85
A,3,line,0,19,2,43,24.08,53.85
A,4,line,20,15,20,40,25,53.85
A,5,line,2,43,12,50,12.21,53.85
A,6,line,12,50,20,40,12.81,53.85
A,0,line,0,0,0,25,25,55.9
A,1,line,8,0,10,11,11.18,55.9
A,2,line,0,25,10,11,17.2,55.9
A,3,line,0,25,2,46,21.1,55.9
A,4,line,10,11,10,32,21,55.9
A,5,line,2,46,4,55,9.22,55.9
A,6,line,4,55,10,32,23.77,55.9
A,0,line,0,0,0,19,19,38.95
A,1,line,18,0,19,18,18.03,38.95
A,2,line,0,19,19,18,19.03,38.95
A,3,line,0,19,1,27,8.06,38.95
A,4,line,19,18,19,34,16,38.95
A,5,line,1,27,19,34,19.31,38.95
A,0,line,0,0,0,11,11,32.2
A,1,line,18,0,19,13,13.04,32.2
A,2,line,0,11,19,13,19.1,32.2
A,3,line,0,11,1,18,7.07,32.2
A,4,line,19,13,17,26,13.15,32.2
A,5,line,1,18,9,24,10,32.2
A,6,line,9,24,17,26,8.25,32.2
A,0,line,0,0,0,11,11,40.22
A,1,line,21,0,22,15,15.03,40.22
A,2,line,0,11,22,15,22.36,40.22
A,3,line,0,11,1,29,18.03,40.22
A,4,line,22,15,23,33,18.03,40.22
A,5,line,1,29,23,33,22.36,40.22
A,0,line,0,0,0,18,18,44.64
A,1,line,11,0,12,7,7.07,44.64
A,2,line,0,18,12,7,16.28,44.64
A,3,line,0,18,2,38,20.1,44.64
A,4,line,12,7,12,21,14,44.64
A,5,line,2,38,5,43,5.83,44.64
A,6,line,5,43,12,21,23.09,44.64
A,0,line,0,0,0,9,9,30.46
A,1,line,10,0,10,7,7,30.46
A,2,line,0,9,10,7,10.2,30.46
A,3,line,0,9,2,23,14.14,30.46
A,4,line,10,7,12,28,21.1,30.46
A,5,line,2,23,6,28,6.4,30.46
A,6,line,6,28,12,28,6,30.46
A,0,line,0,0,0,8,8,40.82
A,1,line,20,0,21,12,12.04,40.82
A,2,line,0,8,21,12,21.38,40.82
A,3,line,0,8,1,17,9.06,40.82
A,4,line,21,12,21,35,23,40.82
A,5,line,1,17,21,35,26.91,40.82
A,0,line,0,0,0,14,14,39.81
A,1,line,8,0,8,14,14,39.81
A,2,line,0,14,8,14,8,39.81
A,3,line,0,14,3,39,25.18,39.81
A,4,line,8,14,3,39,25.5,39.81
A,0,line,0,0,0,21,21,53.31
A,1,line,20,0,21,25,25.02,53.31
A,2,line,0,21,21,25,21.38,53.31
A,3,line,0,21,2,31,10.2,53.31
A,4,line,21,25,21,49,24,53.31
A,5,line,2,31,21,49,26.17,53.31
A,0,line,0,0,0,20,20,45.19
A,1,line,16,0,18,16,16.12,45.19
A,2,line,0,20,18,16,18.44,45.19
A,3,line,0,20,1,34,14.04,45.19
A,4,line,18,16,19,41,25.02,45.19
A,5,line,1,34,19,41,19.31,45.19
A,0,line,0,0,0,17,17,38.08
A,1,line,13,0,15,17,17.12,38.08
A,2,line,0,17,15,17,15,38.08
A,3,line,0,17,1,28,11.05,38.08
A,4,line,15,17,15,24,7,38.08
A,5,line,1,28,3,35,7.28,38.08
A,6,line,3,35,15,24,16.28,38.08
A,0,line,0,0,0,24,24,33.24
A,1,line,12,0,12,8,8,33.24
A,2,line,0,24,12,8,20,33.24
A,3,line,0,24,6,31,9.22,33.24
A,4,line,12,8,6,31,23.77,33.24
A,0,line,0,0,0,10,10,37.22
A,1,line,18,0,19,8,8.06,37.22
A,2,line,0,10,19,8,19.1,37.22
A,3,line,0,10,10,32,24.17,37.22
A,4,line,19,8,10,32,25.63,37.22
A,0,line,0,0,0,24,24,52.39
A,1,line,20,0,21,26,26.02,52.39
A,2,line,0,24,21,26,21.1,52.39
A,3,line,0,24,1,41,17.03,52.39
A,4,line,21,26,19,40,14.14,52.39
A,5,line,1,41,4,48,7.62,52.39
A,6,line,4,48,19,40,17,52.39
A,0,line,0,0,0,16,16,39.2
A,1,line,21,0,23,21,21.1,39.2
A,2,line,0,16,23,21,23.54,39.2
A,3,line,0,16,1,24,8.06,39.2
A,4,line,23,21,24,31,10.05,39.2
A,5,line,1,24,24,24,23,39.2
A,6,line,24,24,24,31,7,39.2
A,0,line,0,0,0,14,14,33.24
A,1,line,7,0,8,18,18.03,33.24
A,2,line,0,14,8,18,8.94,33.24
A,3,line,0,14,2,31,17.12,33.24
A,4,line,8,18,9,32,14.04,33.24
A,5,line,2,31,9,32,7.07,33.24
A,0,line,0,0,0,24,24,47.01
A,1,line,22,0,23,27,27.02,47.01
A,2,line,0,24,23,27,23.19,47.01
A,3,line,0,24,0,33,9,47.01
A,4,line,23,27,21,41,14.14,47.01
A,5,line,0,33,21,41,22.47,47.01
A,0,line,0,0,0,14,14,38.08
A,1,line,15,0,15,16,16,38.08
A,2,line,0,14,15,16,15.13,38.08
A,3,line,0,14,2,35,21.1,38.08
A,4,line,15,16,2,35,23.02,38.08
A,0,line,0,0,0,14,14,34.21
A,1,line,8,0,9,18,18.03,34.21
A,2,line,0,14,9,18,9.85,34.21
A,3,line,0,14,6,33,19.92,34.21
A,4,line,9,18,6,33,15.3,34.21
A,0,line,0,0,0,12,12,30.41
A,1,line,14,0,14,12,12,30.41
A,2,line,0,12,14,12,14,30.41
A,3,line,0,12,8,27,17,30.41
A,4,line,14,12,8,27,16.16,30.41
A,0,line,0,0,0,22,22,42.06
A,1,line,18,0,20,14,14.14,42.06
A,2,line,0,22,20,14,21.54,42.06
A,3,line,0,22,2,29,7.28,42.06
A,4,line,20,14,19,31,17.03,42.06
A,5,line,2,29,4,37,8.25,42.06
A,6,line,4,37,19,31,16.16,42.06
A,0,line,0,0,0,21,21,47.07
A,1,line,10,0,10,21,21,47.07
A,2,line,0,21,10,21,10,47.07
A,3,line,0,21,8,46,26.25,47.07
A,4,line,10,21,8,46,25.08,47.07
A,0,line,0,0,0,21,21,45.19
A,1,line,16,0,17,25,25.02,45.19
A,2,line,0,21,17,25,17.46,45.19
A,3,line,0,21,2,27,6.32,45.19
A,4,line,17,25,19,41,16.12,45.19
A,5,line,2,27,19,41,22.02,45.19
A,0,line,0,0,0,17,17,42.8
A,1,line,24,0,26,18,18.11,42.8
A,2,line,0,17,26,18,26.02,42.8
A,3,line,0,17,0,34,17,42.8
A,4,line,26,18,26,30,12,42.8
A,5,line,0,34,26,30,26.31,42.8
A,0,line,0,0,0,10,10,36.12
A,1,line,25,0,27,13,13.15,36.12
A,2,line,0,10,27,13,27.17,36.12
A,3,line,0,10,0,20,10,36.12
A,4,line,27,13,27,24,11,36.12
A,5,line,0,20,27,24,27.29,36.12
A,0,line,0,0,0,20,20,41.59
A,1,line,6,0,7,22,22.02,41.59
A,2,line,0,20,7,22,7.28,41.59
A,3,line,0,20,3,41,21.21,41.59
A,4,line,7,22,3,41,19.42,41.59
A,0,line,0,0,0,22,22,60.84
A,1,line,24,0,25,9,9.06,60.84
A,2,line,0,22,25,9,28.18,60.84
A,3,line,0,22,2,46,24.08,60.84
A,4,line,25,9,26,29,20.02,60.84
A,5,line,2,46,13,55,14.21,60.84
A,6,line,13,55,26,29,29.07,60.84
A,0,line,0,0,0,18,18,32.89
A,1,line,9,0,11,12,12.17,32.89
A,2,line,0,18,11,12,12.53,32.89
A,3,line,0,18,7,31,14.76,32.89
A,4,line,11,12,7,31,19.42,32.89
A,0,line,0,0,0,7,7,34.99
A,1,line,16,0,18,11,11.18,34.99
A,2,line,0,7,18,11,18.44,34.99
A,3,line,0,7,2,22,15.13,34.99
A,4,line,18,11,17,30,19.03,34.99
A,5,line,2,22,17,29,16.55,34.99
A,6,line,17,29,17,30,1,34.99
A,0,line,0,0,0,19,19,33.53
A,1,line,9,0,10,13,13.04,33.53
A,2,line,0,19,10,13,11.66,33.53
A,3,line,0,19,0,25,6,33.53
A,4,line,10,13,10,32,19,33.53
A,5,line,0,25,10,32,12.21,33.53
A,0,line,0,0,0,19,19,42.54
A,1,line,17,0,17,12,12,42.54
A,2,line,0,19,17,12,18.38,42.54
A,3,line,0,19,2,39,20.1,42.54
A,4,line,17,12,17,18,6,42.54
A,5,line,2,39,17,18,25.81,42.54
A,0,line,0,0,0,11,11,40.46
A,1,line,25,0,26,11,11.05,40.46
A,2,line,0,11,26,11,26,40.46
A,3,line,0,11,14,31,24.41,40.46
A,4,line,26,11,14,31,23.32,40.46
A,0,line,0,0,0,13,13,35.9
A,1,line,8,0,8,10,10,35.9
A,2,line,0,13,8,10,8.54,35.9
A,3,line,0,13,2,35,22.09,35.9
A,4,line,8,10,7,24,14.04,35.9
A,5,line,2,35,7,24,12.08,35.9
A,0,line,0,0,0,24,24,58.82
A,1,line,18,0,18,24,24,58.82
A,2,line,0,24,18,24,18,58.82
A,3,line,0,24,2,48,24.08,58.82
A,4,line,18,24,16,39,15.13,58.82
A,5,line,2,48,8,56,10,58.82
A,6,line,8,56,16,39,18.79,58.82
A,0,line,0,0,0,15,15,25.5
A,1,line,9,0,11,18,18.11,25.5
A,2,line,0,15,11,18,11.4,25.5
A,3,line,0,15,1,23,8.06,25.5
A,4,line,11,18,1,23,11.18,25.5
A,0,line,0,0,0,13,13,25.24
A,1,line,14,0,14,12,12,25.24
A,2,line,0,13,14,12,14.04,25.24
A,3,line,0,13,0,21,8,25.24
A,4,line,14,12,0,21,16.64,25.24
A,0,line,0,0,0,16,16,32.57
A,1,line,8,0,10,15,15.13,32.57
A,2,line,0,16,10,15,10.05,32.57
A,3,line,0,16,1,31,15.03,32.57
A,4,line,10,15,9,26,11.05,32.57
A,5,line,1,31,9,26,9.43,32.57
A,0,line,0,0,0,10,10,45.79
A,1,line,23,0,24,14,14.04,45.79
A,2,line,0,10,24,14,24.33,45.79
A,3,line,0,10,0,26,16,45.79
A,4,line,24,14,23,39,25.02,45.79
A,5,line,0,26,23,39,26.42,45.79
A,0,line,0,0,0,24,24,52.39
A,1,line,18,0,20,16,16.12,52.39
A,2,line,0,24,20,16,21.54,52.39
A,3,line,0,24,1,48,24.02,52.39
A,4,line,20,16,21,40,24.02,52.39
A,5,line,1,48,21,40,21.54,52.39
A,0,line,0,0,0,20,20,40.85
A,1,line,13,0,15,12,12.17,40.85
A,2,line,0,20,15,12,17,40.85
A,3,line,0,20,8,38,19.7,40.85
A,4,line,15,12,8,38,26.93,40.85
A,0,line,0,0,0,7,7,38.6
A,1,line,22,0,23,10,10.05,38.6
A,2,line,0,7,23,10,23.19,38.6
A,3,line,0,7,3,31,24.19,38.6
A,4,line,23,10,3,31,29,38.6
A,0,line,0,0,0,12,12,26.83
A,1,line,10,0,12,6,6.32,26.83
A,2,line,0,12,12,6,13.42,26.83
A,3,line,0,12,2,19,7.28,26.83
A,4,line,12,6,12,17,11,26.83
A,5,line,2,19,3,24,5.1,26.83
A,6,line,3,24,12,17,11.4,26.83
A,0,line,0,0,0,11,11,35.38
A,1,line,20,0,22,14,14.14,35.38
A,2,line,0,11,22,14,22.2,35.38
A,3,line,0,11,0,26,15,35.38
A,4,line,22,14,24,21,7.28,35.38
A,5,line,0,26,24,21,24.52,35.38
A,0,line,0,0,0,13,13,37.16
A,1,line,12,0,13,11,11.05,37.16
A,2,line,0,13,13,11,13.15,37.16
A,3,line,0,13,2,34,21.1,37.16
A,4,line,13,11,15,30,19.1,37.16
A,5,line,2,34,15,30,13.6,37.16
A,0,line,0,0,0,10,10,30.87
A,1,line,12,0,13,7,7.07,30.87
A,2,line,0,10,13,7,13.34,30.87
A,3,line,0,10,1,22,12.04,30.87
A,4,line,13,7,11,28,21.1,30.87
A,5,line,1,22,11,28,11.66,30.87
A,0,line,0,0,0,21,21,35.34
A,1,line,15,0,15,24,24,35.34
A,2,line,0,21,15,24,15.3,35.34
A,3,line,0,21,14,32,17.8,35.34
A,4,line,15,24,14,32,8.06,35.34
A,0,line,0,0,0,18,18,43.01
A,1,line,11,0,13,12,12.17,43.01
A,2,line,0,18,13,12,14.32,43.01
A,3,line,0,18,4,41,23.35,43.01
A,4,line,13,12,4,41,30.36,43.01
A,0,line,0,0,0,17,17,53.34
A,1,line,23,0,25,10,10.2,53.34
A,2,line,0,17,25,10,25.96,53.34
A,3,line,0,17,2,37,20.1,53.34
A,4,line,25,10,27,18,8.25,53.34
A,5,line,2,37,21,46,21.02,53.34
A,6,line,21,46,27,18,28.64,53.34
A,0,line,0,0,0,14,14,41.34
A,1,line,20,0,22,8,8.25,41.34
A,2,line,0,14,22,8,22.8,41.34
A,3,line,0,14,7,35,22.14,41.34
A,4,line,22,8,7,35,30.89,41.34
A,0,line,0,0,0,7,7,43.01
A,1,line,24,0,25,12,12.04,43.01
A,2,line,0,7,25,12,25.5,43.01
A,3,line,0,7,2,31,24.08,43.01
A,4,line,25,12,25,29,17,43.01
A,5,line,2,31,20,35,18.44,43.01
A,6,line,20,35,25,29,7.81,43.01
A,0,line,0,0,0,12,12,33.11
A,1,line,14,0,14,11,11,33.11
A,2,line,0,12,14,11,14.04,33.11
A,3,line,0,12,2,29,17.12,33.11
A,4,line,14,11,12,30,19.1,33.11
A,5,line,2,29,12,30,10.05,33.11
A,0,line,0,0,0,22,22,51.79
A,1,line,8,0,9,9,9.06,51.79
A,2,line,0,22,9,9,15.81,51.79
A,3,line,0,22,0,46,24,51.79
A,4,line,9,9,8,30,21.02,51.79
A,5,line,0,46,4,51,6.4,51.79
A,6,line,4,51,8,30,21.38,51.79
A,0,line,0,0,0,13,13,41.76
A,1,line,10,0,12,7,7.28,41.76
A,2,line,0,13,12,7,13.42,41.76
A,3,line,0,13,1,34,21.02,41.76
A,4,line,12,7,12,21,14,41.76
A,5,line,1,34,6,40,7.81,41.76
A,6,line,6,40,12,21,19.92,41.76
C,0,line,22,0,7,6,16.16,42.19
C,1,line,7,6,0,12,9.22,42.19
C,2,line,0,12,0,24,12,42.19
C,3,line,0,24,7,30,9.22,42.19
C,4,line,7,30,22,36,16.16,42.19
C,0,line,18,0,7,6,12.53,40.25
C,1,line,7,6,0,12,9.22,40.25
C,2,line,0,12,0,24,12,40.25
C,3,line,0,24,7,30,9.22,40.25
C,4,line,7,30,18,36,12.53,40.25
C,0,line,16,0,0,12,20,39.4
C,1,line,0,12,0,24,12,39.4
C,2,line,0,24,16,36,20,39.4
C,0,line,14,0,2,7,13.89,31.3
C,1,line,2,7,0,14,7.28,31.3
C,2,line,0,14,2,21,7.28,31.3
C,3,line,2,21,14,28,13.89,31.3
C,0,line,27,0,12,7,16.55,38.9
C,1,line,12,7,0,14,13.89,38.9
C,2,line,0,14,12,21,13.89,38.9
C,3,line,12,21,27,28,16.55,38.9
C,0,line,21,0,0,9,22.85,35
C,1,line,0,9,0,18,9,35
C,2,line,0,18,21,28,23.26,35
C,0,line,19,0,0,7,20.25,27.59
C,1,line,0,7,0,14,7,27.59
C,2,line,0,14,19,20,19.92,27.59
C,0,line,28,0,0,10,29.73,41.04
C,1,line,0,10,0,20,10,41.04
C,2,line,0,20,28,30,29.73,41.04
C,0,line,21,0,12,5,10.3,38.28
C,1,line,12,5,0,10,13,38.28
C,2,line,0,10,0,21,11,38.28
C,3,line,0,21,12,26,13,38.28
C,4,line,12,26,21,32,10.82,38.28
C,0,line,14,0,0,11,17.8,36.77
C,1,line,0,11,0,22,11,36.77
C,2,line,0,22,14,34,18.44,36.77
C,0,line,17,0,1,6,17.09,38.01
C,1,line,1,6,0,12,6.08,38.01
C,2,line,0,12,0,23,11,38.01
C,3,line,0,23,1,29,6.08,38.01
C,4,line,1,29,17,34,16.76,38.01
C,0,line,18,0,9,6,10.82,40.25
